method,method_id,PB_macro_percent,PB_Q4_percent,PB_Q8_percent,PRMB_within_AUC,PRMB_pooled_AUC,PRMScore,valid_answers,within_answers,pb_gsm8k_q4,pb_gsm8k_q8,pb_math_q4,pb_math_q8,pb_olympiadbench_q4,pb_olympiadbench_q8,pb_omnimath_q4,pb_omnimath_q8
Top-50 varentropy / IU-PCR learned weights,ref__k50__iu,34.41389288615792,34.606834206290834,34.22095156602501,0.7458324345111156,0.7205546045235346,0.6284092525263825,13769,6030,39.74805983578899,39.16653411802132,32.095604822209864,31.968664610477187,32.965886566748964,33.09440236467763,33.6177856004155,32.654205170923866
Top-50 varentropy / Original sum,ref__k50__raw,35.67552412698325,36.08075114834269,35.27029710562382,0.742464548435578,0.7157833866814454,0.6327768738968429,13769,6030,43.398300313664514,40.5,32.95128939828081,32.112689238832864,34.23826690130017,34.57809177089716,33.73514798012529,33.89040741276524
Six-moment mean,moment__equal,21.731633121630587,22.754354746279738,20.70891149698144,0.7060960857757894,0.6641516814921505,0.5817528807687382,13769,6030,31.781432952327854,26.912479740680713,27.720954918893813,26.284263047856033,14.612507610681046,13.473807719572712,16.902523503216234,16.16509547981629
Six-moment IU-PCR,moment__iu,22.3787777247784,23.26411361539061,21.493441834166184,0.7085846047642896,0.6588228461943321,0.581904934664123,13769,6030,31.781432952327854,27.790632729593874,28.10343119447839,26.967946683592515,15.724013490000644,14.35168395348275,17.447576824755537,16.863503969995612
Original six-moment RBM,moment__rbm,36.20168449360268,37.351290000539755,35.052078986665606,0.7359819427631672,0.7081098773075334,0.6307492926682718,13769,6030,44.54065469904963,39.16653411802132,35.57224922669023,34.32744978697504,32.965886566748964,31.931918739291703,36.32636950967018,34.78241330237435
Six-moment RBM before learning,moment__rbm_initial,35.966210065316105,36.767337993745066,35.16508213688714,0.744067528910734,0.6950464031735148,0.6130847986432351,13769,6030,43.00959361862671,38.60993912847434,34.446923617691105,34.460500421703685,33.394983838348914,32.32432836937813,36.21785090031352,35.26556062799243
Raw powers through degree 1 / mean,power__d1__equal,20.512656525081134,19.783249746448973,21.24206330371329,0.4316816156524087,0.44930770247100543,0.4643318432752085,13769,6030,22.647713649597534,29.872075602166646,24.117626724127998,24.145007745574436,15.282664536879143,13.91515740853288,17.08499407519121,17.036012458579204
Raw powers through degree 1 / IU-PCR,power__d1__iu,27.464559744845822,28.249898672105278,26.679220817586373,0.7346211488948545,0.6739344915775347,0.5887271885606155,13769,6030,34.77168744953799,33.6039483566396,29.415590045955085,28.617041024689065,23.364210277892496,21.466464152853906,25.448106915035535,23.029429736162914
Raw powers through degree 2 / mean,power__d2__equal,20.351384179333508,19.4177842908684,21.28498406779861,0.4301422855017096,0.4470088000773098,0.4637312569497829,13769,6030,21.368322399250232,29.872075602166646,24.117626724127998,24.145007745574436,15.282664536879143,13.91515740853288,16.902523503216234,17.20769551492048
Raw powers through degree 2 / IU-PCR,power__d2__iu,27.63671214857507,28.0772664716416,27.19615782550855,0.7281750937508404,0.6670800107848996,0.584150361277903,13769,6030,34.287776708373435,31.429317613699958,30.328369729521114,29.72295867487169,22.24481253363631,23.050424148473496,25.448106915035535,24.581930864989047
Raw powers through degree 3 / mean,power__d3__equal,20.29916669072583,19.469816002221386,21.12851737923028,0.42933779473146055,0.4456381651361534,0.4637259383486186,13769,6030,21.368322399250232,29.872075602166646,24.325753569539927,23.96049068026127,15.282664536879143,13.473807719572712,16.902523503216234,17.20769551492048
Raw powers through degree 3 / IU-PCR,power__d3__iu,33.00504036905886,33.556761861746345,32.45331887637138,0.7341053209689961,0.6716344060117692,0.5911667925858141,13769,6030,40.17115529826329,37.15596330275229,34.609675254692235,32.25603137364754,27.39213411667852,28.60260709112914,32.054082777351354,31.798673737956545
RBM with weight shrinkage (saved),shrinkage__rbm_shrinkage,35.87114318788544,36.69774153348104,35.044544842289824,0.738630248995498,0.7079965583222773,0.6295438953640439,13769,6030,42.21992266216437,38.60993912847434,35.25401851441018,33.78910249118417,33.53690094193148,33.09440236467763,35.78012401541814,34.68473538482317
Order6 trained RBM (saved),higher__d6__rbm,36.37504666989378,37.11854680558358,35.631546534203984,0.7387017592037592,0.710417498206284,0.6292760348084029,13769,6030,46.36890204659544,41.01140730799732,32.781598193943054,33.65295814473189,34.09907905097744,33.47225027079623,35.224607930818365,34.389570413290485
Order6 RBM before learning (saved),higher__d6__rbm_initial,36.29459417341435,37.14627820322608,35.44291014360264,0.7463248825565488,0.6901095815877019,0.6053132074697835,13769,6030,44.913718383106136,39.16653411802132,35.09392399179491,34.05951356492595,34.37691835481891,33.47225027079623,34.20055208318435,35.073342620667056
Longest step + common entropy gate,control__length,33.69435830708854,33.875900172465165,33.51281644171193,0.6181358410980654,0.5861989132220188,0.5278777173269932,13769,6030,38.887941326965716,38.60993912847434,34.609675254692235,34.460500421703685,29.341994817707384,29.182152478713153,32.663989290495316,31.798673737956545
Random step + common entropy gate,control__random_step,20.275017613612,19.639023683952882,20.911011543271123,0.49847952604800216,0.5015348181277717,0.4979413313988752,13769,6030,24.50460133001948,21.54541827370661,21.76227084565346,25.05291212667555,17.447373411720086,16.258435980933502,14.841849148418493,20.787279791768835
