method,sla_macro8,f1_common_gate,within_auc,early,late,mae,tolerance_one,sla_long_cells,late_long_cells,sla_all,sla_steps_2_to_5,sla_steps_6_to_10,sla_steps_11_plus,prmscore_q80,prmscore_inner
fam_auto_fold,0.4009296272377572,0.4138675766947656,0.7745820498877151,0.2722500471176719,0.32682032564457086,1.607918376689343,0.630198945095676,0.37412173434668994,0.34365675434872306,0.384961728950923,0.4794207317073171,0.3596187175043328,0.305352798053528,0.648300087015655,0.6539310271323928
fam_auto_answer,0.3999994684727961,0.4133141446245701,0.7746034813247186,0.2712770616556054,0.3287234698715985,1.6112393005234877,0.6309737290464779,0.37389002170624214,0.3457795411192768,0.38428635749662315,0.4794207317073171,0.35831889081455803,0.305352798053528,0.6479990797648294,0.6539228828501034
six_equal,0.3875978591413045,0.4027073755597217,0.7588505958890696,0.2762181053225584,0.33618403553613707,1.6737552463396046,0.6158612340821444,0.3471105184582788,0.36805684284800244,0.36470058532192706,0.4679878048780488,0.3444540727902946,0.25669099756691,0.6326732540952843,0.6337536988599252
level_only,0.35633099284187886,0.3758077983899964,0.751579086087441,0.24170488125793,0.40196412590019115,1.8212796390088704,0.5888549874194156,0.3231509331292269,0.4491851687964298,0.3354344889689329,0.4481707317073171,0.3210571923743501,0.19586374695863748,0.6257714563235464,0.6256940541089728
temporal_only,0.3667729001298034,0.3847517876846809,0.7399008997976659,0.4095392329087981,0.22368786696139853,1.710264770310485,0.6036947563291049,0.3111332691514234,0.20698267287756206,0.34016208914903195,0.4451219512195122,0.3119584055459272,0.2518248175182482,0.6194303161672761,0.618137966689416
ct7_single__H0lim,0.34192576126322755,0.36333526100529107,0.7439716251034377,0.25061403849718655,0.40746020023958585,1.8408210843996544,0.5830050599175114,0.302593288007351,0.4526015598994616,0.319900945520036,0.43140243902439024,0.29809358752166376,0.20316301703163017,0.6192476413328117,0.6191482318770039
ct7_single__ve0,0.3432465925230511,0.3652701977569995,0.7534060391728259,0.24148562628632353,0.41526778119062535,1.8395242272314232,0.5830143754854339,0.30624139175083065,0.4579693202497912,0.320126069338136,0.4321646341463415,0.30155979202772965,0.19343065693430658,0.6226812039456044,0.6217476946519866
ct7_single__ve0.75,0.3578408761472959,0.3788923383026468,0.7323022945501653,0.24933250426163012,0.392826619591074,1.8377297138766915,0.5855917702757142,0.32011375346572346,0.4442683760581544,0.33746060333183253,0.45426829268292684,0.3193240901213172,0.20194647201946472,0.6114880201650796,0.6130884546085257
ct7_single__ve1,0.3482762102154656,0.36902093691467397,0.7377863024015934,0.2597266848360382,0.39199710494849616,1.829081212595157,0.5827735133793148,0.31372047781637996,0.44107223654023625,0.32620441242683473,0.45426829268292684,0.29809358752166376,0.20072992700729927,0.619250890338145,0.619366668038222
ct7_single__H0lim_prefix_innovation,0.3359779995353567,0.3569287430401949,0.7478657911893811,0.44221644573959906,0.22180555472504432,1.7888299724203824,0.5882347477715169,0.2706787336630131,0.18438844805351418,0.30526789734353893,0.4138719512195122,0.268630849220104,0.23479318734793186,0.6230694008266505,0.6256507620213144
ct7_single__bocpd_residual,0.352173218182394,0.3735580134187646,0.6903984155860289,0.37528224925038056,0.27254453256722544,1.6981026942671027,0.5979062312927339,0.2954934133813302,0.2868911438930514,0.325078793336335,0.4329268292682927,0.30025996533795496,0.22262773722627738,0.5884023718890679,0.5877118130055528
ct7_single__chosen_token_z_despiked,0.31007619442467826,0.34475613296940855,0.7387372459881674,0.2955975594928433,0.3943262460824784,1.8584762587837642,0.5781673595345239,0.2801216466447013,0.3589203885198097,0.2960378208014408,0.3795731707317073,0.27772963604852685,0.2141119221411192,0.6341321322493878,0.6362215964451967
control__longest_step,0.31775479697764775,0.35142017339315323,0.6181358410980654,0.3240770915983045,0.3581681114240477,1.91308564054897,0.552261138872334,0.2643706684685439,0.4071574788867428,0.29671319225574067,0.4268292682926829,0.26603119584055457,0.17518248175182483,0.5467540254756261,0.5474007503413737
