variant,pool,cells,size_mean,frac_size3,frac_size4,spread_pp,median_spread_pp,max_spread_pp,frac_unstable,macro_spread_pp,macro_mean
a5.mrmr_a0.5_s4,c46,25,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.732584
a5.mrmr_a0.5_s4,h16,25,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.735294
a5.mrmr_a0.5_s5,c46,25,5.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.734877
a5.mrmr_a0.5_s5,h16,25,5.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.732458
a5.mrmr_a0.5_s6,c46,25,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.735521
a5.mrmr_a0.5_s6,h16,25,6.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.730921
a5.mrmr_a0.7_adapt,c46,25,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.737931
a5.mrmr_a0.7_adapt,h16,25,6.48,0.24,0.08,0.0,0.0,0.0002,0.0,0.0,0.729403
a5.mrmr_a0.7_s4,c46,25,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.732749
a5.mrmr_a0.7_s4,h16,25,4.0,0.0,1.0,0.0,0.0,0.0002,0.0,0.0,0.733931
a5.mrmr_a0.7_s5,c46,25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.735395
a5.mrmr_a0.7_s5,h16,25,5.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.728846
a5.mrmr_a0.7_s6,c46,25,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.735486
a5.mrmr_a0.7_s6,h16,25,6.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.728971
a6.dufs,c46,25,19.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.750776
a6.fp_dufs,c46,25,19.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7508
a6.fp_rank,c46,25,19.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.750862
a6.pl_dufs,c46,25,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.752409
a6.pl_dufs@central4,c46,25,19.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.751737
a6.pl_dufs@loco5,c46,25,20.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75199
a6.pl_dufs_noseed,c46,25,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747772
a6.pl_rank,c46,25,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.748719
a6.pruned_dufs,c46,11,29.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.718635
decorr_s4,c46,25,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.603064
decorr_s4,h16,25,4.0,0.0,1.0,0.0,0.0,0.0005,0.0,0.0,0.63098
decorr_s5,c46,25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.640106
decorr_s5,h16,25,5.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.631485
decorr_s6,c46,25,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.661724
decorr_s6,h16,25,6.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.673629
kurtosis_s4,c46,25,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.699286
kurtosis_s4,h16,25,4.0,0.0,1.0,0.0,0.0,0.0001,0.0,0.0,0.693154
kurtosis_s5,c46,25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.695911
kurtosis_s5,h16,25,5.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.697016
kurtosis_s6,c46,25,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.729017
kurtosis_s6,h16,25,6.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.697186
lapscore_adapt,c46,25,6.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.726053
lapscore_adapt,h16,25,4.96,0.36,0.08,0.0,0.0,0.0002,0.0,0.0,0.664091
lapscore_s4,c46,25,4.0,0.0,1.0,0.0,0.0,0.0002,0.0,0.0,0.723243
lapscore_s4,h16,25,4.0,0.0,1.0,0.0,0.0,0.0002,0.0,0.0,0.665358
lapscore_s5,c46,25,5.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.723058
lapscore_s5,h16,25,5.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.666887
lapscore_s6,c46,25,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.725258
lapscore_s6,h16,25,6.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.685804
mad_s4,c46,25,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.64176
mad_s4,h16,25,4.0,0.0,1.0,0.0,0.0,0.0001,0.0,0.0,0.620456
mad_s5,c46,25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671273
mad_s5,h16,25,5.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.647378
mad_s6,c46,25,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.677904
mad_s6,h16,25,6.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.649048
mcfs_s4,c46,25,4.0,0.0,1.0,0.0,0.0,0.0002,0.0,0.0,0.724177
mcfs_s5,c46,25,5.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.730576
