variant,pool,family,bench_csv_date,cells,macro_published,macro_today,drift_pp,max_cell_drift_pp,cells_differing,reproduces,macro_eigen,macro_complete,frac_size3,size_mean,replay_note,chosen_names_missing_from_pool
a1.good5+K_kn,h16,a1_residual,2026-07-21,25,0.746729,0.746729,0.0,0.0,0,True,0.746729,0.746729,0.0,5.0,K-rule variant: stored K re-applied,0
a1.minres_exh_s5,h16,a1_residual,2026-07-21,19,0.657775,0.657775,0.0,0.0,17,False,0.661032,0.660502,0.0,5.0,,0
a1.minres_exh_s6,h16,a1_residual,2026-07-21,19,0.660381,0.660381,0.0,0.0,18,False,0.660821,0.666562,0.0,6.0,,0
a1.relres_exh_adapt,h16,a1_residual,2026-07-21,19,0.672801,0.672801,-0.0,0.0,17,False,0.674666,0.672891,0.947,3.05,,0
a1.relres_exh_s5,h16,a1_residual,2026-07-21,19,0.666182,0.666182,0.0,0.0,19,False,0.666739,0.670972,0.0,5.0,,0
a1.relres_exh_s6,h16,a1_residual,2026-07-21,19,0.664416,0.664416,0.0,0.0,19,False,0.661463,0.665039,0.0,6.0,,0
a1.router@good5,c46,a1_residual,2026-07-22,25,0.749401,0.749401,0.0,0.0,0,True,0.665598,0.664945,0.0,5.0,,0
a1.router@good5,h16,a1_residual,2026-07-21,25,0.749572,0.749572,0.0,0.0,17,False,0.742921,0.735907,0.0,5.0,,0
a1.router@loco5,c46,a1_residual,2026-07-22,24,0.758352,0.758352,0.0,0.0,0,True,0.686024,0.6852,0.0,5.0,,0
a1.router@minres,c46,a1_residual,2026-07-22,25,0.685079,0.685079,0.0,0.0,0,True,0.680141,0.674427,0.88,3.12,,0
a2.dufs,c46,a2_groupfs,2026-07-24,25,0.750186,0.750186,0.0,0.0,0,True,0.7433,0.741517,0.0,18.96,,0
a2.dufs,h16,a2_groupfs,2026-07-21,25,0.682791,0.682791,0.0,0.0,18,False,0.682688,0.68524,0.0,10.76,,0
a2.dufs_pf,c46,a2_groupfs,2026-07-24,25,0.750739,0.750739,0.0,0.0,0,True,0.741457,0.743055,0.0,16.88,,0
a2.select,c46,a2_groupfs,2026-07-24,25,0.748148,0.748148,0.0,0.0,0,True,0.747649,0.748121,0.0,20.16,,0
a2.select,h16,a2_groupfs,2026-07-21,25,0.678598,0.678598,0.0,0.0,18,False,0.680041,0.682184,0.0,12.0,,0
a3.cae_k5,c46,a3_concrete_ae,2026-07-22,25,0.71316,0.71316,0.0,0.0,0,True,0.70795,0.703334,0.0,5.0,,0
a3.cae_k5,h16,a3_concrete_ae,2026-07-21,25,0.690171,0.690171,0.0,0.0,19,False,0.677702,0.68014,0.0,5.0,,0
a3.cae_k6,c46,a3_concrete_ae,2026-07-22,25,0.690953,0.690953,0.0,0.0,0,True,0.683336,0.695545,0.0,6.0,,0
a3.cae_k6,h16,a3_concrete_ae,2026-07-21,25,0.681694,0.681694,-0.0,0.0,19,False,0.666177,0.679252,0.0,6.0,,0
a3.cae_k7,c46,a3_concrete_ae,2026-07-22,25,0.718904,0.718904,0.0,0.0,0,True,0.708431,0.705271,0.0,7.0,,0
a3.cae_k7,h16,a3_concrete_ae,2026-07-21,25,0.688508,0.688508,0.0,0.0,18,False,0.684664,0.686708,0.0,7.0,,0
a3.cae_k8,c46,a3_concrete_ae,2026-07-22,25,0.718691,0.718691,0.0,0.0,0,True,0.712596,0.711596,0.0,8.0,,0
a3.cae_k8,h16,a3_concrete_ae,2026-07-21,25,0.697696,0.697696,0.0,0.0,18,False,0.689496,0.685081,0.0,8.0,,0
a4.anchor_adapt,c46,a4_antigravity,2026-07-23,25,0.73656,0.73656,0.0,0.0,0,True,0.73642,0.736586,0.0,8.0,,0
a4.anchor_s4,c46,a4_antigravity,2026-07-23,25,0.732584,0.732584,0.0,0.0,0,True,0.732637,0.732629,0.0,4.0,,0
a4.anchor_s5,c46,a4_antigravity,2026-07-23,25,0.734607,0.734607,0.0,0.0,0,True,0.73442,0.734607,0.0,5.0,,0
a4.anchor_s5,h16,a4_antigravity,2026-07-21,25,0.736308,0.736308,0.0,0.0,18,False,0.738333,0.73567,0.0,5.0,,0
a4.anchor_s6,c46,a4_antigravity,2026-07-23,25,0.735526,0.735526,0.0,0.0,0,True,0.73548,0.735571,0.0,6.0,,0
a4.anchor_s6,h16,a4_antigravity,2026-07-21,25,0.734553,0.734553,-0.0,0.0,18,False,0.736842,0.734646,0.0,6.0,,0
a4.good5+K_intrinsic_ah,c46,a4_antigravity,2026-07-23,25,0.741349,0.741349,0.0,0.0,0,True,0.741349,0.741349,0.0,5.0,K-rule variant: stored K re-applied,0
a4.good5+K_intrinsic_ah,h16,a4_antigravity,2026-07-21,25,0.741349,0.741349,0.0,0.0,0,True,0.741349,0.741349,0.0,5.0,K-rule variant: stored K re-applied,0
a4.good5+K_intrinsic_kn,c46,a4_antigravity,2026-07-23,25,0.747209,0.747209,0.0,0.0,0,True,0.747209,0.747209,0.0,5.0,K-rule variant: stored K re-applied,0
a4.good5+K_intrinsic_kn,h16,a4_antigravity,2026-07-21,25,0.747209,0.747209,0.0,0.0,0,True,0.747209,0.747209,0.0,5.0,K-rule variant: stored K re-applied,0
a4.intrinsic_k_ah,c46,a4_antigravity,2026-07-23,25,0.733009,0.733009,0.0,0.0,0,True,0.732733,0.733072,0.0,4.2,K-rule variant: stored K re-applied,0
a4.recon_s5,c46,a4_antigravity,2026-07-23,25,0.712352,0.712352,0.0,0.0,0,True,0.692471,0.698237,0.0,5.0,,0
a4.recon_s5,h16,a4_antigravity,2026-07-21,25,0.674912,0.674912,-0.0,0.0,19,False,0.66956,0.675566,0.0,5.0,,0
a4.recon_s6,c46,a4_antigravity,2026-07-23,25,0.715147,0.715147,0.0,0.0,0,True,0.700749,0.70041,0.0,6.0,,0
a4.recon_s6,h16,a4_antigravity,2026-07-21,25,0.669848,0.669848,0.0,0.0,18,False,0.657631,0.659901,0.0,6.0,,0
a5.mrmr_a0.0_adapt,c46,a5_mrmr,2026-07-23,25,0.73656,0.73656,0.0,0.0,0,True,0.73642,0.736586,0.0,8.0,,0
a5.mrmr_a0.0_adapt,h16,a5_mrmr,2026-07-21,25,0.721703,0.721703,0.0,0.0,18,False,0.723758,0.722487,0.0,8.0,,0
a5.mrmr_a0.0_s4,c46,a5_mrmr,2026-07-23,25,0.732584,0.732584,0.0,0.0,0,True,0.732637,0.732652,0.0,4.0,,0
a5.mrmr_a0.0_s5,c46,a5_mrmr,2026-07-23,25,0.734607,0.734607,0.0,0.0,0,True,0.73442,0.734607,0.0,5.0,,0
a5.mrmr_a0.0_s5,h16,a5_mrmr,2026-07-21,25,0.736308,0.736308,0.0,0.0,18,False,0.738333,0.73567,0.0,5.0,,0
a5.mrmr_a0.0_s6,c46,a5_mrmr,2026-07-23,25,0.735526,0.735526,0.0,0.0,0,True,0.73548,0.735571,0.0,6.0,,0
a5.mrmr_a0.0_s6,h16,a5_mrmr,2026-07-21,25,0.734553,0.734553,-0.0,0.0,18,False,0.736842,0.734646,0.0,6.0,,0
a5.mrmr_a0.3_adapt,c46,a5_mrmr,2026-07-23,25,0.73656,0.73656,0.0,0.0,0,True,0.73642,0.736586,0.0,8.0,,0
a5.mrmr_a0.3_s4,c46,a5_mrmr,2026-07-23,25,0.732584,0.732584,0.0,0.0,0,True,0.732637,0.732652,0.0,4.0,,0
a5.mrmr_a0.3_s5,c46,a5_mrmr,2026-07-23,25,0.734676,0.734676,0.0,0.0,0,True,0.734552,0.734676,0.0,5.0,,0
a5.mrmr_a0.3_s5,h16,a5_mrmr,2026-07-21,25,0.735791,0.735791,0.0,0.0,18,False,0.738541,0.734739,0.0,5.0,,0
a5.mrmr_a0.3_s6,c46,a5_mrmr,2026-07-23,25,0.735451,0.735451,0.0,0.0,0,True,0.735443,0.735479,0.0,6.0,,0
a5.mrmr_a0.3_s6,h16,a5_mrmr,2026-07-21,25,0.730689,0.730689,-0.0,0.0,17,False,0.734867,0.729535,0.0,6.0,,0
