domain,cell_key,feature,auroc
gpqa,Llama-8B_T1.0,spectral_entropy,51.7%
gpqa,Llama-8B_T1.0,low_band_power,55.5%
gpqa,Llama-8B_T1.0,high_band_power,55.3%
gpqa,Llama-8B_T1.0,hl_ratio,55.6%
gpqa,Llama-8B_T1.0,dominant_freq,52.4%
gpqa,Llama-8B_T1.0,spectral_centroid,55.5%
gpqa,Llama-8B_T1.0,stft_max_high_power,54.9%
gpqa,Llama-8B_T1.0,stft_spectral_entropy,54.8%
gpqa,Llama-8B_T1.0,rpdi,50.7%
gpqa,Llama-8B_T1.0,sw_var_peak,51.1%
gpqa,Llama-8B_T1.0,pe_mean,50.0%
gpqa,Llama-8B_T1.0,hurst_exponent,50.1%
gpqa,Llama-8B_T1.0,cusum_max,52.1%
gpqa,Llama-8B_T1.0,cusum_shift_idx,51.6%
gpqa,Qwen-7B_T1.0,epr,54.7%
gpqa,Qwen-7B_T1.0,trace_length,54.8%
gpqa,Qwen-7B_T1.0,spectral_entropy,50.4%
gpqa,Qwen-7B_T1.0,low_band_power,56.8%
gpqa,Qwen-7B_T1.0,high_band_power,57.6%
gpqa,Qwen-7B_T1.0,hl_ratio,57.4%
gpqa,Qwen-7B_T1.0,dominant_freq,54.2%
gpqa,Qwen-7B_T1.0,spectral_centroid,58.3%
gpqa,Qwen-7B_T1.0,stft_max_high_power,51.0%
gpqa,Qwen-7B_T1.0,stft_spectral_entropy,56.3%
gpqa,Qwen-7B_T1.0,rpdi,56.9%
gpqa,Qwen-7B_T1.0,sw_var_peak,51.9%
gpqa,Qwen-7B_T1.0,pe_mean,55.1%
gpqa,Qwen-7B_T1.0,hurst_exponent,52.8%
gpqa,Qwen-7B_T1.0,cusum_max,55.9%
gpqa,Qwen-7B_T1.0,cusum_shift_idx,54.8%
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,epr,54.9%
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,trace_length,50.0%
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,spectral_entropy,56.1%
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,low_band_power,51.0%
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,high_band_power,55.0%
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,hl_ratio,53.0%
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,dominant_freq,51.5%
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,spectral_centroid,53.6%
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,stft_max_high_power,55.2%
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,stft_spectral_entropy,53.9%
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,rpdi,59.2%
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,sw_var_peak,54.4%
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,pe_mean,58.5%
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,hurst_exponent,55.5%
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,cusum_max,57.6%
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,cusum_shift_idx,52.3%
gpqa,Mistral-7B_T1.0,epr,55.6%
gpqa,Mistral-7B_T1.0,trace_length,60.3%
gpqa,Mistral-7B_T1.0,spectral_entropy,60.5%
gpqa,Mistral-7B_T1.0,low_band_power,54.1%
gpqa,Mistral-7B_T1.0,high_band_power,50.0%
gpqa,Mistral-7B_T1.0,hl_ratio,52.0%
gpqa,Mistral-7B_T1.0,dominant_freq,59.3%
gpqa,Mistral-7B_T1.0,spectral_centroid,53.7%
gpqa,Mistral-7B_T1.0,stft_max_high_power,60.2%
gpqa,Mistral-7B_T1.0,stft_spectral_entropy,53.9%
gpqa,Mistral-7B_T1.0,rpdi,58.5%
gpqa,Mistral-7B_T1.0,sw_var_peak,52.8%
gpqa,Mistral-7B_T1.0,pe_mean,51.4%
gpqa,Mistral-7B_T1.0,hurst_exponent,51.6%
gpqa,Mistral-7B_T1.0,cusum_max,59.8%
gpqa,Mistral-7B_T1.0,cusum_shift_idx,56.3%
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,epr,55.1%
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,trace_length,64.8%
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,spectral_entropy,63.9%
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,low_band_power,52.5%
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,high_band_power,50.4%
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,hl_ratio,51.9%
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,dominant_freq,59.1%
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,spectral_centroid,51.2%
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,stft_max_high_power,52.8%
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,stft_spectral_entropy,60.5%
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,rpdi,59.6%
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,sw_var_peak,55.2%
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,pe_mean,56.5%
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,hurst_exponent,62.7%
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,cusum_max,61.1%
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,cusum_shift_idx,53.7%
rag,Qwen-7B/hotpotqa,epr,58.3%
rag,Qwen-7B/hotpotqa,trace_length,66.8%
rag,Qwen-7B/hotpotqa,spectral_entropy,66.8%
rag,Qwen-7B/hotpotqa,low_band_power,56.8%
rag,Qwen-7B/hotpotqa,high_band_power,57.7%
rag,Qwen-7B/hotpotqa,hl_ratio,51.3%
rag,Qwen-7B/hotpotqa,dominant_freq,58.5%
rag,Qwen-7B/hotpotqa,spectral_centroid,51.3%
rag,Qwen-7B/hotpotqa,stft_max_high_power,78.3%
rag,Qwen-7B/hotpotqa,stft_spectral_entropy,60.9%
rag,Qwen-7B/hotpotqa,rpdi,61.4%
rag,Qwen-7B/hotpotqa,sw_var_peak,53.1%
rag,Qwen-7B/hotpotqa,pe_mean,52.5%
rag,Qwen-7B/hotpotqa,hurst_exponent,52.5%
rag,Qwen-7B/hotpotqa,cusum_max,62.1%
rag,Qwen-7B/hotpotqa,cusum_shift_idx,60.8%
rag,Qwen-7B/natural-questions,epr,58.5%
rag,Qwen-7B/natural-questions,trace_length,69.1%
rag,Qwen-7B/natural-questions,spectral_entropy,64.2%
rag,Qwen-7B/natural-questions,low_band_power,61.8%
rag,Qwen-7B/natural-questions,high_band_power,57.3%
rag,Qwen-7B/natural-questions,hl_ratio,52.9%
rag,Qwen-7B/natural-questions,dominant_freq,50.8%
rag,Qwen-7B/natural-questions,spectral_centroid,52.5%
rag,Qwen-7B/natural-questions,stft_max_high_power,70.3%
rag,Qwen-7B/natural-questions,stft_spectral_entropy,60.1%
rag,Qwen-7B/natural-questions,rpdi,51.2%
rag,Qwen-7B/natural-questions,sw_var_peak,62.1%
rag,Qwen-7B/natural-questions,pe_mean,53.8%
rag,Qwen-7B/natural-questions,hurst_exponent,64.7%
rag,Qwen-7B/natural-questions,cusum_max,64.5%
rag,Qwen-7B/natural-questions,cusum_shift_idx,58.4%
rag,Qwen-7B/2wikimultihopqa,epr,57.1%
rag,Qwen-7B/2wikimultihopqa,trace_length,61.8%
rag,Qwen-7B/2wikimultihopqa,spectral_entropy,64.6%
rag,Qwen-7B/2wikimultihopqa,low_band_power,70.4%
rag,Qwen-7B/2wikimultihopqa,high_band_power,53.7%
rag,Qwen-7B/2wikimultihopqa,hl_ratio,61.8%
rag,Qwen-7B/2wikimultihopqa,dominant_freq,61.3%
rag,Qwen-7B/2wikimultihopqa,spectral_centroid,55.5%
rag,Qwen-7B/2wikimultihopqa,stft_max_high_power,62.4%
rag,Qwen-7B/2wikimultihopqa,stft_spectral_entropy,65.1%
rag,Qwen-7B/2wikimultihopqa,rpdi,59.9%
rag,Qwen-7B/2wikimultihopqa,sw_var_peak,54.1%
rag,Qwen-7B/2wikimultihopqa,pe_mean,57.2%
rag,Qwen-7B/2wikimultihopqa,hurst_exponent,54.3%
rag,Qwen-7B/2wikimultihopqa,cusum_max,52.5%
rag,Qwen-7B/2wikimultihopqa,cusum_shift_idx,57.4%
rag,Qwen-7B/narrativeqa,epr,67.6%
rag,Qwen-7B/narrativeqa,trace_length,59.1%
rag,Qwen-7B/narrativeqa,spectral_entropy,61.2%
rag,Qwen-7B/narrativeqa,low_band_power,55.8%
rag,Qwen-7B/narrativeqa,high_band_power,61.3%
rag,Qwen-7B/narrativeqa,hl_ratio,61.0%
rag,Qwen-7B/narrativeqa,dominant_freq,55.1%
rag,Qwen-7B/narrativeqa,spectral_centroid,58.5%
rag,Qwen-7B/narrativeqa,stft_max_high_power,61.0%
rag,Qwen-7B/narrativeqa,stft_spectral_entropy,58.2%
rag,Qwen-7B/narrativeqa,rpdi,53.5%
rag,Qwen-7B/narrativeqa,sw_var_peak,68.6%
rag,Qwen-7B/narrativeqa,pe_mean,65.4%
rag,Qwen-7B/narrativeqa,hurst_exponent,50.5%
rag,Qwen-7B/narrativeqa,cusum_max,61.4%
rag,Qwen-7B/narrativeqa,cusum_shift_idx,58.8%
rag,Mistral-24B/hotpotqa,epr,58.5%
rag,Mistral-24B/hotpotqa,trace_length,60.2%
rag,Mistral-24B/hotpotqa,spectral_entropy,56.5%
rag,Mistral-24B/hotpotqa,low_band_power,58.9%
rag,Mistral-24B/hotpotqa,high_band_power,52.2%
rag,Mistral-24B/hotpotqa,hl_ratio,56.4%
rag,Mistral-24B/hotpotqa,dominant_freq,61.9%
rag,Mistral-24B/hotpotqa,spectral_centroid,59.9%
rag,Mistral-24B/hotpotqa,stft_max_high_power,57.3%
rag,Mistral-24B/hotpotqa,stft_spectral_entropy,57.1%
rag,Mistral-24B/hotpotqa,rpdi,57.1%
rag,Mistral-24B/hotpotqa,sw_var_peak,59.1%
rag,Mistral-24B/hotpotqa,pe_mean,54.2%
rag,Mistral-24B/hotpotqa,hurst_exponent,66.7%
rag,Mistral-24B/hotpotqa,cusum_max,64.9%
rag,Mistral-24B/hotpotqa,cusum_shift_idx,67.0%
rag,Mistral-24B/natural-questions,epr,52.4%
rag,Mistral-24B/natural-questions,trace_length,66.3%
rag,Mistral-24B/natural-questions,spectral_entropy,66.0%
rag,Mistral-24B/natural-questions,low_band_power,66.0%
rag,Mistral-24B/natural-questions,high_band_power,68.6%
rag,Mistral-24B/natural-questions,hl_ratio,54.0%
rag,Mistral-24B/natural-questions,dominant_freq,63.0%
rag,Mistral-24B/natural-questions,spectral_centroid,51.4%
rag,Mistral-24B/natural-questions,stft_max_high_power,57.0%
rag,Mistral-24B/natural-questions,stft_spectral_entropy,63.0%
rag,Mistral-24B/natural-questions,rpdi,67.3%
rag,Mistral-24B/natural-questions,sw_var_peak,52.4%
rag,Mistral-24B/natural-questions,pe_mean,57.5%
rag,Mistral-24B/natural-questions,hurst_exponent,62.2%
rag,Mistral-24B/natural-questions,cusum_max,63.2%
rag,Mistral-24B/natural-questions,cusum_shift_idx,59.2%
rag,Mistral-24B/2wikimultihopqa,epr,57.3%
rag,Mistral-24B/2wikimultihopqa,trace_length,50.3%
rag,Mistral-24B/2wikimultihopqa,spectral_entropy,52.5%
rag,Mistral-24B/2wikimultihopqa,low_band_power,65.4%
rag,Mistral-24B/2wikimultihopqa,high_band_power,54.2%
rag,Mistral-24B/2wikimultihopqa,hl_ratio,65.4%
rag,Mistral-24B/2wikimultihopqa,dominant_freq,57.3%
rag,Mistral-24B/2wikimultihopqa,spectral_centroid,62.1%
rag,Mistral-24B/2wikimultihopqa,stft_max_high_power,53.3%
rag,Mistral-24B/2wikimultihopqa,stft_spectral_entropy,55.8%
rag,Mistral-24B/2wikimultihopqa,rpdi,62.3%
rag,Mistral-24B/2wikimultihopqa,sw_var_peak,55.2%
rag,Mistral-24B/2wikimultihopqa,pe_mean,64.2%
rag,Mistral-24B/2wikimultihopqa,hurst_exponent,55.6%
rag,Mistral-24B/2wikimultihopqa,cusum_max,51.5%
rag,Mistral-24B/2wikimultihopqa,cusum_shift_idx,59.4%
rag,Mistral-24B/narrativeqa,epr,66.0%
rag,Mistral-24B/narrativeqa,trace_length,62.9%
rag,Mistral-24B/narrativeqa,spectral_entropy,62.8%
rag,Mistral-24B/narrativeqa,low_band_power,50.0%
rag,Mistral-24B/narrativeqa,high_band_power,50.6%
rag,Mistral-24B/narrativeqa,hl_ratio,51.6%
rag,Mistral-24B/narrativeqa,dominant_freq,51.4%
rag,Mistral-24B/narrativeqa,spectral_centroid,51.6%
rag,Mistral-24B/narrativeqa,stft_max_high_power,53.4%
rag,Mistral-24B/narrativeqa,stft_spectral_entropy,54.0%
rag,Mistral-24B/narrativeqa,rpdi,54.1%
rag,Mistral-24B/narrativeqa,sw_var_peak,57.5%
rag,Mistral-24B/narrativeqa,pe_mean,53.5%
rag,Mistral-24B/narrativeqa,hurst_exponent,50.9%
rag,Mistral-24B/narrativeqa,cusum_max,60.8%
rag,Mistral-24B/narrativeqa,cusum_shift_idx,57.6%
rag,Qwen-72B/hotpotqa,epr,65.2%
rag,Qwen-72B/hotpotqa,trace_length,72.3%
rag,Qwen-72B/hotpotqa,spectral_entropy,72.8%
rag,Qwen-72B/hotpotqa,low_band_power,68.5%
rag,Qwen-72B/hotpotqa,high_band_power,58.2%
rag,Qwen-72B/hotpotqa,hl_ratio,52.2%
rag,Qwen-72B/hotpotqa,dominant_freq,50.6%
rag,Qwen-72B/hotpotqa,spectral_centroid,51.3%
rag,Qwen-72B/hotpotqa,stft_max_high_power,73.3%
rag,Qwen-72B/hotpotqa,stft_spectral_entropy,68.9%
rag,Qwen-72B/hotpotqa,rpdi,66.4%
rag,Qwen-72B/hotpotqa,sw_var_peak,66.6%
rag,Qwen-72B/hotpotqa,pe_mean,62.7%
rag,Qwen-72B/hotpotqa,hurst_exponent,55.5%
rag,Qwen-72B/hotpotqa,cusum_max,73.0%
rag,Qwen-72B/hotpotqa,cusum_shift_idx,65.0%
rag,Qwen-72B/natural-questions,epr,62.5%
rag,Qwen-72B/natural-questions,trace_length,58.1%
rag,Qwen-72B/natural-questions,spectral_entropy,52.3%
rag,Qwen-72B/natural-questions,low_band_power,59.0%
rag,Qwen-72B/natural-questions,high_band_power,50.2%
rag,Qwen-72B/natural-questions,hl_ratio,54.1%
rag,Qwen-72B/natural-questions,dominant_freq,55.8%
rag,Qwen-72B/natural-questions,spectral_centroid,52.9%
rag,Qwen-72B/natural-questions,stft_max_high_power,52.3%
rag,Qwen-72B/natural-questions,stft_spectral_entropy,53.6%
rag,Qwen-72B/natural-questions,rpdi,62.3%
rag,Qwen-72B/natural-questions,sw_var_peak,63.0%
rag,Qwen-72B/natural-questions,pe_mean,60.5%
rag,Qwen-72B/natural-questions,hurst_exponent,59.6%
rag,Qwen-72B/natural-questions,cusum_max,63.4%
rag,Qwen-72B/natural-questions,cusum_shift_idx,53.6%
rag,Qwen-72B/2wikimultihopqa,epr,53.6%
rag,Qwen-72B/2wikimultihopqa,trace_length,61.6%
rag,Qwen-72B/2wikimultihopqa,spectral_entropy,61.9%
rag,Qwen-72B/2wikimultihopqa,low_band_power,54.9%
rag,Qwen-72B/2wikimultihopqa,high_band_power,57.4%
rag,Qwen-72B/2wikimultihopqa,hl_ratio,55.3%
rag,Qwen-72B/2wikimultihopqa,dominant_freq,57.2%
rag,Qwen-72B/2wikimultihopqa,spectral_centroid,57.7%
rag,Qwen-72B/2wikimultihopqa,stft_max_high_power,57.9%
rag,Qwen-72B/2wikimultihopqa,stft_spectral_entropy,64.9%
rag,Qwen-72B/2wikimultihopqa,rpdi,68.2%
rag,Qwen-72B/2wikimultihopqa,sw_var_peak,51.6%
rag,Qwen-72B/2wikimultihopqa,pe_mean,51.9%
rag,Qwen-72B/2wikimultihopqa,hurst_exponent,52.4%
rag,Qwen-72B/2wikimultihopqa,cusum_max,51.6%
rag,Qwen-72B/2wikimultihopqa,cusum_shift_idx,57.9%
rag,Qwen-72B/narrativeqa,epr,65.0%
rag,Qwen-72B/narrativeqa,trace_length,53.1%
rag,Qwen-72B/narrativeqa,spectral_entropy,52.8%
rag,Qwen-72B/narrativeqa,low_band_power,54.0%
rag,Qwen-72B/narrativeqa,high_band_power,59.5%
rag,Qwen-72B/narrativeqa,hl_ratio,60.2%
rag,Qwen-72B/narrativeqa,dominant_freq,52.7%
rag,Qwen-72B/narrativeqa,spectral_centroid,60.5%
rag,Qwen-72B/narrativeqa,stft_max_high_power,54.4%
rag,Qwen-72B/narrativeqa,stft_spectral_entropy,52.4%
rag,Qwen-72B/narrativeqa,rpdi,52.1%
rag,Qwen-72B/narrativeqa,sw_var_peak,62.7%
rag,Qwen-72B/narrativeqa,pe_mean,67.8%
rag,Qwen-72B/narrativeqa,hurst_exponent,59.4%
rag,Qwen-72B/narrativeqa,cusum_max,59.2%
rag,Qwen-72B/narrativeqa,cusum_shift_idx,53.6%
rag,Llama-8B/hotpotqa,epr,87.7%
rag,Llama-8B/hotpotqa,trace_length,62.8%
rag,Llama-8B/hotpotqa,spectral_entropy,60.9%
rag,Llama-8B/hotpotqa,low_band_power,62.1%
rag,Llama-8B/hotpotqa,high_band_power,53.5%
rag,Llama-8B/hotpotqa,hl_ratio,58.1%
rag,Llama-8B/hotpotqa,dominant_freq,51.9%
rag,Llama-8B/hotpotqa,spectral_centroid,52.9%
rag,Llama-8B/hotpotqa,stft_max_high_power,61.4%
rag,Llama-8B/hotpotqa,stft_spectral_entropy,62.3%
rag,Llama-8B/hotpotqa,rpdi,63.4%
rag,Llama-8B/hotpotqa,sw_var_peak,74.0%
rag,Llama-8B/hotpotqa,pe_mean,83.6%
rag,Llama-8B/hotpotqa,hurst_exponent,50.6%
rag,Llama-8B/hotpotqa,cusum_max,68.0%
rag,Llama-8B/hotpotqa,cusum_shift_idx,69.2%
rag,Llama-8B/natural-questions,epr,51.1%
rag,Llama-8B/natural-questions,trace_length,62.1%
rag,Llama-8B/natural-questions,spectral_entropy,61.4%
rag,Llama-8B/natural-questions,low_band_power,63.5%
rag,Llama-8B/natural-questions,high_band_power,59.5%
rag,Llama-8B/natural-questions,hl_ratio,67.5%
rag,Llama-8B/natural-questions,dominant_freq,59.1%
rag,Llama-8B/natural-questions,spectral_centroid,51.7%
rag,Llama-8B/natural-questions,stft_max_high_power,52.0%
rag,Llama-8B/natural-questions,stft_spectral_entropy,54.5%
rag,Llama-8B/natural-questions,rpdi,51.8%
rag,Llama-8B/natural-questions,sw_var_peak,51.8%
rag,Llama-8B/natural-questions,pe_mean,61.0%
rag,Llama-8B/natural-questions,hurst_exponent,62.4%
rag,Llama-8B/natural-questions,cusum_max,64.8%
rag,Llama-8B/natural-questions,cusum_shift_idx,56.4%
rag,Llama-8B/2wikimultihopqa,epr,58.7%
rag,Llama-8B/2wikimultihopqa,trace_length,50.9%
rag,Llama-8B/2wikimultihopqa,spectral_entropy,50.4%
rag,Llama-8B/2wikimultihopqa,low_band_power,58.6%
rag,Llama-8B/2wikimultihopqa,high_band_power,51.2%
rag,Llama-8B/2wikimultihopqa,hl_ratio,54.5%
rag,Llama-8B/2wikimultihopqa,dominant_freq,50.0%
rag,Llama-8B/2wikimultihopqa,spectral_centroid,51.7%
rag,Llama-8B/2wikimultihopqa,stft_max_high_power,56.4%
rag,Llama-8B/2wikimultihopqa,stft_spectral_entropy,54.1%
rag,Llama-8B/2wikimultihopqa,rpdi,54.8%
rag,Llama-8B/2wikimultihopqa,sw_var_peak,62.1%
rag,Llama-8B/2wikimultihopqa,pe_mean,56.9%
rag,Llama-8B/2wikimultihopqa,hurst_exponent,51.8%
rag,Llama-8B/2wikimultihopqa,cusum_max,57.4%
rag,Llama-8B/2wikimultihopqa,cusum_shift_idx,62.9%
rag,Llama-8B/narrativeqa,epr,60.1%
rag,Llama-8B/narrativeqa,trace_length,53.4%
rag,Llama-8B/narrativeqa,spectral_entropy,54.2%
rag,Llama-8B/narrativeqa,low_band_power,50.2%
rag,Llama-8B/narrativeqa,high_band_power,57.6%
rag,Llama-8B/narrativeqa,hl_ratio,55.9%
rag,Llama-8B/narrativeqa,dominant_freq,51.9%
rag,Llama-8B/narrativeqa,spectral_centroid,56.0%
rag,Llama-8B/narrativeqa,stft_max_high_power,53.6%
rag,Llama-8B/narrativeqa,stft_spectral_entropy,54.6%
rag,Llama-8B/narrativeqa,rpdi,59.8%
rag,Llama-8B/narrativeqa,sw_var_peak,56.6%
rag,Llama-8B/narrativeqa,pe_mean,59.3%
rag,Llama-8B/narrativeqa,hurst_exponent,50.4%
rag,Llama-8B/narrativeqa,cusum_max,55.6%
rag,Llama-8B/narrativeqa,cusum_shift_idx,60.1%
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,epr,84.0%
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,trace_length,94.0%
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,spectral_entropy,78.0%
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,low_band_power,92.0%
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,high_band_power,56.0%
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,hl_ratio,96.0%
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,dominant_freq,64.0%
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,spectral_centroid,52.0%
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,stft_max_high_power,51.0%
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,stft_spectral_entropy,51.0%
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,rpdi,63.0%
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,sw_var_peak,84.0%
qa,spectral_phase9_cache_trivia_qa_traces_T1.0,pe_mean,75.0%
