held_family,fit_seed,feature,weight,kind
sciq,ensemble,mean_top1_logprob,0.07939166443244465,ensemble
sciq,ensemble,min_energy,0.0635457732388634,ensemble
sciq,ensemble,renyi_entropy_2,0.08122900976689738,ensemble
sciq,ensemble,sw_var_peak,0.06876882822220985,ensemble
sciq,ensemble,sw_var_peak_energy,0.020760178885689397,ensemble
sciq,ensemble,sw_var_peak_spilled,0.04662513707627911,ensemble
sciq,ensemble,topk_tail_mass,0.06428663476462239,ensemble
sciq,ensemble,varentropy,0.08834100123586282,ensemble
nq_open,17,cusum_max,0.034524150905165474,seed
nq_open,17,cusum_max_energy,0.01814977611316603,seed
nq_open,17,cusum_max_spilled,0.03561005510954685,seed
nq_open,17,epr,0.08458626811498698,seed
nq_open,17,epr_energy,0.066151696644786,seed
nq_open,17,epr_spilled,0.07553853732984729,seed
nq_open,17,logprob_margin,0.08169089220491843,seed
nq_open,17,mean_logprob_entropy,0.08435021590842107,seed
nq_open,17,mean_top1_logprob,0.07956613267945024,seed
nq_open,17,min_energy,0.05333266210302967,seed
nq_open,17,renyi_entropy_2,0.08101279099137919,seed
nq_open,17,sw_var_peak,0.06157817618891347,seed
nq_open,17,sw_var_peak_energy,0.03741454166692424,seed
nq_open,17,sw_var_peak_spilled,0.04649278879943283,seed
nq_open,17,topk_tail_mass,0.06940580094637232,seed
nq_open,17,varentropy,0.09059551429365979,seed
nq_open,29,cusum_max,0.03854541881113774,seed
nq_open,29,cusum_max_energy,0.019801810377073084,seed
nq_open,29,cusum_max_spilled,0.03747868325214249,seed
nq_open,29,epr,0.08450607734475278,seed
nq_open,29,epr_energy,0.07008548421949848,seed
nq_open,29,epr_spilled,0.0736309326818195,seed
nq_open,29,logprob_margin,0.08312917579613217,seed
nq_open,29,mean_logprob_entropy,0.08403907212963416,seed
nq_open,29,mean_top1_logprob,0.07901542807659022,seed
nq_open,29,min_energy,0.057972639777893985,seed
nq_open,29,renyi_entropy_2,0.08084003987714815,seed
nq_open,29,sw_var_peak,0.0632458326809577,seed
nq_open,29,sw_var_peak_energy,0.03151298902865486,seed
nq_open,29,sw_var_peak_spilled,0.042195389038115094,seed
nq_open,29,topk_tail_mass,0.06545044317438696,seed
nq_open,29,varentropy,0.08855058373406266,seed
nq_open,43,cusum_max,0.040826210436899525,seed
nq_open,43,cusum_max_energy,0.022814696281583557,seed
nq_open,43,cusum_max_spilled,0.04004269885889825,seed
nq_open,43,epr,0.0825824678789194,seed
nq_open,43,epr_energy,0.07103503015112668,seed
nq_open,43,epr_spilled,0.07326055087602844,seed
nq_open,43,logprob_margin,0.074746613608559,seed
nq_open,43,mean_logprob_entropy,0.08237806812746197,seed
nq_open,43,mean_top1_logprob,0.07821371451799564,seed
nq_open,43,min_energy,0.062190075759370765,seed
nq_open,43,renyi_entropy_2,0.07982830909047485,seed
nq_open,43,sw_var_peak,0.06418546869612565,seed
nq_open,43,sw_var_peak_energy,0.031612451990477484,seed
nq_open,43,sw_var_peak_spilled,0.04444468160144101,seed
nq_open,43,topk_tail_mass,0.06683766593643954,seed
nq_open,43,varentropy,0.08500129618819825,seed
nq_open,ensemble,cusum_max,0.037965260051067574,ensemble
nq_open,ensemble,cusum_max_energy,0.02025542759060756,ensemble
nq_open,ensemble,cusum_max_spilled,0.0377104790735292,ensemble
nq_open,ensemble,epr,0.08389160444621972,ensemble
nq_open,ensemble,epr_energy,0.06909073700513706,ensemble
nq_open,ensemble,epr_spilled,0.07414334029589842,ensemble
nq_open,ensemble,logprob_margin,0.07985556053653653,ensemble
nq_open,ensemble,mean_logprob_entropy,0.08358911872183906,ensemble
nq_open,ensemble,mean_top1_logprob,0.0789317584246787,ensemble
nq_open,ensemble,min_energy,0.057831792546764814,ensemble
nq_open,ensemble,renyi_entropy_2,0.08056037998633407,ensemble
nq_open,ensemble,sw_var_peak,0.0630031591886656,ensemble
nq_open,ensemble,sw_var_peak_energy,0.033513327562018864,ensemble
nq_open,ensemble,sw_var_peak_spilled,0.044377619812996316,ensemble
nq_open,ensemble,topk_tail_mass,0.06723130335239962,ensemble
nq_open,ensemble,varentropy,0.0880491314053069,ensemble
squad_v2,17,cusum_max,0.033024945750721194,seed
squad_v2,17,cusum_max_energy,0.013062238641204317,seed
squad_v2,17,cusum_max_spilled,0.03626591499554565,seed
squad_v2,17,epr,0.084876412624662,seed
squad_v2,17,epr_energy,0.06868500195680323,seed
squad_v2,17,epr_spilled,0.07641938242465898,seed
squad_v2,17,logprob_margin,0.08437182488184476,seed
squad_v2,17,mean_logprob_entropy,0.08518012452804662,seed
squad_v2,17,mean_top1_logprob,0.08002372748847592,seed
squad_v2,17,min_energy,0.060651418601558836,seed
squad_v2,17,renyi_entropy_2,0.08177058297458142,seed
squad_v2,17,sw_var_peak,0.06925743743822868,seed
squad_v2,17,sw_var_peak_energy,0.020091853015748645,seed
squad_v2,17,sw_var_peak_spilled,0.04974337216771806,seed
squad_v2,17,topk_tail_mass,0.06571965695890163,seed
squad_v2,17,varentropy,0.09085610555130016,seed
squad_v2,29,cusum_max,0.03634016006850338,seed
squad_v2,29,cusum_max_energy,0.015238390373631663,seed
squad_v2,29,cusum_max_spilled,0.03758190324109288,seed
squad_v2,29,epr,0.08577832442240488,seed
squad_v2,29,epr_energy,0.06922534467664032,seed
squad_v2,29,epr_spilled,0.07531062277580257,seed
squad_v2,29,logprob_margin,0.08311120294857247,seed
squad_v2,29,mean_logprob_entropy,0.08553528492452682,seed
squad_v2,29,mean_top1_logprob,0.0804786804550546,seed
squad_v2,29,min_energy,0.05838950604599762,seed
squad_v2,29,renyi_entropy_2,0.0823422714480703,seed
squad_v2,29,sw_var_peak,0.06765793378946833,seed
squad_v2,29,sw_var_peak_energy,0.02180791796408875,seed
squad_v2,29,sw_var_peak_spilled,0.04487212719808487,seed
squad_v2,29,topk_tail_mass,0.06641158189748826,seed
squad_v2,29,varentropy,0.08991874777057232,seed
squad_v2,43,cusum_max,0.039249643865622484,seed
squad_v2,43,cusum_max_energy,0.020039856729351695,seed
squad_v2,43,cusum_max_spilled,0.040232145893135784,seed
squad_v2,43,epr,0.08363370480620462,seed
squad_v2,43,epr_energy,0.0694832136438738,seed
squad_v2,43,epr_spilled,0.07459955692400032,seed
squad_v2,43,logprob_margin,0.07399891761873881,seed
squad_v2,43,mean_logprob_entropy,0.08353047245734803,seed
squad_v2,43,mean_top1_logprob,0.07941330143899834,seed
squad_v2,43,min_energy,0.06067457213900419,seed
squad_v2,43,renyi_entropy_2,0.08099658895098244,seed
squad_v2,43,sw_var_peak,0.06654746026812997,seed
squad_v2,43,sw_var_peak_energy,0.026439783491867368,seed
squad_v2,43,sw_var_peak_spilled,0.04626937127504953,seed
squad_v2,43,topk_tail_mass,0.06871410571229558,seed
squad_v2,43,varentropy,0.08617730478539715,seed
squad_v2,ensemble,cusum_max,0.03620491656161568,ensemble
squad_v2,ensemble,cusum_max_energy,0.01611349524806256,ensemble
squad_v2,ensemble,cusum_max_spilled,0.03802665470992477,ensemble
squad_v2,ensemble,epr,0.08476281395109049,ensemble
squad_v2,ensemble,epr_energy,0.06913118675910578,ensemble
squad_v2,ensemble,epr_spilled,0.07544318737482063,ensemble
squad_v2,ensemble,logprob_margin,0.08049398181638535,ensemble
squad_v2,ensemble,mean_logprob_entropy,0.08474862730330716,ensemble
squad_v2,ensemble,mean_top1_logprob,0.07997190312750962,ensemble
squad_v2,ensemble,min_energy,0.05990516559552022,ensemble
squad_v2,ensemble,renyi_entropy_2,0.08170314779121139,ensemble
squad_v2,ensemble,sw_var_peak,0.06782094383194233,ensemble
squad_v2,ensemble,sw_var_peak_energy,0.022779851490568253,ensemble
squad_v2,ensemble,sw_var_peak_spilled,0.046961623546950826,ensemble
squad_v2,ensemble,topk_tail_mass,0.06694844818956182,ensemble
squad_v2,ensemble,varentropy,0.08898405270242321,ensemble
truthfulqa,17,cusum_max,0.036713015208554356,seed
truthfulqa,17,cusum_max_energy,0.01230289346496836,seed
truthfulqa,17,cusum_max_spilled,0.03741585917519269,seed
truthfulqa,17,epr,0.08461517210987392,seed
truthfulqa,17,epr_energy,0.06917224529308218,seed
truthfulqa,17,epr_spilled,0.07474517797519187,seed
truthfulqa,17,logprob_margin,0.08552680056871377,seed
truthfulqa,17,mean_logprob_entropy,0.08473683498831083,seed
truthfulqa,17,mean_top1_logprob,0.07915915969373184,seed
truthfulqa,17,min_energy,0.06375374316205555,seed
truthfulqa,17,renyi_entropy_2,0.08121302241854084,seed
truthfulqa,17,sw_var_peak,0.06907722496366908,seed
truthfulqa,17,sw_var_peak_energy,0.02075326460440155,seed
truthfulqa,17,sw_var_peak_spilled,0.04766140620584722,seed
truthfulqa,17,topk_tail_mass,0.06352994614581471,seed
truthfulqa,17,varentropy,0.08962423402205118,seed
truthfulqa,29,cusum_max,0.03742704683062179,seed
truthfulqa,29,cusum_max_energy,0.014909178764716265,seed
truthfulqa,29,cusum_max_spilled,0.03747794637713218,seed
truthfulqa,29,epr,0.08500452700695767,seed
truthfulqa,29,epr_energy,0.07324335486165193,seed
truthfulqa,29,epr_spilled,0.07397562516729932,seed
truthfulqa,29,logprob_margin,0.08685752143721746,seed
truthfulqa,29,mean_logprob_entropy,0.08477705397577076,seed
truthfulqa,29,mean_top1_logprob,0.07987199494150027,seed
truthfulqa,29,min_energy,0.0619310348326114,seed
truthfulqa,29,renyi_entropy_2,0.08174613674749726,seed
truthfulqa,29,sw_var_peak,0.06659858512137556,seed
