held_family,cell,candidate,candidate_role,support_size,selected_features,graph_role,tie_seed,n,error_rate,graph_eligible,selected_k,largest_component_fraction,isolated_fraction,logistic_auroc,exact_eligible,crt_eligible,exact_effect,exact_z,exact_p,crt_effect,crt_z,crt_p,min_conditional_effect,fixed_k_positive_count,fixed_k_sensitivity,iu_auroc,liu_auroc,liu_delta_auroc
triviaqa,spilled_triviaqa_llama8b,equal_all,no_label_baseline,16,cusum_max|cusum_max_energy|cusum_max_spilled|epr|epr_energy|epr_spilled|logprob_margin|mean_logprob_entropy|mean_top1_logprob|min_energy|renyi_entropy_2|sw_var_peak|sw_var_peak_energy|sw_var_peak_spilled|topk_tail_mass|varentropy,linear_score_graph,211,256,0.9765625,True,5,1.0,0.0,0.9306666666666668,False,False,0.17247450341288695,3.1626051192661118,0.02,0.1882966629339365,6.355720915602313,0.005,nan,0,{},nan,nan,nan
triviaqa,spilled_triviaqa_llama8b,equal_all,no_label_baseline,16,cusum_max|cusum_max_energy|cusum_max_spilled|epr|epr_energy|epr_spilled|logprob_margin|mean_logprob_entropy|mean_top1_logprob|min_energy|renyi_entropy_2|sw_var_peak|sw_var_peak_energy|sw_var_peak_spilled|topk_tail_mass|varentropy,metric_graph,307,256,0.9765625,True,3,1.0,0.0,0.9306666666666668,False,False,0.014998464836246965,0.3534171124397169,0.28,0.024052831208021416,0.58888049274218,0.2,nan,0,"{""10"": {""healthy"": true, ""min_conditional_effect"": null, ""positive"": false}, ""15"": {""healthy"": true, ""min_conditional_effect"": null, ""positive"": false}, ""5"": {""healthy"": true, ""min_conditional_effect"": null, ""positive"": false}, ""7"": {""healthy"": true, ""min_conditional_effect"": null, ""positive"": false}}",0.8953333333333333,0.8933333333333333,-0.0020000000000000018
triviaqa,spilled_triviaqa_llama8b,equal_all,no_label_baseline,16,cusum_max|cusum_max_energy|cusum_max_spilled|epr|epr_energy|epr_spilled|logprob_margin|mean_logprob_entropy|mean_top1_logprob|min_energy|renyi_entropy_2|sw_var_peak|sw_var_peak_energy|sw_var_peak_spilled|topk_tail_mass|varentropy,linear_score_graph,307,256,0.9765625,True,5,1.0,0.0,0.9306666666666668,False,False,0.17247450341288695,3.1626051192661118,0.02,0.1882966629339365,6.355720915602313,0.005,nan,0,{},nan,nan,nan
triviaqa,epr_triviaqa_mistral24b,supervised_s5,supervised_metric,5,epr|logprob_margin|mean_logprob_entropy|renyi_entropy_2|varentropy,metric_graph,101,621,0.24476650563607086,True,3,0.9919484702093397,0.0,0.7363791942542924,True,True,0.13553783617144818,4.171921035104294,0.005,0.1408213276354527,4.428977514454074,0.005,0.13553783617144818,4,"{""10"": {""healthy"": true, ""min_conditional_effect"": 0.1145917155664213, ""positive"": true}, ""15"": {""healthy"": true, ""min_conditional_effect"": 0.11637164994125247, ""positive"": true}, ""5"": {""healthy"": true, ""min_conditional_effect"": 0.12541398580583676, ""positive"": true}, ""7"": {""healthy"": true, ""min_conditional_effect"": 0.11517651587741969, ""positive"": true}}",0.7439821568847493,0.7435332734822131,-0.0004488834025362376
triviaqa,epr_triviaqa_mistral24b,supervised_s5,supervised_metric,5,epr|logprob_margin|mean_logprob_entropy|renyi_entropy_2|varentropy,linear_score_graph,101,621,0.24476650563607086,True,15,1.0,0.0,0.7363791942542924,True,True,0.12373598650505735,7.62316990242688,0.005,0.12485554462977586,8.494086247654458,0.005,0.12373598650505735,0,{},nan,nan,nan
triviaqa,epr_triviaqa_mistral24b,supervised_s5,supervised_metric,5,epr|logprob_margin|mean_logprob_entropy|renyi_entropy_2|varentropy,metric_graph,211,621,0.24476650563607086,True,3,0.9919484702093397,0.0,0.7363791942542924,True,True,0.13553783617144818,4.171921035104294,0.005,0.1408213276354527,4.428977514454074,0.005,0.13553783617144818,4,"{""10"": {""healthy"": true, ""min_conditional_effect"": 0.1145917155664213, ""positive"": true}, ""15"": {""healthy"": true, ""min_conditional_effect"": 0.11637164994125247, ""positive"": true}, ""5"": {""healthy"": true, ""min_conditional_effect"": 0.12541398580583676, ""positive"": true}, ""7"": {""healthy"": true, ""min_conditional_effect"": 0.11517651587741969, ""positive"": true}}",0.7439821568847493,0.7435332734822131,-0.0004488834025362376
triviaqa,epr_triviaqa_mistral24b,supervised_s5,supervised_metric,5,epr|logprob_margin|mean_logprob_entropy|renyi_entropy_2|varentropy,linear_score_graph,211,621,0.24476650563607086,True,15,1.0,0.0,0.7363791942542924,True,True,0.12373598650505735,7.62316990242688,0.005,0.12485554462977586,8.494086247654458,0.005,0.12373598650505735,0,{},nan,nan,nan
triviaqa,epr_triviaqa_mistral24b,supervised_s5,supervised_metric,5,epr|logprob_margin|mean_logprob_entropy|renyi_entropy_2|varentropy,metric_graph,307,621,0.24476650563607086,True,3,0.9919484702093397,0.0,0.7363791942542924,True,True,0.13553783617144818,4.171921035104294,0.005,0.1408213276354527,4.428977514454074,0.005,0.13553783617144818,4,"{""10"": {""healthy"": true, ""min_conditional_effect"": 0.1145917155664213, ""positive"": true}, ""15"": {""healthy"": true, ""min_conditional_effect"": 0.11637164994125247, ""positive"": true}, ""5"": {""healthy"": true, ""min_conditional_effect"": 0.12541398580583676, ""positive"": true}, ""7"": {""healthy"": true, ""min_conditional_effect"": 0.11517651587741969, ""positive"": true}}",0.7439821568847493,0.7435332734822131,-0.0004488834025362376
triviaqa,epr_triviaqa_mistral24b,supervised_s5,supervised_metric,5,epr|logprob_margin|mean_logprob_entropy|renyi_entropy_2|varentropy,linear_score_graph,307,621,0.24476650563607086,True,15,1.0,0.0,0.7363791942542924,True,True,0.12373598650505735,7.62316990242688,0.005,0.12485554462977586,8.494086247654458,0.005,0.12373598650505735,0,{},nan,nan,nan
triviaqa,seiclr_triviaqa_opt30b,supervised_s5,supervised_metric,5,epr|logprob_margin|mean_logprob_entropy|renyi_entropy_2|varentropy,metric_graph,101,5000,0.5352,True,25,0.994,0.0,0.7391191125810095,True,True,0.4640417422928038,112.29970232970658,0.005,0.46467789788451735,111.09500423981835,0.005,0.4640417422928038,4,"{""10"": {""healthy"": false, ""min_conditional_effect"": 0.6477452565557343, ""positive"": true}, ""15"": {""healthy"": false, ""min_conditional_effect"": 0.5445432177268916, ""positive"": true}, ""5"": {""healthy"": false, ""min_conditional_effect"": 0.7577642885086778, ""positive"": true}, ""7"": {""healthy"": false, ""min_conditional_effect"": 0.7306373265290389, ""positive"": true}}",0.8046961227356576,0.8036631632230395,-0.001032959512618059
