arm,held_group,rho_mode,clean_mode,pooling,selected_variant,selected_alpha,selected_graph,selected_lambda,selected_trust,independent_upstream_variant,independent_upstream_alpha,graph_delta_vs_iu_pp,matched_upstream_delta_vs_iu_pp,graph_increment_pp,independent_upstream_delta_vs_iu_pp,direction,source_group_weights
su_all_sparse_mean,math500,su,all_sparse,mean,su__all_sparse__a1,1.0,union_k7,3.0,1.0,su__all_sparse__a1,1.0,0.45775154760041126,0.06224343142546607,0.39550811617494513,0.06224343142546607,"[0.10747721684849572, 0.00027680292290926923, -0.04904906273141246, 0.04614874390002525, -0.0802240910364498, 0.1028377468818695]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
su_all_sparse_mean,nq_open,su,all_sparse,mean,su__all_sparse__a1,1.0,union_k15,3.0,1.0,su__all_sparse__a1,1.0,-0.4006259343216523,0.05907499884632017,-0.45970093316797245,0.05907499884632017,"[0.07932172460048341, 0.0069728692565771315, -0.04890661169459491, 0.029010654239701006, -0.04755813152937852, 0.08839960471053165]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
su_all_sparse_mean,sciq,su,all_sparse,mean,su__all_sparse__a1,1.0,union_k15,1.0,1.0,su__all_sparse__a1,1.0,1.4583570696137471,0.10254073145722353,1.3558163381565236,0.10254073145722353,"[0.047722322781557705, -0.007588192760734852, -0.02091797898533056, 0.027897196420225038, -0.031436395056527164, 0.07506246506702517]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
su_all_sparse_mean,squad_v2,su,all_sparse,mean,su__all_sparse__a1,1.0,union_k7,10.0,1.0,su__all_sparse__a1,1.0,0.8895570971800826,-0.00017314418292446732,0.889730241363007,-0.00017314418292446732,"[0.15771504546903614, -3.245611651701902e-05, -0.06560016285977072, 0.044387630035680734, -0.11540294090069836, 0.13178391722490562]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
su_all_sparse_mean,triviaqa,su,all_sparse,mean,su__all_sparse__a1,1.0,union_k15,3.0,1.0,su__all_sparse__a1,1.0,-0.9325654679025353,-0.37839010927754513,-0.5541753586249902,-0.37839010927754513,"[0.0881338893367647, 0.01172932847600414, -0.04004922059070313, 0.03546895346117249, -0.05990401377118355, 0.09946874406245615]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
su_all_sparse_mean,truthfulqa,su,all_sparse,mean,su__all_sparse__a1,1.0,union_k7,3.0,1.0,su__all_sparse__a1,1.0,0.8848831362297194,-0.03387303156024979,0.9187561677899692,-0.03387303156024979,"[0.08816285317245735, 0.0005472433116178234, -0.0613560708853039, 0.044384203190733426, -0.051916900468911745, 0.0663282928721802]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285}"
iu_cross_sparse_mean,gsm8k,iu,cross_sparse,mean,iu__cross_sparse__a0p25,0.25,union_k7,3.0,1.0,iu__cross_sparse__a0p25,0.25,0.6748583250784346,-0.0024117113112953614,0.6772700363897299,-0.0024117113112953614,"[0.11139735061588599, -0.005199774088930438, -0.033286185083780465, 0.0556937529739685, -0.07629783265729967, 0.1351951494282319]","{""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_cross_sparse_mean,hotpotqa,iu,cross_sparse,mean,iu__cross_sparse__a0p25,0.25,union_k7,1.0,1.0,iu__cross_sparse__a0p25,0.25,0.17161550975168804,-0.014301292479312888,0.18591680223100093,-0.014301292479312888,"[0.058703687318564096, -0.0009811501780109702, -0.028511872116577, 0.04303939424159908, -0.03640296519197087, 0.06789494916405205]","{""gsm8k"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_cross_sparse_mean,math500,iu,cross_sparse,mean,iu__cross_sparse__a0p25,0.25,union_k7,10.0,1.0,iu__cross_sparse__a0p25,0.25,0.4291840490537324,0.0,0.4291840490537324,0.0,"[0.1598409997875635, -0.02381860286583086, -0.062332643946495514, 0.05430949748777474, -0.1558746018353432, 0.11693987737756867]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_cross_sparse_mean,nq_open,iu,cross_sparse,mean,iu__cross_sparse__a0p25,0.25,union_k7,10.0,1.0,iu__cross_sparse__a0p25,0.25,-0.47102816284919635,0.0,-0.47102816284919635,0.0,"[0.14460337102234969, 0.006224149670762221, -0.06956630523347462, 0.05604700820224928, -0.10409142864140812, 0.11049895090834458]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_cross_sparse_mean,sciq,iu,cross_sparse,mean,iu__cross_sparse__a0p25,0.25,union_k15,3.0,1.0,iu__cross_sparse__a0p25,0.25,1.5495043864646285,0.0,1.5495043864646285,0.0,"[0.09890858105102476, -0.006379088889177264, -0.02756023057140878, 0.04168625346499525, -0.07022345000107469, 0.10794819682398006]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_cross_sparse_mean,squad_v2,iu,cross_sparse,mean,iu__cross_sparse__a0p25,0.25,union_k7,10.0,1.0,iu__cross_sparse__a0p25,0.25,0.9469255364583984,0.0,0.9469255364583984,0.0,"[0.15706368608292973, -0.006193803507923662, -0.06639466175484413, 0.05145558542856872, -0.1313120341838987, 0.1345410135902197]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_cross_sparse_mean,triviaqa,iu,cross_sparse,mean,iu__cross_sparse__a0p25,0.25,union_k7,3.0,1.0,iu__cross_sparse__a0p25,0.25,-0.2976951592033187,0.05798077282759273,-0.3556759320309114,0.05798077282759273,"[0.09674403024295135, 0.008475705141831727, -0.0467196539282883, 0.051517876568222515, -0.071097639717254, 0.09441663998462525]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_cross_sparse_mean,truthfulqa,iu,cross_sparse,mean,iu__cross_sparse__a0p25,0.25,union_k7,3.0,1.0,iu__cross_sparse__a0p25,0.25,1.0095612518603025,0.0,1.0095612518603025,0.0,"[0.08683845753701702, -0.000980165237424886, -0.05977578800068144, 0.05045337334050918, -0.05809497492187907, 0.07099454743393754]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285}"
su_cross_sparse_mean,gsm8k,su,cross_sparse,mean,su__cross_sparse__a1,1.0,union_k5,3.0,1.0,su__cross_sparse__a1,1.0,0.6312058024786926,-0.15251483408440736,0.7837206365631001,-0.15251483408440736,"[0.1024064218208068, -0.009670604808090982, -0.031813640772677794, 0.04228005189559834, -0.07210641186175053, 0.11816644903552335]","{""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
su_cross_sparse_mean,hotpotqa,su,cross_sparse,mean,su__cross_sparse__a1,1.0,union_k5,3.0,1.0,su__cross_sparse__a1,1.0,-0.039328554318096565,0.048266862117662956,-0.08759541643575952,0.048266862117662956,"[0.11300814554188807, -0.001711408805519831, -0.034568366647907606, 0.05377199329952238, -0.07273580567916438, 0.08057995360014177]","{""gsm8k"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
su_cross_sparse_mean,math500,su,cross_sparse,mean,su__cross_sparse__a1,1.0,union_k7,10.0,1.0,su__cross_sparse__a1,1.0,0.4445653662986904,0.029032832912723183,0.41553253338596724,0.029032832912723183,"[0.15336885472711795, -0.017250917754874924, -0.05717867669237159, 0.04263373101293862, -0.1408659872170444, 0.11031002914766361]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
su_cross_sparse_mean,nq_open,su,cross_sparse,mean,su__cross_sparse__a1,1.0,union_k7,10.0,1.0,su__cross_sparse__a1,1.0,-0.31411946171886473,0.1051558472977665,-0.41927530901663124,0.1051558472977665,"[0.14029929562930693, 0.0062494627298107005, -0.06779833179993393, 0.039705415923958556, -0.09651402066539631, 0.09913346920317345]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
su_cross_sparse_mean,sciq,su,cross_sparse,mean,su__cross_sparse__a1,1.0,union_k15,3.0,1.0,su__cross_sparse__a1,1.0,1.572291215677346,0.10254073145722353,1.4697504842201226,0.10254073145722353,"[0.09349405729821847, -0.008928269951311624, -0.023043415719366436, 0.03314484389065202, -0.07167975544598884, 0.10751438547523853]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
su_cross_sparse_mean,squad_v2,su,cross_sparse,mean,su__cross_sparse__a1,1.0,union_k7,10.0,1.0,su__cross_sparse__a1,1.0,0.8624311751872948,-0.00017314418292446732,0.8626043193702193,-0.00017314418292446732,"[0.15031366115544825, -0.005034703018256966, -0.06361970595780807, 0.037850566569175, -0.11971413069518536, 0.12387567390955341]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
su_cross_sparse_mean,triviaqa,su,cross_sparse,mean,su__cross_sparse__a1,1.0,union_k7,10.0,1.0,su__cross_sparse__a0p5,0.5,-1.1045179047326679,-0.9550739902117744,-0.14944391452089328,-2.086634234105089,"[0.15188158274742383, 0.010617170837635435, -0.05073118725450951, 0.053082223492203415, -0.11211018806901825, 0.10680400677993655]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
su_cross_sparse_mean,truthfulqa,su,cross_sparse,mean,su__cross_sparse__a1,1.0,union_k7,3.0,1.0,su__cross_sparse__a1,1.0,0.7877562938628624,-0.12993115261050736,0.9176874464733698,-0.12993115261050736,"[0.08814632257799798, -0.00465201966007986, -0.059679639892092726, 0.041301863143318795, -0.0594175250482476, 0.05942019185719079]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285}"
iu_shared_cross_mean,gsm8k,iu,shared_cross,mean,iu__shared_cross__a1,1.0,union_k5,3.0,1.0,iu__shared_cross__a1,1.0,0.6811652342615326,-0.0010700284412679117,0.6822352627028005,-0.0010700284412679117,"[0.10708919850507087, -0.00836209492719675, -0.03686901924511925, 0.054809272575059284, -0.07626664913790378, 0.12956182117951753]","{""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_shared_cross_mean,hotpotqa,iu,shared_cross,mean,iu__shared_cross__a1,1.0,union_k7,3.0,1.0,iu__shared_cross__a1,1.0,0.07686944707627763,0.017876615599132784,0.05899283147714485,0.017876615599132784,"[0.12264436916086002, 0.0038843429345015975, -0.03789624676118199, 0.06308083784991209, -0.07663172448455632, 0.09786707278184192]","{""gsm8k"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_shared_cross_mean,math500,iu,shared_cross,mean,iu__shared_cross__a1,1.0,union_k15,3.0,1.0,iu__shared_cross__a1,1.0,0.4359926026278371,0.04368692690854381,0.39230567571929326,0.04368692690854381,"[0.09170434556240438, -0.0034139317708853254, -0.04044923135139858, 0.04016507767025834, -0.07691256389753398, 0.10516122105088135]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_shared_cross_mean,nq_open,iu,shared_cross,mean,iu__shared_cross__a1,1.0,union_k15,3.0,1.0,iu__shared_cross__a1,1.0,-0.4222231855805614,0.07709228615658814,-0.4993154717371495,0.07709228615658814,"[0.07972838296493483, 0.00816929514461899, -0.04734138029719382, 0.03409923317305825, -0.05255255244666651, 0.09054877841471123]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_shared_cross_mean,sciq,iu,shared_cross,mean,iu__shared_cross__a1,1.0,union_k15,3.0,1.0,iu__shared_cross__a1,1.0,1.4811438988264758,0.022786829212717574,1.4583570696137582,0.022786829212717574,"[0.09605314083649452, -0.008048619306204225, -0.026189658067353565, 0.044005464692877395, -0.07036631236857081, 0.10946181609632324]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_shared_cross_mean,squad_v2,iu,shared_cross,mean,iu__shared_cross__a0p5,0.5,union_k7,10.0,1.0,iu__shared_cross__a1,1.0,0.8915193979199709,-0.05598328581486456,0.9475026837348355,-0.0685650964412865,"[0.16079873795333788, -0.004279712900639502, -0.06753842944726637, 0.04874150772815133, -0.12891665170168615, 0.1311512873461026]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_shared_cross_mean,triviaqa,iu,shared_cross,mean,iu__shared_cross__a1,1.0,union_k15,3.0,1.0,iu__shared_cross__a1,1.0,-0.43705656183546565,0.030682763738006564,-0.46773932557347225,0.030682763738006564,"[0.08861689512294584, 0.010914537568261254, -0.0383636486550601, 0.0378030489093536, -0.06225268291725508, 0.09939162868419385]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
iu_shared_cross_mean,truthfulqa,iu,shared_cross,mean,iu__shared_cross__a1,1.0,union_k15,1.0,1.0,iu__shared_cross__a1,1.0,0.9167636365217224,-0.06332626648910544,0.9800899030108279,-0.06332626648910544,"[0.03700940135089166, -0.0012326317252082705, -0.039402064329112925, 0.025749798243284466, -0.018916183480388957, 0.04468813550627618]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285}"
su_shared_cross_mean,gsm8k,su,shared_cross,mean,su__shared_cross__a0p25,0.25,union_k5,3.0,1.0,su__shared_cross__a1,1.0,0.5415800152312311,-0.16743508196365497,0.7090150971948861,-0.17023628917571476,"[0.09644460138131516, -0.010009315128190723, -0.03501943431544206, 0.04187335222705048, -0.07503779813455824, 0.11861558936785643]","{""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
su_shared_cross_mean,hotpotqa,su,shared_cross,mean,su__shared_cross__a0p5,0.5,union_k15,1.0,1.0,su__shared_cross__a1,1.0,0.29496415738572423,0.10010904735515691,0.19485511003056732,0.1161980013943742,"[0.04902796813918132, -0.0023166232548236278, -0.023132392020085022, 0.01998637547538218, -0.033307589145622325, 0.06978047125982517]","{""gsm8k"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
su_shared_cross_mean,math500,su,shared_cross,mean,su__shared_cross__a1,1.0,union_k15,3.0,1.0,su__shared_cross__a1,1.0,0.28521814794466804,0.06626619611661999,0.21895195182804805,0.06626619611661999,"[0.0799461606538454, -0.003065137425489145, -0.03835752431281325, 0.02766688582592617, -0.0835616175501303, 0.10557817183990198]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
su_shared_cross_mean,nq_open,su,shared_cross,mean,su__shared_cross__a1,1.0,union_k15,1.0,1.0,su__shared_cross__a1,1.0,-0.4701835151050715,0.19363130007230556,-0.6638148151773771,0.19363130007230556,"[0.0311845585644195, 0.007540386621561654, -0.03437540254921851, 0.014851261051782806, -0.029138446990574444, 0.06392582322910129]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""sciq"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
su_shared_cross_mean,sciq,su,shared_cross,mean,su__shared_cross__a1,1.0,union_k15,1.0,1.0,su__shared_cross__a1,1.0,1.2646690213056644,0.13672097527628324,1.1279480460293811,0.13672097527628324,"[0.04055746813792738, -0.004361880042077672, -0.017482930588621635, 0.02260486493622412, -0.03902244364701529, 0.07820969562752149]","{""gsm8k"": 0.14285714285714285, ""hotpotqa"": 0.14285714285714285, ""math500"": 0.14285714285714285, ""nq_open"": 0.14285714285714285, ""squad_v2"": 0.14285714285714285, ""triviaqa"": 0.14285714285714285, ""truthfulqa"": 0.14285714285714285}"
