target_cell,method,contract,source_count,source_cells_json,n_groups,selected_eigenvalue,distance_from_unit,unit_distance_gap,direction_json,correction_scale
sciq_t1.0,nrm_layer_kl_lodo,kl_sensitivity,9,"[""gsm8k_t1.0"", ""triviaqa_t1.0"", ""truthfulqa_t0.5"", ""squadv2_t0.5"", ""nq_open_t0.5"", ""gsm8k_r1distill_t0.0"", ""gsm8k_phi35_t1.0"", ""gsm8k_mistral7b_t1.0"", ""gsm8k_phi3mini_t1.0""]",32,0.8887592514711984,0.11124074852880161,0.050507352867308564,"[0.4073470027808771, 0.401613790594842, 0.06388883965802482, 0.015401412637272063, -0.133583688452124, 0.005971361947891957, -0.017591713710490252, -0.10739307084386575, -0.13006059774685774, -0.033226892109865354, 0.018562008692204937, 0.11544011295120979, 0.18641958071761208, 0.10000120443801047, 0.0399004845391396, -0.0982158488586141, -0.15238168387208847, -0.11250208349834204, 0.033774911053670656, 0.12700673072277682, 0.14543053576336848, 0.09355662989420194, -0.04519689169968701, -0.09869040916191, -0.09147089840833936, -0.04755032228858313, 0.01223727104764381, 0.09981035205939158, 0.13171871010407996, 0.05823149641127629, -0.48444596567133014, -0.42432171168055427]",0.03125
sciq_t1.0,nrm_layer_llama_loco,triad,5,"[""gsm8k_t1.0"", ""triviaqa_t1.0"", ""truthfulqa_t0.5"", ""squadv2_t0.5"", ""nq_open_t0.5""]",32,1.0090478700904524,0.009047870090452381,0.0725482333008095,"[-0.248521095431265, -0.19045023297337782, -0.024708408563558177, 0.0509402075872492, 0.1615592301982167, 0.04747833182418558, 0.0012628484915143518, 0.021145973163927467, 0.018210951824432397, 0.22734005536398683, -0.11544240992066802, -0.15258371556314812, -0.13756949069569402, -0.1968143743633135, 0.006464967680301183, 0.42772848264072794, 0.3880351930161555, 0.11010830471587922, -0.20105946513136885, -0.31236651060762055, -0.2362829801284599, -0.025581121696737222, 0.26112811617460896, 0.18230690811650713, 0.05767691871046024, -0.05037904175280723, -0.12942129906698724, -0.10446471591065991, -0.06389699190575152, 0.053237092300143896, 0.20360118131590427, -0.013383952772462826]",0.031249999999999997
truthfulqa_t0.5,nrm_layer_lodo,triad,9,"[""gsm8k_t1.0"", ""triviaqa_t1.0"", ""sciq_t1.0"", ""squadv2_t0.5"", ""nq_open_t0.5"", ""gsm8k_r1distill_t0.0"", ""gsm8k_phi35_t1.0"", ""gsm8k_mistral7b_t1.0"", ""gsm8k_phi3mini_t1.0""]",32,1.073731795655062,0.07373179565506205,0.029682313108585157,"[0.3069001473056696, 0.2567818077390082, -0.09748606720021886, -0.1529282644134549, -0.08347797243448053, 0.09600797393557872, 0.21601034377316838, -0.021645474320090986, -0.23763919556533644, -0.26771407981537026, -0.01308415214854551, 0.2018919376794139, 0.2545954247590352, 0.1524015838295002, -0.016193639550328588, -0.31455978790615485, -0.3025112318949648, -0.10612477181971454, 0.13243350731709116, 0.22093189610368422, 0.21562069901861808, 0.06367888165419039, -0.09221453518625751, -0.17367165732438156, -0.13452922519091168, -0.015674408654288, 0.03426562915384163, 0.11987354433978968, 0.1280693230336205, 0.04518371053911632, -0.2397475481113277, -0.13853620182757087]",0.031249999999999993
truthfulqa_t0.5,nrm_layer_lomo,triad,4,"[""gsm8k_r1distill_t0.0"", ""gsm8k_phi35_t1.0"", ""gsm8k_mistral7b_t1.0"", ""gsm8k_phi3mini_t1.0""]",32,1.0228170730604376,0.022817073060437565,0.1459007009793627,"[-0.04002552632651307, 0.05834154495443819, 0.3025826513889654, 0.2313133909536801, -0.05581983653590425, -0.3346176969000034, -0.4533149275178863, -0.17657928079834118, 0.08269389381748608, 0.3253427520115171, 0.21042409939352996, 0.19693939197196972, 0.06890024132602496, 0.014489366402486912, -0.0224352985192251, -0.1654012372693804, -0.2579133444081882, -0.0901424701425511, 0.1837011143526127, 0.24654802821205532, 0.13638616589019054, 0.030666100519105, -0.10550560767457903, -0.10254158791046437, -0.07581947267596306, 0.030852106625567564, 0.055169549480490035, 0.07863847891623021, 0.06188910378966137, 0.04453929562267338, -0.12566059409423516, -0.14733404168030606]",0.03125
truthfulqa_t0.5,nrm_layer_loco,triad,9,"[""gsm8k_t1.0"", ""triviaqa_t1.0"", ""sciq_t1.0"", ""squadv2_t0.5"", ""nq_open_t0.5"", ""gsm8k_r1distill_t0.0"", ""gsm8k_phi35_t1.0"", ""gsm8k_mistral7b_t1.0"", ""gsm8k_phi3mini_t1.0""]",32,1.073731795655062,0.07373179565506205,0.029682313108585157,"[0.3069001473056696, 0.2567818077390082, -0.09748606720021886, -0.1529282644134549, -0.08347797243448053, 0.09600797393557872, 0.21601034377316838, -0.021645474320090986, -0.23763919556533644, -0.26771407981537026, -0.01308415214854551, 0.2018919376794139, 0.2545954247590352, 0.1524015838295002, -0.016193639550328588, -0.31455978790615485, -0.3025112318949648, -0.10612477181971454, 0.13243350731709116, 0.22093189610368422, 0.21562069901861808, 0.06367888165419039, -0.09221453518625751, -0.17367165732438156, -0.13452922519091168, -0.015674408654288, 0.03426562915384163, 0.11987354433978968, 0.1280693230336205, 0.04518371053911632, -0.2397475481113277, -0.13853620182757087]",0.031249999999999993
truthfulqa_t0.5,nrm_layer_kl_lodo,kl_sensitivity,9,"[""gsm8k_t1.0"", ""triviaqa_t1.0"", ""sciq_t1.0"", ""squadv2_t0.5"", ""nq_open_t0.5"", ""gsm8k_r1distill_t0.0"", ""gsm8k_phi35_t1.0"", ""gsm8k_mistral7b_t1.0"", ""gsm8k_phi3mini_t1.0""]",32,0.9507552901208248,0.049244709879175175,0.09802061564915465,"[0.4326108829859662, 0.4264435378220627, 0.02142998189324636, 0.0016227988252966242, -0.10540700764569717, -0.016312101670063056, -0.023025672898699445, -0.08003324129814864, -0.10669716763945125, -0.024032760091291915, 0.04760507034094471, 0.14319576706847512, 0.1892309310387221, 0.07546724457210001, -0.007764371014532126, -0.1285014155212054, -0.15907372476195883, -0.08265607262673981, 0.03236465501926753, 0.1133874097458709, 0.17553596975946092, 0.12406830214076531, -0.02505652766383023, -0.1063827896810768, -0.12745227710720988, -0.07195713897979893, -0.006630233711542971, 0.09872406599924632, 0.14111981597186785, 0.09117284924485689, -0.47089340430555177, -0.3661122099843512]",0.03125
truthfulqa_t0.5,nrm_layer_llama_loco,triad,5,"[""gsm8k_t1.0"", ""triviaqa_t1.0"", ""sciq_t1.0"", ""squadv2_t0.5"", ""nq_open_t0.5""]",32,0.9668608787383285,0.03313912126167151,0.06476379886649719,"[0.14851737537947782, 0.12709670011998284, -0.005833609973180276, -0.011255827910886102, -0.14683004981358644, -0.17683028344134885, -0.16559851068034134, 0.10074017419977412, -0.028440824257882785, 0.16032756039136437, 0.14169632408907504, 0.10634577035857046, 0.029330835380422457, -0.11023996495515173, 0.0065765865291223784, 0.03410036376456361, -0.054938587812939796, -0.14667035322038108, -0.09082090998958431, 0.01620762971313264, 0.21492056248927535, 0.2793839037861437, 0.1815128441356868, -0.0780420481301123, -0.21091591945776006, -0.1777953730251192, -0.07016469236842962, 0.13979012187710566, 0.2496821172826082, 0.22500348629709263, 0.05633399537485713, -0.6213541146178909]",0.03125
squadv2_t0.5,nrm_layer_lodo,triad,9,"[""gsm8k_t1.0"", ""triviaqa_t1.0"", ""sciq_t1.0"", ""truthfulqa_t0.5"", ""nq_open_t0.5"", ""gsm8k_r1distill_t0.0"", ""gsm8k_phi35_t1.0"", ""gsm8k_mistral7b_t1.0"", ""gsm8k_phi3mini_t1.0""]",32,1.0383146212516567,0.038314621251656744,0.05878941627316103,"[-0.277046293466218, -0.2442061307706066, 0.04463089652409046, 0.09542774853788102, 0.07237402326748608, -0.03987113129744779, -0.12813799627011827, 0.08992749768237024, 0.2374156666428089, 0.19081268543418983, -0.030531676287414655, -0.1808425036060881, -0.23789871748833213, -0.12363757839338806, 0.03322510014436878, 0.2856321266945029, 0.27121379790120675, 0.09213263047555476, -0.13076020322599372, -0.25100197016565096, -0.2251872592109279, -0.040775099092291836, 0.09620109162358847, 0.2164547692674929, 0.1706497408322113, 0.03446916656791824, -0.03694153895660622, -0.18314575535086616, -0.20987774915343413, -0.12738285720882986, 0.2692658029380515, 0.2675301173812824]",0.03125
squadv2_t0.5,nrm_layer_lomo,triad,4,"[""gsm8k_r1distill_t0.0"", ""gsm8k_phi35_t1.0"", ""gsm8k_mistral7b_t1.0"", ""gsm8k_phi3mini_t1.0""]",32,1.0228170730604376,0.022817073060437565,0.1459007009793627,"[-0.04002552632651307, 0.05834154495443819, 0.3025826513889654, 0.2313133909536801, -0.05581983653590425, -0.3346176969000034, -0.4533149275178863, -0.17657928079834118, 0.08269389381748608, 0.3253427520115171, 0.21042409939352996, 0.19693939197196972, 0.06890024132602496, 0.014489366402486912, -0.0224352985192251, -0.1654012372693804, -0.2579133444081882, -0.0901424701425511, 0.1837011143526127, 0.24654802821205532, 0.13638616589019054, 0.030666100519105, -0.10550560767457903, -0.10254158791046437, -0.07581947267596306, 0.030852106625567564, 0.055169549480490035, 0.07863847891623021, 0.06188910378966137, 0.04453929562267338, -0.12566059409423516, -0.14733404168030606]",0.031249999999999997
squadv2_t0.5,nrm_layer_loco,triad,9,"[""gsm8k_t1.0"", ""triviaqa_t1.0"", ""sciq_t1.0"", ""truthfulqa_t0.5"", ""nq_open_t0.5"", ""gsm8k_r1distill_t0.0"", ""gsm8k_phi35_t1.0"", ""gsm8k_mistral7b_t1.0"", ""gsm8k_phi3mini_t1.0""]",32,1.0383146212516567,0.038314621251656744,0.05878941627316103,"[-0.277046293466218, -0.2442061307706066, 0.04463089652409046, 0.09542774853788102, 0.07237402326748608, -0.03987113129744779, -0.12813799627011827, 0.08992749768237024, 0.2374156666428089, 0.19081268543418983, -0.030531676287414655, -0.1808425036060881, -0.23789871748833213, -0.12363757839338806, 0.03322510014436878, 0.2856321266945029, 0.27121379790120675, 0.09213263047555476, -0.13076020322599372, -0.25100197016565096, -0.2251872592109279, -0.040775099092291836, 0.09620109162358847, 0.2164547692674929, 0.1706497408322113, 0.03446916656791824, -0.03694153895660622, -0.18314575535086616, -0.20987774915343413, -0.12738285720882986, 0.2692658029380515, 0.2675301173812824]",0.03125
