cell,dataset,model,method,display_method,auroc,auprc,prevalence,n_samples,n_groups,n_layers,labels_seen_during_fit
truthfulqa_t0.5,TruthfulQA,meta-llama/Llama-3.1-8B-Instruct,nrm_layer_loco,Layer-organic NRM · leave-cell-out,0.5261716922062943,0.876777722753034,0.8843329253365974,8170,817,32,False
truthfulqa_t0.5,TruthfulQA,meta-llama/Llama-3.1-8B-Instruct,iu_layer_kl,IU-PCR · layer-organic + KL sensitivity,0.49976485234616724,0.8697841354445588,0.8843329253365974,8170,817,32,False
truthfulqa_t0.5,TruthfulQA,meta-llama/Llama-3.1-8B-Instruct,nrm_layer_kl_lodo,Layer-organic NRM + KL · leave-dataset-out,0.5014556306182604,0.8699655608148136,0.8843329253365974,8170,817,32,False
truthfulqa_t0.5,TruthfulQA,meta-llama/Llama-3.1-8B-Instruct,nrm_layer_llama_loco,Layer-organic NRM · Llama-only leave-cell-out,0.5275636842972483,0.8766298202613829,0.8843329253365974,8170,817,32,False
squadv2_t0.5,SQuADv2,meta-llama/Llama-3.1-8B-Instruct,final_nll,Final-layer NLL,0.674970210673451,0.5512922856305152,0.3941,10000,1000,32,False
squadv2_t0.5,SQuADv2,meta-llama/Llama-3.1-8B-Instruct,iu_compressed,IU-PCR · one averaged expert/layer,0.7414134854845897,0.6827013548155845,0.3941,10000,1000,32,False
squadv2_t0.5,SQuADv2,meta-llama/Llama-3.1-8B-Instruct,iu_layer_triad,IU-PCR · layer-organic triad,0.7038354849394135,0.669951722430159,0.3941,10000,1000,32,False
squadv2_t0.5,SQuADv2,meta-llama/Llama-3.1-8B-Instruct,nrm_layer_lodo,Layer-organic NRM · leave-dataset-out,0.7000418660805555,0.666570144744374,0.3941,10000,1000,32,False
squadv2_t0.5,SQuADv2,meta-llama/Llama-3.1-8B-Instruct,nrm_layer_lomo,Layer-organic NRM · leave-model-out,0.703743812587372,0.6708339620759343,0.3941,10000,1000,32,False
squadv2_t0.5,SQuADv2,meta-llama/Llama-3.1-8B-Instruct,nrm_layer_loco,Layer-organic NRM · leave-cell-out,0.7000418660805555,0.666570144744374,0.3941,10000,1000,32,False
squadv2_t0.5,SQuADv2,meta-llama/Llama-3.1-8B-Instruct,iu_layer_kl,IU-PCR · layer-organic + KL sensitivity,0.7696549354673127,0.7314639141286545,0.3941,10000,1000,32,False
squadv2_t0.5,SQuADv2,meta-llama/Llama-3.1-8B-Instruct,nrm_layer_kl_lodo,Layer-organic NRM + KL · leave-dataset-out,0.7704466093563005,0.7328404042922136,0.3941,10000,1000,32,False
squadv2_t0.5,SQuADv2,meta-llama/Llama-3.1-8B-Instruct,nrm_layer_llama_loco,Layer-organic NRM · Llama-only leave-cell-out,0.70097391718473,0.6670061182301045,0.3941,10000,1000,32,False
nq_open_t0.5,NQ-Open,meta-llama/Llama-3.1-8B-Instruct,final_nll,Final-layer NLL,0.7338380783226336,0.7050641118962132,0.4993,10000,1000,32,False
nq_open_t0.5,NQ-Open,meta-llama/Llama-3.1-8B-Instruct,iu_compressed,IU-PCR · one averaged expert/layer,0.6250653851281549,0.6099830268870134,0.4993,10000,1000,32,False
nq_open_t0.5,NQ-Open,meta-llama/Llama-3.1-8B-Instruct,iu_layer_triad,IU-PCR · layer-organic triad,0.492173684660422,0.4983935471979488,0.4993,10000,1000,32,False
nq_open_t0.5,NQ-Open,meta-llama/Llama-3.1-8B-Instruct,nrm_layer_lodo,Layer-organic NRM · leave-dataset-out,0.4901213206377884,0.49660171775754286,0.4993,10000,1000,32,False
nq_open_t0.5,NQ-Open,meta-llama/Llama-3.1-8B-Instruct,nrm_layer_lomo,Layer-organic NRM · leave-model-out,0.48969799980807965,0.4958746614868693,0.4993,10000,1000,32,False
nq_open_t0.5,NQ-Open,meta-llama/Llama-3.1-8B-Instruct,nrm_layer_loco,Layer-organic NRM · leave-cell-out,0.4901213206377884,0.49660171775754286,0.4993,10000,1000,32,False
nq_open_t0.5,NQ-Open,meta-llama/Llama-3.1-8B-Instruct,iu_layer_kl,IU-PCR · layer-organic + KL sensitivity,0.5905361174507902,0.5863678351456625,0.4993,10000,1000,32,False
nq_open_t0.5,NQ-Open,meta-llama/Llama-3.1-8B-Instruct,nrm_layer_kl_lodo,Layer-organic NRM + KL · leave-dataset-out,0.5908233180137034,0.5855407655474,0.4993,10000,1000,32,False
nq_open_t0.5,NQ-Open,meta-llama/Llama-3.1-8B-Instruct,nrm_layer_llama_loco,Layer-organic NRM · Llama-only leave-cell-out,0.4877114759144928,0.4951631540292579,0.4993,10000,1000,32,False
gsm8k_r1distill_t0.0,GSM8K,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,final_nll,Final-layer NLL,0.6907814407814407,0.4657925401446646,0.27054108216432865,499,499,32,False
gsm8k_r1distill_t0.0,GSM8K,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,iu_compressed,IU-PCR · one averaged expert/layer,0.5693935693935694,0.3351538479594278,0.27054108216432865,499,499,32,False
gsm8k_r1distill_t0.0,GSM8K,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,iu_layer_triad,IU-PCR · layer-organic triad,0.47401302401302403,0.26140975058397975,0.27054108216432865,499,499,32,False
gsm8k_r1distill_t0.0,GSM8K,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,nrm_layer_lodo,Layer-organic NRM · leave-dataset-out,0.47922262922262926,0.26491622832991435,0.27054108216432865,499,499,32,False
gsm8k_r1distill_t0.0,GSM8K,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,nrm_layer_lomo,Layer-organic NRM · leave-model-out,0.47676027676027677,0.26366249942073894,0.27054108216432865,499,499,32,False
gsm8k_r1distill_t0.0,GSM8K,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,nrm_layer_loco,Layer-organic NRM · leave-cell-out,0.47676027676027677,0.26366249942073894,0.27054108216432865,499,499,32,False
gsm8k_r1distill_t0.0,GSM8K,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,iu_layer_kl,IU-PCR · layer-organic + KL sensitivity,0.5556980056980056,0.32208355495214536,0.27054108216432865,499,499,32,False
gsm8k_r1distill_t0.0,GSM8K,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,nrm_layer_kl_lodo,Layer-organic NRM + KL · leave-dataset-out,0.5546398046398047,0.32313087097044074,0.27054108216432865,499,499,32,False
gsm8k_r1distill_t0.0,GSM8K,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,nrm_layer_gsm8k_loco,Layer-organic NRM · GSM8K-32L leave-model-out,0.4706349206349207,0.2604349087718424,0.27054108216432865,499,499,32,False
gsm8k_phi35_t1.0,GSM8K,microsoft/Phi-3.5-mini-instruct,final_nll,Final-layer NLL,0.7587894670485041,0.4242494377872694,0.15133079847908745,1315,1315,32,False
gsm8k_phi35_t1.0,GSM8K,microsoft/Phi-3.5-mini-instruct,iu_compressed,IU-PCR · one averaged expert/layer,0.5619765494137353,0.1906732824859368,0.15133079847908745,1315,1315,32,False
gsm8k_phi35_t1.0,GSM8K,microsoft/Phi-3.5-mini-instruct,iu_layer_triad,IU-PCR · layer-organic triad,0.6629968840618865,0.26143583856095276,0.15133079847908745,1315,1315,32,False
gsm8k_phi35_t1.0,GSM8K,microsoft/Phi-3.5-mini-instruct,nrm_layer_lodo,Layer-organic NRM · leave-dataset-out,0.6688415194250824,0.26888986414594934,0.15133079847908745,1315,1315,32,False
gsm8k_phi35_t1.0,GSM8K,microsoft/Phi-3.5-mini-instruct,nrm_layer_lomo,Layer-organic NRM · leave-model-out,0.6634876893427712,0.2622758423344681,0.15133079847908745,1315,1315,32,False
gsm8k_phi35_t1.0,GSM8K,microsoft/Phi-3.5-mini-instruct,nrm_layer_loco,Layer-organic NRM · leave-cell-out,0.6634876893427712,0.2622758423344681,0.15133079847908745,1315,1315,32,False
gsm8k_phi35_t1.0,GSM8K,microsoft/Phi-3.5-mini-instruct,iu_layer_kl,IU-PCR · layer-organic + KL sensitivity,0.5299661389384197,0.16770996807402166,0.15133079847908745,1315,1315,32,False
gsm8k_phi35_t1.0,GSM8K,microsoft/Phi-3.5-mini-instruct,nrm_layer_kl_lodo,Layer-organic NRM + KL · leave-dataset-out,0.5277462581725834,0.1666162450414535,0.15133079847908745,1315,1315,32,False
gsm8k_phi35_t1.0,GSM8K,microsoft/Phi-3.5-mini-instruct,nrm_layer_gsm8k_loco,Layer-organic NRM · GSM8K-32L leave-model-out,0.6597953927342807,0.25809000869999926,0.15133079847908745,1315,1315,32,False
gsm8k_mistral7b_t1.0,GSM8K,mistralai/Mistral-7B-Instruct-v0.3,final_nll,Final-layer NLL,0.7088693852126956,0.7067070269637973,0.49655700076511095,1307,1307,32,False
gsm8k_mistral7b_t1.0,GSM8K,mistralai/Mistral-7B-Instruct-v0.3,iu_compressed,IU-PCR · one averaged expert/layer,0.5302710272057549,0.5287293098101559,0.49655700076511095,1307,1307,32,False
gsm8k_mistral7b_t1.0,GSM8K,mistralai/Mistral-7B-Instruct-v0.3,iu_layer_triad,IU-PCR · layer-organic triad,0.6284651158434065,0.6165900645361438,0.49655700076511095,1307,1307,32,False
gsm8k_mistral7b_t1.0,GSM8K,mistralai/Mistral-7B-Instruct-v0.3,nrm_layer_lodo,Layer-organic NRM · leave-dataset-out,0.6332936807152458,0.6215716279348067,0.49655700076511095,1307,1307,32,False
gsm8k_mistral7b_t1.0,GSM8K,mistralai/Mistral-7B-Instruct-v0.3,nrm_layer_lomo,Layer-organic NRM · leave-model-out,0.6283808150018031,0.6174609388972039,0.49655700076511095,1307,1307,32,False
gsm8k_mistral7b_t1.0,GSM8K,mistralai/Mistral-7B-Instruct-v0.3,nrm_layer_loco,Layer-organic NRM · leave-cell-out,0.6283808150018031,0.6174609388972039,0.49655700076511095,1307,1307,32,False
gsm8k_mistral7b_t1.0,GSM8K,mistralai/Mistral-7B-Instruct-v0.3,iu_layer_kl,IU-PCR · layer-organic + KL sensitivity,0.5006369396921146,0.4951408206162321,0.49655700076511095,1307,1307,32,False
gsm8k_mistral7b_t1.0,GSM8K,mistralai/Mistral-7B-Instruct-v0.3,nrm_layer_kl_lodo,Layer-organic NRM + KL · leave-dataset-out,0.50129495459463,0.4958055213501327,0.49655700076511095,1307,1307,32,False
gsm8k_mistral7b_t1.0,GSM8K,mistralai/Mistral-7B-Instruct-v0.3,nrm_layer_gsm8k_loco,Layer-organic NRM · GSM8K-32L leave-model-out,0.6284487240130947,0.6172564887366745,0.49655700076511095,1307,1307,32,False
gsm8k_phi3mini_t1.0,GSM8K,microsoft/Phi-3-mini-4k-instruct,final_nll,Final-layer NLL,0.6434837516631713,0.4343909066936211,0.28821292775665397,1315,1315,32,False
gsm8k_phi3mini_t1.0,GSM8K,microsoft/Phi-3-mini-4k-instruct,iu_compressed,IU-PCR · one averaged expert/layer,0.4545390478767787,0.26675203634845684,0.28821292775665397,1315,1315,32,False
gsm8k_phi3mini_t1.0,GSM8K,microsoft/Phi-3-mini-4k-instruct,iu_layer_triad,IU-PCR · layer-organic triad,0.6476529553706334,0.44524184456515226,0.28821292775665397,1315,1315,32,False
gsm8k_phi3mini_t1.0,GSM8K,microsoft/Phi-3-mini-4k-instruct,nrm_layer_lodo,Layer-organic NRM · leave-dataset-out,0.6499644814288613,0.4482311504256588,0.28821292775665397,1315,1315,32,False
gsm8k_phi3mini_t1.0,GSM8K,microsoft/Phi-3-mini-4k-instruct,nrm_layer_lomo,Layer-organic NRM · leave-model-out,0.6459728705770922,0.44417539734128153,0.28821292775665397,1315,1315,32,False
gsm8k_phi3mini_t1.0,GSM8K,microsoft/Phi-3-mini-4k-instruct,nrm_layer_loco,Layer-organic NRM · leave-cell-out,0.6459728705770922,0.44417539734128153,0.28821292775665397,1315,1315,32,False
gsm8k_phi3mini_t1.0,GSM8K,microsoft/Phi-3-mini-4k-instruct,iu_layer_kl,IU-PCR · layer-organic + KL sensitivity,0.43542103601470356,0.2516315515033489,0.28821292775665397,1315,1315,32,False
gsm8k_phi3mini_t1.0,GSM8K,microsoft/Phi-3-mini-4k-instruct,nrm_layer_kl_lodo,Layer-organic NRM + KL · leave-dataset-out,0.4327374106397853,0.25044403772271745,0.28821292775665397,1315,1315,32,False
gsm8k_phi3mini_t1.0,GSM8K,microsoft/Phi-3-mini-4k-instruct,nrm_layer_gsm8k_loco,Layer-organic NRM · GSM8K-32L leave-model-out,0.6456712446158356,0.44396181187540135,0.28821292775665397,1315,1315,32,False
