contrast_id,primary,endpoint,paired_N,delta,ci95_lo,ci95_hi,ci_adj_lo,ci_adj_hi,family_K,B,invalid_draw_rate,units
BASE - ct7,False,pb_sla_macro8,100000,-0.07396715959170735,-0.0908188455434515,-0.05718715551317212,,,,100000,0.0,fraction (x100 = pp)
BASE - ct7,False,prm_within_auc,100000,-0.016083682089297446,-0.02015324413907055,-0.011993961184243403,,,,100000,0.0,AUC
BASE - token_lsml,False,pb_sla_macro8,100000,-0.03434202801104075,-0.04937707921202963,-0.01950411288081577,,,,100000,0.0,fraction (x100 = pp)
BASE - token_lsml,False,prm_within_auc,100000,0.003149117102667409,-0.0010294411489346622,0.007309523127491757,,,,100000,0.0,AUC
BASE - token_equal,False,pb_sla_macro8,100000,-0.0010313565615150955,-0.017823884138088022,0.01571593030436732,,,,100000,0.0,fraction (x100 = pp)
BASE - token_equal,False,prm_within_auc,100000,0.025208407701973967,0.02093323085501352,0.029498925923241787,,,,100000,0.0,AUC
BASE - evidence30__all__plain__equal,False,pb_sla_macro8,100000,-0.024603965170794106,-0.04075421959095882,-0.008532769841156718,,,,100000,0.0,fraction (x100 = pp)
BASE - evidence30__all__plain__equal,False,prm_within_auc,100000,0.04453370708304838,0.0378572576361495,0.051223420830190984,,,,100000,0.0,AUC
BASE - evidence__all__position__equal,False,pb_sla_macro8,100000,0.029705394403151397,0.011725327284485531,0.04773140915086102,,,,100000,0.0,fraction (x100 = pp)
BASE - evidence__all__position__equal,False,prm_within_auc,100000,-0.011111590973441277,-0.014701223595400381,-0.007545940426548008,,,,100000,0.0,AUC
BASE - evidence__all__position2__equal,False,pb_sla_macro8,100000,0.044284188992470275,0.026547822408798872,0.06210719112655728,,,,100000,0.0,fraction (x100 = pp)
BASE - evidence__all__position2__equal,False,prm_within_auc,100000,-0.01324244321549295,-0.017457035557226754,-0.009071121777422985,,,,100000,0.0,AUC
P_SOFT - ct7,False,pb_sla_macro8,100000,-0.07111224946520611,-0.0879892811314786,-0.054419837339610984,,,,100000,0.0,fraction (x100 = pp)
P_SOFT - ct7,False,prm_within_auc,100000,-0.01716009544832575,-0.02128278632216487,-0.013039282284021448,,,,100000,0.0,AUC
P_SOFT - token_lsml,False,pb_sla_macro8,100000,-0.031487117884539506,-0.04630042190765748,-0.016771998683848734,,,,100000,0.0,fraction (x100 = pp)
P_SOFT - token_lsml,False,prm_within_auc,100000,0.002072703743639104,-0.0021172170871302685,0.006244343359099893,,,,100000,0.0,AUC
P_SOFT - token_equal,False,pb_sla_macro8,100000,0.0018235535649861467,-0.014924249968545095,0.018499664315802952,,,,100000,0.0,fraction (x100 = pp)
P_SOFT - token_equal,False,prm_within_auc,100000,0.024131994342945662,0.019855248564916692,0.028421272315309234,,,,100000,0.0,AUC
P_SOFT - evidence30__all__plain__equal,False,pb_sla_macro8,100000,-0.021749055044292864,-0.037546064304772905,-0.005992111562081611,,,,100000,0.0,fraction (x100 = pp)
P_SOFT - evidence30__all__plain__equal,False,prm_within_auc,100000,0.043457293724020074,0.036812265292961825,0.05016857643991688,,,,100000,0.0,AUC
P_SOFT - evidence__all__position__equal,False,pb_sla_macro8,100000,0.03256030452965264,0.014845798799577306,0.050237719231228946,,,,100000,0.0,fraction (x100 = pp)
P_SOFT - evidence__all__position__equal,False,prm_within_auc,100000,-0.012188004332469582,-0.015826112019203253,-0.008549156934414895,,,,100000,0.0,AUC
P_SOFT - evidence__all__position2__equal,False,pb_sla_macro8,100000,0.04713909911897152,0.029366622193633743,0.06516700197900133,,,,100000,0.0,fraction (x100 = pp)
P_SOFT - evidence__all__position2__equal,False,prm_within_auc,100000,-0.014318856574521255,-0.01859130760638522,-0.010092501782513936,,,,100000,0.0,AUC
P_AGREE - ct7,False,pb_sla_macro8,100000,-0.060138842657095626,-0.07668494804894407,-0.04372335153366356,,,,100000,0.0,fraction (x100 = pp)
P_AGREE - ct7,False,prm_within_auc,100000,-0.026849781134568484,-0.03144517683258164,-0.02227669018635343,,,,100000,0.0,AUC
P_AGREE - token_lsml,False,pb_sla_macro8,100000,-0.02051371107642902,-0.034575035940616256,-0.006458865805580445,,,,100000,0.0,fraction (x100 = pp)
P_AGREE - token_lsml,False,prm_within_auc,100000,-0.007616981942603629,-0.012409737102768654,-0.002830258105879766,,,,100000,0.0,AUC
P_AGREE - token_equal,False,pb_sla_macro8,100000,0.012796960373096633,-0.003321527139787743,0.028916755307179135,,,,100000,0.0,fraction (x100 = pp)
P_AGREE - token_equal,False,prm_within_auc,100000,0.014442308656702929,0.009589394697949439,0.019324368347625142,,,,100000,0.0,AUC
P_AGREE - evidence30__all__plain__equal,False,pb_sla_macro8,100000,-0.010775648236182378,-0.026017623764894953,0.00441319751487262,,,,100000,0.0,fraction (x100 = pp)
P_AGREE - evidence30__all__plain__equal,False,prm_within_auc,100000,0.03376760803777734,0.026534963677064732,0.04098846578150822,,,,100000,0.0,AUC
P_AGREE - evidence__all__position__equal,False,pb_sla_macro8,100000,0.043533711337763126,0.026063800714725943,0.061054546856037534,,,,100000,0.0,fraction (x100 = pp)
P_AGREE - evidence__all__position__equal,False,prm_within_auc,100000,-0.021877690018712315,-0.026067963053053013,-0.01772514350659363,,,,100000,0.0,AUC
P_AGREE - evidence__all__position2__equal,False,pb_sla_macro8,100000,0.058112505927082,0.04071899245802946,0.07579658609168081,,,,100000,0.0,fraction (x100 = pp)
P_AGREE - evidence__all__position2__equal,False,prm_within_auc,100000,-0.024008542260763988,-0.02889615911650543,-0.01916481830091975,,,,100000,0.0,AUC
