cell,m,n,auroc_deployed,auroc_greedy_start,auroc_oracle_mask_insample,delta_insample_pp,delta_insample_vs_start_pp,greedy_converged_insample,n_cols_oracle_insample,n_cols_deployed,auroc_splithalf_oracle,auroc_splithalf_deployed,auroc_splithalf_NULL,delta_splithalf_pp,delta_splithalf_vs_null_pp,null_delta_vs_deployed_pp,n_splits_used,n_splits_greedy_unconverged,oracle_cols
math500_qwenmath7b,28,300,0.9155045638945232,0.9187373225152129,0.9419371196754563,2.6432555780933176,2.319979716024345,True,5,8,0.9012253083227659,0.8952882613919828,0.891300646820912,0.5937046930783119,0.9924661501853893,-0.39876145710707744,5,0,cusum_max|cusum_max_spilled|epr_energy|cusum_max_energy|mean_top1_logprob
math500_r1distill8b,28,300,0.8385677026733319,0.8385677026733319,0.8762225603129754,3.765485763964349,3.765485763964349,True,7,22,0.8457623859155937,0.8404443017151486,0.8299176077352872,0.5318084200445106,1.5844778180306496,-1.052669397986139,5,0,epr|spectral_entropy|high_band_power|stft_max_high_power|rpdi|min_spilled|cusum_max_energy
math500_r1distill8b_mn4096,29,300,0.8357853439820653,0.8357853439820653,0.8741768249964972,3.8391481014431905,3.8391481014431905,True,8,26,0.8478821020542855,0.8332247944265646,0.7562484212118724,1.4657307627720884,9.163368084241307,-7.6976373214692195,5,0,spectral_entropy|dominant_freq|rpdi|cusum_shift_idx|sw_var_peak_energy|cusum_max_energy|mean_top1_logprob|varentropy
noise_gsm8k_mistral7b,29,1319,0.7830679315212743,0.7830679315212743,0.8283847352956053,4.5316803774331005,4.5316803774331005,True,8,23,0.8205301399629086,0.7818045890915747,0.6798658719832232,3.872555087133389,14.066426797968534,-10.193871710835145,5,0,trace_length|spectral_entropy|dominant_freq|stft_max_high_power|rpdi|epr_energy|sw_var_peak_energy|logprob_margin
noise_gsm8k_phi3mini,29,1319,0.6830577313606034,0.6830577313606034,0.6981098391020062,1.5052107741402754,1.5052107741402754,True,13,20,0.6817419116927016,0.6800667051866982,0.6286818224039891,0.16752065060033905,5.306008928871253,-5.1384882782709145,5,0,epr|trace_length|spectral_entropy|hl_ratio|spectral_centroid|stft_max_high_power|stft_spectral_entropy|cusum_shift_idx|min_energy|sw_var_peak_energy|mean_logprob_entropy|varentropy|renyi_entropy_2
sciq_llama8b,30,198,0.738976871368349,0.741939159166002,0.7685997493448787,2.962287797652974,2.6660590178876786,True,15,24,0.741545122905703,0.7459111580440675,0.7460841276809231,-0.43660351383645324,-0.4539004775220179,0.01729696368556466,5,0,epr|trace_length|spectral_entropy|low_band_power|hl_ratio|dominant_freq|stft_spectral_entropy|rpdi|pe_mean|cusum_max|min_spilled|sw_var_peak_energy|logprob_margin|mean_logprob_entropy|varentropy
se_nq_open_llama8b,27,8460,0.7468965488308481,0.7468965488308481,0.7579918639725574,1.109531514170925,1.109531514170925,True,11,22,0.7584673852324253,0.7472518339381942,0.6701060212086979,1.121555129423113,8.836136402372741,-7.714581272949628,5,0,epr|trace_length|spectral_entropy|dominant_freq|cusum_max_spilled|epr_energy|min_energy|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
se_squad_v2_llama8b,27,2933,0.8102507127768863,0.8102507127768863,0.8399247399951519,2.967402721826562,2.967402721826562,True,13,23,0.8402085724107717,0.8098052350905315,0.705420439155011,3.0403337320240253,13.478813325576077,-10.438479593552053,5,0,epr|trace_length|spectral_entropy|low_band_power|hl_ratio|hurst_exponent|epr_energy|min_energy|sw_var_peak_energy|cusum_max_energy|logprob_margin|mean_logprob_entropy|varentropy
seiclr_triviaqa_opt30b,19,5000,0.811871846772098,0.811871846772098,0.8383425598614831,2.647071308938509,2.647071308938509,True,11,13,0.8336445988281236,0.8098912131556739,0.7397865111893592,2.3753385672449667,9.385808763876435,-7.010470196631468,5,0,trace_length|rpdi|sw_var_peak|cusum_max|epr_spilled|min_energy|sw_var_peak_energy|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
semenergy_triviaqa_qwen3_8b,27,4392,0.8102602404150281,0.8102602404150281,0.8242670633406567,1.4006822925628604,1.4006822925628604,True,15,21,0.8200158235420526,0.8083853894732249,0.6858802869054821,1.1630434068827689,13.413553663657051,-12.250510256774284,5,0,epr|spectral_entropy|low_band_power|dominant_freq|spectral_centroid|sw_var_peak|cusum_max|sw_var_peak_spilled|min_energy|cusum_max_energy|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass
spilled_triviaqa_llama8b,28,256,0.9299999999999999,0.9299999999999999,0.9873333333333333,5.733333333333334,5.733333333333334,True,9,22,0.8668996057829513,0.864804582334368,0.8169715707350115,0.20950234485833663,4.992803504793986,-4.7833011599356485,5,0,spectral_entropy|low_band_power|cusum_shift_idx|sw_var_peak_spilled|cusum_max_spilled|cusum_max_energy|mean_logprob_entropy|varentropy|topk_tail_mass
trace_gsm8k_llama8b_k10,29,5000,0.8113494318181818,0.8113494318181818,0.8264951828063241,1.5145750988142304,1.5145750988142304,True,10,22,0.8229371187016294,0.8144369926559516,0.7171823101230966,0.8500126045677847,10.57548085785328,-9.725468253285497,5,0,trace_length|stft_max_high_power|rpdi|pe_mean|hurst_exponent|epr_energy|sw_var_peak_energy|cusum_max_energy|logprob_margin|varentropy
trace_math500_qwenmath15b_k10,30,3000,0.6860695600152698,0.6860695600152698,0.7214187409488821,3.534918093361239,3.534918093361239,True,4,23,0.7131213108141605,0.6793302801443042,0.6542609181497939,3.3791030669856337,5.88603926643666,-2.5069361994510264,5,0,trace_length|rpdi|epr_energy|logprob_margin
truthfulqa_llama8b,29,7633,0.6633585817234888,0.6633585817234888,0.6960304792073927,3.2671897483903867,3.2671897483903867,True,7,22,0.7048299697335368,0.6724386140745265,0.6441011354373478,3.23913556590103,6.072883429618903,-2.8337478637178726,5,0,trace_length|spectral_entropy|rpdi|epr_energy|min_energy|cusum_max_energy|varentropy
