cell,min_frac,exclude_frac,scale_ratio,auroc,auroc_deployed,delta_pp,n_keep,proj_residual,g2_hat,g2_at_ceiling,is_deployed_point
ars_gsm8k_r1distill8b,0.2,5.0,1.0,0.7268705559146735,0.7384857789269554,-1.1615223012281906,11,0.014716637143513718,0.5284280936454849,False,False
ars_gsm8k_r1distill8b,0.2,10.0,0.05,0.7516766321913382,0.7384857789269554,1.319085326438274,22,0.2817221767289003,0.05,True,False
ars_gsm8k_r1distill8b,0.2,10.0,0.1,0.7564439237233356,0.7384857789269554,1.7958144796380138,23,0.28560999181316743,0.07792642140468228,False,False
ars_gsm8k_r1distill8b,0.2,10.0,0.25,0.7502626050420168,0.7384857789269554,1.1776826115061367,21,0.27342300730815255,0.056020066889632104,False,False
ars_gsm8k_r1distill8b,0.2,10.0,0.5,0.7384857789269554,0.7384857789269554,0.0,17,0.103235898513799,0.23076923076923075,False,False
ars_gsm8k_r1distill8b,0.2,10.0,1.0,0.7268705559146735,0.7384857789269554,-1.1615223012281906,11,0.014716637143513718,0.5284280936454849,False,False
ars_gsm8k_r1distill8b,0.2,inf,0.05,0.7546258888170654,0.7384857789269554,1.6140109890109944,23,0.28779731057108426,0.05,True,False
ars_gsm8k_r1distill8b,0.2,inf,0.1,0.7564439237233356,0.7384857789269554,1.7958144796380138,23,0.28560999181316743,0.07792642140468228,False,False
ars_gsm8k_r1distill8b,0.2,inf,0.25,0.7502626050420168,0.7384857789269554,1.1776826115061367,21,0.27342300730815255,0.056020066889632104,False,False
ars_gsm8k_r1distill8b,0.2,inf,0.5,0.7384857789269554,0.7384857789269554,0.0,17,0.103235898513799,0.23076923076923075,False,False
ars_gsm8k_r1distill8b,0.2,inf,1.0,0.7268705559146735,0.7384857789269554,-1.1615223012281906,11,0.014716637143513718,0.5284280936454849,False,False
epr_triviaqa_mistral24b,0.0,2.0,0.05,0.7455953316126137,0.7457496352822355,-0.015430366962176922,17,0.10649900672492413,0.05,True,False
epr_triviaqa_mistral24b,0.0,2.0,0.1,0.7457075524632477,0.7457496352822355,-0.004208281898776534,17,0.0924864432186542,0.1,True,False
epr_triviaqa_mistral24b,0.0,2.0,0.25,0.7471804511278195,0.7457496352822355,0.14308158455840214,19,0.07936293502399003,0.25,True,False
epr_triviaqa_mistral24b,0.0,2.0,0.5,0.7457356076759061,0.7457496352822355,-0.0014027606329403142,19,0.02879032477071272,0.5,True,False
epr_triviaqa_mistral24b,0.0,2.0,1.0,0.7448658960834924,0.7457496352822355,-0.0883739198743072,19,0.02225610297118337,0.6086956521739131,False,False
epr_triviaqa_mistral24b,0.0,3.0,0.05,0.7462406015037593,0.7457496352822355,0.04909662215237809,19,0.15242933681695475,0.05,True,False
epr_triviaqa_mistral24b,0.0,3.0,0.1,0.7464510155986983,0.7457496352822355,0.07013803164628296,19,0.13056248309769689,0.1,True,False
epr_triviaqa_mistral24b,0.0,3.0,0.25,0.7457496352822355,0.7457496352822355,0.0,22,0.06729797695019837,0.25,True,False
epr_triviaqa_mistral24b,0.0,3.0,0.5,0.7428599483784087,0.7457496352822355,-0.2889686903826738,23,0.03747329188909839,0.3963210702341137,False,False
epr_triviaqa_mistral24b,0.0,3.0,1.0,0.7428880035910672,0.7457496352822355,-0.2861631691168265,23,0.03747364133941123,0.39464882943143814,False,False
epr_triviaqa_mistral24b,0.0,5.0,0.05,0.7458057457075524,0.7457496352822355,0.005611042531694643,21,0.16560876445742215,0.05,True,False
epr_triviaqa_mistral24b,0.0,5.0,0.1,0.746549208843003,0.7457496352822355,0.07995735607675414,22,0.13456739640048848,0.1,True,False
epr_triviaqa_mistral24b,0.0,5.0,0.25,0.7453849175176748,0.7457496352822355,-0.03647177645607069,24,0.06794325377857832,0.25,True,False
epr_triviaqa_mistral24b,0.0,5.0,0.5,0.7429441140163843,0.7457496352822355,-0.28055212658512074,24,0.039697586072144395,0.391304347826087,False,False
epr_triviaqa_mistral24b,0.0,5.0,1.0,0.7429441140163843,0.7457496352822355,-0.28055212658512074,24,0.039697586072144395,0.391304347826087,False,False
epr_triviaqa_mistral24b,0.0,10.0,0.05,0.7459039389518572,0.7457496352822355,0.015430366962176922,23,0.1661157856638298,0.05,True,False
epr_triviaqa_mistral24b,0.0,10.0,0.1,0.7474329480417462,0.7457496352822355,0.16833127595107245,24,0.14379628125438693,0.1,True,False
epr_triviaqa_mistral24b,0.0,10.0,0.25,0.7453849175176748,0.7457496352822355,-0.03647177645607069,24,0.06794325377857832,0.25,True,False
epr_triviaqa_mistral24b,0.0,10.0,0.5,0.742439120188531,0.7457496352822355,-0.33105150937045025,25,0.04594246641795174,0.3595317725752508,False,False
epr_triviaqa_mistral24b,0.0,10.0,1.0,0.7424531477948604,0.7457496352822355,-0.32964874873750993,25,0.04594424940302851,0.35785953177257523,False,False
epr_triviaqa_mistral24b,0.0,inf,0.05,0.7469840646392101,0.7457496352822355,0.12344293569745979,24,0.17862065223714033,0.05,True,False
epr_triviaqa_mistral24b,0.0,inf,0.1,0.7474329480417462,0.7457496352822355,0.16833127595107245,24,0.14379628125438693,0.1,True,False
epr_triviaqa_mistral24b,0.0,inf,0.25,0.7440943777353832,0.7457496352822355,-0.16552575468522512,26,0.0826880670868876,0.25,True,False
epr_triviaqa_mistral24b,0.0,inf,0.5,0.741008304342947,0.7457496352822355,-0.4741330939288524,26,0.05467665013948011,0.3745819397993311,False,False
epr_triviaqa_mistral24b,0.0,inf,1.0,0.741008304342947,0.7457496352822355,-0.4741330939288524,26,0.05467665013948011,0.3745819397993311,False,False
epr_triviaqa_mistral24b,0.01,2.0,0.05,0.7455953316126137,0.7457496352822355,-0.015430366962176922,17,0.10649900672492413,0.05,True,False
epr_triviaqa_mistral24b,0.01,2.0,0.1,0.7457075524632477,0.7457496352822355,-0.004208281898776534,17,0.0924864432186542,0.1,True,False
epr_triviaqa_mistral24b,0.01,2.0,0.25,0.7471804511278195,0.7457496352822355,0.14308158455840214,19,0.07936293502399003,0.25,True,False
epr_triviaqa_mistral24b,0.01,2.0,0.5,0.7457356076759061,0.7457496352822355,-0.0014027606329403142,19,0.02879032477071272,0.5,True,False
epr_triviaqa_mistral24b,0.01,2.0,1.0,0.7448658960834924,0.7457496352822355,-0.0883739198743072,19,0.02225610297118337,0.6086956521739131,False,False
epr_triviaqa_mistral24b,0.01,3.0,0.05,0.7462406015037593,0.7457496352822355,0.04909662215237809,19,0.15242933681695475,0.05,True,False
epr_triviaqa_mistral24b,0.01,3.0,0.1,0.7464510155986983,0.7457496352822355,0.07013803164628296,19,0.13056248309769689,0.1,True,False
epr_triviaqa_mistral24b,0.01,3.0,0.25,0.7457496352822355,0.7457496352822355,0.0,22,0.06729797695019837,0.25,True,False
epr_triviaqa_mistral24b,0.01,3.0,0.5,0.7428599483784087,0.7457496352822355,-0.2889686903826738,23,0.03747329188909839,0.3963210702341137,False,False
epr_triviaqa_mistral24b,0.01,3.0,1.0,0.7428880035910672,0.7457496352822355,-0.2861631691168265,23,0.03747364133941123,0.39464882943143814,False,False
epr_triviaqa_mistral24b,0.01,5.0,0.05,0.7458057457075524,0.7457496352822355,0.005611042531694643,21,0.16560876445742215,0.05,True,False
epr_triviaqa_mistral24b,0.01,5.0,0.1,0.746549208843003,0.7457496352822355,0.07995735607675414,22,0.13456739640048848,0.1,True,False
epr_triviaqa_mistral24b,0.01,5.0,0.25,0.7453849175176748,0.7457496352822355,-0.03647177645607069,24,0.06794325377857832,0.25,True,False
epr_triviaqa_mistral24b,0.01,5.0,0.5,0.7429441140163843,0.7457496352822355,-0.28055212658512074,24,0.039697586072144395,0.391304347826087,False,False
epr_triviaqa_mistral24b,0.01,5.0,1.0,0.7429441140163843,0.7457496352822355,-0.28055212658512074,24,0.039697586072144395,0.391304347826087,False,False
epr_triviaqa_mistral24b,0.01,10.0,0.05,0.7459039389518572,0.7457496352822355,0.015430366962176922,23,0.1661157856638298,0.05,True,False
epr_triviaqa_mistral24b,0.01,10.0,0.1,0.7474329480417462,0.7457496352822355,0.16833127595107245,24,0.14379628125438693,0.1,True,False
epr_triviaqa_mistral24b,0.01,10.0,0.25,0.7453849175176748,0.7457496352822355,-0.03647177645607069,24,0.06794325377857832,0.25,True,False
epr_triviaqa_mistral24b,0.01,10.0,0.5,0.742439120188531,0.7457496352822355,-0.33105150937045025,25,0.04594246641795174,0.3595317725752508,False,False
epr_triviaqa_mistral24b,0.01,10.0,1.0,0.7424531477948604,0.7457496352822355,-0.32964874873750993,25,0.04594424940302851,0.35785953177257523,False,False
epr_triviaqa_mistral24b,0.01,inf,0.05,0.7469840646392101,0.7457496352822355,0.12344293569745979,24,0.17862065223714033,0.05,True,False
epr_triviaqa_mistral24b,0.01,inf,0.1,0.7474329480417462,0.7457496352822355,0.16833127595107245,24,0.14379628125438693,0.1,True,False
epr_triviaqa_mistral24b,0.01,inf,0.25,0.7451183929974189,0.7457496352822355,-0.0631242284816591,25,0.06685238308275691,0.25,True,False
epr_triviaqa_mistral24b,0.01,inf,0.5,0.741008304342947,0.7457496352822355,-0.4741330939288524,26,0.05467665013948011,0.3745819397993311,False,False
epr_triviaqa_mistral24b,0.01,inf,1.0,0.741008304342947,0.7457496352822355,-0.4741330939288524,26,0.05467665013948011,0.3745819397993311,False,False
epr_triviaqa_mistral24b,0.05,2.0,0.05,0.7455953316126137,0.7457496352822355,-0.015430366962176922,17,0.10649900672492413,0.05,True,False
epr_triviaqa_mistral24b,0.05,2.0,0.1,0.7457075524632477,0.7457496352822355,-0.004208281898776534,17,0.0924864432186542,0.1,True,False
epr_triviaqa_mistral24b,0.05,2.0,0.25,0.7471804511278195,0.7457496352822355,0.14308158455840214,19,0.07936293502399003,0.25,True,False
epr_triviaqa_mistral24b,0.05,2.0,0.5,0.7457356076759061,0.7457496352822355,-0.0014027606329403142,19,0.02879032477071272,0.5,True,False
epr_triviaqa_mistral24b,0.05,2.0,1.0,0.7448658960834924,0.7457496352822355,-0.0883739198743072,19,0.02225610297118337,0.6086956521739131,False,False
epr_triviaqa_mistral24b,0.05,3.0,0.05,0.7462406015037593,0.7457496352822355,0.04909662215237809,19,0.15242933681695475,0.05,True,False
