method,held_group,geometry_id,lambda,trust_factor,held_delta_auroc_pp,held_delta_auprc_pp,oracle_geometry,oracle_delta_auroc_pp,regret_pp,oracle_geometry_agreement
intrinsic_label_free,squad_v2,residual_adaptive_k7,0.03,0.5,0.498020384841813,0.3503358180813154,contribution_union_k7,0.7755127953551266,0.27749241051331364,False
intrinsic_label_free,triviaqa,residual_adaptive_k7,0.03,0.5,-0.12882636852424484,-0.012536602557722265,residual_adaptive_k7,-0.12882636852424484,0.0,True
intrinsic_label_free,truthfulqa,residual_adaptive_k7,0.03,0.5,0.31094356137068013,0.08151107727192575,residual_union_k7,0.5580174386336623,0.24707387726298213,False
held_family_geometry_oracle,gsm8k,contribution_union_k7,0.03,1.0,0.561888383988447,,contribution_union_k7,0.561888383988447,0.0,True
held_family_geometry_oracle,hotpotqa,contribution_union_k7,0.3,1.0,0.27529988022667595,,contribution_union_k7,0.27529988022667595,0.0,True
held_family_geometry_oracle,math500,contribution_union_k7,0.03,1.0,0.7811688014728113,,contribution_union_k7,0.7811688014728113,0.0,True
held_family_geometry_oracle,nq_open,contribution_union_k7,0.3,1.0,0.7673484913109041,,contribution_union_k7,0.7673484913109041,0.0,True
held_family_geometry_oracle,sciq,residual_adaptive_k7,0.03,0.5,0.7063917055941671,,residual_adaptive_k7,0.7063917055941671,0.0,True
held_family_geometry_oracle,squad_v2,contribution_union_k7,0.03,1.0,0.7755127953551266,,contribution_union_k7,0.7755127953551266,0.0,True
held_family_geometry_oracle,triviaqa,residual_adaptive_k7,0.03,0.5,-0.12882636852424484,,residual_adaptive_k7,-0.12882636852424484,0.0,True
held_family_geometry_oracle,truthfulqa,residual_union_k7,0.03,0.5,0.5580174386336623,,residual_union_k7,0.5580174386336623,0.0,True
held_family_full_tuple_ceiling,gsm8k,residual_adaptive_k7,3.0,1.0,0.7230747050126152,,contribution_union_k7,0.561888383988447,-0.16118632102416816,False
held_family_full_tuple_ceiling,hotpotqa,contribution_union_k7,1.0,2.0,0.4737303133770743,,contribution_union_k7,0.27529988022667595,-0.19843043315039832,True
held_family_full_tuple_ceiling,math500,contribution_union_k7,100.0,1.0,0.864220384981429,,contribution_union_k7,0.7811688014728113,-0.0830515835086176,True
held_family_full_tuple_ceiling,nq_open,contribution_union_k7,0.03,2.0,0.870580107986263,,contribution_union_k7,0.7673484913109041,-0.10323161667535885,True
held_family_full_tuple_ceiling,sciq,residual_adaptive_k7,100.0,2.0,2.2103224336333716,,residual_adaptive_k7,0.7063917055941671,-1.5039307280392045,True
held_family_full_tuple_ceiling,squad_v2,residual_union_k7,0.3,2.0,1.5001789156557033,,contribution_union_k7,0.7755127953551266,-0.7246661203005766,False
held_family_full_tuple_ceiling,triviaqa,contribution_union_k7,0.03,0.5,0.09744460342563008,,residual_adaptive_k7,-0.12882636852424484,-0.22627097194987492,False
held_family_full_tuple_ceiling,truthfulqa,residual_union_k7,0.03,2.0,1.5871417247640407,,residual_union_k7,0.5580174386336623,-1.0291242861303784,True
