geometry_id,selector,trust_class,actuator,lambda_is_a_cross_parameter,mean_pp,ci_pp,positive_groups,worst_group_pp
residual_union_k5,max_mean,expanded,full,True,0.4156829487949968,"[-0.029618826210026115, 0.845780037834109]",6,-0.5251639301851019
residual_union_k5,max_mean,expanded,cross,False,0.14498609275722016,"[-0.21810417245166036, 0.4799547819264875]",5,-0.7232757788868893
residual_union_k15,one_se,canonical,full,True,0.2615789695322646,"[0.027948691849287617, 0.47455734072307626]",6,-0.2873871996710853
residual_union_k15,one_se,canonical,cross,False,0.25484372876856487,"[0.023380008546429305, 0.466005274944881]",6,-0.29169993749047496
residual_union_k15,one_se,v1,full,True,0.19612893718437507,"[-0.006820515646610941, 0.39037035290996835]",6,-0.2873871996710853
residual_union_k15,one_se,v1,cross,False,0.17256417614319342,"[0.04204311483061163, 0.2978590649687335]",6,-0.1293541661131048
residual_union_k15,one_se,expanded,full,True,0.19612893718437507,"[-0.006977027707258854, 0.3912297896350825]",6,-0.2873871996710853
residual_union_k15,one_se,expanded,cross,False,0.17256417614319342,"[0.042418719159982576, 0.2978590649687335]",6,-0.1293541661131048
residual_union_k15,max_mean,canonical,full,True,0.4579298648796285,"[-0.009417447945707823, 0.9112940792828441]",6,-0.5119236572687869
residual_union_k15,max_mean,canonical,cross,False,0.2861953014750168,"[-0.15248899260384197, 0.7052778260436996]",5,-0.6886004718280603
residual_union_k15,max_mean,v1,full,True,0.4579298648796285,"[-0.006035853757762732, 0.9138199779593967]",6,-0.5119236572687869
residual_union_k15,max_mean,v1,cross,False,0.2861953014750168,"[-0.15248899260384197, 0.7036548293519368]",5,-0.6886004718280603
residual_union_k15,max_mean,expanded,full,True,0.4579298648796285,"[-0.005842766291630475, 0.9109010656283612]",6,-0.5119236572687869
residual_union_k15,max_mean,expanded,cross,False,0.2861953014750168,"[-0.15122976786497433, 0.7036548293519368]",5,-0.6886004718280603
residual_adaptive_k7,one_se,canonical,full,True,0.21982062439816807,"[0.021853195084102314, 0.4226155291392272]",6,-0.16928754522151923
