cell,group,prefix,actuator,geometry_id,lambda,trust_factor,iu_auroc,candidate_auroc,delta_auroc,iu_auprc,candidate_auprc,delta_auprc
noise_gsm8k_phi3mini,gsm8k,inner=math500,cross,residual_cosine_union_k7,,0.5,0.6727700787753008,0.6692162638637834,-0.0035538149115174056,0.8191824738479018,0.8148647011440007,-0.004317772703901102
noise_gsm8k_phi3mini,gsm8k,inner=math500,cross,residual_cosine_union_k7,,1.0,0.6727700787753008,0.6647921269331192,-0.007977951842181641,0.8191824738479018,0.8093692872741787,-0.009813186573723098
noise_gsm8k_phi3mini,gsm8k,inner=math500,cross,residual_cosine_union_k7,,2.0,0.6727700787753008,0.6546830019414875,-0.018087076833813276,0.8191824738479018,0.7991264791062918,-0.020055994741610017
noise_gsm8k_phi3mini,gsm8k,inner=math500,full,residual_shrinkage_mahalanobis_union_k7,0.03,0.25,0.6727700787753008,0.6706640110687108,-0.0021060677065900535,0.8191824738479018,0.8165304926958734,-0.00265198115202836
noise_gsm8k_phi3mini,gsm8k,inner=math500,full,residual_shrinkage_mahalanobis_union_k7,0.03,0.5,0.6727700787753008,0.6684575215906808,-0.004312557184619981,0.8191824738479018,0.8143106802185885,-0.004871793629313226
noise_gsm8k_phi3mini,gsm8k,inner=math500,full,residual_shrinkage_mahalanobis_union_k7,0.03,1.0,0.6727700787753008,0.6636512240298141,-0.009118854745486682,0.8191824738479018,0.8086112815166211,-0.010571192331280677
noise_gsm8k_phi3mini,gsm8k,inner=math500,full,residual_shrinkage_mahalanobis_union_k7,0.03,2.0,0.6727700787753008,0.6519995090491173,-0.02077056972618352,0.8191824738479018,0.7977680919660655,-0.02141438188183631
noise_gsm8k_phi3mini,gsm8k,inner=math500,full,residual_shrinkage_mahalanobis_union_k7,0.1,0.25,0.6727700787753008,0.670767222333802,-0.0020028564414987793,0.8191824738479018,0.8166263620570102,-0.0025561117908915465
noise_gsm8k_phi3mini,gsm8k,inner=math500,full,residual_shrinkage_mahalanobis_union_k7,0.1,0.5,0.6727700787753008,0.6686081542478409,-0.004161924527459893,0.8191824738479018,0.8144117783514657,-0.00477069549643605
noise_gsm8k_phi3mini,gsm8k,inner=math500,full,residual_shrinkage_mahalanobis_union_k7,0.1,1.0,0.6727700787753008,0.663899488964763,-0.008870589810537788,0.8191824738479018,0.8087983790878046,-0.010384094760097162
noise_gsm8k_phi3mini,gsm8k,inner=math500,full,residual_shrinkage_mahalanobis_union_k7,0.1,2.0,0.6727700787753008,0.6524904599317132,-0.020279618843587643,0.8191824738479018,0.7980772468936741,-0.021105226954227674
noise_gsm8k_phi3mini,gsm8k,inner=math500,full,residual_shrinkage_mahalanobis_union_k7,0.3,0.25,0.6727700787753008,0.670917854990962,-0.0018522237843388023,0.8191824738479018,0.8166920964656235,-0.002490377382278308
noise_gsm8k_phi3mini,gsm8k,inner=math500,full,residual_shrinkage_mahalanobis_union_k7,0.3,0.5,0.6727700787753008,0.6688145767780233,-0.003955501997277566,0.8191824738479018,0.8144258206542333,-0.00475665319366847
noise_gsm8k_phi3mini,gsm8k,inner=math500,full,residual_shrinkage_mahalanobis_union_k7,0.3,1.0,0.6727700787753008,0.6644601771886367,-0.008309901586664115,0.8191824738479018,0.8091219417919366,-0.010060532055965132
noise_gsm8k_phi3mini,gsm8k,inner=math500,full,residual_shrinkage_mahalanobis_union_k7,0.3,2.0,0.6727700787753008,0.653427729798487,-0.01934234897681386,0.8191824738479018,0.7984989549240415,-0.020683518923860222
noise_gsm8k_phi3mini,gsm8k,inner=math500,full,residual_shrinkage_mahalanobis_union_k7,1.0,0.25,0.6727700787753008,0.6711912253687711,-0.0015788534065297455,0.8191824738479018,0.8168505852622174,-0.0023318885856843385
noise_gsm8k_phi3mini,gsm8k,inner=math500,full,residual_shrinkage_mahalanobis_union_k7,1.0,0.5,0.6727700787753008,0.6693362120907813,-0.0034338666845195043,0.8191824738479018,0.8148373990890705,-0.00434507475883128
noise_gsm8k_phi3mini,gsm8k,inner=math500,full,residual_shrinkage_mahalanobis_union_k7,1.0,1.0,0.6727700787753008,0.665386289080806,-0.0073837896944948245,0.8191824738479018,0.8095417479651881,-0.009640725882713697
