context,selected,excluded_groups,geometry_id,health,length_energy_ratio_available_cells,length_energy_ratio_median,length_energy_ratio_min,length_energy_ratio_missing_cells,mean_direction_cosine,median_perturbation_stability,minimum_direction_cosine,minimum_perturbation_stability,moment_dispersion,predicted_roughness_decrease,valid
outer_held=squad_v2,False,['squad_v2'],residual_cosine_union_k7,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 11.0, 'minimum_largest_component_fraction': 0.5521402550091075}",19,1.3921709038240933,0.9589851009042386,3,0.985784779953328,0.3270723880777454,0.9298404547908345,0.22175214116190278,0.22831877980951307,0.003291909191312372,True
outer_held=squad_v2,False,['squad_v2'],residual_shrinkage_mahalanobis_union_k7,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 12.0, 'minimum_largest_component_fraction': 0.549863387978142}",19,0.9928331548977946,0.8420684873380124,3,0.9861317981809672,0.48906355618501945,0.9516367934867562,0.3237440597420231,0.21471398342148104,0.0015688139532007382,True
outer_held=triviaqa,False,['triviaqa'],residual_union_k7,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 12.0, 'minimum_largest_component_fraction': 0.9693146948516876}",17,1.0,1.0,3,0.9829128840606174,0.3619929799460264,0.9530800408431471,0.2786630794701987,0.21832893145982915,0.0012758532456646292,True
outer_held=triviaqa,False,['triviaqa'],residual_union_k5,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 9.0, 'minimum_largest_component_fraction': 0.9106716672349131}",17,0.9709793419682365,0.9407769975740332,3,0.9803201926637731,0.34047464438823144,0.9605350947359461,0.2554155458020671,0.22527710764936082,0.0011849790697902288,True
outer_held=triviaqa,False,['triviaqa'],residual_union_k15,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 24.0, 'minimum_largest_component_fraction': 1.0}",17,1.1021449347158891,1.0506060142904752,3,0.9798949983186132,0.41101529730719955,0.9230755451124373,0.32406803471978324,0.22091449346875977,0.00109860654469613,True
outer_held=triviaqa,True,['triviaqa'],residual_adaptive_k7,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 25.0, 'minimum_largest_component_fraction': 0.8496420047732697}",17,1.0291428181207605,0.9800636152033709,3,0.9806747441377291,0.4069038655368873,0.9518117789607127,0.3446863384662065,0.22252781618855466,0.0010762997841974964,True
outer_held=triviaqa,False,['triviaqa'],residual_mutual_k7,"{'maximum_isolated_fraction': 0.0719399931810433, 'median_degree_p90': 7.0, 'minimum_largest_component_fraction': 0.3893624275485851}",17,1.1093838048817986,0.9065758333669692,3,0.9768205590179387,0.330779325956716,0.9496924451369905,0.24394217063734475,0.28905713320503645,0.0011281545292599752,False
outer_held=triviaqa,False,['triviaqa'],contribution_union_k7,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 12.0, 'minimum_largest_component_fraction': 0.7136038186157518}",17,0.3007562537146557,0.136303750797734,3,0.98953021395487,0.31866066630440326,0.9773377613010631,0.17654332730904596,0.21148760293074984,0.00030779465626348487,False
outer_held=triviaqa,False,['triviaqa'],residual_cosine_union_k7,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 11.0, 'minimum_largest_component_fraction': 0.9304466416638254}",17,1.3921709038240933,0.9589851009042386,3,0.9841886552607014,0.31503796212359314,0.922503512844126,0.22175214116190278,0.22395932696373855,0.0030253139818844114,True
outer_held=triviaqa,False,['triviaqa'],residual_shrinkage_mahalanobis_union_k7,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 12.0, 'minimum_largest_component_fraction': 0.9621547903170815}",17,0.9910958683770266,0.8420684873380124,3,0.9859960493578865,0.48906355618501945,0.9512703046190292,0.3237440597420231,0.21051210924032335,0.0013745345462386638,True
outer_held=truthfulqa,False,['truthfulqa'],residual_union_k7,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 12.0, 'minimum_largest_component_fraction': 0.6086065573770492}",19,1.0,1.0,3,0.9862566118929835,0.3720877928318073,0.9719568487463418,0.2786630794701987,0.2166116749142852,0.0010734725298724016,True
outer_held=truthfulqa,False,['truthfulqa'],residual_union_k5,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 9.0, 'minimum_largest_component_fraction': 0.4713114754098361}",19,0.9700849459518821,0.8468134624706681,3,0.9801141156104652,0.3481173428215098,0.9656745093063931,0.2554155458020671,0.22834644599565068,0.0009592166540690408,False
outer_held=truthfulqa,False,['truthfulqa'],residual_union_k15,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 24.5, 'minimum_largest_component_fraction': 0.9144}",19,1.1047370081031336,1.0506060142904752,3,0.9830147687533829,0.41988679036469884,0.9666693001916321,0.32406803471978324,0.21602317485482578,0.0007391782172210784,True
outer_held=truthfulqa,True,['truthfulqa'],residual_adaptive_k7,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 25.0, 'minimum_largest_component_fraction': 0.54}",19,1.0374742579131495,0.9800636152033709,3,0.9817244126167187,0.4154850696919016,0.9661381709588934,0.3446863384662065,0.22534184610642957,0.0008800689628833196,True
outer_held=truthfulqa,False,['truthfulqa'],residual_mutual_k7,"{'maximum_isolated_fraction': 0.0947176684881603, 'median_degree_p90': 7.0, 'minimum_largest_component_fraction': 0.12864298724954462}",19,1.1093838048817986,0.9015695738337106,3,0.9710277096819507,0.343573579200538,0.9275030450992068,0.24394217063734475,0.29265463252890955,0.000784805360880823,False
outer_held=truthfulqa,False,['truthfulqa'],contribution_union_k7,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 12.0, 'minimum_largest_component_fraction': 0.4157559198542805}",19,0.3391861399177246,0.14315563171366477,3,0.9900280207018317,0.3542880112222368,0.9759778208450332,0.17654332730904596,0.22095430741536898,0.0002581797046287437,False
outer_held=truthfulqa,False,['truthfulqa'],residual_cosine_union_k7,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 11.0, 'minimum_largest_component_fraction': 0.5521402550091075}",19,1.4104585457798409,0.9589851009042386,3,0.994441624177852,0.33157706024118905,0.9901680083510124,0.22175214116190278,0.2125202717175248,0.0026354780782585803,True
outer_held=truthfulqa,False,['truthfulqa'],residual_shrinkage_mahalanobis_union_k7,"{'maximum_isolated_fraction': 0.0, 'median_degree_p90': 12.0, 'minimum_largest_component_fraction': 0.549863387978142}",19,0.9928331548977946,0.8420684873380124,3,0.9834301171217132,0.48906355618501945,0.9537983920026577,0.3237440597420231,0.2100682461344237,0.0008427110138538656,True
