held_group,geometry_id,donor_selected_lambda,donor_selected_trust,donor_inner_mean,held_delta_auroc
sciq,residual_mutual_k7,0.03,0.5,0.000389420541131628,0.0047852341346701355
sciq,contribution_union_k7,0.03,1.0,0.004091541221292144,0.003076221943716484
sciq,residual_cosine_union_k7,0.03,0.5,-0.0011115615000519797,0.0019368804830806052
sciq,residual_shrinkage_mahalanobis_union_k7,0.3,0.5,-1.383690000003056e-05,0.004329497550415784
squad_v2,residual_union_k7,0.03,0.5,0.001824901858802179,0.005911142405319092
squad_v2,residual_union_k5,0.03,0.5,0.001701484570644222,0.005402675654773703
squad_v2,residual_union_k15,0.03,0.5,0.0017460609633491494,0.005489247746240045
squad_v2,residual_adaptive_k7,0.03,0.5,0.0016512526396787982,0.00498020384841813
squad_v2,residual_mutual_k7,0.03,0.5,0.00029604851544605935,0.003574850230281923
squad_v2,contribution_union_k7,0.03,1.0,0.00428151278817902,0.007755127953551266
squad_v2,residual_cosine_union_k7,1.0,0.5,-0.0009929231688653403,0.0016719956598525432
squad_v2,residual_shrinkage_mahalanobis_union_k7,1.0,0.5,0.00013540773999958446,0.002937679637089907
triviaqa,residual_union_k7,0.03,0.5,0.0027433448437150392,-0.0015730237864075198
triviaqa,residual_union_k5,0.03,0.5,0.0023243238823501574,-0.001569257948376257
triviaqa,residual_union_k15,0.03,0.5,0.002837424130770586,-0.0018391011884994295
triviaqa,residual_adaptive_k7,0.03,0.5,0.002188005447388392,-0.0012882636852424485
triviaqa,residual_mutual_k7,1.0,0.5,0.0010435099285208455,-0.0015435749498408462
triviaqa,contribution_union_k7,1.0,1.0,0.007245270963560911,-0.0012897714170550707
triviaqa,residual_cosine_union_k7,0.03,0.5,-0.0009124491722276014,-0.0019938668705190934
triviaqa,residual_shrinkage_mahalanobis_union_k7,3.0,0.5,0.000712135725342162,-0.0020174685604525955
truthfulqa,residual_union_k7,0.03,0.5,0.002097550863435425,0.005580174386336623
truthfulqa,residual_union_k5,0.03,0.5,0.0016742336533832123,0.0054955823770390655
truthfulqa,residual_union_k15,0.03,0.5,0.0022763879000368245,0.005244523437239579
truthfulqa,residual_adaptive_k7,0.03,0.5,0.0017894015860527922,0.0031094356137068013
truthfulqa,residual_mutual_k7,0.03,0.5,-0.0002342678503402836,0.004623034820751881
truthfulqa,contribution_union_k7,0.03,1.0,0.004854707627480066,-0.0007448444159130485
truthfulqa,residual_cosine_union_k7,0.03,0.5,-0.001223187707634014,0.0021591793379579505
truthfulqa,residual_shrinkage_mahalanobis_union_k7,0.03,0.5,-0.0005211605295283591,0.004425230807576619
