held_group,geometry_id,selector,trust_class,full_selected_lambda,common_trust_factor,full_delta_auroc_pp,cross_delta_auroc_pp,full_minus_cross_pp,cross_lambda,actuator_was_selected
gsm8k,residual_union_k5,one_se,canonical,0.03,0.5,0.3443802171358157,0.3369332474470088,0.00744696968880687,,False
hotpotqa,residual_union_k5,one_se,canonical,0.03,0.5,0.1126226782745432,0.1108350167146388,0.0017876615599043966,,False
math500,residual_union_k5,one_se,canonical,0.03,0.5,0.11866120738808883,0.11553177499500356,0.0031294323930852698,,False
nq_open,residual_union_k5,one_se,canonical,0.03,0.5,-0.2960238626971923,-0.30078409601015377,0.004760233312961493,,False
sciq,residual_union_k5,one_se,canonical,0.03,0.5,0.5924575595305903,0.581064144924226,0.011393414606364338,,False
squad_v2,residual_union_k5,one_se,canonical,0.03,0.5,0.5402675654773703,0.5413641453026141,-0.0010965798252438042,,False
triviaqa,residual_union_k5,one_se,canonical,0.03,0.5,-0.1569257948376257,-0.15699634612439395,7.055128676825007e-05,,False
truthfulqa,residual_union_k5,one_se,canonical,0.03,0.5,0.5495582377039065,0.5500291996400342,-0.00047096193612761184,,False
gsm8k,residual_union_k5,one_se,v1,0.03,0.5,0.3443802171358157,0.3369332474470088,0.00744696968880687,,False
hotpotqa,residual_union_k5,one_se,v1,0.03,0.5,0.1126226782745432,0.1108350167146388,0.0017876615599043966,,False
math500,residual_union_k5,one_se,v1,0.03,0.25,0.15339832154017685,0.14278954838793823,0.010608773152238623,,False
nq_open,residual_union_k5,one_se,v1,1.0,0.25,-0.09391811671520811,-0.13269360123395746,0.03877548451874935,,False
sciq,residual_union_k5,one_se,v1,0.03,0.25,0.35319585279707244,0.35319585279708354,-1.1102230246251565e-14,,False
squad_v2,residual_union_k5,one_se,v1,0.03,0.25,0.28961250331861477,0.28014728798496646,0.009465215333648302,,False
triviaqa,residual_union_k5,one_se,v1,1.0,0.25,-0.04408916731171164,-0.04529248473950458,0.0012033174277929326,,False
truthfulqa,residual_union_k5,one_se,v1,0.03,0.25,0.2945142353679375,0.2949670833834461,-0.0004528480155086001,,False
gsm8k,residual_union_k5,one_se,expanded,0.03,0.5,0.3443802171358157,0.3369332474470088,0.00744696968880687,,False
hotpotqa,residual_union_k5,one_se,expanded,0.03,0.5,0.1126226782745432,0.1108350167146388,0.0017876615599043966,,False
math500,residual_union_k5,one_se,expanded,0.03,0.25,0.15339832154017685,0.14278954838793823,0.010608773152238623,,False
nq_open,residual_union_k5,one_se,expanded,1.0,0.25,-0.09391811671520811,-0.13269360123395746,0.03877548451874935,,False
sciq,residual_union_k5,one_se,expanded,0.03,0.25,0.35319585279707244,0.35319585279708354,-1.1102230246251565e-14,,False
squad_v2,residual_union_k5,one_se,expanded,0.03,0.25,0.28961250331861477,0.28014728798496646,0.009465215333648302,,False
triviaqa,residual_union_k5,one_se,expanded,1.0,0.25,-0.04408916731171164,-0.04529248473950458,0.0012033174277929326,,False
truthfulqa,residual_union_k5,one_se,expanded,0.03,0.25,0.2945142353679375,0.2949670833834461,-0.0004528480155086001,,False
gsm8k,residual_union_k5,max_mean,canonical,10.0,1.0,0.6432294318113629,0.4597336530651741,0.1834957787461888,,False
hotpotqa,residual_union_k5,max_mean,canonical,1.0,1.0,0.14122526323316897,0.14837590947281987,-0.007150646239650893,,False
math500,residual_union_k5,max_mean,canonical,3.0,1.0,0.19768539811743313,-0.1417852552862109,0.339470653403644,,False
nq_open,residual_union_k5,max_mean,canonical,3.0,1.0,-0.5251639301851019,-0.7232757788868893,0.19811184870178744,,False
sciq,residual_union_k5,max_mean,canonical,3.0,1.0,1.3444229235501926,0.7975390224450263,0.5468839011051663,,False
squad_v2,residual_union_k5,max_mean,canonical,3.0,1.0,0.9844401094271316,0.990096152736275,-0.005656043309143488,,False
triviaqa,residual_union_k5,max_mean,canonical,3.0,1.0,-0.42595625818804644,-0.4720921536948068,0.04613589550676034,,False
truthfulqa,residual_union_k5,max_mean,canonical,3.0,1.0,0.9655806525938337,0.9949070900783563,-0.02932643748452257,,False
gsm8k,residual_union_k5,max_mean,v1,10.0,1.0,0.6432294318113629,0.4597336530651741,0.1834957787461888,,False
hotpotqa,residual_union_k5,max_mean,v1,1.0,1.0,0.14122526323316897,0.14837590947281987,-0.007150646239650893,,False
math500,residual_union_k5,max_mean,v1,3.0,1.0,0.19768539811743313,-0.1417852552862109,0.339470653403644,,False
nq_open,residual_union_k5,max_mean,v1,3.0,1.0,-0.5251639301851019,-0.7232757788868893,0.19811184870178744,,False
sciq,residual_union_k5,max_mean,v1,3.0,1.0,1.3444229235501926,0.7975390224450263,0.5468839011051663,,False
squad_v2,residual_union_k5,max_mean,v1,3.0,1.0,0.9844401094271316,0.990096152736275,-0.005656043309143488,,False
triviaqa,residual_union_k5,max_mean,v1,3.0,1.0,-0.42595625818804644,-0.4720921536948068,0.04613589550676034,,False
truthfulqa,residual_union_k5,max_mean,v1,3.0,1.0,0.9655806525938337,0.9949070900783563,-0.02932643748452257,,False
gsm8k,residual_union_k5,max_mean,expanded,10.0,1.0,0.6432294318113629,0.4597336530651741,0.1834957787461888,,False
hotpotqa,residual_union_k5,max_mean,expanded,1.0,1.0,0.14122526323316897,0.14837590947281987,-0.007150646239650893,,False
math500,residual_union_k5,max_mean,expanded,3.0,1.0,0.19768539811743313,-0.1417852552862109,0.339470653403644,,False
nq_open,residual_union_k5,max_mean,expanded,3.0,1.0,-0.5251639301851019,-0.7232757788868893,0.19811184870178744,,False
sciq,residual_union_k5,max_mean,expanded,3.0,1.0,1.3444229235501926,0.7975390224450263,0.5468839011051663,,False
squad_v2,residual_union_k5,max_mean,expanded,3.0,1.0,0.9844401094271316,0.990096152736275,-0.005656043309143488,,False
triviaqa,residual_union_k5,max_mean,expanded,3.0,1.0,-0.42595625818804644,-0.4720921536948068,0.04613589550676034,,False
truthfulqa,residual_union_k5,max_mean,expanded,3.0,1.0,0.9655806525938337,0.9949070900783563,-0.02932643748452257,,False
gsm8k,residual_union_k15,one_se,canonical,0.03,0.5,0.3733439372103531,0.36624336609278774,0.007100571117565381,,False
hotpotqa,residual_union_k15,one_se,canonical,0.03,0.5,0.2127317256297112,0.2073687409499647,0.005362984679746496,,False
math500,residual_union_k15,one_se,canonical,0.03,0.5,0.2208714172096582,0.2156250542261917,0.005246362983466488,,False
nq_open,residual_union_k15,one_se,canonical,0.03,0.5,-0.2873871996710853,-0.29169993749047496,0.004312737819389678,,False
sciq,residual_union_k15,one_se,canonical,0.03,0.5,0.6836048763814606,0.660818047168743,0.022786829212717574,,False
squad_v2,residual_union_k15,one_se,canonical,0.03,0.5,0.5489247746240045,0.5421144367619757,0.006810337862028781,,False
triviaqa,residual_union_k15,one_se,canonical,0.03,0.5,-0.18391011884994296,-0.1873858539661895,0.0034757351162465703,,False
truthfulqa,residual_union_k15,one_se,canonical,0.03,0.5,0.5244523437239579,0.5256659764055205,-0.0012136326815626042,,False
gsm8k,residual_union_k15,one_se,v1,0.03,0.5,0.3733439372103531,0.36624336609278774,0.007100571117565381,,False
hotpotqa,residual_union_k15,one_se,v1,0.03,0.5,0.2127317256297112,0.2073687409499647,0.005362984679746496,,False
math500,residual_union_k15,one_se,v1,0.03,0.25,0.18017103813689372,0.18181454498207295,-0.0016435068451792169,,False
nq_open,residual_union_k15,one_se,v1,0.03,0.5,-0.2873871996710853,-0.29169993749047496,0.004312737819389678,,False
sciq,residual_union_k15,one_se,v1,0.03,0.5,0.6836048763814606,0.660818047168743,0.022786829212717574,,False
squad_v2,residual_union_k15,one_se,v1,0.03,0.25,0.30808121616475725,0.31033209054287525,-0.002250874378117995,,False
triviaqa,residual_union_k15,one_se,v1,0.03,0.5,-0.18391011884994296,-0.1873858539661895,0.0034757351162465703,,False
truthfulqa,residual_union_k15,one_se,v1,0.03,0.25,0.2823960224728528,0.28250470599657795,-0.00010868352372517265,,False
gsm8k,residual_union_k15,one_se,expanded,0.03,0.5,0.3733439372103531,0.36624336609278774,0.007100571117565381,,False
hotpotqa,residual_union_k15,one_se,expanded,0.03,0.5,0.2127317256297112,0.2073687409499647,0.005362984679746496,,False
math500,residual_union_k15,one_se,expanded,0.03,0.25,0.18017103813689372,0.18181454498207295,-0.0016435068451792169,,False
nq_open,residual_union_k15,one_se,expanded,0.03,0.5,-0.2873871996710853,-0.29169993749047496,0.004312737819389678,,False
sciq,residual_union_k15,one_se,expanded,0.03,0.5,0.6836048763814606,0.660818047168743,0.022786829212717574,,False
squad_v2,residual_union_k15,one_se,expanded,0.03,0.25,0.30808121616475725,0.31033209054287525,-0.002250874378117995,,False
triviaqa,residual_union_k15,one_se,expanded,0.03,0.5,-0.18391011884994296,-0.1873858539661895,0.0034757351162465703,,False
truthfulqa,residual_union_k15,one_se,expanded,0.03,0.25,0.2823960224728528,0.28250470599657795,-0.00010868352372517265,,False
gsm8k,residual_union_k15,max_mean,canonical,10.0,1.0,0.6591221423055604,0.5168192036714103,0.14230293863415006,,False
hotpotqa,residual_union_k15,max_mean,canonical,3.0,1.0,0.25742326462753207,0.3396556963835562,-0.08223243175602413,,False
math500,residual_union_k15,max_mean,canonical,3.0,1.0,0.35969977921801455,-0.008602286860381891,0.36830206607839644,,False
nq_open,residual_union_k15,max_mean,canonical,3.0,1.0,-0.5119236572687869,-0.6886004718280603,0.17667681455927342,,False
sciq,residual_union_k15,max_mean,canonical,3.0,1.0,1.5608978010709817,1.1735217044548163,0.38737609661616546,,False
squad_v2,residual_union_k15,max_mean,canonical,3.0,1.0,0.8832084771392079,0.973936028995892,-0.09072755185668413,,False
triviaqa,residual_union_k15,max_mean,canonical,3.0,1.0,-0.48332620403616816,-0.5440975753031152,0.06077137126694705,,False
truthfulqa,residual_union_k15,max_mean,canonical,3.0,1.0,0.9383373159806863,0.9587517045199334,-0.020414388539247152,,False
gsm8k,residual_union_k15,max_mean,v1,10.0,1.0,0.6591221423055604,0.5168192036714103,0.14230293863415006,,False
hotpotqa,residual_union_k15,max_mean,v1,3.0,1.0,0.25742326462753207,0.3396556963835562,-0.08223243175602413,,False
math500,residual_union_k15,max_mean,v1,3.0,1.0,0.35969977921801455,-0.008602286860381891,0.36830206607839644,,False
nq_open,residual_union_k15,max_mean,v1,3.0,1.0,-0.5119236572687869,-0.6886004718280603,0.17667681455927342,,False
sciq,residual_union_k15,max_mean,v1,3.0,1.0,1.5608978010709817,1.1735217044548163,0.38737609661616546,,False
squad_v2,residual_union_k15,max_mean,v1,3.0,1.0,0.8832084771392079,0.973936028995892,-0.09072755185668413,,False
triviaqa,residual_union_k15,max_mean,v1,3.0,1.0,-0.48332620403616816,-0.5440975753031152,0.06077137126694705,,False
truthfulqa,residual_union_k15,max_mean,v1,3.0,1.0,0.9383373159806863,0.9587517045199334,-0.020414388539247152,,False
gsm8k,residual_union_k15,max_mean,expanded,10.0,1.0,0.6591221423055604,0.5168192036714103,0.14230293863415006,,False
hotpotqa,residual_union_k15,max_mean,expanded,3.0,1.0,0.25742326462753207,0.3396556963835562,-0.08223243175602413,,False
math500,residual_union_k15,max_mean,expanded,3.0,1.0,0.35969977921801455,-0.008602286860381891,0.36830206607839644,,False
nq_open,residual_union_k15,max_mean,expanded,3.0,1.0,-0.5119236572687869,-0.6886004718280603,0.17667681455927342,,False
sciq,residual_union_k15,max_mean,expanded,3.0,1.0,1.5608978010709817,1.1735217044548163,0.38737609661616546,,False
squad_v2,residual_union_k15,max_mean,expanded,3.0,1.0,0.8832084771392079,0.973936028995892,-0.09072755185668413,,False
triviaqa,residual_union_k15,max_mean,expanded,3.0,1.0,-0.48332620403616816,-0.5440975753031152,0.06077137126694705,,False
truthfulqa,residual_union_k15,max_mean,expanded,3.0,1.0,0.9383373159806863,0.9587517045199334,-0.020414388539247152,,False
gsm8k,residual_adaptive_k7,one_se,canonical,0.03,0.5,0.395912116338375,0.38828542850917414,0.007626687829200831,,False
hotpotqa,residual_adaptive_k7,one_se,canonical,0.03,0.5,0.05899283147714485,0.05899283147714485,0.0,,False
math500,residual_adaptive_k7,one_se,canonical,0.03,0.5,0.0864183093089288,0.08353197384804556,0.002886335460883238,,False
nq_open,residual_adaptive_k7,one_se,canonical,0.03,0.5,-0.16928754522151923,-0.17441696231668136,0.005129417095162125,,False
sciq,residual_adaptive_k7,one_se,canonical,0.03,0.5,0.7063917055941671,0.7177851202005203,-0.011393414606353236,,False
squad_v2,residual_adaptive_k7,one_se,canonical,0.03,0.5,0.498020384841813,0.5012524095898807,-0.003232024748067719,,False
triviaqa,residual_adaptive_k7,one_se,canonical,0.03,0.5,-0.12882636852424484,-0.13182555568139004,0.0029991871571451775,,False
truthfulqa,residual_adaptive_k7,one_se,canonical,0.03,0.5,0.31094356137068013,0.31233833325846616,-0.0013947718877860282,,False
gsm8k,residual_adaptive_k7,one_se,v1,0.03,0.5,0.395912116338375,0.38828542850917414,0.007626687829200831,,False
hotpotqa,residual_adaptive_k7,one_se,v1,0.03,0.5,0.05899283147714485,0.05899283147714485,0.0,,False
math500,residual_adaptive_k7,one_se,v1,0.03,0.25,0.11327670444212455,0.10862539064390608,0.0046513137982184686,,False
nq_open,residual_adaptive_k7,one_se,v1,0.03,0.25,-0.068108814122958,-0.07027357357315411,0.0021647594501961187,,False
sciq,residual_adaptive_k7,one_se,v1,0.03,0.25,0.4899168280733779,0.4899168280733779,0.0,,False
squad_v2,residual_adaptive_k7,one_se,v1,0.03,0.25,0.22537601145061759,0.22375999907657818,0.0016160123740394106,,False
triviaqa,residual_adaptive_k7,one_se,v1,0.03,0.25,-0.03984158158994999,-0.04051099427603659,0.0006694126860865956,,False
truthfulqa,residual_adaptive_k7,one_se,v1,0.03,0.25,0.1703614234353612,0.17211847373553857,-0.0017570503001773652,,False
gsm8k,residual_adaptive_k7,one_se,expanded,0.03,0.5,0.395912116338375,0.38828542850917414,0.007626687829200831,,False
hotpotqa,residual_adaptive_k7,one_se,expanded,0.03,0.5,0.05899283147714485,0.05899283147714485,0.0,,False
math500,residual_adaptive_k7,one_se,expanded,0.03,0.25,0.11327670444212455,0.10862539064390608,0.0046513137982184686,,False
nq_open,residual_adaptive_k7,one_se,expanded,0.03,0.25,-0.068108814122958,-0.07027357357315411,0.0021647594501961187,,False
sciq,residual_adaptive_k7,one_se,expanded,0.03,0.25,0.4899168280733779,0.4899168280733779,0.0,,False
squad_v2,residual_adaptive_k7,one_se,expanded,0.03,0.25,0.22537601145061759,0.22375999907657818,0.0016160123740394106,,False
triviaqa,residual_adaptive_k7,one_se,expanded,0.03,0.25,-0.03984158158994999,-0.04051099427603659,0.0006694126860865956,,False
truthfulqa,residual_adaptive_k7,one_se,expanded,0.03,0.25,0.1703614234353612,0.17211847373553857,-0.0017570503001773652,,False
gsm8k,residual_adaptive_k7,max_mean,canonical,3.0,1.0,0.7230747050126152,0.5772575024116589,0.14581720260095632,,False
hotpotqa,residual_adaptive_k7,max_mean,canonical,3.0,1.0,-0.1126226782745543,-0.03217790807843457,-0.08044477019611973,,False
math500,residual_adaptive_k7,max_mean,canonical,1.0,1.0,-0.0023630143148634097,-0.17816196585191513,0.17579895153705172,,False
nq_open,residual_adaptive_k7,max_mean,canonical,1.0,1.0,-0.3717289128236767,-0.5066208356698576,0.1348919228461809,,False
sciq,residual_adaptive_k7,max_mean,canonical,1.0,1.0,1.3786031673692523,1.1963085336675339,0.1822946337017184,,False
squad_v2,residual_adaptive_k7,max_mean,canonical,3.0,1.0,0.7201643715443407,0.8077176133805986,-0.0875532418362579,,False
triviaqa,residual_adaptive_k7,max_mean,canonical,3.0,1.0,-0.3830357172445361,-0.43015859020070213,0.04712287295616604,,False
truthfulqa,residual_adaptive_k7,max_mean,canonical,1.0,1.0,0.4996362724739467,0.5271694318170206,-0.027533159343073876,,False
gsm8k,residual_adaptive_k7,max_mean,v1,3.0,1.0,0.7230747050126152,0.5772575024116589,0.14581720260095632,,False
hotpotqa,residual_adaptive_k7,max_mean,v1,3.0,1.0,-0.1126226782745543,-0.03217790807843457,-0.08044477019611973,,False
math500,residual_adaptive_k7,max_mean,v1,1.0,1.0,-0.0023630143148634097,-0.17816196585191513,0.17579895153705172,,False
nq_open,residual_adaptive_k7,max_mean,v1,1.0,1.0,-0.3717289128236767,-0.5066208356698576,0.1348919228461809,,False
sciq,residual_adaptive_k7,max_mean,v1,1.0,1.0,1.3786031673692523,1.1963085336675339,0.1822946337017184,,False
squad_v2,residual_adaptive_k7,max_mean,v1,3.0,1.0,0.7201643715443407,0.8077176133805986,-0.0875532418362579,,False
triviaqa,residual_adaptive_k7,max_mean,v1,3.0,1.0,-0.3830357172445361,-0.43015859020070213,0.04712287295616604,,False
truthfulqa,residual_adaptive_k7,max_mean,v1,1.0,1.0,0.4996362724739467,0.5271694318170206,-0.027533159343073876,,False
gsm8k,residual_adaptive_k7,max_mean,expanded,3.0,1.0,0.7230747050126152,0.5772575024116589,0.14581720260095632,,False
hotpotqa,residual_adaptive_k7,max_mean,expanded,3.0,1.0,-0.1126226782745543,-0.03217790807843457,-0.08044477019611973,,False
math500,residual_adaptive_k7,max_mean,expanded,1.0,1.0,-0.0023630143148634097,-0.17816196585191513,0.17579895153705172,,False
nq_open,residual_adaptive_k7,max_mean,expanded,1.0,1.0,-0.3717289128236767,-0.5066208356698576,0.1348919228461809,,False
sciq,residual_adaptive_k7,max_mean,expanded,1.0,1.0,1.3786031673692523,1.1963085336675339,0.1822946337017184,,False
squad_v2,residual_adaptive_k7,max_mean,expanded,3.0,1.0,0.7201643715443407,0.8077176133805986,-0.0875532418362579,,False
triviaqa,residual_adaptive_k7,max_mean,expanded,3.0,1.0,-0.3830357172445361,-0.43015859020070213,0.04712287295616604,,False
truthfulqa,residual_adaptive_k7,max_mean,expanded,1.0,1.0,0.4996362724739467,0.5271694318170206,-0.027533159343073876,,False
gsm8k,residual_mutual_k7,one_se,canonical,0.03,0.5,0.11409262503490279,0.10349644508217404,0.01059617995272876,,False
hotpotqa,residual_mutual_k7,one_se,canonical,1.0,0.5,-0.1144103398344587,-0.050054523677578455,-0.06435581615688024,,False
math500,residual_mutual_k7,one_se,canonical,1.0,0.5,-0.052174923252503724,-0.16689798559683,0.11472306234432626,,False
nq_open,residual_mutual_k7,one_se,canonical,0.03,0.5,-0.5122984347446513,-0.5168964509412066,0.00459801619655531,,False
sciq,residual_mutual_k7,one_se,canonical,0.03,0.5,0.47852341346701355,0.47852341346701355,0.0,,False
squad_v2,residual_mutual_k7,one_se,canonical,0.03,0.5,0.3574850230281923,0.3489432433368522,0.008541779691340068,,False
triviaqa,residual_mutual_k7,one_se,canonical,1.0,0.5,-0.15435749498408463,-0.20516216319994193,0.050804668215857315,,False
truthfulqa,residual_mutual_k7,one_se,canonical,0.03,0.5,0.4623034820751881,0.46322729202683544,-0.0009238099516473142,,False
gsm8k,residual_mutual_k7,one_se,v1,0.03,0.25,0.08868705494015972,0.08474678325920859,0.003940271680951117,,False
hotpotqa,residual_mutual_k7,one_se,v1,0.03,0.25,-0.04469153899784306,-0.050054523677578455,0.005362984679735394,,False
math500,residual_mutual_k7,one_se,v1,0.03,0.25,0.002176735303014432,-0.008741781167671547,0.010918516470685978,,False
nq_open,residual_mutual_k7,one_se,v1,0.03,0.25,-0.24307395841927093,-0.2453338106618519,0.002259852242580962,,False
sciq,residual_mutual_k7,one_se,v1,0.03,0.25,0.26204853594622435,0.23926170673350677,0.022786829212717574,,False
squad_v2,residual_mutual_k7,one_se,v1,0.03,0.25,0.21833481467802285,0.21175533572658223,0.0065794789514406204,,False
triviaqa,residual_mutual_k7,one_se,v1,0.03,0.25,-0.06726900461154392,-0.06759610128105331,0.00032709666950939695,,False
truthfulqa,residual_mutual_k7,one_se,v1,0.03,0.25,0.24406696643998194,0.24457415621734757,-0.0005071897773656353,,False
gsm8k,residual_mutual_k7,one_se,expanded,0.03,0.25,0.08868705494015972,0.08474678325920859,0.003940271680951117,,False
hotpotqa,residual_mutual_k7,one_se,expanded,0.03,0.25,-0.04469153899784306,-0.050054523677578455,0.005362984679735394,,False
math500,residual_mutual_k7,one_se,expanded,0.03,0.25,0.002176735303014432,-0.008741781167671547,0.010918516470685978,,False
nq_open,residual_mutual_k7,one_se,expanded,0.03,0.25,-0.24307395841927093,-0.2453338106618519,0.002259852242580962,,False
sciq,residual_mutual_k7,one_se,expanded,0.03,0.25,0.26204853594622435,0.23926170673350677,0.022786829212717574,,False
squad_v2,residual_mutual_k7,one_se,expanded,0.03,0.25,0.21833481467802285,0.21175533572658223,0.0065794789514406204,,False
triviaqa,residual_mutual_k7,one_se,expanded,0.03,0.25,-0.06726900461154392,-0.06759610128105331,0.00032709666950939695,,False
truthfulqa,residual_mutual_k7,one_se,expanded,0.03,0.25,0.24406696643998194,0.24457415621734757,-0.0005071897773656353,,False
gsm8k,residual_mutual_k7,max_mean,canonical,10.0,1.0,0.38884761896420983,0.0025501087749513207,0.3862975101892585,,False
hotpotqa,residual_mutual_k7,max_mean,canonical,3.0,0.5,-0.18055381755126554,-0.050054523677578455,-0.13049929387368708,,False
math500,residual_mutual_k7,max_mean,canonical,3.0,0.5,-0.005316506688939349,-0.16689798559683,0.16158147890789065,,False
nq_open,residual_mutual_k7,max_mean,canonical,1.0,0.5,-0.4479485827677876,-0.5168964509412066,0.06894786817341902,,False
sciq,residual_mutual_k7,max_mean,canonical,3.0,0.5,0.5696707303178727,0.47852341346701355,0.0911473168508592,,False
squad_v2,residual_mutual_k7,max_mean,canonical,30.0,0.5,0.3283390855678636,0.3489432433368522,-0.020604157768988607,,False
triviaqa,residual_mutual_k7,max_mean,canonical,1.0,0.5,-0.15435749498408463,-0.20516216319994193,0.050804668215857315,,False
truthfulqa,residual_mutual_k7,max_mean,canonical,3.0,0.5,0.41114977024303556,0.46322729202683544,-0.052077521783799874,,False
gsm8k,residual_mutual_k7,max_mean,v1,10.0,1.0,0.38884761896420983,0.0025501087749513207,0.3862975101892585,,False
