cell,domain,family,method,auroc,auprc,delta_pp
losnet_hotpotqa_mistral7b,QA,hotpotqa,raw_uniform_liu,0.5711042385455586,0.40947589659819267,-0.005362984679735394
losnet_hotpotqa_mistral7b,QA,hotpotqa,atomic_random__lambda_0p1,0.5712651280859508,0.4103668396808632,0.01072596935948189
losnet_hotpotqa_mistral7b,QA,hotpotqa,family_blocked__lambda_0p1,0.5713723877795456,0.41073602987623564,0.02145193871896378
losnet_hotpotqa_mistral7b,QA,hotpotqa,dependency_blocked_t4__lambda_0p1,0.5712114982391534,0.40985371861036923,0.005362984679746496
losnet_hotpotqa_mistral7b,QA,hotpotqa,dependency_blocked_t8__lambda_0p1,0.5713366345483474,0.41016365251798126,0.017876615599143886
losnet_hotpotqa_mistral7b,QA,hotpotqa,dependency_direct__lambda_0p1,0.5709433490051663,0.40843664534098945,-0.02145193871896378
losnet_hotpotqa_mistral7b,QA,hotpotqa,dependency_node_permuted__lambda_0p1,0.5710684853143604,0.40949528638179145,-0.00893830779955529
losnet_hotpotqa_mistral7b,QA,hotpotqa,dependency_blocked_k5__lambda_0p1,0.5710506086987612,0.40948018170472433,-0.010725969359470788
losnet_hotpotqa_mistral7b,QA,hotpotqa,dependency_blocked_k11__lambda_0p1,0.5711399917767569,0.4094238522598329,-0.0017876615599043966
losnet_hotpotqa_mistral7b,QA,hotpotqa,dependency_blocked__lambda_0p1,0.5710863619299595,0.40936085513150705,-0.007150646239639791
losnet_hotpotqa_mistral7b,QA,hotpotqa,atomic_random__lambda_0,0.5711578683923559,0.40937580725009665,0.0
losnet_hotpotqa_mistral7b,QA,hotpotqa,atomic_random__lambda_0p03,0.5712114982391534,0.40981002823752066,0.005362984679746496
losnet_hotpotqa_mistral7b,QA,hotpotqa,atomic_random__lambda_0p3,0.5712651280859508,0.4115703901136287,0.01072596935948189
losnet_hotpotqa_mistral7b,QA,hotpotqa,atomic_random__lambda_1,0.5725164911778903,0.41445873117276966,0.13586227855343358
losnet_hotpotqa_mistral7b,QA,hotpotqa,atomic_random__lambda_3,0.5727846404118772,0.4156840038195322,0.16267720195212165
losnet_hotpotqa_mistral7b,QA,hotpotqa,dependency_blocked__lambda_0,0.5711578683923559,0.40937580725009665,0.0
losnet_hotpotqa_mistral7b,QA,hotpotqa,dependency_blocked__lambda_0p03,0.5711578683923559,0.40939406232767417,0.0
losnet_hotpotqa_mistral7b,QA,hotpotqa,dependency_blocked__lambda_0p3,0.5710684853143603,0.4094625058772805,-0.008938307799566392
losnet_hotpotqa_mistral7b,QA,hotpotqa,dependency_blocked__lambda_1,0.5711578683923559,0.4096784040630307,0.0
losnet_hotpotqa_mistral7b,QA,hotpotqa,dependency_blocked__lambda_3,0.5712114982391534,0.4097667909078643,0.005362984679746496
losnet_hotpotqa_mistral7b,QA,hotpotqa,family_blocked__lambda_0,0.5711578683923559,0.40937580725009665,0.0
losnet_hotpotqa_mistral7b,QA,hotpotqa,family_blocked__lambda_0p03,0.5713187579327482,0.41028982266114317,0.016088954039228387
losnet_hotpotqa_mistral7b,QA,hotpotqa,family_blocked__lambda_0p3,0.5719265628631187,0.4129420166332293,0.07686944707627763
losnet_hotpotqa_mistral7b,QA,hotpotqa,family_blocked__lambda_1,0.572891900105472,0.41573691535245727,0.17340317131160354
losnet_hotpotqa_mistral7b,QA,hotpotqa,family_blocked__lambda_3,0.5729991597990668,0.4166282051287137,0.18412914067108543
sciq_llama8b,QA,sciq,deployed_upcr,0.7401162128289849,0.8441127188113602,-0.14811438988264758
sciq_llama8b,QA,sciq,iu_pcr,0.7415973567278114,0.8443328162218233,0.0
sciq_llama8b,QA,sciq,dufs_liu,0.7406858835593028,0.8438336951620652,-0.0911473168508592
sciq_llama8b,QA,sciq,raw_uniform_liu,0.7407998177053663,0.8437995743822563,-0.07975390224450596
sciq_llama8b,QA,sciq,atomic_random__lambda_0p1,0.7413694884356842,0.844980623592837,-0.022786829212717574
sciq_llama8b,QA,sciq,family_blocked__lambda_0p1,0.7415973567278114,0.844382041839117,0.0
sciq_llama8b,QA,sciq,dependency_blocked_t4__lambda_0p1,0.7409137518514299,0.8447605654438264,-0.06836048763814162
sciq_llama8b,QA,sciq,dependency_blocked_t8__lambda_0p1,0.740344081121112,0.844471507579156,-0.12532756066993
sciq_llama8b,QA,sciq,dependency_direct__lambda_0p1,0.740344081121112,0.844471507579156,-0.12532756066993
sciq_llama8b,QA,sciq,dependency_node_permuted__lambda_0p1,0.7418252250199385,0.8444001552691092,0.022786829212717574
sciq_llama8b,QA,sciq,dependency_blocked_k5__lambda_0p1,0.7407998177053664,0.8444330986496685,-0.07975390224449486
sciq_llama8b,QA,sciq,dependency_blocked_k11__lambda_0p1,0.7413694884356842,0.844124555775857,-0.022786829212717574
sciq_llama8b,QA,sciq,dependency_blocked__lambda_0p1,0.7403440811211119,0.8443406982461831,-0.1253275606699411
sciq_llama8b,QA,sciq,atomic_random__lambda_0,0.7415973567278114,0.8443328162218233,0.0
sciq_llama8b,QA,sciq,atomic_random__lambda_0p03,0.7417112908738749,0.8444512869639332,0.011393414606353236
sciq_llama8b,QA,sciq,atomic_random__lambda_0p3,0.740344081121112,0.844471507579156,-0.12532756066993
sciq_llama8b,QA,sciq,atomic_random__lambda_1,0.7402301469750484,0.8441956372979154,-0.13672097527629434
sciq_llama8b,QA,sciq,atomic_random__lambda_3,0.7407998177053664,0.8444330986496685,-0.07975390224449486
sciq_llama8b,QA,sciq,dependency_blocked__lambda_0,0.7415973567278114,0.8443328162218233,0.0
sciq_llama8b,QA,sciq,dependency_blocked__lambda_0p03,0.7412555542896206,0.8440600377178821,-0.03418024381907081
sciq_llama8b,QA,sciq,dependency_blocked__lambda_0p3,0.7405719494132391,0.8446172811345003,-0.10254073145722353
sciq_llama8b,QA,sciq,dependency_blocked__lambda_1,0.7394326079526033,0.8442316305072219,-0.2164748775208003
sciq_llama8b,QA,sciq,dependency_blocked__lambda_3,0.7392047396604763,0.8443043582298874,-0.23926170673350677
sciq_llama8b,QA,sciq,family_blocked__lambda_0,0.7415973567278114,0.8443328162218233,0.0
sciq_llama8b,QA,sciq,family_blocked__lambda_0p03,0.7418252250199384,0.8443980118027626,0.022786829212706472
sciq_llama8b,QA,sciq,family_blocked__lambda_0p3,0.7407998177053663,0.8437995743822563,-0.07975390224450596
sciq_llama8b,QA,sciq,family_blocked__lambda_1,0.7406858835593028,0.8438336951620652,-0.0911473168508592
sciq_llama8b,QA,sciq,family_blocked__lambda_3,0.7401162128289849,0.8431930715913268,-0.14811438988264758
se_nq_open_llama8b,QA,nq_open,deployed_upcr,0.7468965488308481,0.7320822580268198,0.3423228652017718
se_nq_open_llama8b,QA,nq_open,iu_pcr,0.7434733201788304,0.7287365752387622,0.0
se_nq_open_llama8b,QA,nq_open,dufs_liu,0.7461348555638374,0.7305906864865256,0.2661535385007019
se_nq_open_llama8b,QA,nq_open,raw_uniform_liu,0.7431566052432488,0.7285502361554962,-0.03167149355816079
se_nq_open_llama8b,QA,nq_open,atomic_random__lambda_0p1,0.7440353185818309,0.7292490379979306,0.05619984030005298
se_nq_open_llama8b,QA,nq_open,family_blocked__lambda_0p1,0.7444615580394662,0.729645501605145,0.09882378606358433
se_nq_open_llama8b,QA,nq_open,dependency_blocked_t4__lambda_0p1,0.7437904826099055,0.7289968164692773,0.03171624310751575
se_nq_open_llama8b,QA,nq_open,dependency_blocked_t8__lambda_0p1,0.7432691503598843,0.7286176987178294,-0.02041698189461094
se_nq_open_llama8b,QA,nq_open,dependency_direct__lambda_0p1,0.7427748356502879,0.728196025735422,-0.06984845285424868
se_nq_open_llama8b,QA,nq_open,dependency_node_permuted__lambda_0p1,0.7435132032146958,0.7287845036654917,0.003988303586544006
se_nq_open_llama8b,QA,nq_open,dependency_blocked_k5__lambda_0p1,0.7431310980001147,0.7285374084729335,-0.0342222178715712
se_nq_open_llama8b,QA,nq_open,dependency_blocked_k11__lambda_0p1,0.7433778358278876,0.728677374436939,-0.009548435094275387
se_nq_open_llama8b,QA,nq_open,dependency_blocked__lambda_0p1,0.7432317844861702,0.7285545384467127,-0.02415356926601664
se_nq_open_llama8b,QA,nq_open,atomic_random__lambda_0,0.7434733201788304,0.7287365752387622,0.0
se_nq_open_llama8b,QA,nq_open,atomic_random__lambda_0p03,0.743669435078892,0.728876012552188,0.019611490006166132
se_nq_open_llama8b,QA,nq_open,atomic_random__lambda_0p3,0.7447193154437686,0.7297631947250901,0.12459952649381822
se_nq_open_llama8b,QA,nq_open,atomic_random__lambda_1,0.7458014154841832,0.7303786428563195,0.23280953053528286
se_nq_open_llama8b,QA,nq_open,atomic_random__lambda_3,0.7465774286069885,0.7309300438217728,0.31041084281581144
se_nq_open_llama8b,QA,nq_open,dependency_blocked__lambda_0,0.7434733201788304,0.7287365752387622,0.0
se_nq_open_llama8b,QA,nq_open,dependency_blocked__lambda_0p03,0.7433854432512785,0.7286644330074128,-0.008787692755185539
se_nq_open_llama8b,QA,nq_open,dependency_blocked__lambda_0p3,0.7428730609111289,0.7282988972153196,-0.0600259267701464
se_nq_open_llama8b,QA,nq_open,dependency_blocked__lambda_1,0.7423208514720504,0.7277737461369251,-0.11524687067799855
se_nq_open_llama8b,QA,nq_open,dependency_blocked__lambda_3,0.7419066943927417,0.7273694275476379,-0.15666257860886823
se_nq_open_llama8b,QA,nq_open,family_blocked__lambda_0,0.7434733201788304,0.7287365752387622,0.0
se_nq_open_llama8b,QA,nq_open,family_blocked__lambda_0p03,0.743816101726913,0.72902309386622,0.034278154808264905
se_nq_open_llama8b,QA,nq_open,family_blocked__lambda_0p3,0.7456503298181629,0.7304613424855466,0.2177009639332539
se_nq_open_llama8b,QA,nq_open,family_blocked__lambda_1,0.747341191540657,0.7315201427893896,0.3867871361826647
se_nq_open_llama8b,QA,nq_open,family_blocked__lambda_3,0.748375689247942,0.7323019920506308,0.49023690691115673
se_squad_v2_llama8b,QA,squad_v2,deployed_upcr,0.8102507127768864,0.6869915730847795,-0.048768944859356456
se_squad_v2_llama8b,QA,squad_v2,iu_pcr,0.81073840222548,0.6883534077083218,0.0
se_squad_v2_llama8b,QA,squad_v2,dufs_liu,0.8100821857721653,0.6866339894433331,-0.06562164533147063
se_squad_v2_llama8b,QA,squad_v2,raw_uniform_liu,0.8110287073055302,0.6891649332287291,0.029030508005023492
se_squad_v2_llama8b,QA,squad_v2,atomic_random__lambda_0p1,0.8107424422564151,0.6883557929909203,0.0004040030935126282
se_squad_v2_llama8b,QA,squad_v2,family_blocked__lambda_0p1,0.810666835963201,0.687867493478628,-0.00715662622789992
se_squad_v2_llama8b,QA,squad_v2,dependency_blocked_t4__lambda_0p1,0.8115238996687174,0.6909632275008563,0.07854974432374151
se_squad_v2_llama8b,QA,squad_v2,dependency_blocked_t8__lambda_0p1,0.811562568536239,0.6910748783175622,0.08241663107589892
se_squad_v2_llama8b,QA,squad_v2,dependency_direct__lambda_0p1,0.8115169739014002,0.6909522174724788,0.07785716759202144
se_squad_v2_llama8b,QA,squad_v2,dependency_node_permuted__lambda_0p1,0.8107378250782034,0.6883351072014077,-5.7714727663693566e-05
se_squad_v2_llama8b,QA,squad_v2,dependency_blocked_k5__lambda_0p1,0.8114938880103424,0.6910112844645834,0.07554857848623975
se_squad_v2_llama8b,QA,squad_v2,dependency_blocked_k11__lambda_0p1,0.8114182817171286,0.6908531174206446,0.0679879491648605
se_squad_v2_llama8b,QA,squad_v2,dependency_blocked__lambda_0p1,0.8115625685362391,0.6910914473376595,0.08241663107591002
se_squad_v2_llama8b,QA,squad_v2,atomic_random__lambda_0,0.81073840222548,0.6883534077083218,0.0
se_squad_v2_llama8b,QA,squad_v2,atomic_random__lambda_0p03,0.8107384022254799,0.6883533552943759,-1.1102230246251565e-14
se_squad_v2_llama8b,QA,squad_v2,atomic_random__lambda_0p3,0.8107366707836505,0.6883520056781308,-0.00017314418294667178
se_squad_v2_llama8b,QA,squad_v2,atomic_random__lambda_1,0.8107389793727564,0.6883429751232346,5.7714727641489105e-05
se_squad_v2_llama8b,QA,squad_v2,atomic_random__lambda_3,0.8107355164890977,0.6883404779246695,-0.00028857363822965
se_squad_v2_llama8b,QA,squad_v2,dependency_blocked__lambda_0,0.81073840222548,0.6883534077083218,0.0
se_squad_v2_llama8b,QA,squad_v2,dependency_blocked__lambda_0p03,0.8110269758637009,0.6891394474348814,0.028857363822087923
se_squad_v2_llama8b,QA,squad_v2,dependency_blocked__lambda_0p3,0.8117507185483591,0.6923102261983298,0.10123163228791254
se_squad_v2_llama8b,QA,squad_v2,dependency_blocked__lambda_1,0.8122897741045559,0.6935005618816503,0.15513718790759468
se_squad_v2_llama8b,QA,squad_v2,dependency_blocked__lambda_3,0.8124963928295224,0.6947464522111918,0.17579906040423587
se_squad_v2_llama8b,QA,squad_v2,family_blocked__lambda_0,0.81073840222548,0.6883534077083218,0.0
se_squad_v2_llama8b,QA,squad_v2,family_blocked__lambda_0p03,0.8108180485496289,0.6889054330154584,0.00796463241489187
se_squad_v2_llama8b,QA,squad_v2,family_blocked__lambda_0p3,0.8105900753754344,0.6873920543991131,-0.01483268500456214
se_squad_v2_llama8b,QA,squad_v2,family_blocked__lambda_1,0.8102911130862374,0.6870071512487157,-0.04472891392426348
se_squad_v2_llama8b,QA,squad_v2,family_blocked__lambda_3,0.8095229300612931,0.6847871006047813,-0.1215472164186937
seiclr_triviaqa_opt30b,QA,triviaqa,deployed_upcr,0.8118718467720979,0.794442977916806,-0.9853475400641742
seiclr_triviaqa_opt30b,QA,triviaqa,iu_pcr,0.8217253221727396,0.803245937990686,0.0
seiclr_triviaqa_opt30b,QA,triviaqa,dufs_liu,0.8206626152270837,0.8021624954904805,-0.10627069456559113
seiclr_triviaqa_opt30b,QA,triviaqa,raw_uniform_liu,0.8201083481909701,0.8016857132034169,-0.16169739817695206
seiclr_triviaqa_opt30b,QA,triviaqa,atomic_random__lambda_0p1,0.8213292793209996,0.8029279148553329,-0.03960428517399972
seiclr_triviaqa_opt30b,QA,triviaqa,family_blocked__lambda_0p1,0.8190556106553054,0.8005726426096421,-0.26697115174342256
seiclr_triviaqa_opt30b,QA,triviaqa,dependency_blocked_t4__lambda_0p1,0.8212530615736489,0.8028268519883279,-0.04722605990907791
seiclr_triviaqa_opt30b,QA,triviaqa,dependency_blocked_t8__lambda_0p1,0.8213514692980763,0.8029176747469713,-0.03738528746632941
seiclr_triviaqa_opt30b,QA,triviaqa,dependency_direct__lambda_0p1,0.820767937219731,0.8023379831228273,-0.09573849530086775
seiclr_triviaqa_opt30b,QA,triviaqa,dependency_node_permuted__lambda_0p1,0.8216688824484356,0.8031663507372613,-0.0056439724304024885
seiclr_triviaqa_opt30b,QA,triviaqa,dependency_blocked_k5__lambda_0p1,0.8214127329304405,0.8029914416536429,-0.0312589242299155
seiclr_triviaqa_opt30b,QA,triviaqa,dependency_blocked_k11__lambda_0p1,0.8211622113051823,0.8027148989514616,-0.05631108675573371
seiclr_triviaqa_opt30b,QA,triviaqa,dependency_blocked__lambda_0p1,0.8213604739264554,0.80293212242671,-0.036484824628424395
seiclr_triviaqa_opt30b,QA,triviaqa,atomic_random__lambda_0,0.8217253221727396,0.803245937990686,0.0
seiclr_triviaqa_opt30b,QA,triviaqa,atomic_random__lambda_0p03,0.8215804441339991,0.8030937538344107,-0.014487803874052574
seiclr_triviaqa_opt30b,QA,triviaqa,atomic_random__lambda_0p3,0.8206069794874566,0.8021540404660907,-0.11183426852829914
seiclr_triviaqa_opt30b,QA,triviaqa,atomic_random__lambda_1,0.8193497082500405,0.8008693367623044,-0.2375613922699138
seiclr_triviaqa_opt30b,QA,triviaqa,atomic_random__lambda_3,0.8180622071887806,0.7999047585226278,-0.36631149839589927
seiclr_triviaqa_opt30b,QA,triviaqa,dependency_blocked__lambda_0,0.8217253221727396,0.803245937990686,0.0
seiclr_triviaqa_opt30b,QA,triviaqa,dependency_blocked__lambda_0p03,0.8215905743409256,0.8031079467167386,-0.013474783181399719
seiclr_triviaqa_opt30b,QA,triviaqa,dependency_blocked__lambda_0p3,0.8206856091888375,0.8021805170143241,-0.10397129839021524
seiclr_triviaqa_opt30b,QA,triviaqa,dependency_blocked__lambda_1,0.8197068382434285,0.8012188805386672,-0.20184839293111434
seiclr_triviaqa_opt30b,QA,triviaqa,dependency_blocked__lambda_3,0.8186330363092345,0.8002081537283153,-0.3092285863505184
seiclr_triviaqa_opt30b,QA,triviaqa,family_blocked__lambda_0,0.8217253221727396,0.803245937990686,0.0
seiclr_triviaqa_opt30b,QA,triviaqa,family_blocked__lambda_0p03,0.8209366132049016,0.802501585703586,-0.07887089678380033
seiclr_triviaqa_opt30b,QA,triviaqa,family_blocked__lambda_0p3,0.8141683486026103,0.7950332251030496,-0.75569735701293
seiclr_triviaqa_opt30b,QA,triviaqa,family_blocked__lambda_1,0.8042061744736795,0.783166021058492,-1.7519147699060156
seiclr_triviaqa_opt30b,QA,triviaqa,family_blocked__lambda_3,0.7938928198379681,0.7656065131419951,-2.7832502334771525
semenergy_triviaqa_qwen3_8b,QA,triviaqa,deployed_upcr,0.8130966838819187,0.7789160085372531,0.7378202714373727
semenergy_triviaqa_qwen3_8b,QA,triviaqa,iu_pcr,0.805718481167545,0.7711870634968545,0.0
semenergy_triviaqa_qwen3_8b,QA,triviaqa,dufs_liu,0.8059055131200836,0.7712052832136318,0.018703195253866323
semenergy_triviaqa_qwen3_8b,QA,triviaqa,raw_uniform_liu,0.8047311602714209,0.7702330661999814,-0.09873208961240776
semenergy_triviaqa_qwen3_8b,QA,triviaqa,atomic_random__lambda_0p1,0.8051110429483551,0.7702482092497043,-0.060743821918984864
semenergy_triviaqa_qwen3_8b,QA,triviaqa,family_blocked__lambda_0p1,0.8050418411259157,0.7701704761611972,-0.06766400416292617
semenergy_triviaqa_qwen3_8b,QA,triviaqa,dependency_blocked_t4__lambda_0p1,0.8039244291161369,0.76920429631293,-0.1794052051408035
semenergy_triviaqa_qwen3_8b,QA,triviaqa,dependency_blocked_t8__lambda_0p1,0.8039414698051459,0.7692213272926065,-0.17770113623990502
semenergy_triviaqa_qwen3_8b,QA,triviaqa,dependency_direct__lambda_0p1,0.803501321276838,0.7685141582829023,-0.22171598907069212
semenergy_triviaqa_qwen3_8b,QA,triviaqa,dependency_node_permuted__lambda_0p1,0.8056274589506427,0.7709911723284636,-0.009102221690227008
semenergy_triviaqa_qwen3_8b,QA,triviaqa,dependency_blocked_k5__lambda_0p1,0.8044138293919467,0.7699557320666878,-0.13046517755982423
semenergy_triviaqa_qwen3_8b,QA,triviaqa,dependency_blocked_k11__lambda_0p1,0.8045096313143025,0.7699128274685162,-0.1208849853242433
semenergy_triviaqa_qwen3_8b,QA,triviaqa,dependency_blocked__lambda_0p1,0.8043926324373256,0.7699339388250591,-0.13258487302193478
semenergy_triviaqa_qwen3_8b,QA,triviaqa,atomic_random__lambda_0,0.805718481167545,0.7711870634968545,0.0
semenergy_triviaqa_qwen3_8b,QA,triviaqa,atomic_random__lambda_0p03,0.8054680661644236,0.7706182149855707,-0.025041500312139586
semenergy_triviaqa_qwen3_8b,QA,triviaqa,atomic_random__lambda_0p3,0.804238642796402,0.7697061297594142,-0.14798383711429608
semenergy_triviaqa_qwen3_8b,QA,triviaqa,atomic_random__lambda_1,0.8012548597135668,0.7642684520024475,-0.44636214539781616
semenergy_triviaqa_qwen3_8b,QA,triviaqa,atomic_random__lambda_3,0.7983901536405146,0.7607029542309298,-0.7328327527030387
semenergy_triviaqa_qwen3_8b,QA,triviaqa,dependency_blocked__lambda_0,0.805718481167545,0.7711870634968545,0.0
semenergy_triviaqa_qwen3_8b,QA,triviaqa,dependency_blocked__lambda_0p03,0.805239055929204,0.7703156688196153,-0.04794252383409914
semenergy_triviaqa_qwen3_8b,QA,triviaqa,dependency_blocked__lambda_0p3,0.8008857833272236,0.7640201718476608,-0.4832697840321365
semenergy_triviaqa_qwen3_8b,QA,triviaqa,dependency_blocked__lambda_1,0.792843617181337,0.7518486582537051,-1.2874863986207963
semenergy_triviaqa_qwen3_8b,QA,triviaqa,dependency_blocked__lambda_3,0.7825310909449104,0.7380604580186942,-2.3187390222634607
semenergy_triviaqa_qwen3_8b,QA,triviaqa,family_blocked__lambda_0,0.805718481167545,0.7711870634968545,0.0
semenergy_triviaqa_qwen3_8b,QA,triviaqa,family_blocked__lambda_0p03,0.8054790802682953,0.7708262236216892,-0.023940089924967545
semenergy_triviaqa_qwen3_8b,QA,triviaqa,family_blocked__lambda_0p3,0.8039356510332891,0.7692030717075917,-0.17828301342558417
semenergy_triviaqa_qwen3_8b,QA,triviaqa,family_blocked__lambda_1,0.8005597242899645,0.7630534876159393,-0.5158756877580495
semenergy_triviaqa_qwen3_8b,QA,triviaqa,family_blocked__lambda_3,0.7964921949488073,0.7577149915517788,-0.9226286218737667
spilled_triviaqa_llama8b,QA,triviaqa,deployed_upcr,0.9299999999999999,0.4658628408628408,-0.20000000000001128
spilled_triviaqa_llama8b,QA,triviaqa,iu_pcr,0.932,0.512390873015873,0.0
spilled_triviaqa_llama8b,QA,triviaqa,dufs_liu,0.9326666666666666,0.5132309267793138,0.06666666666665932
spilled_triviaqa_llama8b,QA,triviaqa,raw_uniform_liu,0.932,0.512390873015873,0.0
spilled_triviaqa_llama8b,QA,triviaqa,atomic_random__lambda_0p1,0.932,0.512390873015873,0.0
spilled_triviaqa_llama8b,QA,triviaqa,family_blocked__lambda_0p1,0.932,0.512390873015873,0.0
spilled_triviaqa_llama8b,QA,triviaqa,dependency_blocked_t4__lambda_0p1,0.9313333333333333,0.4846130952380952,-0.06666666666667043
spilled_triviaqa_llama8b,QA,triviaqa,dependency_blocked_t8__lambda_0p1,0.9313333333333333,0.4846130952380952,-0.06666666666667043
spilled_triviaqa_llama8b,QA,triviaqa,dependency_direct__lambda_0p1,0.932,0.512390873015873,0.0
spilled_triviaqa_llama8b,QA,triviaqa,dependency_node_permuted__lambda_0p1,0.932,0.512390873015873,0.0
spilled_triviaqa_llama8b,QA,triviaqa,dependency_blocked_k5__lambda_0p1,0.9313333333333333,0.4846130952380952,-0.06666666666667043
spilled_triviaqa_llama8b,QA,triviaqa,dependency_blocked_k11__lambda_0p1,0.9313333333333333,0.4846130952380952,-0.06666666666667043
spilled_triviaqa_llama8b,QA,triviaqa,dependency_blocked__lambda_0p1,0.9313333333333333,0.4846130952380952,-0.06666666666667043
spilled_triviaqa_llama8b,QA,triviaqa,atomic_random__lambda_0,0.932,0.512390873015873,0.0
spilled_triviaqa_llama8b,QA,triviaqa,atomic_random__lambda_0p03,0.932,0.512390873015873,0.0
spilled_triviaqa_llama8b,QA,triviaqa,atomic_random__lambda_0p3,0.9326666666666668,0.5125710531960532,0.06666666666667043
spilled_triviaqa_llama8b,QA,triviaqa,atomic_random__lambda_1,0.932,0.512390873015873,0.0
spilled_triviaqa_llama8b,QA,triviaqa,atomic_random__lambda_3,0.932,0.512390873015873,0.0
spilled_triviaqa_llama8b,QA,triviaqa,dependency_blocked__lambda_0,0.932,0.512390873015873,0.0
spilled_triviaqa_llama8b,QA,triviaqa,dependency_blocked__lambda_0p03,0.9313333333333333,0.4846130952380952,-0.06666666666667043
spilled_triviaqa_llama8b,QA,triviaqa,dependency_blocked__lambda_0p3,0.932,0.4847932754182754,0.0
spilled_triviaqa_llama8b,QA,triviaqa,dependency_blocked__lambda_1,0.9326666666666666,0.4581430745814308,0.06666666666665932
spilled_triviaqa_llama8b,QA,triviaqa,dependency_blocked__lambda_3,0.9319999999999999,0.4488838153221715,-1.1102230246251565e-14
spilled_triviaqa_llama8b,QA,triviaqa,family_blocked__lambda_0,0.932,0.512390873015873,0.0
spilled_triviaqa_llama8b,QA,triviaqa,family_blocked__lambda_0p03,0.932,0.512390873015873,0.0
