cell,domain,family,schema,block_count,max_block_size,partition_count,graph_cka,graph_cka_min,edge_jaccard,score_spearman,score_spearman_min,rank_change,n_components,degree_min,t4_spearman_vs_final,t8_spearman_vs_final
se_squad_v2_llama8b,QA,squad_v2,atomic_random,24,1,16,0.9299749934125652,0.9208065061019898,0.4542906683526741,0.9999473496156401,0.9996650945322068,3.638481839383927e-05,83,0.02022640335383864,nan,nan
se_squad_v2_llama8b,QA,squad_v2,dependency_blocked,15,5,16,0.9249866654441187,0.9216372133348337,0.4182222906133796,0.9999561882026815,0.999621429696887,0.0034506292306796323,80,0.01845290945303022,0.9999937430572575,0.9999993460428871
se_squad_v2_llama8b,QA,squad_v2,family_blocked,6,9,16,0.9328894640433816,0.9174562227619214,0.46317230940674314,0.9998958344413618,0.9994935890486336,0.00185946183714969,79,0.025256199739384474,nan,nan
seiclr_triviaqa_opt30b,QA,triviaqa,atomic_random,18,1,16,0.9424610560992764,0.928880967058837,0.6072956214143168,0.9999372634304031,0.9993956220976552,0.00139248,233,0.0,nan,nan
seiclr_triviaqa_opt30b,QA,triviaqa,dependency_blocked,8,5,16,0.9424314336787288,0.9265159287483871,0.5921226739243866,0.9999066717514209,0.9991536536392411,0.0012733599999999999,237,0.0,0.9999971222027936,0.9999994861110703
seiclr_triviaqa_opt30b,QA,triviaqa,family_blocked,6,6,16,0.943115420921534,0.9353326706156402,0.5894901608160119,0.9999883226468593,0.9997955394303729,0.00673792,233,0.0,nan,nan
semenergy_triviaqa_qwen3_8b,QA,triviaqa,atomic_random,24,1,16,0.9522732002141168,0.945589082421451,0.6837313250527798,0.9999803279655614,0.9998703439920494,0.002099570008062349,253,0.03661464574948277,nan,nan
semenergy_triviaqa_qwen3_8b,QA,triviaqa,dependency_blocked,13,6,16,0.9496676379519992,0.9392584135727338,0.6795454483879183,0.9999912853359816,0.9998699752949979,0.004827974193848063,245,0.03285444452423275,0.9999808502745806,0.9999842749220298
semenergy_triviaqa_qwen3_8b,QA,triviaqa,family_blocked,6,9,16,0.9538180444625808,0.945961314813901,0.6914610685011406,0.9999626094022656,0.999736631466674,0.0023317150573488477,247,0.03904373703723969,nan,nan
spilled_triviaqa_llama8b,QA,triviaqa,atomic_random,25,1,16,0.7465539794006467,0.5551044610922543,0.42082726987388,0.9999320496681161,0.9995908674753947,0.000732421875,1,0.04494103248873183,nan,nan
spilled_triviaqa_llama8b,QA,triviaqa,dependency_blocked,13,9,16,0.6132232995583755,0.4490889804359645,0.34405568581722423,0.9999506466010526,0.9996037422751199,0.00347900390625,1,0.041666857881622554,0.9999506466010526,0.9999656672007322
spilled_triviaqa_llama8b,QA,triviaqa,family_blocked,6,9,16,0.7147671808345212,0.5576954538138507,0.41829038340666247,0.9997818436713205,0.9985487239642938,0.0010986328125,1,0.04680726135208351,nan,nan
truthfulqa_llama8b,QA,truthfulqa,atomic_random,25,1,16,0.8185379195567415,0.8085063337503592,0.1756765298492145,0.999956908821674,0.99976103309758,0.001969734009358888,22,0.009525613167276646,nan,nan
truthfulqa_llama8b,QA,truthfulqa,dependency_blocked,19,4,16,0.8198828033389192,0.80067281636395,0.15193163035292578,0.9999578209761575,0.9994616005068523,0.0003916228445961359,23,0.008264769111436612,0.9999967032581243,0.9999991412623817
truthfulqa_llama8b,QA,truthfulqa,family_blocked,6,10,16,0.840994903749692,0.7898348190631838,0.22567478751637104,0.9998482790694633,0.9985993580982507,0.001556982720107546,23,0.013630123539766293,nan,nan
ars_gsm8k_r1distill8b,math,gsm8k,atomic_random,26,1,16,0.5769635026313894,0.36655364635351034,0.2992290440988579,0.9999210876843507,0.9996251185004741,0.006736,1,0.030106590694483015,nan,nan
ars_gsm8k_r1distill8b,math,gsm8k,dependency_blocked,17,7,16,0.465530376790397,0.3083383233983844,0.22475655550070645,0.9998479833919336,0.9985984903939614,0.00252,1,0.021307562687147927,0.9999738878955515,0.9999781119124476
ars_gsm8k_r1distill8b,math,gsm8k,family_blocked,6,10,16,0.565752666999909,0.3660545223333754,0.29567768343304507,0.9998472153888616,0.9975964383857534,0.006064,1,0.0365440246175839,nan,nan
internalstates_gsm8k_qwen25_7b,math,gsm8k,atomic_random,25,1,16,0.6494490892040794,0.5815003520809024,0.2972025730684078,0.9999840639362556,0.9995367981471925,0.002368,1,0.0289091237966111,nan,nan
internalstates_gsm8k_qwen25_7b,math,gsm8k,dependency_blocked,16,6,16,0.5492551155991647,0.3726180953505471,0.20966999791046712,0.9998857595430382,0.999128028512114,0.006928,1,0.020696703869480797,0.999943839775359,0.9998415033660135
internalstates_gsm8k_qwen25_7b,math,gsm8k,family_blocked,6,10,16,0.6343365453927134,0.4269365161896477,0.30801186943620174,0.9998793275173099,0.9983885375541502,0.0064080000000000005,1,0.03278094018673013,nan,nan
lapeigvals_gsm8k_llama3b,math,gsm8k,atomic_random,26,1,16,0.5139173367568731,0.44998314181137694,0.193185713018327,0.9998651823142375,0.998588731121942,0.00349933122997929,1,0.01577364711935279,nan,nan
lapeigvals_gsm8k_llama3b,math,gsm8k,dependency_blocked,18,7,16,0.4807760649145221,0.2931471440668277,0.16045049397439579,0.9997885881307936,0.9971120483952665,0.00684231914613559,1,0.014613400131287056,0.9999201165599586,0.9999781256592242
lapeigvals_gsm8k_llama3b,math,gsm8k,family_blocked,6,10,16,0.5598576397177244,0.3545432222448066,0.27745614293121407,0.9998776072326413,0.9974344739819804,0.008886278057733217,1,0.01994921601343122,nan,nan
lapeigvals_gsm8k_llama8b,math,gsm8k,atomic_random,25,1,16,0.6444228549217377,0.5553020049535318,0.28110005905366503,0.9998014232056929,0.997376693506774,0.006944,1,0.025863998116945192,nan,nan
lapeigvals_gsm8k_llama8b,math,gsm8k,dependency_blocked,15,7,16,0.6109607413790956,0.4524709089801719,0.24201208945999667,0.9996578066312265,0.998625658502634,0.006607999999999999,2,0.022984887539296162,0.9999694718778874,0.9999537278149113
lapeigvals_gsm8k_llama8b,math,gsm8k,family_blocked,6,10,16,0.6646369531568093,0.5162822056382459,0.3186859570260876,0.9999254077016309,0.9983832575330301,0.007008,1,0.030815273567629697,nan,nan
lapeigvals_gsm8k_mistral24b,math,gsm8k,atomic_random,26,1,16,0.5458080611338899,0.4431312371501666,0.18009889898849518,0.999875081460087,0.9966807635802635,0.005004135625525575,1,0.012589275966255782,nan,nan
lapeigvals_gsm8k_mistral24b,math,gsm8k,dependency_blocked,18,5,16,0.5062297864444785,0.40928126774787615,0.1588072006531132,0.9998037846008616,0.9973526556851169,0.006101987571856134,1,0.012966737368756176,0.9997691820398015,0.9998496302488614
lapeigvals_gsm8k_mistral24b,math,gsm8k,family_blocked,6,10,16,0.5699677290585516,0.30522936476645607,0.2667221929105545,0.9998257949045496,0.9962705843926501,0.00817353648001076,1,0.019828364944454436,nan,nan
lapeigvals_gsm8k_nemo,math,gsm8k,atomic_random,25,1,16,0.5302608006240939,0.416015797796102,0.21152618388532274,0.9999796081778973,0.9994933969611872,0.009533493393632804,1,0.016164984926449348,nan,nan
lapeigvals_gsm8k_nemo,math,gsm8k,dependency_blocked,16,7,16,0.4458330373675561,0.30861626590122926,0.14994344299322823,0.9999282481879544,0.9979729080301893,0.004052280744309133,1,0.01254512476401525,0.9999225115989437,0.9999960047821297
lapeigvals_gsm8k_nemo,math,gsm8k,family_blocked,6,10,16,0.5309700528721859,0.34367354293978764,0.24338262213724932,0.9999325336343483,0.997822595801821,0.011607341468167179,1,0.021540759131134977,nan,nan
