conditioning,loading_estimator,weighting,test_set,test_set_code,auroc
no conditioning,leading eigenvector (current),weight by signal over noise,MATH-500 / R1-Distill-8B (long),math500_r1distill8b_mn4096,0.8315351921909299
no conditioning,leading eigenvector (current),weight by signal over noise,GSM8K / Mistral-7B,noise_gsm8k_mistral7b,0.7743839351815661
no conditioning,leading eigenvector (current),weight by signal over noise,GSM8K / Phi-3-mini,noise_gsm8k_phi3mini,0.6761230501439378
no conditioning,leading eigenvector (current),weight by signal over noise,SciQ / Llama-8B,sciq_llama8b,0.7380653981998405
no conditioning,leading eigenvector (current),weight by signal over noise,NQ-Open / Llama-8B,se_nq_open_llama8b,0.7513852083161445
no conditioning,leading eigenvector (current),weight by signal over noise,SQuAD-v2 / Llama-8B,se_squad_v2_llama8b,0.794244110212044
no conditioning,leading eigenvector (current),weight by signal over noise,TriviaQA / OPT-30B,seiclr_triviaqa_opt30b,0.5714537286369341
no conditioning,leading eigenvector (current),weight by signal over noise,TriviaQA / Qwen3-8B,semenergy_triviaqa_qwen3_8b,0.8046954163871578
no conditioning,leading eigenvector (current),weight by signal over noise,TriviaQA / Llama-8B,spilled_triviaqa_llama8b,0.9246666666666666
no conditioning,leading eigenvector (current),weight by signal over noise,GSM8K / Llama-8B (10 samples),trace_gsm8k_llama8b_k10,0.8102272727272727
no conditioning,leading eigenvector (current),weight by signal over noise,MATH-500 / Qwen-Math-1.5B (10 samples),trace_math500_qwenmath15b_k10,0.6849304483999268
no conditioning,leading eigenvector (current),weight by signal over noise,TruthfulQA / Llama-8B,truthfulqa_llama8b,0.6474076443643246
no conditioning,triplet method-of-moments,weight by signal (current),GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,0.7351527149321266
no conditioning,triplet method-of-moments,weight by signal (current),TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,0.7435753563012009
no conditioning,triplet method-of-moments,weight by signal (current),CoQA / Llama-7B,inside_coqa_llama7b,0.5316363424764606
no conditioning,triplet method-of-moments,weight by signal (current),GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,0.7099497022605076
no conditioning,triplet method-of-moments,weight by signal (current),GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,0.6948292233362192
no conditioning,triplet method-of-moments,weight by signal (current),GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,0.8173993113940268
no conditioning,triplet method-of-moments,weight by signal (current),GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,0.8467283342179088
no conditioning,triplet method-of-moments,weight by signal (current),GSM8K / Nemo,lapeigvals_gsm8k_nemo,0.7993378021531585
no conditioning,triplet method-of-moments,weight by signal (current),GSM8K / Phi-3.5,lapeigvals_gsm8k_phi35,0.8105581217347965
no conditioning,triplet method-of-moments,weight by signal (current),HotpotQA / Mistral-7B,losnet_hotpotqa_mistral7b,0.5716762902447309
no conditioning,triplet method-of-moments,weight by signal (current),MATH-500 / DeepSeek-Math-7B,math500_dsmath7b,0.7877409573316005
no conditioning,triplet method-of-moments,weight by signal (current),MATH-500 / Qwen-Math-7B,math500_qwenmath7b,0.8931921906693713
no conditioning,triplet method-of-moments,weight by signal (current),MATH-500 / R1-Distill-8B,math500_r1distill8b,0.8372636383394915
no conditioning,triplet method-of-moments,weight by signal (current),MATH-500 / R1-Distill-8B (long),math500_r1distill8b_mn4096,0.8246695623744804
no conditioning,triplet method-of-moments,weight by signal (current),GSM8K / Mistral-7B,noise_gsm8k_mistral7b,0.7864753137228753
no conditioning,triplet method-of-moments,weight by signal (current),GSM8K / Phi-3-mini,noise_gsm8k_phi3mini,0.6840256856575395
no conditioning,triplet method-of-moments,weight by signal (current),SciQ / Llama-8B,sciq_llama8b,0.7412555542896205
no conditioning,triplet method-of-moments,weight by signal (current),NQ-Open / Llama-8B,se_nq_open_llama8b,0.7428593563616378
no conditioning,triplet method-of-moments,weight by signal (current),SQuAD-v2 / Llama-8B,se_squad_v2_llama8b,0.8124992785659044
no conditioning,triplet method-of-moments,weight by signal (current),TriviaQA / OPT-30B,seiclr_triviaqa_opt30b,0.5679404277305972
no conditioning,triplet method-of-moments,weight by signal (current),TriviaQA / Qwen3-8B,semenergy_triviaqa_qwen3_8b,0.8155995870334489
no conditioning,triplet method-of-moments,weight by signal (current),TriviaQA / Llama-8B,spilled_triviaqa_llama8b,0.9359999999999999
no conditioning,triplet method-of-moments,weight by signal (current),GSM8K / Llama-8B (10 samples),trace_gsm8k_llama8b_k10,0.8145748929512516
no conditioning,triplet method-of-moments,weight by signal (current),MATH-500 / Qwen-Math-1.5B (10 samples),trace_math500_qwenmath15b_k10,0.6865721767589099
no conditioning,triplet method-of-moments,weight by signal (current),TruthfulQA / Llama-8B,truthfulqa_llama8b,0.665267245539266
no conditioning,triplet method-of-moments,weight by signal over noise,GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,0.7321428571428572
no conditioning,triplet method-of-moments,weight by signal over noise,TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,0.7448658960834923
no conditioning,triplet method-of-moments,weight by signal over noise,CoQA / Llama-7B,inside_coqa_llama7b,0.5589984917850251
no conditioning,triplet method-of-moments,weight by signal over noise,GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,0.7001214083367058
no conditioning,triplet method-of-moments,weight by signal over noise,GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,0.7079714394764524
no conditioning,triplet method-of-moments,weight by signal over noise,GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,0.8089919128833374
no conditioning,triplet method-of-moments,weight by signal over noise,GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,0.8534839639093184
no conditioning,triplet method-of-moments,weight by signal over noise,GSM8K / Nemo,lapeigvals_gsm8k_nemo,0.7976396506195409
no conditioning,triplet method-of-moments,weight by signal over noise,GSM8K / Phi-3.5,lapeigvals_gsm8k_phi35,0.8045194421452665
no conditioning,triplet method-of-moments,weight by signal over noise,HotpotQA / Mistral-7B,losnet_hotpotqa_mistral7b,0.5737142244230323
no conditioning,triplet method-of-moments,weight by signal over noise,MATH-500 / DeepSeek-Math-7B,math500_dsmath7b,0.7917839867157607
no conditioning,triplet method-of-moments,weight by signal over noise,MATH-500 / Qwen-Math-7B,math500_qwenmath7b,0.9271044624746451
no conditioning,triplet method-of-moments,weight by signal over noise,MATH-500 / R1-Distill-8B,math500_r1distill8b,0.8300369484894587
no conditioning,triplet method-of-moments,weight by signal over noise,MATH-500 / R1-Distill-8B (long),math500_r1distill8b_mn4096,0.8307879127551259
no conditioning,triplet method-of-moments,weight by signal over noise,GSM8K / Mistral-7B,noise_gsm8k_mistral7b,0.7769889041656511
no conditioning,triplet method-of-moments,weight by signal over noise,GSM8K / Phi-3-mini,noise_gsm8k_phi3mini,0.6823826738970342
no conditioning,triplet method-of-moments,weight by signal over noise,SciQ / Llama-8B,sciq_llama8b,0.7372678591773956
no conditioning,triplet method-of-moments,weight by signal over noise,NQ-Open / Llama-8B,se_nq_open_llama8b,0.7500308632048228
no conditioning,triplet method-of-moments,weight by signal over noise,SQuAD-v2 / Llama-8B,se_squad_v2_llama8b,0.8014405596019992
no conditioning,triplet method-of-moments,weight by signal over noise,TriviaQA / OPT-30B,seiclr_triviaqa_opt30b,0.5718157666675374
no conditioning,triplet method-of-moments,weight by signal over noise,TriviaQA / Qwen3-8B,semenergy_triviaqa_qwen3_8b,0.8187728958281899
no conditioning,triplet method-of-moments,weight by signal over noise,TriviaQA / Llama-8B,spilled_triviaqa_llama8b,0.9139999999999999
no conditioning,triplet method-of-moments,weight by signal over noise,GSM8K / Llama-8B (10 samples),trace_gsm8k_llama8b_k10,0.8079518692358367
no conditioning,triplet method-of-moments,weight by signal over noise,MATH-500 / Qwen-Math-1.5B (10 samples),trace_math500_qwenmath15b_k10,0.6823316826797658
no conditioning,triplet method-of-moments,weight by signal over noise,TruthfulQA / Llama-8B,truthfulqa_llama8b,0.6670195862200884
no conditioning,low-rank plus sparse split,weight by signal (current),GSM8K / R1-Distill-8B,ars_gsm8k_r1distill8b,0.720467032967033
no conditioning,low-rank plus sparse split,weight by signal (current),TriviaQA / Mistral-24B,epr_triviaqa_mistral24b,0.7430843900796767
no conditioning,low-rank plus sparse split,weight by signal (current),CoQA / Llama-7B,inside_coqa_llama7b,0.5275548045060872
no conditioning,low-rank plus sparse split,weight by signal (current),GSM8K / Qwen2.5-7B,internalstates_gsm8k_qwen25_7b,0.7129367327667611
no conditioning,low-rank plus sparse split,weight by signal (current),GSM8K / Llama-3B,lapeigvals_gsm8k_llama3b,0.6928486981130318
no conditioning,low-rank plus sparse split,weight by signal (current),GSM8K / Llama-8B,lapeigvals_gsm8k_llama8b,0.8180799103210825
no conditioning,low-rank plus sparse split,weight by signal (current),GSM8K / Mistral-24B,lapeigvals_gsm8k_mistral24b,0.8459397983167791
no conditioning,low-rank plus sparse split,weight by signal (current),GSM8K / Nemo,lapeigvals_gsm8k_nemo,0.8003696932764575
no conditioning,low-rank plus sparse split,weight by signal (current),GSM8K / Phi-3.5,lapeigvals_gsm8k_phi35,0.8103489707099565
no conditioning,low-rank plus sparse split,weight by signal (current),HotpotQA / Mistral-7B,losnet_hotpotqa_mistral7b,0.5726773807182824
no conditioning,low-rank plus sparse split,weight by signal (current),MATH-500 / DeepSeek-Math-7B,math500_dsmath7b,0.7906288354631434
no conditioning,low-rank plus sparse split,weight by signal (current),MATH-500 / Qwen-Math-7B,math500_qwenmath7b,0.8928118661257607
no conditioning,low-rank plus sparse split,weight by signal (current),MATH-500 / R1-Distill-8B,math500_r1distill8b,0.8387307107150619
no conditioning,low-rank plus sparse split,weight by signal (current),MATH-500 / R1-Distill-8B (long),math500_r1distill8b_mn4096,0.8245761524450049
no conditioning,low-rank plus sparse split,weight by signal (current),GSM8K / Mistral-7B,noise_gsm8k_mistral7b,0.7878801116480969
no conditioning,low-rank plus sparse split,weight by signal (current),GSM8K / Phi-3-mini,noise_gsm8k_phi3mini,0.6819977237731807
no conditioning,low-rank plus sparse split,weight by signal (current),SciQ / Llama-8B,sciq_llama8b,0.7411416201435571
no conditioning,low-rank plus sparse split,weight by signal (current),NQ-Open / Llama-8B,se_nq_open_llama8b,0.7416734373667129
