scope,cell_id,arm_id,metric,value,bootstrap_draws_requested,bootstrap_draws_valid,ci_lower,bootstrap_median,ci_upper,ci_level,ci_quantile_rule,n_rows,n_groups
cell,losnet_hotpotqa_mistral7b,residual_ridge_correction__lam_1,auroc,0.5727131339494806,20000,20000,0.5181012378263703,0.5728256563253877,0.6258655815263764,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,residual_ridge_correction__lam_1,auprc,0.7066642088439745,20000,20000,0.6511601722504756,0.709198987445594,0.7657159876776286,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,feature_smooth_residual_graph__lam_3,auroc,0.5649904360106545,20000,20000,0.5110039533316579,0.5650662185153625,0.6193225543802726,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,feature_smooth_residual_graph__lam_3,auprc,0.7049613573563773,20000,20000,0.650207316481443,0.7074000685120341,0.7635636246486708,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,feature_smooth_raw_graph__lam_3,auroc,0.5647401633922666,20000,20000,0.5106412156892947,0.5647117960296686,0.618128570622689,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,feature_smooth_raw_graph__lam_3,auprc,0.7041962424453818,20000,20000,0.6491879526980342,0.7073873850977925,0.7638441060962498,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,score_smooth_residual_graph__lam_3,auroc,0.5576789002306083,20000,20000,0.5034245302424857,0.5576299718931284,0.6116910385859734,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,score_smooth_residual_graph__lam_3,auprc,0.704812748567117,20000,20000,0.6501823013219685,0.7070423110321142,0.7623419451713556,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,residual_ridge_correction__lam_3,auroc,0.5725879976402868,20000,20000,0.5180664924089372,0.572648802341756,0.6253612988879373,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,residual_ridge_correction__lam_3,auprc,0.707152244422105,20000,20000,0.65170259950172,0.7097385672742564,0.766466939546554,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,feature_smooth_residual_graph__lam_10,auroc,0.5686730188240762,20000,20000,0.5146879142904152,0.5685243027048001,0.6209730440499671,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,feature_smooth_residual_graph__lam_10,auprc,0.7169045756354115,20000,20000,0.6633191902450534,0.719977237430951,0.7743128410971042,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,feature_smooth_raw_graph__lam_10,auroc,0.5612184701192371,20000,20000,0.5072202548921965,0.5612328562909958,0.6143833045336682,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,feature_smooth_raw_graph__lam_10,auprc,0.7016850287210374,20000,20000,0.64679025772646,0.7049618655300725,0.761683655563212,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,score_smooth_residual_graph__lam_10,auroc,0.5424122705089472,20000,20000,0.48873997999217406,0.5422850957886913,0.5961076750296671,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,score_smooth_residual_graph__lam_10,auprc,0.6947092326255947,20000,20000,0.6408679152564813,0.6976079612602579,0.7540070980366959,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,residual_ridge_correction__lam_10,auroc,0.5734997050358426,20000,20000,0.5193775971125961,0.5734563415113358,0.6263640884148046,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,residual_ridge_correction__lam_10,auprc,0.7092853593633561,20000,20000,0.6539496161825796,0.7118382855790181,0.76836775209499,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,signed_deem_b3,auroc,0.5815620586710524,20000,20000,0.5276155881611244,0.5815459691409872,0.6344972232175653,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,signed_deem_b3,auprc,0.7177153460993009,20000,20000,0.6621592619352095,0.7202529224487201,0.7762304530511807,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,signed_family_nrm_a,auroc,0.5771107813868678,20000,20000,0.5227816927974874,0.5771386557589209,0.6302580209906847,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,signed_family_nrm_a,auprc,0.7091667471432181,20000,20000,0.6536586249946656,0.7116490401480621,0.7684374905474163,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,signed_pgrd_a,auroc,0.5728919001054721,20000,20000,0.5185841093274652,0.5727825764605747,0.6256177534785962,0.95,linear_type7,500,500
cell,losnet_hotpotqa_mistral7b,signed_pgrd_a,auprc,0.708696599133789,20000,20000,0.6530920639598704,0.7112356556390986,0.7679700638386848,0.95,linear_type7,500,500
cell,sciq_llama8b,iu_pcr,auroc,0.7369260567392047,20000,20000,0.6632755446546732,0.7378016128619993,0.8059773219974775,0.95,linear_type7,198,198
cell,sciq_llama8b,iu_pcr,auprc,0.6019660254070298,20000,20000,0.4859033349465288,0.6082369512795567,0.7146889179147751,0.95,linear_type7,198,198
cell,sciq_llama8b,equal_family_mean,auroc,0.7454711176939728,20000,20000,0.67334888949812,0.7459268542782271,0.8126118667365694,0.95,linear_type7,198,198
cell,sciq_llama8b,equal_family_mean,auprc,0.598972980782952,20000,20000,0.4817155599146147,0.6056099492245819,0.7143259722254098,0.95,linear_type7,198,198
cell,sciq_llama8b,feature_smooth_residual_graph__lam_0p03,auroc,0.736584254301014,20000,20000,0.6630715546224335,0.7374888682099052,0.8059832202111614,0.95,linear_type7,198,198
cell,sciq_llama8b,feature_smooth_residual_graph__lam_0p03,auprc,0.6016503284603122,20000,20000,0.4856313165330348,0.608020814857448,0.7143672965255677,0.95,linear_type7,198,198
cell,sciq_llama8b,feature_smooth_raw_graph__lam_0p03,auroc,0.7369260567392047,20000,20000,0.6633000115455665,0.7378103257011948,0.8058277704914356,0.95,linear_type7,198,198
cell,sciq_llama8b,feature_smooth_raw_graph__lam_0p03,auprc,0.5987383869793044,20000,20000,0.4820339955636426,0.6056083701728038,0.7136002122437198,0.95,linear_type7,198,198
cell,sciq_llama8b,score_smooth_residual_graph__lam_0p03,auroc,0.7362424518628233,20000,20000,0.6626111888807943,0.7371456596663208,0.8056285595543662,0.95,linear_type7,198,198
cell,sciq_llama8b,score_smooth_residual_graph__lam_0p03,auprc,0.6009452563506814,20000,20000,0.4847295155685454,0.6073939178497015,0.7136914372568691,0.95,linear_type7,198,198
cell,sciq_llama8b,residual_ridge_correction__lam_0p03,auroc,0.7373817933234591,20000,20000,0.664061603248393,0.7382920110192838,0.8061798135243257,0.95,linear_type7,198,198
cell,sciq_llama8b,residual_ridge_correction__lam_0p03,auprc,0.6017932974434844,20000,20000,0.4856952334554826,0.6079846046898687,0.7145547745565911,0.95,linear_type7,198,198
cell,sciq_llama8b,feature_smooth_residual_graph__lam_0p1,auroc,0.7362424518628233,20000,20000,0.6626470054047551,0.7370151435310649,0.8055038499241083,0.95,linear_type7,198,198
cell,sciq_llama8b,feature_smooth_residual_graph__lam_0p1,auprc,0.6002462164208732,20000,20000,0.48379445654268294,0.6068800922382668,0.7130622716035585,0.95,linear_type7,198,198
cell,sciq_llama8b,feature_smooth_raw_graph__lam_0p1,auroc,0.7377235957616498,20000,20000,0.6645924920967617,0.7385746606334842,0.8066698869200378,0.95,linear_type7,198,198
cell,sciq_llama8b,feature_smooth_raw_graph__lam_0p1,auprc,0.5945885747596373,20000,20000,0.47743468789536536,0.6022033167160646,0.7123581496788332,0.95,linear_type7,198,198
cell,sciq_llama8b,score_smooth_residual_graph__lam_0p1,auroc,0.7364703201549504,20000,20000,0.6629339305711086,0.7372188657942242,0.8056708803743604,0.95,linear_type7,198,198
cell,sciq_llama8b,score_smooth_residual_graph__lam_0p1,auprc,0.6003819645298789,20000,20000,0.484078731476792,0.6069667276274147,0.7131858199530683,0.95,linear_type7,198,198
cell,sciq_llama8b,residual_ridge_correction__lam_0p1,auroc,0.7378375299077133,20000,20000,0.6644501481622865,0.7386916448353116,0.8065477578624733,0.95,linear_type7,198,198
cell,sciq_llama8b,residual_ridge_correction__lam_0p1,auprc,0.6027257270887105,20000,20000,0.48684544439591043,0.6089194649227153,0.7156219520265,0.95,linear_type7,198,198
cell,sciq_llama8b,feature_smooth_residual_graph__lam_0p3,auroc,0.7377235957616498,20000,20000,0.6632762271516734,0.7384615384615385,0.8064516968648721,0.95,linear_type7,198,198
cell,sciq_llama8b,feature_smooth_residual_graph__lam_0p3,auprc,0.6073019469508046,20000,20000,0.49173467913494867,0.6137114794991201,0.7186553723158002,0.95,linear_type7,198,198
cell,sciq_llama8b,feature_smooth_raw_graph__lam_0p3,auroc,0.7380653981998405,20000,20000,0.6649852664251481,0.7389770723104057,0.8070215172015561,0.95,linear_type7,198,198
cell,sciq_llama8b,feature_smooth_raw_graph__lam_0p3,auprc,0.5951833302893554,20000,20000,0.4779106008157378,0.602778195569127,0.7125741035151429,0.95,linear_type7,198,198
cell,sciq_llama8b,score_smooth_residual_graph__lam_0p3,auroc,0.7359006494246326,20000,20000,0.6614224410052646,0.736716328286025,0.8048584484401048,0.95,linear_type7,198,198
cell,sciq_llama8b,score_smooth_residual_graph__lam_0p3,auprc,0.5990032274165088,20000,20000,0.4819688515198707,0.6058547347308274,0.7136122235470281,0.95,linear_type7,198,198
cell,sciq_llama8b,residual_ridge_correction__lam_0p3,auroc,0.7400022786829212,20000,20000,0.6670975599842575,0.7409279856195933,0.8084984847161972,0.95,linear_type7,198,198
cell,sciq_llama8b,residual_ridge_correction__lam_0p3,auprc,0.6045136835907081,20000,20000,0.4879519313018383,0.6108431261925664,0.716806772176419,0.95,linear_type7,198,198
cell,sciq_llama8b,feature_smooth_residual_graph__lam_1,auroc,0.7405719494132392,20000,20000,0.6673168386491558,0.7413533834586467,0.8090405254584943,0.95,linear_type7,198,198
cell,sciq_llama8b,feature_smooth_residual_graph__lam_1,auprc,0.6009452700428184,20000,20000,0.4832200637622627,0.6088391907876565,0.7193398277981654,0.95,linear_type7,198,198
