domain,group,cell,method,auroc,auprc,delta_vs_iu_pp,nrm_delta_pp
processbench_qwen,math,qwen3_8b__math,cross_only,0.7929375860410344,0.6897548411411936,-0.004975867044820781,0.33918827022275666
processbench_qwen,math,qwen3_8b__math,node_permuted_00,0.7962465376258478,0.6939682892785914,0.3259192914365272,0.33918827022275666
processbench_qwen,math,qwen3_8b__math,node_permuted_01,0.794633527392148,0.6980680041956083,0.1646182680665409,0.33918827022275666
processbench_qwen,math,qwen3_8b__math,node_permuted_02,0.7871531406014165,0.68374116476661,-0.5834204110066077,0.33918827022275666
processbench_qwen,math,qwen3_8b__math,node_permuted_03,0.7973619611550646,0.6976082006473245,0.4374616443582058,0.33918827022275666
processbench_qwen,math,qwen3_8b__math,node_permuted_04,0.787119968154451,0.6845919547057989,-0.5867376557031623,0.33918827022275666
processbench_qwen,math,qwen3_8b__math,node_permuted_05,0.7863528553183726,0.6835359587606958,-0.6634489393109955,0.33918827022275666
processbench_qwen,math,qwen3_8b__math,node_permuted_06,0.787551209965003,0.6904505089077786,-0.5436134746479526,0.33918827022275666
processbench_qwen,math,qwen3_8b__math,node_permuted_07,0.7937461644358197,0.6906958591702468,0.0758819724337112,0.33918827022275666
processbench_qwen,math,qwen3_8b__math,node_permuted_08,0.7863279759831483,0.6845230894880187,-0.6659368728334281,0.33918827022275666
processbench_qwen,math,qwen3_8b__math,node_permuted_09,0.7857681909406047,0.685994757918738,-0.7219153770877895,0.33918827022275666
processbench_qwen,math,qwen3_8b__math,node_permuted_10,0.7862657776450881,0.6841365766348206,-0.6721567066394485,0.33918827022275666
processbench_qwen,math,qwen3_8b__math,node_permuted_11,0.7913618948101708,0.6947507001055953,-0.16254499013117485,0.33918827022275666
processbench_qwen,math,qwen3_8b__math,node_permuted_12,0.7962258048464945,0.6969790306385955,0.32384601350119446,0.33918827022275666
processbench_qwen,math,qwen3_8b__math,node_permuted_13,0.7943888805957773,0.6952447923840628,0.14015358842947023,0.33918827022275666
processbench_qwen,math,qwen3_8b__math,node_permuted_14,0.7896701000149275,0.6816118234152919,-0.3317244696555033,0.33918827022275666
processbench_qwen,math,qwen3_8b__math,node_permuted_15,0.7960143304970891,0.6962172188480439,0.3026985785606562,0.33918827022275666
processbench_qwen,math,qwen3_8b__math,node_permuted_16,0.7944801048249324,0.6951247138484327,0.1492760113449787,0.33918827022275666
processbench_qwen,math,qwen3_8b__math,node_permuted_17,0.7848974142077592,0.6841769361092065,-0.8089930503723419,0.33918827022275666
processbench_qwen,math,qwen3_8b__math,node_permuted_18,0.7864813985503641,0.686343941330616,-0.6505946161118437,0.33918827022275666
processbench_qwen,math,qwen3_8b__math,node_permuted_19,0.788023917334262,0.6867664197999201,-0.4963427377220553,0.33918827022275666
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,iu,0.7829515483378631,0.6358648159766246,0.0,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,primary_one_se,0.7863699855854408,0.6354034187919448,0.34184372475777325,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,max_mean_sensitivity,0.7891770313148486,0.6376784254270631,0.6225482976985552,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,dufs_graph,0.7848214245868644,0.6382564573692118,0.18698762490013676,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,contribution_graph,0.7886281177620393,0.6402210292312965,0.567656942417627,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,equal_cell_pooling,0.7870706313398399,0.6365179668204829,0.4119083001976831,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,cross_only,0.786294119484646,0.6352916181919518,0.33425711467829355,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,node_permuted_00,0.7849642313648312,0.6366757726924639,0.20126830269681095,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,node_permuted_01,0.7826927110527984,0.6356329462230714,-0.025883728506470582,0.766247618027549
processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,node_permuted_02,0.7801177263375862,0.6300257891719603,-0.283382200027682,0.766247618027549
