cell,derived,induced_abs_rho
math500_r1distill8b,pe_mean__abs_norm_rank,0.0374
math500_r1distill8b,cusum_shift_idx__dist_median,0.3846
math500_r1distill8b,cusum_shift_idx__squared,0.369
math500_r1distill8b,cusum_shift_idx__abs_norm_rank,0.1275
math500_r1distill8b,hurst_exponent__dist_median,0.3162
math500_r1distill8b,hurst_exponent__squared,0.2959
math500_r1distill8b,hurst_exponent__abs_norm_rank,0.0985
math500_r1distill8b_mn4096,rpdi__dist_median,0.6175
math500_r1distill8b_mn4096,rpdi__squared,0.2891
math500_r1distill8b_mn4096,rpdi__abs_norm_rank,0.1743
math500_r1distill8b_mn4096,pe_mean__dist_median,0.2297
math500_r1distill8b_mn4096,pe_mean__squared,0.2712
math500_r1distill8b_mn4096,pe_mean__abs_norm_rank,0.0786
math500_r1distill8b_mn4096,cusum_shift_idx__dist_median,0.6566
math500_r1distill8b_mn4096,cusum_shift_idx__squared,0.6169
math500_r1distill8b_mn4096,cusum_shift_idx__abs_norm_rank,0.2413
math500_r1distill8b_mn4096,hurst_exponent__dist_median,0.267
math500_r1distill8b_mn4096,hurst_exponent__squared,0.3871
math500_r1distill8b_mn4096,hurst_exponent__abs_norm_rank,0.1114
trace_gsm8k_llama8b_k10,rpdi__dist_median,0.7203
trace_gsm8k_llama8b_k10,rpdi__squared,0.6373
trace_gsm8k_llama8b_k10,rpdi__abs_norm_rank,0.2829
trace_gsm8k_llama8b_k10,pe_mean__dist_median,0.0969
trace_gsm8k_llama8b_k10,pe_mean__squared,0.1258
trace_gsm8k_llama8b_k10,pe_mean__abs_norm_rank,0.0309
trace_gsm8k_llama8b_k10,cusum_shift_idx__dist_median,0.3684
trace_gsm8k_llama8b_k10,cusum_shift_idx__squared,0.2876
trace_gsm8k_llama8b_k10,cusum_shift_idx__abs_norm_rank,0.1005
trace_gsm8k_llama8b_k10,hurst_exponent__dist_median,0.0144
trace_gsm8k_llama8b_k10,hurst_exponent__squared,0.0128
trace_gsm8k_llama8b_k10,hurst_exponent__abs_norm_rank,0.001
trace_math500_qwenmath15b_k10,rpdi__dist_median,0.0242
trace_math500_qwenmath15b_k10,rpdi__squared,0.0215
trace_math500_qwenmath15b_k10,rpdi__abs_norm_rank,0.0078
trace_math500_qwenmath15b_k10,pe_mean__dist_median,0.4224
trace_math500_qwenmath15b_k10,pe_mean__squared,0.4656
trace_math500_qwenmath15b_k10,pe_mean__abs_norm_rank,0.1391
trace_math500_qwenmath15b_k10,cusum_shift_idx__dist_median,0.303
trace_math500_qwenmath15b_k10,cusum_shift_idx__squared,0.2343
trace_math500_qwenmath15b_k10,cusum_shift_idx__abs_norm_rank,0.0835
trace_math500_qwenmath15b_k10,hurst_exponent__dist_median,0.4614
trace_math500_qwenmath15b_k10,hurst_exponent__squared,0.381
trace_math500_qwenmath15b_k10,hurst_exponent__abs_norm_rank,0.1398
