cell,feature,n_all,n_defect_free,population,pos_all,pos_defect_free,nonmono_gain_all,nonmono_gain_defect_free,folded_gain_all,folded_gain_defect_free
sciq_llama8b,logprob_margin,198,198,all rows (no known defect),0.6616,0.6616,-0.0545,-0.0545,-0.0545,-0.0545
sciq_llama8b,mean_logprob_entropy,198,198,all rows (no known defect),0.6616,0.6616,-0.0033,-0.0033,-0.0033,-0.0033
sciq_llama8b,varentropy,198,198,all rows (no known defect),0.6616,0.6616,-0.0215,-0.0215,-0.0215,-0.0215
sciq_llama8b,renyi_entropy_2,198,198,all rows (no known defect),0.6616,0.6616,-0.0186,-0.0186,-0.0186,-0.0186
sciq_llama8b,topk_tail_mass,198,198,all rows (no known defect),0.6616,0.6616,-0.0187,-0.0187,-0.0187,-0.0187
se_nq_open_llama8b,epr,8460,8460,all rows (no known defect),0.4852,0.4852,-0.0173,-0.0173,-0.0173,-0.0173
se_nq_open_llama8b,trace_length,8460,8460,all rows (no known defect),0.4852,0.4852,-0.0047,-0.0047,-0.0047,-0.0047
se_nq_open_llama8b,spectral_entropy,8460,8460,all rows (no known defect),0.4852,0.4852,-0.0087,-0.0087,-0.0087,-0.0087
se_nq_open_llama8b,low_band_power,8460,8460,all rows (no known defect),0.4852,0.4852,-0.0014,-0.0014,-0.0014,-0.0014
se_nq_open_llama8b,high_band_power,8460,8460,all rows (no known defect),0.4852,0.4852,-0.0004,-0.0004,-0.0004,-0.0004
se_nq_open_llama8b,hl_ratio,8460,8460,all rows (no known defect),0.4852,0.4852,-0.0057,-0.0057,-0.0057,-0.0057
se_nq_open_llama8b,dominant_freq,8460,8460,all rows (no known defect),0.4852,0.4852,-0.0071,-0.0071,-0.0071,-0.0071
se_nq_open_llama8b,spectral_centroid,8460,8460,all rows (no known defect),0.4852,0.4852,-0.0043,-0.0043,-0.0043,-0.0043
se_nq_open_llama8b,rpdi,8460,8460,all rows (no known defect),0.4852,0.4852,0.0582,0.0582,0.0582,0.0582
se_nq_open_llama8b,sw_var_peak,8460,8460,all rows (no known defect),0.4852,0.4852,-0.0163,-0.0163,-0.0163,-0.0163
se_nq_open_llama8b,pe_mean,8460,8460,all rows (no known defect),0.4852,0.4852,0.0302,0.0302,0.0302,0.0302
se_nq_open_llama8b,hurst_exponent,8460,8460,all rows (no known defect),0.4852,0.4852,-0.0106,-0.0106,-0.0106,-0.0106
se_nq_open_llama8b,cusum_max,8460,8460,all rows (no known defect),0.4852,0.4852,-0.014,-0.014,-0.014,-0.014
se_nq_open_llama8b,cusum_shift_idx,8460,8460,all rows (no known defect),0.4852,0.4852,0.0021,0.0021,0.0021,0.0021
se_nq_open_llama8b,epr_spilled,8460,8460,all rows (no known defect),0.4852,0.4852,-0.0146,-0.0146,-0.0146,-0.0146
se_nq_open_llama8b,sw_var_peak_spilled,8460,8460,all rows (no known defect),0.4852,0.4852,-0.0137,-0.0137,-0.0137,-0.0137
se_nq_open_llama8b,cusum_max_spilled,8460,8460,all rows (no known defect),0.4852,0.4852,-0.0133,-0.0133,-0.0133,-0.0133
se_nq_open_llama8b,epr_energy,8460,8460,all rows (no known defect),0.4852,0.4852,-0.012,-0.012,-0.012,-0.012
se_nq_open_llama8b,min_energy,8460,8460,all rows (no known defect),0.4852,0.4852,-0.0161,-0.0161,-0.0161,-0.0161
se_nq_open_llama8b,sw_var_peak_energy,8460,8460,all rows (no known defect),0.4852,0.4852,-0.0004,-0.0004,-0.0004,-0.0004
se_nq_open_llama8b,cusum_max_energy,8460,8460,all rows (no known defect),0.4852,0.4852,-0.005,-0.005,-0.005,-0.005
se_nq_open_llama8b,mean_top1_logprob,8460,8460,all rows (no known defect),0.4852,0.4852,-0.0181,-0.0181,-0.0181,-0.0181
se_nq_open_llama8b,logprob_margin,8460,8460,all rows (no known defect),0.4852,0.4852,-0.0157,-0.0157,-0.0157,-0.0157
se_nq_open_llama8b,mean_logprob_entropy,8460,8460,all rows (no known defect),0.4852,0.4852,-0.0177,-0.0177,-0.0177,-0.0177
se_nq_open_llama8b,varentropy,8460,8460,all rows (no known defect),0.4852,0.4852,-0.0145,-0.0145,-0.0145,-0.0145
se_nq_open_llama8b,renyi_entropy_2,8460,8460,all rows (no known defect),0.4852,0.4852,-0.0163,-0.0163,-0.0163,-0.0163
se_nq_open_llama8b,topk_tail_mass,8460,8460,all rows (no known defect),0.4852,0.4852,-0.0153,-0.0153,-0.0153,-0.0153
se_squad_v2_llama8b,epr,2933,2933,all rows (no known defect),0.2796,0.2796,-0.0093,-0.0093,-0.0093,-0.0093
se_squad_v2_llama8b,trace_length,2933,2933,all rows (no known defect),0.2796,0.2796,-0.0147,-0.0147,-0.0147,-0.0147
se_squad_v2_llama8b,spectral_entropy,2933,2933,all rows (no known defect),0.2796,0.2796,-0.0027,-0.0027,-0.0027,-0.0027
se_squad_v2_llama8b,low_band_power,2933,2933,all rows (no known defect),0.2796,0.2796,0.0185,0.0185,0.0185,0.0185
se_squad_v2_llama8b,high_band_power,2933,2933,all rows (no known defect),0.2796,0.2796,0.0176,0.0176,0.0176,0.0176
se_squad_v2_llama8b,hl_ratio,2933,2933,all rows (no known defect),0.2796,0.2796,0.0021,0.0021,0.0021,0.0021
se_squad_v2_llama8b,dominant_freq,2933,2933,all rows (no known defect),0.2796,0.2796,-0.0234,-0.0234,-0.0234,-0.0234
se_squad_v2_llama8b,spectral_centroid,2933,2933,all rows (no known defect),0.2796,0.2796,0.0024,0.0024,0.0024,0.0024
se_squad_v2_llama8b,rpdi,2933,2933,all rows (no known defect),0.2796,0.2796,0.0247,0.0247,0.0247,0.0247
se_squad_v2_llama8b,sw_var_peak,2933,2933,all rows (no known defect),0.2796,0.2796,-0.0179,-0.0179,-0.0179,-0.0179
