cell,group,feature,auc_raw,auc_oriented,labelfree_sign,oracle_sign,sign_wrong,auc_binned,nonmono_gain,regime_signs,regime_sign_disagree
ars_gsm8k_r1distill8b,math,logprob_margin,0.667,0.667,+,+,0,0.6598,-0.0072,+-+,1
ars_gsm8k_r1distill8b,math,mean_logprob_entropy,0.6927,0.6927,+,+,0,0.6701,-0.0226,+++,0
ars_gsm8k_r1distill8b,math,varentropy,0.7018,0.7018,+,+,0,0.6872,-0.0146,+++,0
ars_gsm8k_r1distill8b,math,renyi_entropy_2,0.6897,0.6897,+,+,0,0.6696,-0.0201,+-+,1
ars_gsm8k_r1distill8b,math,topk_tail_mass,0.7198,0.7198,+,+,0,0.7053,-0.0145,+++,0
epr_triviaqa_mistral24b,QA,epr,0.7375,0.7375,+,+,0,0.7222,-0.0153,++-,1
epr_triviaqa_mistral24b,QA,trace_length,0.3973,0.6027,-,-,1,0.5983,-0.0044,+--,1
epr_triviaqa_mistral24b,QA,spectral_entropy,0.5761,0.5761,+,+,0,0.5686,-0.0075,-++,1
epr_triviaqa_mistral24b,QA,low_band_power,0.5442,0.5442,+,+,0,0.5269,-0.0173,-++,1
epr_triviaqa_mistral24b,QA,high_band_power,0.4344,0.5656,-,-,1,0.5877,0.0221,---,0
epr_triviaqa_mistral24b,QA,hl_ratio,0.4373,0.5627,-,-,1,0.5542,-0.0085,---,0
epr_triviaqa_mistral24b,QA,dominant_freq,0.428,0.572,-,-,1,0.5636,-0.0084,+--,1
epr_triviaqa_mistral24b,QA,spectral_centroid,0.411,0.589,-,-,1,0.5752,-0.0138,---,0
epr_triviaqa_mistral24b,QA,rpdi,0.5072,0.5072,+,+,0,0.5253,0.0181,+++,0
epr_triviaqa_mistral24b,QA,sw_var_peak,0.7159,0.7159,+,+,0,0.6976,-0.0184,+++,0
epr_triviaqa_mistral24b,QA,pe_mean,0.4889,0.5111,-,-,1,0.5429,0.0318,-++,1
epr_triviaqa_mistral24b,QA,hurst_exponent,0.4469,0.5531,-,-,1,0.5303,-0.0228,---,0
epr_triviaqa_mistral24b,QA,cusum_max,0.6746,0.6746,+,+,0,0.656,-0.0186,-++,1
epr_triviaqa_mistral24b,QA,cusum_shift_idx,0.4238,0.5762,-,-,1,0.5693,-0.0069,+--,1
epr_triviaqa_mistral24b,QA,epr_spilled,0.2798,0.7202,-,-,1,0.6954,-0.0248,--+,1
epr_triviaqa_mistral24b,QA,sw_var_peak_spilled,0.309,0.691,-,-,1,0.6831,-0.0079,---,0
epr_triviaqa_mistral24b,QA,cusum_max_spilled,0.3245,0.6755,-,-,1,0.6657,-0.0099,---,0
epr_triviaqa_mistral24b,QA,min_spilled,0.4344,0.5656,-,-,1,0.5543,-0.0112,-++,1
epr_triviaqa_mistral24b,QA,epr_energy,0.2711,0.7289,-,-,1,0.71,-0.0189,--+,1
epr_triviaqa_mistral24b,QA,min_energy,0.2646,0.7354,-,-,1,0.7296,-0.0057,---,0
epr_triviaqa_mistral24b,QA,sw_var_peak_energy,0.6831,0.6831,+,+,0,0.6722,-0.0109,+++,0
epr_triviaqa_mistral24b,QA,cusum_max_energy,0.6478,0.6478,+,+,0,0.6436,-0.0042,+++,0
epr_triviaqa_mistral24b,QA,mean_top1_logprob,0.7342,0.7342,+,+,0,0.7225,-0.0117,+++,0
epr_triviaqa_mistral24b,QA,logprob_margin,0.7044,0.7044,+,+,0,0.694,-0.0103,++-,1
epr_triviaqa_mistral24b,QA,mean_logprob_entropy,0.7422,0.7422,+,+,0,0.7273,-0.0149,+++,0
epr_triviaqa_mistral24b,QA,varentropy,0.7362,0.7362,+,+,0,0.713,-0.0232,++-,1
epr_triviaqa_mistral24b,QA,renyi_entropy_2,0.738,0.738,+,+,0,0.7282,-0.0099,+++,0
epr_triviaqa_mistral24b,QA,topk_tail_mass,0.7548,0.7548,+,+,0,0.7419,-0.0129,+++,0
inside_coqa_llama7b,QA,epr,0.5728,0.5728,+,+,0,0.6856,0.1128,++-,1
inside_coqa_llama7b,QA,spectral_entropy,0.3592,0.6408,-,-,1,0.6316,-0.0092,---,0
inside_coqa_llama7b,QA,low_band_power,0.6075,0.6075,+,+,0,0.6352,0.0277,-++,1
inside_coqa_llama7b,QA,high_band_power,0.538,0.538,+,+,0,0.5347,-0.0033,+-+,1
inside_coqa_llama7b,QA,hl_ratio,0.4763,0.5237,-,-,1,0.5489,0.0252,+--,1
inside_coqa_llama7b,QA,dominant_freq,0.433,0.567,-,-,1,0.5593,-0.0077,---,0
inside_coqa_llama7b,QA,spectral_centroid,0.448,0.552,-,-,1,0.5963,0.0444,+--,1
inside_coqa_llama7b,QA,stft_max_high_power,0.5366,0.5366,+,+,0,0.5641,0.0275,+--,1
inside_coqa_llama7b,QA,stft_spectral_entropy,0.4212,0.5788,-,-,1,0.578,-0.0009,---,0
inside_coqa_llama7b,QA,rpdi,0.438,0.562,-,-,1,0.5463,-0.0157,---,0
inside_coqa_llama7b,QA,sw_var_peak,0.6152,0.6152,+,+,0,0.6201,0.0049,+++,0
inside_coqa_llama7b,QA,pe_mean,0.5221,0.5221,+,+,0,0.6571,0.1351,+--,1
inside_coqa_llama7b,QA,hurst_exponent,0.4064,0.5936,-,-,1,0.5863,-0.0073,---,0
inside_coqa_llama7b,QA,cusum_max,0.5363,0.5363,+,+,0,0.622,0.0858,+++,0
inside_coqa_llama7b,QA,cusum_shift_idx,0.597,0.597,+,+,0,0.6022,0.0053,+++,0
inside_coqa_llama7b,QA,epr_spilled,0.4274,0.5726,-,-,1,0.6735,0.1009,--+,1
inside_coqa_llama7b,QA,sw_var_peak_spilled,0.4899,0.5101,-,-,1,0.5321,0.022,--+,1
inside_coqa_llama7b,QA,cusum_max_spilled,0.4736,0.5264,-,-,1,0.5995,0.0731,+-+,1
inside_coqa_llama7b,QA,epr_energy,0.3376,0.6624,-,-,1,0.6665,0.0041,---,0
inside_coqa_llama7b,QA,min_energy,0.3785,0.6215,-,-,1,0.638,0.0166,+--,1
inside_coqa_llama7b,QA,sw_var_peak_energy,0.6538,0.6538,+,+,0,0.6431,-0.0107,+++,0
inside_coqa_llama7b,QA,cusum_max_energy,0.5616,0.5616,+,+,0,0.5617,0.0001,+++,0
inside_coqa_llama7b,QA,mean_top1_logprob,0.5757,0.5757,+,+,0,0.6849,0.1092,++-,1
inside_coqa_llama7b,QA,mean_logprob_entropy,0.5728,0.5728,+,+,0,0.6856,0.1128,++-,1
inside_coqa_llama7b,QA,varentropy,0.5598,0.5598,+,+,0,0.6767,0.1168,+--,1
inside_coqa_llama7b,QA,renyi_entropy_2,0.5752,0.5752,+,+,0,0.6843,0.1091,++-,1
inside_coqa_llama7b,QA,topk_tail_mass,0.6153,0.6153,+,+,0,0.5987,-0.0166,+++,0
internalstates_gsm8k_qwen25_7b,math,epr,0.6311,0.6311,+,+,0,0.6238,-0.0073,++-,1
internalstates_gsm8k_qwen25_7b,math,trace_length,0.2926,0.7074,-,-,1,0.6956,-0.0118,---,0
internalstates_gsm8k_qwen25_7b,math,spectral_entropy,0.6743,0.6743,+,+,0,0.6492,-0.0251,+++,0
internalstates_gsm8k_qwen25_7b,math,low_band_power,0.6393,0.6393,+,+,0,0.6357,-0.0037,+++,0
internalstates_gsm8k_qwen25_7b,math,high_band_power,0.4121,0.5879,-,-,1,0.6116,0.0237,+--,1
internalstates_gsm8k_qwen25_7b,math,hl_ratio,0.3743,0.6257,-,-,1,0.6141,-0.0115,---,0
internalstates_gsm8k_qwen25_7b,math,dominant_freq,0.405,0.595,-,-,1,0.5704,-0.0246,---,0
internalstates_gsm8k_qwen25_7b,math,spectral_centroid,0.3705,0.6295,-,-,1,0.6158,-0.0137,---,0
internalstates_gsm8k_qwen25_7b,math,stft_max_high_power,0.5322,0.5322,+,+,0,0.5551,0.0229,+-+,1
internalstates_gsm8k_qwen25_7b,math,stft_spectral_entropy,0.473,0.527,-,-,1,0.5368,0.0098,---,0
internalstates_gsm8k_qwen25_7b,math,rpdi,0.5097,0.5097,+,+,0,0.5643,0.0546,--+,1
internalstates_gsm8k_qwen25_7b,math,sw_var_peak,0.6913,0.6913,+,+,0,0.6853,-0.006,+++,0
internalstates_gsm8k_qwen25_7b,math,pe_mean,0.5105,0.5105,+,+,0,0.5437,0.0332,-+-,1
internalstates_gsm8k_qwen25_7b,math,hurst_exponent,0.4087,0.5913,-,-,1,0.5715,-0.0198,---,0
internalstates_gsm8k_qwen25_7b,math,cusum_max,0.6809,0.6809,+,+,0,0.6625,-0.0184,+++,0
internalstates_gsm8k_qwen25_7b,math,cusum_shift_idx,0.4934,0.5066,-,-,1,0.5458,0.0392,-++,1
internalstates_gsm8k_qwen25_7b,math,epr_spilled,0.362,0.638,-,-,1,0.6325,-0.0055,---,0
internalstates_gsm8k_qwen25_7b,math,sw_var_peak_spilled,0.3434,0.6566,-,-,1,0.651,-0.0056,---,0
internalstates_gsm8k_qwen25_7b,math,cusum_max_spilled,0.3133,0.6867,-,-,1,0.678,-0.0088,---,0
internalstates_gsm8k_qwen25_7b,math,epr_energy,0.2539,0.7461,-,-,1,0.7185,-0.0276,---,0
internalstates_gsm8k_qwen25_7b,math,min_energy,0.3854,0.6146,-,-,1,0.5963,-0.0183,---,0
internalstates_gsm8k_qwen25_7b,math,sw_var_peak_energy,0.5368,0.5368,+,+,0,0.5207,-0.0161,-++,1
internalstates_gsm8k_qwen25_7b,math,cusum_max_energy,0.654,0.654,+,+,0,0.6327,-0.0212,+++,0
internalstates_gsm8k_qwen25_7b,math,mean_top1_logprob,0.6243,0.6243,+,+,0,0.615,-0.0093,++-,1
internalstates_gsm8k_qwen25_7b,math,logprob_margin,0.698,0.698,+,+,0,0.6835,-0.0144,+++,0
internalstates_gsm8k_qwen25_7b,math,mean_logprob_entropy,0.6317,0.6317,+,+,0,0.6272,-0.0045,++-,1
internalstates_gsm8k_qwen25_7b,math,varentropy,0.6511,0.6511,+,+,0,0.6258,-0.0253,++-,1
internalstates_gsm8k_qwen25_7b,math,renyi_entropy_2,0.6252,0.6252,+,+,0,0.6245,-0.0007,++-,1
internalstates_gsm8k_qwen25_7b,math,topk_tail_mass,0.6846,0.6846,+,+,0,0.6678,-0.0168,+++,0
lapeigvals_gsm8k_llama3b,math,epr,0.7077,0.7077,+,+,0,0.6841,-0.0236,+-+,1
lapeigvals_gsm8k_llama3b,math,trace_length,0.3842,0.6158,-,-,1,0.5975,-0.0183,---,0
lapeigvals_gsm8k_llama3b,math,spectral_entropy,0.5561,0.5561,+,+,0,0.5625,0.0064,+++,0
lapeigvals_gsm8k_llama3b,math,low_band_power,0.6259,0.6259,+,+,0,0.612,-0.0139,+++,0
lapeigvals_gsm8k_llama3b,math,high_band_power,0.4082,0.5918,-,-,1,0.578,-0.0138,---,0
lapeigvals_gsm8k_llama3b,math,hl_ratio,0.3817,0.6183,-,-,1,0.6024,-0.0159,---,0
lapeigvals_gsm8k_llama3b,math,dominant_freq,0.4224,0.5776,-,-,1,0.5809,0.0033,---,0
lapeigvals_gsm8k_llama3b,math,spectral_centroid,0.3824,0.6176,-,-,1,0.5999,-0.0177,---,0
lapeigvals_gsm8k_llama3b,math,stft_max_high_power,0.5317,0.5317,+,+,0,0.5309,-0.0008,--+,1
lapeigvals_gsm8k_llama3b,math,stft_spectral_entropy,0.4846,0.5154,-,-,1,0.5083,-0.0071,---,0
lapeigvals_gsm8k_llama3b,math,rpdi,0.5881,0.5881,+,+,0,0.5652,-0.0229,+++,0
lapeigvals_gsm8k_llama3b,math,sw_var_peak,0.6796,0.6796,+,+,0,0.6651,-0.0146,+++,0
lapeigvals_gsm8k_llama3b,math,pe_mean,0.4652,0.5348,-,-,1,0.5276,-0.0072,--+,1
lapeigvals_gsm8k_llama3b,math,hurst_exponent,0.4295,0.5705,-,-,1,0.5682,-0.0024,---,0
lapeigvals_gsm8k_llama3b,math,cusum_max,0.6443,0.6443,+,+,0,0.6343,-0.01,+++,0
lapeigvals_gsm8k_llama3b,math,cusum_shift_idx,0.4124,0.5876,-,-,1,0.5743,-0.0133,--+,1
lapeigvals_gsm8k_llama3b,math,epr_spilled,0.3103,0.6897,-,-,1,0.681,-0.0087,-++,1
lapeigvals_gsm8k_llama3b,math,sw_var_peak_spilled,0.367,0.633,-,-,1,0.6276,-0.0054,-++,1
lapeigvals_gsm8k_llama3b,math,cusum_max_spilled,0.3565,0.6435,-,-,1,0.6183,-0.0252,---,0
lapeigvals_gsm8k_llama3b,math,min_spilled,0.3706,0.6294,-,-,1,0.6055,-0.024,---,0
lapeigvals_gsm8k_llama3b,math,epr_energy,0.292,0.708,-,-,1,0.6947,-0.0133,---,0
lapeigvals_gsm8k_llama3b,math,min_energy,0.4739,0.5261,-,-,1,0.6016,0.0756,-++,1
lapeigvals_gsm8k_llama3b,math,sw_var_peak_energy,0.4239,0.5761,-,-,1,0.5555,-0.0206,---,0
lapeigvals_gsm8k_llama3b,math,cusum_max_energy,0.6358,0.6358,+,+,0,0.6102,-0.0256,+++,0
lapeigvals_gsm8k_llama3b,math,mean_top1_logprob,0.7024,0.7024,+,+,0,0.6884,-0.014,+-+,1
lapeigvals_gsm8k_llama3b,math,logprob_margin,0.7079,0.7079,+,+,0,0.6979,-0.01,+++,0
lapeigvals_gsm8k_llama3b,math,mean_logprob_entropy,0.7081,0.7081,+,+,0,0.6844,-0.0237,+-+,1
lapeigvals_gsm8k_llama3b,math,varentropy,0.7107,0.7107,+,+,0,0.7003,-0.0104,+++,0
lapeigvals_gsm8k_llama3b,math,renyi_entropy_2,0.705,0.705,+,+,0,0.691,-0.014,+-+,1
lapeigvals_gsm8k_llama3b,math,topk_tail_mass,0.6976,0.6976,+,+,0,0.6792,-0.0184,+++,0
lapeigvals_gsm8k_llama8b,math,epr,0.7844,0.7844,+,+,0,0.7704,-0.0141,+-+,1
lapeigvals_gsm8k_llama8b,math,trace_length,0.2663,0.7337,-,-,1,0.7122,-0.0216,---,0
lapeigvals_gsm8k_llama8b,math,spectral_entropy,0.5952,0.5952,+,+,0,0.5671,-0.0282,+++,0
lapeigvals_gsm8k_llama8b,math,low_band_power,0.7504,0.7504,+,+,0,0.7139,-0.0366,+++,0
lapeigvals_gsm8k_llama8b,math,high_band_power,0.2829,0.7171,-,-,1,0.7031,-0.014,---,0
lapeigvals_gsm8k_llama8b,math,hl_ratio,0.2456,0.7544,-,-,1,0.737,-0.0173,---,0
lapeigvals_gsm8k_llama8b,math,dominant_freq,0.3205,0.6795,-,-,1,0.6561,-0.0233,---,0
lapeigvals_gsm8k_llama8b,math,spectral_centroid,0.2378,0.7622,-,-,1,0.738,-0.0241,---,0
lapeigvals_gsm8k_llama8b,math,stft_max_high_power,0.5046,0.5046,+,+,0,0.5566,0.0521,-+-,1
lapeigvals_gsm8k_llama8b,math,stft_spectral_entropy,0.3472,0.6528,-,-,1,0.6596,0.0068,---,0
lapeigvals_gsm8k_llama8b,math,rpdi,0.718,0.718,+,+,0,0.6885,-0.0295,+++,0
lapeigvals_gsm8k_llama8b,math,sw_var_peak,0.7934,0.7934,+,+,0,0.7657,-0.0277,+++,0
lapeigvals_gsm8k_llama8b,math,pe_mean,0.4502,0.5498,-,-,1,0.5916,0.0418,-+-,1
lapeigvals_gsm8k_llama8b,math,hurst_exponent,0.3196,0.6804,-,-,1,0.6553,-0.0251,---,0
lapeigvals_gsm8k_llama8b,math,cusum_max,0.7606,0.7606,+,+,0,0.7337,-0.0268,+++,0
lapeigvals_gsm8k_llama8b,math,cusum_shift_idx,0.4666,0.5334,-,-,1,0.5809,0.0475,+-+,1
lapeigvals_gsm8k_llama8b,math,epr_spilled,0.2232,0.7768,-,-,1,0.7438,-0.0331,-+-,1
lapeigvals_gsm8k_llama8b,math,sw_var_peak_spilled,0.2839,0.7161,-,-,1,0.6981,-0.018,-+-,1
lapeigvals_gsm8k_llama8b,math,cusum_max_spilled,0.2239,0.7761,-,-,1,0.7546,-0.0215,---,0
lapeigvals_gsm8k_llama8b,math,epr_energy,0.1957,0.8043,-,-,1,0.7769,-0.0274,---,0
lapeigvals_gsm8k_llama8b,math,min_energy,0.2012,0.7988,-,-,1,0.7747,-0.0241,---,0
lapeigvals_gsm8k_llama8b,math,sw_var_peak_energy,0.4288,0.5712,-,-,1,0.5693,-0.0019,-+-,1
lapeigvals_gsm8k_llama8b,math,cusum_max_energy,0.7654,0.7654,+,+,0,0.7212,-0.0442,++-,1
lapeigvals_gsm8k_llama8b,math,mean_top1_logprob,0.7777,0.7777,+,+,0,0.7391,-0.0387,+-+,1
lapeigvals_gsm8k_llama8b,math,logprob_margin,0.7749,0.7749,+,+,0,0.7499,-0.025,+-+,1
lapeigvals_gsm8k_llama8b,math,mean_logprob_entropy,0.7858,0.7858,+,+,0,0.7692,-0.0166,+-+,1
lapeigvals_gsm8k_llama8b,math,varentropy,0.8012,0.8012,+,+,0,0.7801,-0.021,+++,0
lapeigvals_gsm8k_llama8b,math,renyi_entropy_2,0.7802,0.7802,+,+,0,0.7536,-0.0266,+-+,1
lapeigvals_gsm8k_llama8b,math,topk_tail_mass,0.803,0.803,+,+,0,0.7825,-0.0206,+++,0
lapeigvals_gsm8k_mistral24b,math,epr,0.8473,0.8473,+,+,0,0.8033,-0.044,+++,0
lapeigvals_gsm8k_mistral24b,math,trace_length,0.2902,0.7098,-,-,1,0.6733,-0.0365,---,0
lapeigvals_gsm8k_mistral24b,math,spectral_entropy,0.4808,0.5192,-,-,1,0.5822,0.0629,+++,0
lapeigvals_gsm8k_mistral24b,math,low_band_power,0.7532,0.7532,+,+,0,0.6719,-0.0812,+--,1
lapeigvals_gsm8k_mistral24b,math,high_band_power,0.2403,0.7597,-,-,1,0.7124,-0.0473,---,0
lapeigvals_gsm8k_mistral24b,math,hl_ratio,0.2306,0.7694,-,-,1,0.7253,-0.0441,---,0
lapeigvals_gsm8k_mistral24b,math,dominant_freq,0.3016,0.6984,-,-,1,0.6516,-0.0468,---,0
lapeigvals_gsm8k_mistral24b,math,spectral_centroid,0.2147,0.7853,-,-,1,0.7323,-0.0531,---,0
lapeigvals_gsm8k_mistral24b,math,stft_max_high_power,0.6572,0.6572,+,+,0,0.6315,-0.0257,+--,1
lapeigvals_gsm8k_mistral24b,math,stft_spectral_entropy,0.5264,0.5264,+,+,0,0.5537,0.0273,--+,1
lapeigvals_gsm8k_mistral24b,math,rpdi,0.6795,0.6795,+,+,0,0.6657,-0.0138,++-,1
lapeigvals_gsm8k_mistral24b,math,sw_var_peak,0.8471,0.8471,+,+,0,0.7989,-0.0482,+++,0
lapeigvals_gsm8k_mistral24b,math,pe_mean,0.4617,0.5383,-,-,1,0.5537,0.0153,-++,1
lapeigvals_gsm8k_mistral24b,math,hurst_exponent,0.2722,0.7278,-,-,1,0.6874,-0.0403,---,0
lapeigvals_gsm8k_mistral24b,math,cusum_max,0.8139,0.8139,+,+,0,0.7769,-0.0371,+++,0
lapeigvals_gsm8k_mistral24b,math,cusum_shift_idx,0.3407,0.6593,-,-,1,0.6373,-0.022,-+-,1
lapeigvals_gsm8k_mistral24b,math,epr_spilled,0.1676,0.8324,-,-,1,0.7814,-0.051,---,0
lapeigvals_gsm8k_mistral24b,math,sw_var_peak_spilled,0.2074,0.7926,-,-,1,0.7537,-0.0388,---,0
lapeigvals_gsm8k_mistral24b,math,cusum_max_spilled,0.1982,0.8018,-,-,1,0.7499,-0.0519,-+-,1
lapeigvals_gsm8k_mistral24b,math,min_spilled,0.3026,0.6974,-,-,1,0.6481,-0.0493,-++,1
lapeigvals_gsm8k_mistral24b,math,epr_energy,0.1908,0.8092,-,-,1,0.7428,-0.0664,--+,1
lapeigvals_gsm8k_mistral24b,math,min_energy,0.2076,0.7924,-,-,1,0.747,-0.0455,---,0
lapeigvals_gsm8k_mistral24b,math,sw_var_peak_energy,0.6708,0.6708,+,+,0,0.6731,0.0022,+++,0
lapeigvals_gsm8k_mistral24b,math,cusum_max_energy,0.798,0.798,+,+,0,0.7521,-0.0459,+++,0
lapeigvals_gsm8k_mistral24b,math,mean_top1_logprob,0.8412,0.8412,+,+,0,0.7969,-0.0443,+++,0
lapeigvals_gsm8k_mistral24b,math,logprob_margin,0.8302,0.8302,+,+,0,0.7923,-0.038,++-,1
lapeigvals_gsm8k_mistral24b,math,mean_logprob_entropy,0.8479,0.8479,+,+,0,0.8017,-0.0462,+++,0
lapeigvals_gsm8k_mistral24b,math,varentropy,0.8548,0.8548,+,+,0,0.8085,-0.0463,+++,0
lapeigvals_gsm8k_mistral24b,math,renyi_entropy_2,0.8428,0.8428,+,+,0,0.7978,-0.0451,+++,0
lapeigvals_gsm8k_mistral24b,math,topk_tail_mass,0.8525,0.8525,+,+,0,0.8061,-0.0464,+++,0
lapeigvals_gsm8k_nemo,math,epr,0.7656,0.7656,+,+,0,0.7336,-0.032,+-+,1
lapeigvals_gsm8k_nemo,math,trace_length,0.318,0.682,-,-,1,0.6589,-0.0231,---,0
lapeigvals_gsm8k_nemo,math,spectral_entropy,0.6508,0.6508,+,+,0,0.6354,-0.0154,+++,0
lapeigvals_gsm8k_nemo,math,low_band_power,0.6417,0.6417,+,+,0,0.6325,-0.0093,+++,0
lapeigvals_gsm8k_nemo,math,high_band_power,0.3779,0.6221,-,-,1,0.6094,-0.0128,--+,1
lapeigvals_gsm8k_nemo,math,hl_ratio,0.3488,0.6512,-,-,1,0.6459,-0.0053,--+,1
lapeigvals_gsm8k_nemo,math,dominant_freq,0.4289,0.5711,-,-,1,0.5383,-0.0328,--+,1
lapeigvals_gsm8k_nemo,math,spectral_centroid,0.3432,0.6568,-,-,1,0.6494,-0.0074,--+,1
lapeigvals_gsm8k_nemo,math,stft_max_high_power,0.5598,0.5598,+,+,0,0.5549,-0.005,+--,1
lapeigvals_gsm8k_nemo,math,stft_spectral_entropy,0.5426,0.5426,+,+,0,0.5554,0.0128,--+,1
lapeigvals_gsm8k_nemo,math,rpdi,0.5927,0.5927,+,+,0,0.5817,-0.011,+++,0
lapeigvals_gsm8k_nemo,math,sw_var_peak,0.7701,0.7701,+,+,0,0.7433,-0.0268,+++,0
lapeigvals_gsm8k_nemo,math,pe_mean,0.4816,0.5184,-,-,1,0.5377,0.0193,--+,1
lapeigvals_gsm8k_nemo,math,hurst_exponent,0.4517,0.5483,-,-,1,0.5505,0.0022,--+,1
lapeigvals_gsm8k_nemo,math,cusum_max,0.6903,0.6903,+,+,0,0.6643,-0.026,++-,1
lapeigvals_gsm8k_nemo,math,cusum_shift_idx,0.3745,0.6255,-,-,1,0.6071,-0.0184,-+-,1
lapeigvals_gsm8k_nemo,math,epr_spilled,0.2528,0.7472,-,-,1,0.7226,-0.0245,---,0
lapeigvals_gsm8k_nemo,math,sw_var_peak_spilled,0.3084,0.6916,-,-,1,0.6624,-0.0292,---,0
lapeigvals_gsm8k_nemo,math,cusum_max_spilled,0.3071,0.6929,-,-,1,0.6692,-0.0237,---,0
lapeigvals_gsm8k_nemo,math,epr_energy,0.2261,0.7739,-,-,1,0.7504,-0.0234,---,0
lapeigvals_gsm8k_nemo,math,min_energy,0.2574,0.7426,-,-,1,0.7257,-0.0169,---,0
lapeigvals_gsm8k_nemo,math,sw_var_peak_energy,0.5904,0.5904,+,+,0,0.578,-0.0124,+++,0
lapeigvals_gsm8k_nemo,math,cusum_max_energy,0.6689,0.6689,+,+,0,0.6305,-0.0384,+++,0
lapeigvals_gsm8k_nemo,math,mean_top1_logprob,0.7588,0.7588,+,+,0,0.7308,-0.028,+-+,1
lapeigvals_gsm8k_nemo,math,logprob_margin,0.7547,0.7547,+,+,0,0.7318,-0.0229,+++,0
lapeigvals_gsm8k_nemo,math,mean_logprob_entropy,0.7668,0.7668,+,+,0,0.7354,-0.0315,+-+,1
lapeigvals_gsm8k_nemo,math,varentropy,0.7809,0.7809,+,+,0,0.753,-0.0279,+++,0
lapeigvals_gsm8k_nemo,math,renyi_entropy_2,0.7619,0.7619,+,+,0,0.7321,-0.0297,+-+,1
lapeigvals_gsm8k_nemo,math,topk_tail_mass,0.7889,0.7889,+,+,0,0.7551,-0.0338,+++,0
lapeigvals_gsm8k_phi35,math,epr,0.7702,0.7702,+,+,0,0.7423,-0.0279,+++,0
lapeigvals_gsm8k_phi35,math,trace_length,0.2931,0.7069,-,-,1,0.6909,-0.016,---,0
lapeigvals_gsm8k_phi35,math,spectral_entropy,0.6483,0.6483,+,+,0,0.6246,-0.0236,+++,0
lapeigvals_gsm8k_phi35,math,low_band_power,0.6713,0.6713,+,+,0,0.6522,-0.0191,+++,0
lapeigvals_gsm8k_phi35,math,high_band_power,0.3969,0.6031,-,-,1,0.5912,-0.012,---,0
lapeigvals_gsm8k_phi35,math,hl_ratio,0.3473,0.6527,-,-,1,0.6288,-0.0239,---,0
lapeigvals_gsm8k_phi35,math,dominant_freq,0.3854,0.6146,-,-,1,0.5968,-0.0178,---,0
