cell,group,n,p_used,pos_rate,gauge_ok,gauge_trials,gauge_worst_dev,allsigns_frac_wrong,skew_fused,lsml_K,A_allsigns_anchor,B_z2_anchor,C_z2_skew,D_raw_anchor,E_z2_oracle,fset
seiclr_triviaqa_opt30b,QA,4993,6,0.4645,23,23,0.0,0.1667,0.0933,2,0.5884,0.5884,0.5884,0.5884,0.5884,GOOD_6
semenergy_triviaqa_qwen3_8b,QA,4392,6,0.4768,23,23,0.0,0.0,1.7962,3,0.816,0.816,0.816,0.816,0.816,GOOD_6
spilled_triviaqa_llama8b,QA,256,6,0.0234,23,23,0.0,0.0,0.9665,2,0.942,0.942,0.942,0.942,0.942,GOOD_6
trace_gsm8k_llama8b_k10,math,5000,6,0.736,23,23,0.0,0.0,2.2065,2,0.8093,0.8093,0.8093,0.8093,0.8093,GOOD_6
trace_math500_qwenmath15b_k10,math,3000,6,0.1763,23,23,0.0,0.1667,0.1727,2,0.676,0.676,0.676,0.676,0.676,GOOD_6
truthfulqa_llama8b,QA,7633,6,0.106,23,23,0.0,0.0,-0.074,2,0.6572,0.6572,0.3428,0.6572,0.6572,GOOD_6
ars_gsm8k_r1distill8b,math,500,30,0.728,23,23,0.0,0.4,0.1222,4,0.6741,0.6741,0.6741,0.6741,0.6741,FULL
epr_triviaqa_mistral24b,QA,621,28,0.7552,23,23,0.0,0.5,-0.8418,8,0.7404,0.7404,0.7404,0.7404,0.7404,FULL
inside_coqa_llama7b,QA,4504,27,0.147,23,23,0.0,0.4444,0.3487,6,0.5039,0.5039,0.5039,0.5039,0.5039,FULL
internalstates_gsm8k_qwen25_7b,math,500,29,0.294,23,23,0.0,0.4483,-1.2557,8,0.7137,0.7137,0.7137,0.7137,0.7137,FULL
lapeigvals_gsm8k_llama3b,math,1319,30,0.445,23,23,0.0,0.5333,-1.918,6,0.6761,0.6761,0.6761,0.6761,0.6761,FULL
lapeigvals_gsm8k_llama8b,math,500,29,0.724,23,23,0.0,0.5172,2.4095,8,0.8189,0.8189,0.8189,0.8189,0.8189,FULL
lapeigvals_gsm8k_mistral24b,math,1319,30,0.9174,23,23,0.0,0.5,-3.1454,7,0.8452,0.8452,0.8452,0.8452,0.8452,FULL
lapeigvals_gsm8k_nemo,math,1319,29,0.8294,23,23,0.0,0.4483,-2.3565,8,0.7893,0.7893,0.7893,0.7893,0.7893,FULL
lapeigvals_gsm8k_phi35,math,1319,29,0.8476,23,23,0.0,0.4138,2.124,7,0.7864,0.7864,0.7864,0.7864,0.7864,FULL
losnet_hotpotqa_mistral7b,QA,500,29,0.338,23,23,0.0,0.3793,-0.2365,8,0.5723,0.5723,0.5723,0.5723,0.5723,FULL
math500_dsmath7b,math,300,30,0.19,23,23,0.0,0.4333,0.8753,4,0.7846,0.7846,0.7846,0.7846,0.7846,FULL
math500_qwenmath7b,math,300,28,0.2267,23,23,0.0,0.5714,1.0668,7,0.9061,0.9061,0.0939,0.9061,0.9061,FULL
math500_r1distill8b,math,300,28,0.2867,23,23,0.0,0.4286,0.7242,6,0.8414,0.8414,0.1586,0.8414,0.8414,FULL
math500_r1distill8b_mn4096,math,300,29,0.39,23,23,0.0,0.4138,0.7305,4,0.8088,0.8088,0.1912,0.8088,0.8088,FULL
noise_gsm8k_mistral7b,math,1319,29,0.4989,23,23,0.0,0.4483,-0.7947,4,0.7745,0.7745,0.7745,0.7745,0.7745,FULL
noise_gsm8k_phi3mini,math,1319,29,0.7096,23,23,0.0,0.3793,1.6523,5,0.6641,0.6641,0.6641,0.6641,0.6641,FULL
sciq_llama8b,QA,198,30,0.6616,23,23,0.0,0.4667,0.2548,7,0.7403,0.7403,0.2597,0.7403,0.7403,FULL
se_nq_open_llama8b,QA,8460,27,0.4852,23,23,0.0,0.4815,-0.768,8,0.7407,0.7407,0.7407,0.7407,0.7407,FULL
se_squad_v2_llama8b,QA,2933,27,0.2796,23,23,0.0,0.4815,-0.9149,6,0.8114,0.8114,0.8114,0.8114,0.8114,FULL
seiclr_triviaqa_opt30b,QA,4993,28,0.4645,23,23,0.0,0.3571,-0.0968,7,0.5688,0.5688,0.5688,0.5688,0.5688,FULL
semenergy_triviaqa_qwen3_8b,QA,4392,27,0.4768,23,23,0.0,0.4074,-1.2866,7,0.7804,0.7804,0.7804,0.7804,0.7804,FULL
spilled_triviaqa_llama8b,QA,256,28,0.0234,23,23,0.0,0.4643,-0.8817,8,0.9373,0.9373,0.9373,0.9373,0.9373,FULL
trace_gsm8k_llama8b_k10,math,5000,29,0.736,23,23,0.0,0.5172,2.3927,8,0.8069,0.8069,0.8069,0.8069,0.8069,FULL
trace_math500_qwenmath15b_k10,math,3000,30,0.1763,23,23,0.0,0.5667,0.0639,7,0.6893,0.6893,0.3107,0.6893,0.6893,FULL
truthfulqa_llama8b,QA,7633,29,0.106,23,23,0.0,0.4483,0.2846,6,0.6666,0.6666,0.3334,0.6666,0.6666,FULL
