file,cell,variant,auroc_now,auroc_csv,delta,K_now,K_csv,p_pool_csv,p_pool_now,stale
a1_residual__c46.csv,trace_gsm8k_llama8b_k10,a1.upcrres_greedy,0.7981534090909091,0.7981534090909091,0.0,2,2,29,29,False
a1_residual__c46.csv,trace_gsm8k_llama8b_k10,a1.good5+K_ah,0.7997159090909091,0.7998324275362318,-0.00011651844532278854,3,2,29,29,True
a1_residual__c46.csv,trace_gsm8k_llama8b_k10,a1.good5+K_kn,0.7997159090909091,0.800743988801054,-0.001028079710144958,3,4,29,29,True
a1_residual__c46.csv,trace_gsm8k_llama8b_k10,a1.minres+K_ah,0.7951665431488801,0.7951665431488801,0.0,2,2,29,29,False
a1_residual__c46.csv,trace_math500_qwenmath15b_k10,a1.relres_greedy,0.6718983689053893,0.6718983689053893,0.0,2,2,30,30,False
a1_residual__c46.csv,trace_math500_qwenmath15b_k10,a1.upcrres_greedy,0.694670655979877,0.694670655979877,0.0,2,2,30,30,False
a1_residual__c46.csv,trace_math500_qwenmath15b_k10,a1.router@good5,0.6649451214427625,0.6649451214427625,0.0,2,2,30,30,False
a1_residual__c46.csv,trace_math500_qwenmath15b_k10,a1.router@minres,0.6718983689053893,0.6718983689053893,0.0,2,2,30,30,False
a1_residual__c46.csv,trace_math500_qwenmath15b_k10,a1.good5+K_ah,0.6649451214427625,0.6649451214427625,0.0,2,2,30,30,False
a1_residual__c46.csv,trace_math500_qwenmath15b_k10,a1.good5+K_kn,0.6649451214427625,0.6655976816898326,-0.0006525602470700553,2,4,30,30,True
a1_residual__c46.csv,trace_math500_qwenmath15b_k10,a1.minres+K_ah,0.6718983689053893,0.6718983689053893,0.0,2,2,30,30,False
a1_residual__c46.csv,internalstates_gsm8k_qwen25_7b,a1.relres_greedy,0.7280453257790369,0.7280453257790369,0.0,2,2,29,29,False
a1_residual__c46.csv,internalstates_gsm8k_qwen25_7b,a1.upcrres_greedy,0.6947254822608929,0.6947254822608929,0.0,2,2,29,29,False
a1_residual__c46.csv,internalstates_gsm8k_qwen25_7b,a1.good5+K_ah,0.7038600142606618,0.6116282206933765,0.09223179356728528,4,2,29,29,True
a1_residual__c46.csv,internalstates_gsm8k_qwen25_7b,a1.good5+K_kn,0.7038600142606618,0.7038600142606618,0.0,4,4,29,29,False
a1_residual__c46.csv,internalstates_gsm8k_qwen25_7b,a1.minres+K_ah,0.7280453257790369,0.7280453257790369,0.0,2,2,29,29,False
a1_residual__c46.csv,ars_gsm8k_r1distill8b,a1.relres_greedy,0.5089891725921137,0.5089891725921137,0.0,2,2,30,30,False
a1_residual__c46.csv,ars_gsm8k_r1distill8b,a1.upcrres_greedy,0.6947721396250808,0.6947721396250808,0.0,2,2,30,30,False
