cell,subset,n,K_residual,K_eigengap,auroc_residual,auroc_eigengap,delta
se_squad_v2_llama8b,ALL_H16,2933,6,2,0.7659454249535396,0.7367446585019565,0.029200766451583093
seiclr_triviaqa_opt30b,GOOD_6,4993,2,2,0.5883956570917686,0.5883956570917686,0.0
seiclr_triviaqa_opt30b,LOCO_5,4993,4,2,0.6342220923508218,0.6189623103090047,0.015259782041817105
seiclr_triviaqa_opt30b,ALL_H16,4993,7,2,0.5307937131491245,0.5207732422771402,0.010020470871984322
semenergy_triviaqa_qwen3_8b,GOOD_6,4392,3,2,0.8159613899549709,0.7899213468295591,0.02604004312541186
semenergy_triviaqa_qwen3_8b,LOCO_5,4392,3,2,0.7940543373541047,0.7136058679820416,0.08044846937206307
semenergy_triviaqa_qwen3_8b,ALL_H16,4392,5,2,0.7144552008598481,0.6955001359098856,0.018955064949962575
spilled_triviaqa_llama8b,GOOD_6,256,2,2,0.942,0.942,0.0
spilled_triviaqa_llama8b,LOCO_5,256,2,2,0.9566666666666667,0.9566666666666667,0.0
spilled_triviaqa_llama8b,ALL_H16,256,8,2,0.9066666666666666,0.9333333333333333,-0.026666666666666727
trace_gsm8k_llama8b_k10,GOOD_6,5000,2,2,0.8092908020421608,0.8092908020421608,0.0
trace_gsm8k_llama8b_k10,LOCO_5,5000,3,2,0.8101663372859025,0.788692564229249,0.021473773056653433
trace_gsm8k_llama8b_k10,ALL_H16,5000,5,2,0.7659844367588932,0.7719538455204216,-0.005969408761528405
trace_math500_qwenmath15b_k10,GOOD_6,3000,2,2,0.6759889194811037,0.6759889194811037,0.0
trace_math500_qwenmath15b_k10,LOCO_5,3000,2,2,0.6851997346918011,0.6851997346918011,0.0
trace_math500_qwenmath15b_k10,ALL_H16,3000,6,2,0.6700868065782357,0.6660237966460087,0.004063009932226969
truthfulqa_llama8b,GOOD_6,7633,2,2,0.6571993052949163,0.6571993052949163,0.0
truthfulqa_llama8b,LOCO_5,7633,2,2,0.6764069444424318,0.6764069444424318,0.0
truthfulqa_llama8b,ALL_H16,7633,4,2,0.655514348398802,0.6296018415336259,0.0259125068651761
