cell,domain,oracle_auroc,oracle_size,oracle_feats,our_auroc,our_size,our_feats,gap_pp,good5_auroc,good6_auroc,feat_overlap_jaccard
lapeigvals_gsm8k_llama8b,math,0.8378,5,trace_length|rpdi|min_energy|sw_var_peak_energy|logprob_margin,0.8204,23,epr|trace_length|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_spectral_entropy|sw_var_peak|hurst_exponent|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,1.7395,0.8152,0.8186,0.12
lapeigvals_gsm8k_mistral24b,math,0.8717,5,dominant_freq|sw_var_peak|cusum_max_energy|logprob_margin|varentropy,0.8429,22,epr|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|min_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,2.8842,0.8006,0.8087,0.227
lapeigvals_gsm8k_nemo,math,0.8239,5,trace_length|spectral_entropy|epr_energy|varentropy|topk_tail_mass,0.7956,19,epr|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,2.8247,0.782,0.8013,0.2
lapeigvals_gsm8k_phi35,math,0.8284,5,trace_length|stft_spectral_entropy|logprob_margin|varentropy|topk_tail_mass,0.8083,16,epr|spectral_entropy|low_band_power|hl_ratio|dominant_freq|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,2.0136,0.8032,0.8125,0.167
noise_gsm8k_mistral7b,math,0.8216,5,trace_length|spectral_entropy|rpdi|epr_energy|varentropy,0.7874,20,epr|trace_length|spectral_entropy|low_band_power|hl_ratio|dominant_freq|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,3.4193,0.7851,0.7902,0.19
noise_gsm8k_phi3mini,math,0.6976,5,epr|spectral_entropy|spectral_centroid|cusum_shift_idx|varentropy,0.6824,18,epr|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_spectral_entropy|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,1.5245,0.6643,0.6801,0.211
math500_dsmath7b,math,0.8244,5,cusum_max|min_energy|cusum_max_energy|logprob_margin|topk_tail_mass,0.7851,20,epr|trace_length|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_spectral_entropy|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,3.9275,0.7512,0.7868,0.19
math500_qwenmath7b,math,0.9575,5,epr|hl_ratio|rpdi|min_spilled|epr_energy,0.9047,24,epr|spectral_entropy|low_band_power|high_band_power|hl_ratio|spectral_centroid|stft_max_high_power|stft_spectral_entropy|rpdi|sw_var_peak|hurst_exponent|cusum_max|cusum_shift_idx|epr_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,5.2738,0.9109,0.8901,0.16
math500_r1distill8b,math,0.8806,5,spectral_entropy|rpdi|cusum_max|min_spilled|topk_tail_mass,0.8401,21,epr|spectral_entropy|low_band_power|high_band_power|hl_ratio|spectral_centroid|stft_spectral_entropy|rpdi|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,4.048,0.8358,0.8357,0.182
math500_r1distill8b_mn4096,math,0.8759,5,spectral_entropy|rpdi|min_energy|sw_var_peak_energy|topk_tail_mass,0.8259,19,epr|spectral_entropy|low_band_power|high_band_power|hl_ratio|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,4.9974,0.8362,0.8329,0.143
trace_gsm8k_llama8b_k10,math,0.8261,5,trace_length|rpdi|cusum_max|epr_energy|logprob_margin,0.8099,24,epr|trace_length|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_spectral_entropy|sw_var_peak|hurst_exponent|cusum_max|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,1.624,0.7997,0.8093,0.16
trace_math500_qwenmath15b_k10,math,0.7292,5,trace_length|rpdi|cusum_shift_idx|min_spilled|epr_energy,0.6887,24,epr|trace_length|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_spectral_entropy|rpdi|sw_var_peak|hurst_exponent|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,4.0425,0.6649,0.676,0.115
