cell,C,lambda1,readout,n_selected,auroc
lapeigvals_gsm8k_llama3b,6,0.0,per_feature,9,0.6152754116978989
lapeigvals_gsm8k_llama3b,6,0.0,group_median,6,0.5839361018795208
lapeigvals_gsm8k_llama3b,6,0.01,per_feature,9,0.6152754116978989
lapeigvals_gsm8k_llama3b,6,0.01,group_median,6,0.5839361018795208
lapeigvals_gsm8k_llama3b,6,0.1,per_feature,9,0.6152754116978989
lapeigvals_gsm8k_llama3b,6,0.1,group_median,6,0.5839361018795208
lapeigvals_gsm8k_llama3b,6,1.0,per_feature,9,0.6152754116978989
lapeigvals_gsm8k_llama3b,6,1.0,group_median,6,0.5839361018795208
lapeigvals_gsm8k_llama3b,7,0.0,per_feature,10,0.6136975079360647
lapeigvals_gsm8k_llama3b,7,0.0,group_median,7,0.5689576526005158
lapeigvals_gsm8k_llama3b,7,0.01,per_feature,10,0.6136975079360647
lapeigvals_gsm8k_llama3b,7,0.01,group_median,7,0.5689576526005158
lapeigvals_gsm8k_llama3b,7,0.1,per_feature,10,0.6136975079360647
lapeigvals_gsm8k_llama3b,7,0.1,group_median,7,0.5689576526005158
lapeigvals_gsm8k_llama3b,7,1.0,per_feature,10,0.6136975079360647
lapeigvals_gsm8k_llama3b,7,1.0,group_median,7,0.5689576526005158
lapeigvals_gsm8k_llama3b,8,0.0,per_feature,11,0.6143770771078281
lapeigvals_gsm8k_llama3b,8,0.0,group_median,8,0.6152754116978989
lapeigvals_gsm8k_llama3b,8,0.01,per_feature,11,0.6143770771078281
lapeigvals_gsm8k_llama3b,8,0.01,group_median,8,0.6152754116978989
lapeigvals_gsm8k_llama3b,8,0.1,per_feature,11,0.6143770771078281
lapeigvals_gsm8k_llama3b,8,0.1,group_median,8,0.6152754116978989
lapeigvals_gsm8k_llama3b,8,1.0,per_feature,11,0.6143770771078281
lapeigvals_gsm8k_llama3b,8,1.0,group_median,8,0.6152754116978989
lapeigvals_gsm8k_llama8b,2,0.0,per_feature,4,0.7343262070622147
lapeigvals_gsm8k_llama8b,2,0.0,group_median,15,0.7469973576747537
lapeigvals_gsm8k_llama8b,2,0.01,per_feature,4,0.7343262070622147
lapeigvals_gsm8k_llama8b,2,0.01,group_median,15,0.7469973576747537
lapeigvals_gsm8k_llama8b,2,0.1,per_feature,4,0.7343262070622147
lapeigvals_gsm8k_llama8b,2,0.1,group_median,15,0.7469973576747537
lapeigvals_gsm8k_llama8b,2,1.0,per_feature,4,0.7343262070622147
lapeigvals_gsm8k_llama8b,2,1.0,group_median,15,0.7469973576747537
lapeigvals_gsm8k_llama8b,3,0.0,per_feature,6,0.734366242293218
lapeigvals_gsm8k_llama8b,3,0.0,group_median,3,0.7728200816718712
lapeigvals_gsm8k_llama8b,3,0.01,per_feature,6,0.734366242293218
lapeigvals_gsm8k_llama8b,3,0.01,group_median,3,0.7728200816718712
lapeigvals_gsm8k_llama8b,3,0.1,per_feature,6,0.734366242293218
lapeigvals_gsm8k_llama8b,3,0.1,group_median,3,0.7728200816718712
lapeigvals_gsm8k_llama8b,3,1.0,per_feature,6,0.734366242293218
lapeigvals_gsm8k_llama8b,3,1.0,group_median,3,0.7728200816718712
lapeigvals_gsm8k_llama8b,4,0.0,per_feature,8,0.734366242293218
lapeigvals_gsm8k_llama8b,4,0.0,group_median,4,0.8106533749699736
lapeigvals_gsm8k_llama8b,4,0.01,per_feature,8,0.734366242293218
lapeigvals_gsm8k_llama8b,4,0.01,group_median,4,0.8106533749699736
lapeigvals_gsm8k_llama8b,4,0.1,per_feature,8,0.734366242293218
lapeigvals_gsm8k_llama8b,4,0.1,group_median,4,0.8106533749699736
lapeigvals_gsm8k_llama8b,4,1.0,per_feature,8,0.734366242293218
lapeigvals_gsm8k_llama8b,4,1.0,group_median,4,0.8106533749699736
lapeigvals_gsm8k_llama8b,5,0.0,per_feature,9,0.7321643045880375
lapeigvals_gsm8k_llama8b,5,0.0,group_median,5,0.6104972375690607
lapeigvals_gsm8k_llama8b,5,0.01,per_feature,9,0.7321643045880375
lapeigvals_gsm8k_llama8b,5,0.01,group_median,5,0.6104972375690607
lapeigvals_gsm8k_llama8b,5,0.1,per_feature,9,0.7321643045880375
lapeigvals_gsm8k_llama8b,5,0.1,group_median,5,0.6104972375690607
lapeigvals_gsm8k_llama8b,5,1.0,per_feature,9,0.7321643045880375
lapeigvals_gsm8k_llama8b,5,1.0,group_median,5,0.6104972375690607
lapeigvals_gsm8k_llama8b,6,0.0,per_feature,11,0.733865801905677
lapeigvals_gsm8k_llama8b,6,0.0,group_median,6,0.737328849387461
lapeigvals_gsm8k_llama8b,6,0.01,per_feature,11,0.733865801905677
lapeigvals_gsm8k_llama8b,6,0.01,group_median,6,0.737328849387461
lapeigvals_gsm8k_llama8b,6,0.1,per_feature,11,0.733865801905677
lapeigvals_gsm8k_llama8b,6,0.1,group_median,6,0.737328849387461
lapeigvals_gsm8k_llama8b,6,1.0,per_feature,11,0.733865801905677
lapeigvals_gsm8k_llama8b,6,1.0,group_median,6,0.737328849387461
lapeigvals_gsm8k_llama8b,7,0.0,per_feature,10,0.7332252382096245
lapeigvals_gsm8k_llama8b,7,0.0,group_median,7,0.5912002562254784
lapeigvals_gsm8k_llama8b,7,0.01,per_feature,10,0.7332252382096245
lapeigvals_gsm8k_llama8b,7,0.01,group_median,7,0.5912002562254784
lapeigvals_gsm8k_llama8b,7,0.1,per_feature,10,0.7332252382096245
lapeigvals_gsm8k_llama8b,7,0.1,group_median,7,0.5912002562254784
lapeigvals_gsm8k_llama8b,7,1.0,per_feature,10,0.7332252382096245
lapeigvals_gsm8k_llama8b,7,1.0,group_median,7,0.5912002562254784
lapeigvals_gsm8k_llama8b,8,0.0,per_feature,12,0.7339458723676835
lapeigvals_gsm8k_llama8b,8,0.0,group_median,8,0.7313235647369686
lapeigvals_gsm8k_llama8b,8,0.01,per_feature,12,0.7339458723676835
lapeigvals_gsm8k_llama8b,8,0.01,group_median,8,0.7313235647369686
lapeigvals_gsm8k_llama8b,8,0.1,per_feature,12,0.7339458723676835
lapeigvals_gsm8k_llama8b,8,0.1,group_median,8,0.7313235647369686
lapeigvals_gsm8k_llama8b,8,1.0,per_feature,12,0.7339458723676835
lapeigvals_gsm8k_llama8b,8,1.0,group_median,8,0.7313235647369686
lapeigvals_gsm8k_mistral24b,2,0.0,per_feature,4,0.7100007582075972
lapeigvals_gsm8k_mistral24b,2,0.0,group_median,15,0.7357646523618167
lapeigvals_gsm8k_mistral24b,2,0.01,per_feature,4,0.7100007582075972
lapeigvals_gsm8k_mistral24b,2,0.01,group_median,15,0.7357646523618167
lapeigvals_gsm8k_mistral24b,2,0.1,per_feature,4,0.7100007582075972
lapeigvals_gsm8k_mistral24b,2,0.1,group_median,15,0.7357646523618167
lapeigvals_gsm8k_mistral24b,2,1.0,per_feature,4,0.7100007582075972
lapeigvals_gsm8k_mistral24b,2,1.0,group_median,15,0.7357646523618167
lapeigvals_gsm8k_mistral24b,3,0.0,per_feature,6,0.7101599818030178
lapeigvals_gsm8k_mistral24b,3,0.0,group_median,3,0.7107817120327546
lapeigvals_gsm8k_mistral24b,3,0.01,per_feature,6,0.7101599818030178
lapeigvals_gsm8k_mistral24b,3,0.01,group_median,3,0.7107817120327546
lapeigvals_gsm8k_mistral24b,3,0.1,per_feature,6,0.7101599818030178
lapeigvals_gsm8k_mistral24b,3,0.1,group_median,3,0.7107817120327546
lapeigvals_gsm8k_mistral24b,3,1.0,per_feature,6,0.7101599818030178
lapeigvals_gsm8k_mistral24b,3,1.0,group_median,3,0.7107817120327546
lapeigvals_gsm8k_mistral24b,4,0.0,per_feature,8,0.7104935931458033
lapeigvals_gsm8k_mistral24b,4,0.0,group_median,4,0.7112972931988779
lapeigvals_gsm8k_mistral24b,4,0.01,per_feature,8,0.7104935931458033
lapeigvals_gsm8k_mistral24b,4,0.01,group_median,4,0.7112972931988779
lapeigvals_gsm8k_mistral24b,4,0.1,per_feature,8,0.7104935931458033
lapeigvals_gsm8k_mistral24b,4,0.1,group_median,4,0.7112972931988779
lapeigvals_gsm8k_mistral24b,4,1.0,per_feature,8,0.7104935931458033
lapeigvals_gsm8k_mistral24b,4,1.0,group_median,4,0.7112972931988779
lapeigvals_gsm8k_mistral24b,5,0.0,per_feature,10,0.7103495337023278
lapeigvals_gsm8k_mistral24b,5,0.0,group_median,5,0.7113124573508227
lapeigvals_gsm8k_mistral24b,5,0.01,per_feature,10,0.7103495337023278
lapeigvals_gsm8k_mistral24b,5,0.01,group_median,5,0.7113124573508227
lapeigvals_gsm8k_mistral24b,5,0.1,per_feature,10,0.7103495337023278
lapeigvals_gsm8k_mistral24b,5,0.1,group_median,5,0.7113124573508227
lapeigvals_gsm8k_mistral24b,5,1.0,per_feature,10,0.7103495337023278
lapeigvals_gsm8k_mistral24b,5,1.0,group_median,5,0.7113124573508227
