cell,domain,feature,flagged,recurrent,n,n_min,single_view_auc,single_view_auc_oriented,upcr_rho_hat,upcr_rho_rank,upcr_kept,upcr_w,dufs_selected
semenergy_triviaqa_qwen3_8b,QA,epr_energy,1,0,4392,2094,0.4462,0.5538,-0.043458,25,0,,1
semenergy_triviaqa_qwen3_8b,QA,hurst_exponent,0,1,4392,2094,0.3562,0.6438,0.137208,18,1,0.016916,0
semenergy_triviaqa_qwen3_8b,QA,logprob_margin,1,0,4392,2094,0.6175,0.6175,-0.095374,27,0,,1
semenergy_triviaqa_qwen3_8b,QA,pe_mean,1,1,4392,2094,0.5216,0.5216,-0.052739,26,0,,0
semenergy_triviaqa_qwen3_8b,QA,rpdi,1,1,4392,2094,0.5567,0.5567,9.4e-05,23,0,,0
semenergy_triviaqa_qwen3_8b,QA,spectral_entropy,1,0,4392,2094,0.5513,0.5513,0.109546,21,1,0.01104,1
spilled_triviaqa_llama8b,QA,cusum_shift_idx,0,1,256,6,0.1883,0.8117,0.045373,24,0,,0
spilled_triviaqa_llama8b,QA,hurst_exponent,0,1,256,6,0.3247,0.6753,0.198688,22,1,0.004956,0
spilled_triviaqa_llama8b,QA,pe_mean,0,1,256,6,0.7387,0.7387,-0.074818,28,0,,0
spilled_triviaqa_llama8b,QA,rpdi,1,1,256,6,0.6667,0.6667,-0.066955,27,0,,0
truthfulqa_llama8b,QA,cusum_shift_idx,1,1,7633,809,0.4955,0.5045,-0.000997,29,0,,0
truthfulqa_llama8b,QA,hl_ratio,1,0,7633,809,0.4788,0.5212,0.111131,24,0,,1
truthfulqa_llama8b,QA,hurst_exponent,1,1,7633,809,0.4733,0.5267,0.109291,25,0,,0
truthfulqa_llama8b,QA,low_band_power,1,0,7633,809,0.5328,0.5328,0.176779,22,1,0.015318,0
truthfulqa_llama8b,QA,pe_mean,1,1,7633,809,0.5174,0.5174,0.046665,27,0,,0
truthfulqa_llama8b,QA,rpdi,1,1,7633,809,0.4981,0.5019,0.012593,28,0,,0
truthfulqa_llama8b,QA,spectral_centroid,1,0,7633,809,0.4669,0.5331,0.183583,21,1,0.01443,0
ars_gsm8k_r1distill8b,math,cusum_shift_idx,0,1,500,136,0.5002,0.5002,-0.049667,29,0,,0
ars_gsm8k_r1distill8b,math,hurst_exponent,0,1,500,136,0.4594,0.5406,0.074115,19,0,,0
ars_gsm8k_r1distill8b,math,pe_mean,0,1,500,136,0.4889,0.5111,-0.031863,27,0,,0
ars_gsm8k_r1distill8b,math,rpdi,0,1,500,136,0.5948,0.5948,-0.010111,25,0,,0
internalstates_gsm8k_qwen25_7b,math,cusum_shift_idx,0,1,500,147,0.4934,0.5066,0.143922,22,0,,0
internalstates_gsm8k_qwen25_7b,math,hurst_exponent,0,1,500,147,0.4087,0.5913,0.200569,21,1,0.01494,0
internalstates_gsm8k_qwen25_7b,math,pe_mean,0,1,500,147,0.5105,0.5105,-0.064497,29,0,,0
internalstates_gsm8k_qwen25_7b,math,rpdi,0,1,500,147,0.5097,0.5097,0.102184,25,0,,0
lapeigvals_gsm8k_llama3b,math,cusum_shift_idx,0,1,1319,587,0.4124,0.5876,0.113705,26,0,,0
lapeigvals_gsm8k_llama3b,math,hurst_exponent,0,1,1319,587,0.4295,0.5705,0.240251,21,1,0.00674,0
lapeigvals_gsm8k_llama3b,math,min_energy,1,0,1319,587,0.4739,0.5261,0.358441,16,1,0.027771,0
lapeigvals_gsm8k_llama3b,math,pe_mean,1,1,1319,587,0.4652,0.5348,-0.028112,28,0,,0
lapeigvals_gsm8k_llama3b,math,rpdi,0,1,1319,587,0.5881,0.5881,0.237773,22,1,0.015335,0
lapeigvals_gsm8k_llama8b,math,cusum_shift_idx,0,1,500,138,0.4666,0.5334,-0.00446,27,0,,0
lapeigvals_gsm8k_llama8b,math,hurst_exponent,0,1,500,138,0.3196,0.6804,0.262413,21,1,0.004891,0
lapeigvals_gsm8k_llama8b,math,pe_mean,0,1,500,138,0.4502,0.5498,0.019838,26,0,,0
lapeigvals_gsm8k_llama8b,math,rpdi,0,1,500,138,0.718,0.718,0.203965,22,1,0.010081,0
lapeigvals_gsm8k_mistral24b,math,cusum_shift_idx,0,1,1319,109,0.3407,0.6593,0.094461,25,0,,0
lapeigvals_gsm8k_mistral24b,math,hurst_exponent,0,1,1319,109,0.2722,0.7278,0.315531,19,1,0.013994,0
lapeigvals_gsm8k_mistral24b,math,pe_mean,0,1,1319,109,0.4617,0.5383,-0.047848,29,0,,0
lapeigvals_gsm8k_mistral24b,math,rpdi,0,1,1319,109,0.6795,0.6795,0.062043,27,0,,0
lapeigvals_gsm8k_mistral24b,math,stft_spectral_entropy,1,0,1319,109,0.5264,0.5264,-0.058692,30,0,,0
lapeigvals_gsm8k_nemo,math,cusum_shift_idx,0,1,1319,225,0.3745,0.6255,0.116528,23,0,,0
lapeigvals_gsm8k_nemo,math,hurst_exponent,0,1,1319,225,0.4517,0.5483,0.125141,22,0,,0
lapeigvals_gsm8k_nemo,math,pe_mean,0,1,1319,225,0.4816,0.5184,0.000708,28,0,,0
lapeigvals_gsm8k_nemo,math,rpdi,0,1,1319,225,0.5927,0.5927,0.056352,26,0,,0
lapeigvals_gsm8k_phi35,math,cusum_shift_idx,0,1,1319,201,0.3963,0.6037,0.136006,21,0,,0
lapeigvals_gsm8k_phi35,math,hurst_exponent,0,1,1319,201,0.3721,0.6279,0.231526,17,1,0.017123,0
lapeigvals_gsm8k_phi35,math,pe_mean,0,1,1319,201,0.5065,0.5065,-9e-06,28,0,,0
lapeigvals_gsm8k_phi35,math,rpdi,0,1,1319,201,0.5218,0.5218,0.136525,20,0,,0
noise_gsm8k_mistral7b,math,cusum_shift_idx,0,1,1319,658,0.4127,0.5873,0.110604,25,0,,0
noise_gsm8k_mistral7b,math,hurst_exponent,0,1,1319,658,0.4394,0.5606,0.174684,23,1,0.014744,0
noise_gsm8k_mistral7b,math,pe_mean,0,1,1319,658,0.5244,0.5244,-0.027427,29,0,,0
noise_gsm8k_mistral7b,math,rpdi,0,1,1319,658,0.6552,0.6552,0.182726,22,1,0.016909,0
noise_gsm8k_phi3mini,math,cusum_shift_idx,0,1,1319,383,0.4041,0.5959,0.13089,20,1,0.016153,0
noise_gsm8k_phi3mini,math,hurst_exponent,0,1,1319,383,0.4928,0.5072,-0.057073,29,0,,0
noise_gsm8k_phi3mini,math,pe_mean,0,1,1319,383,0.5185,0.5185,-0.036176,28,0,,0
noise_gsm8k_phi3mini,math,rpdi,0,1,1319,383,0.5315,0.5315,0.048148,23,0,,0
math500_dsmath7b,math,cusum_shift_idx,1,1,300,57,0.4847,0.5153,0.035357,27,0,,0
math500_dsmath7b,math,hurst_exponent,0,1,300,57,0.3558,0.6442,0.282497,15,1,0.029755,0
math500_dsmath7b,math,pe_mean,0,1,300,57,0.5306,0.5306,0.012253,29,0,,0
math500_dsmath7b,math,rpdi,0,1,300,57,0.6729,0.6729,0.160517,23,1,0.016588,0
math500_qwenmath7b,math,cusum_shift_idx,0,1,300,68,0.8392,0.8392,0.063989,7,1,-0.041219,1
math500_qwenmath7b,math,hurst_exponent,0,1,300,68,0.0809,0.9191,0.031363,10,0,,1
math500_qwenmath7b,math,min_spilled,1,0,300,68,0.2717,0.7283,-0.027487,22,0,,0
math500_qwenmath7b,math,pe_mean,1,1,300,68,0.4823,0.5177,-0.024169,21,0,,0
math500_qwenmath7b,math,rpdi,1,1,300,68,0.7133,0.7133,0.104818,1,1,0.041595,1
math500_r1distill8b,math,cusum_shift_idx,1,1,300,86,0.4712,0.5288,-0.112519,28,0,,0
math500_r1distill8b,math,hurst_exponent,0,1,300,86,0.4199,0.5801,0.220185,21,1,0.015476,0
math500_r1distill8b,math,pe_mean,0,1,300,86,0.3895,0.6105,0.060886,26,0,,0
math500_r1distill8b,math,rpdi,0,1,300,86,0.8073,0.8073,0.323888,18,1,0.022671,0
math500_r1distill8b_mn4096,math,cusum_shift_idx,0,1,300,117,0.5635,0.5635,-0.011902,28,0,,0
math500_r1distill8b_mn4096,math,hurst_exponent,1,1,300,117,0.4578,0.5422,0.261348,22,1,0.01129,0
math500_r1distill8b_mn4096,math,pe_mean,0,1,300,117,0.4577,0.5423,0.009943,27,0,,0
math500_r1distill8b_mn4096,math,rpdi,0,1,300,117,0.783,0.783,0.285931,21,1,0.01934,0
trace_gsm8k_llama8b_k10,math,cusum_shift_idx,0,1,5000,1320,0.408,0.592,0.018796,26,0,,0
trace_gsm8k_llama8b_k10,math,hurst_exponent,0,1,5000,1320,0.3331,0.6669,0.248723,21,1,0.003654,0
trace_gsm8k_llama8b_k10,math,pe_mean,0,1,5000,1320,0.4334,0.5666,-0.00888,27,0,,0
trace_gsm8k_llama8b_k10,math,rpdi,0,1,5000,1320,0.6651,0.6651,0.172331,22,1,0.009082,0
trace_math500_qwenmath15b_k10,math,cusum_shift_idx,0,1,3000,529,0.4626,0.5374,-0.055968,29,0,,0
trace_math500_qwenmath15b_k10,math,hurst_exponent,0,1,3000,529,0.3622,0.6378,0.471416,9,1,0.028474,1
trace_math500_qwenmath15b_k10,math,pe_mean,0,1,3000,529,0.4645,0.5355,0.022435,27,0,,0
trace_math500_qwenmath15b_k10,math,rpdi,0,1,3000,529,0.6102,0.6102,0.162565,25,0,,0
