cell,family,domain,method,contract,n,n_features,n_kept,auroc,score_mean,score_std,fit_residual,sparse_fraction,decomposition_converged
epr_triviaqa_mistral24b,triviaqa,QA,su_pcr,remove_unstable,621,25,25,0.7445152059252609,0.0,0.5254616934158005,0.09296254411410314,0.0,True
epr_triviaqa_mistral24b,triviaqa,QA,deployed_upcr,replace_squared,621,28,23,0.7449360341151386,0.0,0.5311963797285663,0.06432447349963885,,
epr_triviaqa_mistral24b,triviaqa,QA,iu_pcr,replace_squared,621,28,28,0.7425513410391651,-2.8604780022548317e-18,0.5115763950687218,0.07514992396309922,,
epr_triviaqa_mistral24b,triviaqa,QA,su_pcr,replace_squared,621,28,28,0.6421978453596677,-1.0726792508455619e-17,0.484398046144668,0.5203340676196517,0.12698412698412698,True
epr_triviaqa_mistral24b,triviaqa,QA,deployed_upcr,replace_mode,621,28,23,0.7449360341151386,0.0,0.5311963797285663,0.06432447349963885,,
epr_triviaqa_mistral24b,triviaqa,QA,iu_pcr,replace_mode,621,28,28,0.7415834362024464,-2.2883824018038653e-17,0.5113208627955987,0.07173021256865018,,
epr_triviaqa_mistral24b,triviaqa,QA,su_pcr,replace_mode,621,28,28,0.6428010324318258,-4.791300653776843e-17,0.4857607973169993,0.5143308247315511,0.12698412698412698,True
internalstates_gsm8k_qwen25_7b,gsm8k,math,deployed_upcr,fixed_all,500,29,22,0.7071553833998189,-5.3290705182007515e-18,0.5253190061977372,0.08146353710268303,,
internalstates_gsm8k_qwen25_7b,gsm8k,math,iu_pcr,fixed_all,500,29,29,0.7108747181592183,1.7763568394002505e-18,0.5051533702948199,0.0718499778018376,,
internalstates_gsm8k_qwen25_7b,gsm8k,math,su_pcr,fixed_all,500,29,29,0.7104314813744195,8.881784197001253e-19,0.5054593303836146,0.07593670348286204,0.0024630541871921183,True
internalstates_gsm8k_qwen25_7b,gsm8k,math,deployed_upcr,remove_unstable,500,25,21,0.708176755121312,1.7763568394002505e-18,0.5282268335648057,0.07450017326701308,,
internalstates_gsm8k_qwen25_7b,gsm8k,math,iu_pcr,remove_unstable,500,25,25,0.711510666589582,2.6645352591003758e-18,0.5136585531593613,0.07310286944399363,,
internalstates_gsm8k_qwen25_7b,gsm8k,math,su_pcr,remove_unstable,500,25,25,0.7106049218554278,-1.7763568394002505e-18,0.514626122371815,0.08862951635567615,0.0033333333333333335,True
internalstates_gsm8k_qwen25_7b,gsm8k,math,deployed_upcr,replace_squared,500,29,21,0.708176755121312,0.0,0.5282268335648053,0.07450017326701311,,
internalstates_gsm8k_qwen25_7b,gsm8k,math,iu_pcr,replace_squared,500,29,29,0.7149409338806343,-1.0658141036401503e-17,0.5016995117089805,0.0702158952226977,,
internalstates_gsm8k_qwen25_7b,gsm8k,math,su_pcr,replace_squared,500,29,29,0.7141122738047061,-1.1546319456101627e-17,0.5015805256861402,0.07074480111412658,0.0024630541871921183,True
internalstates_gsm8k_qwen25_7b,gsm8k,math,deployed_upcr,replace_mode,500,29,21,0.708176755121312,0.0,0.5282268335648053,0.07450017326701311,,
internalstates_gsm8k_qwen25_7b,gsm8k,math,iu_pcr,replace_mode,500,29,29,0.712763292285753,-2.6645352591003758e-18,0.5024652303397612,0.07185183658712513,,
internalstates_gsm8k_qwen25_7b,gsm8k,math,su_pcr,replace_mode,500,29,29,0.7126283941338574,3.552713678800501e-18,0.5024243988711347,0.074157631060004,0.0024630541871921183,True
lapeigvals_gsm8k_llama3b,gsm8k,math,deployed_upcr,fixed_all,1319,30,22,0.699160313160369,0.0,0.5525192760017326,0.08016211692913007,,
lapeigvals_gsm8k_llama3b,gsm8k,math,iu_pcr,fixed_all,1319,30,30,0.6945662393759134,-1.3467451398030708e-18,0.5237990103994552,0.09379891868570997,,
lapeigvals_gsm8k_llama3b,gsm8k,math,su_pcr,fixed_all,1319,30,30,0.6945732212509659,-4.713607989310748e-18,0.5242429629607699,0.09539773148483145,0.0,True
lapeigvals_gsm8k_llama3b,gsm8k,math,deployed_upcr,remove_unstable,1319,26,21,0.6990742033680565,-6.733725699015354e-19,0.5561819894121806,0.07655709762848885,,
lapeigvals_gsm8k_llama3b,gsm8k,math,iu_pcr,remove_unstable,1319,26,26,0.6964885823069977,-6.060353129113819e-18,0.5362672684855898,0.10569211727456398,,
lapeigvals_gsm8k_llama3b,gsm8k,math,su_pcr,remove_unstable,1319,26,26,0.6965002187654182,1.3467451398030708e-18,0.5369063662748399,0.11045557601992884,0.0,True
lapeigvals_gsm8k_llama3b,gsm8k,math,deployed_upcr,replace_squared,1319,30,22,0.6985994358644958,2.6934902796061417e-18,0.552123372570564,0.08233189384326428,,
lapeigvals_gsm8k_llama3b,gsm8k,math,iu_pcr,replace_squared,1319,30,30,0.6934654304093241,-1.2120706258227638e-17,0.5201870285639625,0.08443408103916723,,
lapeigvals_gsm8k_llama3b,gsm8k,math,su_pcr,replace_squared,1319,30,30,0.6937353962446821,-1.2120706258227638e-17,0.5199060584301817,0.08629650021769576,0.0022988505747126436,True
lapeigvals_gsm8k_llama3b,gsm8k,math,deployed_upcr,replace_mode,1319,30,22,0.6987064912819654,1.1447333688326102e-17,0.5522815243765873,0.08247650466025906,,
lapeigvals_gsm8k_llama3b,gsm8k,math,iu_pcr,replace_mode,1319,30,30,0.6937959058284693,1.1447333688326102e-17,0.521739380132706,0.08788139748563854,,
lapeigvals_gsm8k_llama3b,gsm8k,math,su_pcr,replace_mode,1319,30,30,0.6940705262471956,1.0773961118424567e-17,0.5216335777711874,0.09123103900546062,0.0022988505747126436,True
lapeigvals_gsm8k_llama8b,gsm8k,math,deployed_upcr,fixed_all,500,29,22,0.8108335335094884,1.7763568394002505e-18,0.5578550685892095,0.08032216585482281,,
lapeigvals_gsm8k_llama8b,gsm8k,math,iu_pcr,fixed_all,500,29,29,0.8179197693970695,0.0,0.5311363727230406,0.10614988670466953,,
lapeigvals_gsm8k_llama8b,gsm8k,math,su_pcr,fixed_all,500,29,29,0.8179598046280727,1.7763568394002505e-18,0.5308131276968683,0.1034507151633694,0.0,True
lapeigvals_gsm8k_llama8b,gsm8k,math,deployed_upcr,remove_unstable,500,25,21,0.8081111378012651,-4.440892098500626e-18,0.5616908106871844,0.07304935593586898,,
lapeigvals_gsm8k_llama8b,gsm8k,math,iu_pcr,remove_unstable,500,25,25,0.8141764752982624,-5.3290705182007515e-18,0.5452566476147329,0.11344295567106272,,
lapeigvals_gsm8k_llama8b,gsm8k,math,su_pcr,remove_unstable,500,25,25,0.8141964929137642,-1.7763568394002505e-18,0.5458426082421491,0.11889529662759052,0.0,True
lapeigvals_gsm8k_llama8b,gsm8k,math,deployed_upcr,replace_squared,500,29,21,0.8081111378012651,3.552713678800501e-18,0.5616908106871842,0.07304935593586895,,
lapeigvals_gsm8k_llama8b,gsm8k,math,iu_pcr,replace_squared,500,29,29,0.8150572503803346,-1.0658141036401503e-17,0.5267935581808688,0.09132194710020339,,
lapeigvals_gsm8k_llama8b,gsm8k,math,su_pcr,replace_squared,500,29,29,0.8150572503803347,-1.0658141036401503e-17,0.5269755833820834,0.09189846978676745,0.0,True
lapeigvals_gsm8k_llama8b,gsm8k,math,deployed_upcr,replace_mode,500,29,22,0.8103931459684521,-1.7763568394002505e-18,0.5578196488837489,0.0799053114721039,,
lapeigvals_gsm8k_llama8b,gsm8k,math,iu_pcr,replace_mode,500,29,29,0.8183601569381056,-2.6645352591003758e-18,0.5292163813133572,0.09583950404721447,,
lapeigvals_gsm8k_llama8b,gsm8k,math,su_pcr,replace_mode,500,29,29,0.8183001040916007,-1.0658141036401503e-17,0.5295438893839641,0.09810463455357914,0.0,True
lapeigvals_gsm8k_mistral24b,gsm8k,math,deployed_upcr,fixed_all,1319,30,22,0.8499052240503451,0.0,0.5561676996270591,0.09115698756103012,,
lapeigvals_gsm8k_mistral24b,gsm8k,math,iu_pcr,fixed_all,1319,30,30,0.8458791417089999,0.0,0.524832237958207,0.08898624873700715,,
lapeigvals_gsm8k_mistral24b,gsm8k,math,su_pcr,fixed_all,1319,30,30,0.8468041549776328,1.3467451398030708e-18,0.5263374338106535,0.09707351247518324,0.0022988505747126436,True
lapeigvals_gsm8k_mistral24b,gsm8k,math,deployed_upcr,remove_unstable,1319,26,21,0.8486086890590644,-5.386980559212283e-18,0.5597390702065549,0.08108340282570593,,
lapeigvals_gsm8k_mistral24b,gsm8k,math,iu_pcr,remove_unstable,1319,26,26,0.8470316172568049,2.6934902796061417e-18,0.5414652263585067,0.0998868258535735,,
lapeigvals_gsm8k_mistral24b,gsm8k,math,su_pcr,remove_unstable,1319,26,26,0.8468496474334672,0.0,0.5432861384231177,0.11309529115463413,0.0,True
lapeigvals_gsm8k_mistral24b,gsm8k,math,deployed_upcr,replace_squared,1319,30,22,0.844218667071044,-2.6934902796061417e-18,0.5537530550970257,0.09115698756103022,,
lapeigvals_gsm8k_mistral24b,gsm8k,math,iu_pcr,replace_squared,1319,30,30,0.8455682765941315,2.6934902796061417e-18,0.5234310966857969,0.08387606907394352,,
lapeigvals_gsm8k_mistral24b,gsm8k,math,su_pcr,replace_squared,1319,30,30,0.8232542270073546,1.0100588548523032e-17,0.48219556506507805,0.2804905143694553,0.06666666666666667,True
lapeigvals_gsm8k_mistral24b,gsm8k,math,deployed_upcr,replace_mode,1319,30,22,0.844218667071044,-2.6934902796061417e-18,0.5537530550970257,0.09115698756103027,,
lapeigvals_gsm8k_mistral24b,gsm8k,math,iu_pcr,replace_mode,1319,30,30,0.8457957388733035,1.2120706258227638e-17,0.5237891124051084,0.08373033414138725,,
lapeigvals_gsm8k_mistral24b,gsm8k,math,su_pcr,replace_mode,1319,30,30,0.8262339828645083,1.481419653783378e-17,0.4805808315586112,0.26549837720021546,0.06666666666666667,True
lapeigvals_gsm8k_nemo,gsm8k,math,deployed_upcr,fixed_all,1319,29,20,0.7972699573430835,2.6934902796061417e-18,0.5297571462399301,0.054975403561590266,,
lapeigvals_gsm8k_nemo,gsm8k,math,iu_pcr,fixed_all,1319,29,29,0.7979118423725371,-2.6934902796061417e-18,0.5014382603568516,0.08358145939872935,,
lapeigvals_gsm8k_nemo,gsm8k,math,su_pcr,fixed_all,1319,29,29,0.7984359130611417,-2.6934902796061417e-18,0.4998032099202316,0.0782259477433838,0.0049261083743842365,True
lapeigvals_gsm8k_nemo,gsm8k,math,deployed_upcr,remove_unstable,1319,25,20,0.7972699573430835,0.0,0.5297571462399302,0.054975403561590266,,
lapeigvals_gsm8k_nemo,gsm8k,math,iu_pcr,remove_unstable,1319,25,25,0.7965021328458257,2.6934902796061417e-18,0.50966291210891,0.079817148492232,,
lapeigvals_gsm8k_nemo,gsm8k,math,su_pcr,remove_unstable,1319,25,25,0.7970221409709527,0.0,0.5085551743126676,0.08053059702441338,0.006666666666666667,True
lapeigvals_gsm8k_nemo,gsm8k,math,deployed_upcr,replace_squared,1319,29,20,0.7972699573430835,-6.733725699015354e-18,0.5297571462399301,0.05497540356159025,,
lapeigvals_gsm8k_nemo,gsm8k,math,iu_pcr,replace_squared,1319,29,29,0.7961608775137112,-4.0402354194092125e-18,0.49798455995197805,0.0813531697929677,,
lapeigvals_gsm8k_nemo,gsm8k,math,su_pcr,replace_squared,1319,29,29,0.7973877716839327,-4.0402354194092125e-18,0.49417092238727606,0.07278763314693452,0.009852216748768473,True
lapeigvals_gsm8k_nemo,gsm8k,math,deployed_upcr,replace_mode,1319,29,20,0.7972699573430835,-4.0402354194092125e-18,0.5297571462399301,0.05497540356159029,,
lapeigvals_gsm8k_nemo,gsm8k,math,iu_pcr,replace_mode,1319,29,29,0.7969165143205362,2.828164793586449e-17,0.4984953097556176,0.08164775400383091,,
lapeigvals_gsm8k_nemo,gsm8k,math,su_pcr,replace_mode,1319,29,29,0.7974040219378428,2.962839307566756e-17,0.4966676805379985,0.07464148559923858,0.0049261083743842365,True
lapeigvals_gsm8k_phi35,gsm8k,math,deployed_upcr,fixed_all,1319,29,18,0.8088448633398303,-2.6934902796061417e-18,0.5350122536350863,0.0835472753733902,,
lapeigvals_gsm8k_phi35,gsm8k,math,iu_pcr,fixed_all,1319,29,29,0.8118219279274469,-3.366862849507677e-18,0.46254773243571407,0.09962355546907671,,
lapeigvals_gsm8k_phi35,gsm8k,math,su_pcr,fixed_all,1319,29,29,0.8117907777748112,-4.713607989310748e-18,0.4844077898674099,0.08289133105586767,0.0049261083743842365,True
lapeigvals_gsm8k_phi35,gsm8k,math,deployed_upcr,remove_unstable,1319,25,18,0.8088448633398303,-1.1447333688326102e-17,0.5350122536350863,0.0835472753733902,,
lapeigvals_gsm8k_phi35,gsm8k,math,iu_pcr,remove_unstable,1319,25,25,0.8121067293229737,-1.3467451398030708e-18,0.4775118544513915,0.10113282498952128,,
lapeigvals_gsm8k_phi35,gsm8k,math,su_pcr,remove_unstable,1319,25,25,0.8121645796064401,-1.0100588548523032e-17,0.49953974614802676,0.10232394446257145,0.006666666666666667,True
lapeigvals_gsm8k_phi35,gsm8k,math,deployed_upcr,replace_squared,1319,29,19,0.8088626634270508,-5.386980559212283e-18,0.5302855703258419,0.08507136539266881,,
lapeigvals_gsm8k_phi35,gsm8k,math,iu_pcr,replace_squared,1319,29,29,0.8091385647789675,-1.616094167763685e-17,0.4416344577282469,0.12275525815108498,,
lapeigvals_gsm8k_phi35,gsm8k,math,su_pcr,replace_squared,1319,29,29,0.7011098354381937,-2.5588157656258347e-17,0.44230803195783785,0.598212802184667,0.11330049261083744,True
lapeigvals_gsm8k_phi35,gsm8k,math,deployed_upcr,replace_mode,1319,29,18,0.8088448633398303,-2.0201177097046063e-18,0.5350122536350863,0.08354727537339007,,
lapeigvals_gsm8k_phi35,gsm8k,math,iu_pcr,replace_mode,1319,29,29,0.8100330191617939,1.750768681743992e-17,0.43443858164314386,0.13219635767182675,,
lapeigvals_gsm8k_phi35,gsm8k,math,su_pcr,replace_mode,1319,29,29,0.8101442697069214,1.8854431957242993e-17,0.45330799694241364,0.12330781284680711,0.007389162561576354,True
losnet_hotpotqa_mistral7b,hotpotqa,QA,deployed_upcr,fixed_all,500,29,23,0.5695668496040329,2.6645352591003758e-18,0.5117258450528402,0.07342417788447368,,
losnet_hotpotqa_mistral7b,hotpotqa,QA,iu_pcr,fixed_all,500,29,29,0.5702640376123992,-3.552713678800501e-18,0.4958043374672509,0.0617482770376452,,
losnet_hotpotqa_mistral7b,hotpotqa,QA,su_pcr,fixed_all,500,29,29,0.5708718425427698,0.0,0.4941881530365569,0.05945538352737332,0.0049261083743842365,True
losnet_hotpotqa_mistral7b,hotpotqa,QA,deployed_upcr,remove_unstable,500,25,22,0.5691914406764511,-3.552713678800501e-18,0.5138055942308484,0.06705407547799003,,
losnet_hotpotqa_mistral7b,hotpotqa,QA,iu_pcr,remove_unstable,500,25,25,0.5711578683923559,-7.105427357601002e-18,0.5068395130451174,0.08025909770531271,,
losnet_hotpotqa_mistral7b,hotpotqa,QA,su_pcr,remove_unstable,500,25,25,0.5713902643951447,-1.7763568394002505e-18,0.5052073896651271,0.08343447072523756,0.006666666666666667,True
losnet_hotpotqa_mistral7b,hotpotqa,QA,deployed_upcr,replace_squared,500,29,23,0.5695668496040329,-6.217248937900877e-18,0.5117258450528405,0.0734241778844736,,
losnet_hotpotqa_mistral7b,hotpotqa,QA,iu_pcr,replace_squared,500,29,29,0.572087452403511,-7.993605777301126e-18,0.4927425076234077,0.06538882217877191,,
losnet_hotpotqa_mistral7b,hotpotqa,QA,su_pcr,replace_squared,500,29,29,0.5724449847154938,-1.2434497875801754e-17,0.4911979233000315,0.060695406548596086,0.0049261083743842365,True
losnet_hotpotqa_mistral7b,hotpotqa,QA,deployed_upcr,replace_mode,500,29,23,0.5695668496040329,-8.881784197001253e-19,0.5117258450528406,0.07342417788447361,,
losnet_hotpotqa_mistral7b,hotpotqa,QA,iu_pcr,replace_mode,500,29,29,0.5717477967071274,7.993605777301126e-18,0.49410767801220135,0.06015977569885409,,
losnet_hotpotqa_mistral7b,hotpotqa,QA,su_pcr,replace_mode,500,29,29,0.5726058742558859,3.552713678800501e-18,0.4904886761766045,0.054678445713272364,0.009852216748768473,True
math500_dsmath7b,math500,math,deployed_upcr,fixed_all,300,30,23,0.792722547108512,-8.881784197001253e-18,0.5055001647437614,0.07091516453300849,,
math500_dsmath7b,math500,math,iu_pcr,fixed_all,300,30,30,0.788029745144755,-8.881784197001253e-18,0.4348983453696285,0.13770517640773589,,
math500_dsmath7b,math500,math,su_pcr,fixed_all,300,30,30,0.7885351238177749,-2.960594732333751e-18,0.45158124008042394,0.10780581769793063,0.004597701149425287,True
math500_dsmath7b,math500,math,deployed_upcr,remove_unstable,300,26,21,0.7906288354631434,-5.921189464667502e-18,0.5120075004420056,0.07047884210401088,,
math500_dsmath7b,math500,math,iu_pcr,remove_unstable,300,26,26,0.787307775611869,5.921189464667502e-18,0.49347691845199987,0.1540996215415917,,
math500_dsmath7b,math500,math,su_pcr,remove_unstable,300,26,26,0.7873077756118692,2.960594732333751e-18,0.4963412353252656,0.14861468246336093,0.003076923076923077,True
math500_dsmath7b,math500,math,deployed_upcr,replace_squared,300,30,21,0.7906288354631434,-2.960594732333751e-18,0.5120075004420057,0.07047884210401072,,
math500_dsmath7b,math500,math,iu_pcr,replace_squared,300,30,30,0.7878131542848892,2.960594732333751e-18,0.42519582705820147,0.1724412491487778,,
math500_dsmath7b,math500,math,su_pcr,replace_squared,300,30,30,0.704497870189878,-4.440892098500626e-18,0.4039073455749669,0.6297054475476622,0.135632183908046,True
math500_dsmath7b,math500,math,deployed_upcr,replace_mode,300,30,21,0.7906288354631434,-1.4802973661668754e-17,0.5120075004420057,0.07047884210401073,,
math500_dsmath7b,math500,math,iu_pcr,replace_mode,300,30,30,0.786152624359252,-2.960594732333751e-17,0.4263471887787018,0.17521489847916524,,
math500_dsmath7b,math500,math,su_pcr,replace_mode,300,30,30,0.788679517724352,-3.552713678800501e-17,0.41719437468744325,0.1492091428111953,0.013793103448275862,True
math500_qwenmath7b,math500,math,deployed_upcr,fixed_all,300,28,20,0.9115111561866125,0.0,0.569456167047466,0.10250566752401524,,
math500_qwenmath7b,math500,math,iu_pcr,fixed_all,300,28,28,0.9252028397565923,-1.1842378929335004e-17,0.4581710560481559,0.09749448153263,,
math500_qwenmath7b,math500,math,su_pcr,fixed_all,300,28,28,0.925012677484787,5.921189464667502e-18,0.4576973044165817,0.09372071666701168,0.0,True
math500_qwenmath7b,math500,math,deployed_upcr,remove_unstable,300,24,18,0.9104969574036512,-2.960594732333751e-18,0.5806074150207627,0.09328931547331562,,
math500_qwenmath7b,math500,math,iu_pcr,remove_unstable,300,24,24,0.8994675456389453,-2.960594732333751e-18,0.5395670988048942,0.10148283824624539,,
math500_qwenmath7b,math500,math,su_pcr,remove_unstable,300,24,24,0.8891353955375253,1.4802973661668755e-18,0.5462927181775841,0.10106269269834768,0.0,True
math500_qwenmath7b,math500,math,deployed_upcr,replace_squared,300,28,19,0.9092292089249493,0.0,0.5751871804166303,0.10619918027509903,,
math500_qwenmath7b,math500,math,iu_pcr,replace_squared,300,28,28,0.9273580121703855,-1.0362081563168128e-17,0.4104236347436614,0.07564902887930264,,
math500_qwenmath7b,math500,math,su_pcr,replace_squared,300,28,28,0.9231744421906695,-8.881784197001253e-18,0.4113473378619821,0.054397664054885934,0.0,True
math500_qwenmath7b,math500,math,deployed_upcr,replace_mode,300,28,19,0.9092292089249493,0.0,0.5751871804166303,0.10619918027509903,,
math500_qwenmath7b,math500,math,iu_pcr,replace_mode,300,28,28,0.9331262677484786,1.628327102783563e-17,0.40562008953427514,0.0849691734565714,,
math500_qwenmath7b,math500,math,su_pcr,replace_mode,300,28,28,0.8337347870182557,6.365278674517564e-17,0.4348950872650749,0.6005760581711844,0.1455026455026455,True
math500_r1distill8b,math500,math,deployed_upcr,fixed_all,300,28,22,0.8385677026733319,1.4802973661668755e-18,0.5521414301339217,0.08538073987264146,,
math500_r1distill8b,math500,math,iu_pcr,fixed_all,300,28,28,0.8371549663116713,4.440892098500626e-18,0.5349465981379953,0.11602941361226063,,
math500_r1distill8b,math500,math,su_pcr,fixed_all,300,28,28,0.8372636383394914,5.921189464667502e-18,0.5346876436881083,0.11395953489874562,0.0,True
math500_r1distill8b,math500,math,deployed_upcr,remove_unstable,300,24,20,0.8315040208650293,1.4802973661668755e-18,0.5586756672391684,0.07223907152920027,,
math500_r1distill8b,math500,math,iu_pcr,remove_unstable,300,24,24,0.8320473810041294,1.4802973661668755e-18,0.5473957819619902,0.12931012990909874,,
math500_r1distill8b,math500,math,su_pcr,remove_unstable,300,24,24,0.8320473810041294,8.881784197001253e-18,0.546676133015112,0.12131766780057417,0.0,True
math500_r1distill8b,math500,math,deployed_upcr,replace_squared,300,28,22,0.8334601173657898,-5.921189464667502e-18,0.550914342879794,0.09506341514632184,,
math500_r1distill8b,math500,math,iu_pcr,replace_squared,300,28,28,0.8331884372962398,0.0,0.5218204905641203,0.08460721294528901,,
math500_r1distill8b,math500,math,su_pcr,replace_squared,300,28,28,0.8333514453379699,1.4802973661668755e-18,0.522464270087315,0.08487839901102565,0.0,True
math500_r1distill8b,math500,math,deployed_upcr,replace_mode,300,28,22,0.8334601173657898,-5.921189464667502e-18,0.550914342879794,0.09506341514632184,,
math500_r1distill8b,math500,math,iu_pcr,replace_mode,300,28,28,0.8326450771571399,4.440892098500626e-18,0.5230149004951385,0.08422816912776752,,
math500_r1distill8b,math500,math,su_pcr,replace_mode,300,28,28,0.8326994131710499,1.1842378929335004e-17,0.5236531254948437,0.08511899037048443,0.0,True
math500_r1distill8b_mn4096,math500,math,deployed_upcr,fixed_all,300,29,25,0.8384942319368549,8.881784197001253e-18,0.5605624366618664,0.09021121851311313,,
math500_r1distill8b_mn4096,math500,math,iu_pcr,fixed_all,300,29,29,0.8218205595254775,5.921189464667502e-18,0.5511189182858032,0.1314538595917233,,
math500_r1distill8b_mn4096,math500,math,su_pcr,fixed_all,300,29,29,0.8222409042081174,0.0,0.5514312570504598,0.13297944665824998,0.0,True
math500_r1distill8b_mn4096,math500,math,deployed_upcr,remove_unstable,300,25,22,0.8333099808509644,5.921189464667502e-18,0.5706336699980723,0.07736238270659207,,
math500_r1distill8b_mn4096,math500,math,iu_pcr,remove_unstable,300,25,25,0.8317687170146186,5.921189464667502e-18,0.5609022851587215,0.12609353823455408,,
math500_r1distill8b_mn4096,math500,math,su_pcr,remove_unstable,300,25,25,0.8318621269440941,1.1842378929335004e-17,0.5606940226735354,0.12301835807241472,0.0,True
math500_r1distill8b_mn4096,math500,math,deployed_upcr,replace_squared,300,29,24,0.8259305964223997,8.881784197001253e-18,0.560319701272706,0.08861673141208543,,
math500_r1distill8b_mn4096,math500,math,iu_pcr,replace_squared,300,29,29,0.8295268787072065,5.921189464667502e-18,0.5435061593798215,0.10698567234849919,,
math500_r1distill8b_mn4096,math500,math,su_pcr,replace_squared,300,29,29,0.8299472233898463,1.1842378929335004e-17,0.544423211321676,0.11067474784681244,0.0,True
math500_r1distill8b_mn4096,math500,math,deployed_upcr,replace_mode,300,29,24,0.8259305964223997,8.881784197001253e-18,0.560319701272706,0.08861673141208543,,
math500_r1distill8b_mn4096,math500,math,iu_pcr,replace_mode,300,29,29,0.8306477978609126,1.7763568394002505e-17,0.5441258457573512,0.10701443461086127,,
math500_r1distill8b_mn4096,math500,math,su_pcr,replace_mode,300,29,29,0.8307412077903881,1.7763568394002505e-17,0.5450035608967149,0.1109351855761052,0.0,True
noise_gsm8k_mistral7b,gsm8k,math,deployed_upcr,fixed_all,1319,29,22,0.7831116159084742,0.0,0.5264673829010877,0.06425375547157781,,
noise_gsm8k_mistral7b,gsm8k,math,iu_pcr,fixed_all,1319,29,29,0.7857418758535699,2.6934902796061417e-18,0.5093918882568222,0.08651236564041143,,
noise_gsm8k_mistral7b,gsm8k,math,su_pcr,fixed_all,1319,29,29,0.7857625684580332,0.0,0.5093883267184812,0.08595707978993114,0.0,True
noise_gsm8k_mistral7b,gsm8k,math,deployed_upcr,remove_unstable,1319,25,21,0.7811159291669157,-2.6934902796061417e-18,0.5296475010823599,0.054328925929637666,,
noise_gsm8k_mistral7b,gsm8k,math,iu_pcr,remove_unstable,1319,25,25,0.783711701437906,2.6934902796061417e-18,0.516734239487009,0.08790006990461927,,
noise_gsm8k_mistral7b,gsm8k,math,su_pcr,remove_unstable,1319,25,25,0.7837117014379061,2.6934902796061417e-18,0.516573459643112,0.08571121476278147,0.0,True
noise_gsm8k_mistral7b,gsm8k,math,deployed_upcr,replace_squared,1319,29,22,0.7811113308103684,5.386980559212283e-18,0.5254213037496228,0.06377098876435416,,
noise_gsm8k_mistral7b,gsm8k,math,iu_pcr,replace_squared,1319,29,29,0.7823919731088108,1.616094167763685e-17,0.5033021183748102,0.0938331329270099,,
