cell,fold,feature,early,late,position_intercept
pb_gsm8k_q8,3,moment3_15,0.3013634333970993,-3.441750380183424,-0.22598077108028064
pb_gsm8k_q8,3,selected_surprisal,2.736288885334668,-0.71604377242673,-0.22598077108028064
pb_gsm8k_q8,3,selected_squared,1.3726130961917165,2.277114222359227,-0.22598077108028064
pb_gsm8k_q8,3,selected_cubed,0.11168287372736997,1.2847022997790507,-0.22598077108028064
pb_gsm8k_q8,3,moment4_15,0.23108912876302534,-0.2586850982274625,-0.22598077108028064
pb_gsm8k_q8,3,selected_power4,-1.631009100722512,0.5468174600748497,-0.22598077108028064
pb_gsm8k_q8,3,moment5_15,0.22024647466190073,2.4515095562685687,-0.22598077108028064
pb_gsm8k_q8,3,selected_power5,-2.7357636764991082,0.2678640807024586,-0.22598077108028064
pb_gsm8k_q8,3,moment6_15,0.9117431446568124,3.7417888862600153,-0.22598077108028064
pb_gsm8k_q8,3,selected_power6,-3.3256205846617277,0.18503923157432933,-0.22598077108028064
pb_gsm8k_q8,4,entropy15,-0.9824412952138751,-2.3113356154393068,-0.17729541241135072
pb_gsm8k_q8,4,varentropy15,0.23138193961197318,1.4699721846057519,-0.17729541241135072
pb_gsm8k_q8,4,moment3_15,0.10116560244668349,-3.3624804658176615,-0.17729541241135072
pb_gsm8k_q8,4,selected_surprisal,2.922561945217221,-1.6756802842453102,-0.17729541241135072
pb_gsm8k_q8,4,selected_squared,0.8684924120357189,3.491673662332183,-0.17729541241135072
pb_gsm8k_q8,4,selected_cubed,-0.7054356264168735,1.8725488082133674,-0.17729541241135072
pb_gsm8k_q8,4,moment4_15,-0.09744155327024964,-0.20820272075795057,-0.17729541241135072
pb_gsm8k_q8,4,selected_power4,-1.8836700018906853,0.8561500182653512,-0.17729541241135072
pb_gsm8k_q8,4,moment5_15,0.13584909585391186,2.3993640481028145,-0.17729541241135072
pb_gsm8k_q8,4,selected_power5,-2.463189669621692,0.6323853351186252,-0.17729541241135072
pb_gsm8k_q8,4,moment6_15,1.197320058207874,3.4522446670560543,-0.17729541241135072
pb_gsm8k_q8,4,selected_power6,-2.6968632131363495,0.6829823351596133,-0.17729541241135072
pb_math_q4,0,entropy15,-1.2559028085312585,-3.2304476004989238,-0.37644501109638373
pb_math_q4,0,varentropy15,-2.6708508773104813,-0.1866661631213251,-0.37644501109638373
pb_math_q4,0,moment3_15,-0.14369270032935563,0.606244302069771,-0.37644501109638373
pb_math_q4,0,selected_surprisal,1.368671049224028,0.30255370943603177,-0.37644501109638373
pb_math_q4,0,selected_squared,1.8260022730985694,-3.26338168351044,-0.37644501109638373
pb_math_q4,0,selected_cubed,1.968033747474602,0.21594431679812098,-0.37644501109638373
pb_math_q4,0,moment4_15,0.48140774414094767,0.9651804299404864,-0.37644501109638373
pb_math_q4,0,selected_power4,-0.4186787763769181,1.6569620370310694,-0.37644501109638373
pb_math_q4,0,moment5_15,1.0173191416164742,1.100958402276374,-0.37644501109638373
pb_math_q4,0,selected_power5,-2.3616616590392945,1.775087328550511,-0.37644501109638373
pb_math_q4,0,moment6_15,2.25562654100828,1.1703912835005743,-0.37644501109638373
pb_math_q4,0,selected_power6,-3.5601071420437638,1.58078556766703,-0.37644501109638373
pb_math_q4,1,entropy15,-0.6972871049432894,-2.6574848581843513,-0.37886436734461837
pb_math_q4,1,varentropy15,-2.3913623544678715,-0.7676150522238859,-0.37886436734461837
pb_math_q4,1,moment3_15,-0.17709880311900544,0.8356584626253605,-0.37886436734461837
pb_math_q4,1,selected_surprisal,1.4296719669165336,0.6909881869724905,-0.37886436734461837
pb_math_q4,1,selected_squared,1.0837866570739734,-3.3126237447384392,-0.37886436734461837
pb_math_q4,1,selected_cubed,2.4060667939009286,0.04523938470353614,-0.37886436734461837
pb_math_q4,1,moment4_15,0.4686968417314309,0.9373126692064603,-0.37886436734461837
pb_math_q4,1,selected_power4,0.033856482569330514,1.4230144784763936,-0.37886436734461837
pb_math_q4,1,moment5_15,0.9933393417658203,1.0317305865550737,-0.37886436734461837
pb_math_q4,1,selected_power5,-2.311260980604629,1.5575836519712136,-0.37886436734461837
pb_math_q4,1,moment6_15,1.694083426568295,0.9937092910000268,-0.37886436734461837
pb_math_q4,1,selected_power6,-3.909743871788103,1.3624548057717305,-0.37886436734461837
pb_math_q4,2,entropy15,-0.7678177875605009,-1.952732965262316,-0.4271308051521516
pb_math_q4,2,varentropy15,-1.633591367038883,0.03606100931911428,-0.4271308051521516
pb_math_q4,2,moment3_15,-0.33365708623065693,0.3995722693398899,-0.4271308051521516
pb_math_q4,2,selected_surprisal,0.9016853963072243,0.7822428254091458,-0.4271308051521516
pb_math_q4,2,selected_squared,3.0874715336232645,-4.243665366878128,-0.4271308051521516
pb_math_q4,2,selected_cubed,3.596810335767239,-0.37180464907146177,-0.4271308051521516
pb_math_q4,2,moment4_15,-0.20377800951420136,0.591220600010582,-0.4271308051521516
pb_math_q4,2,selected_power4,-0.27016530453695425,1.3705848746431255,-0.4271308051521516
pb_math_q4,2,moment5_15,0.4997935906014838,0.7183532249863634,-0.4271308051521516
pb_math_q4,2,selected_power5,-3.493337889528206,1.4420007892580045,-0.4271308051521516
pb_math_q4,2,moment6_15,2.3514827243283256,0.8860805404451588,-0.4271308051521516
pb_math_q4,2,selected_power6,-5.59985645768621,1.1149489144701878,-0.4271308051521516
pb_math_q4,3,entropy15,-1.0251749845863385,-3.3416307795258193,-0.32780849257147304
pb_math_q4,3,varentropy15,-2.063264066720131,-0.24908967309159183,-0.32780849257147304
pb_math_q4,3,moment3_15,-0.43589192324822484,0.46436786011391146,-0.32780849257147304
pb_math_q4,3,selected_surprisal,1.4058412696957572,0.7224425156039153,-0.32780849257147304
