method,label,fit_access,pb_all8,pb_q4,pb_q8,prm_within,prm_pooled,prmscore_q08,prm_fold_auc,valid_answers
var15_equal__near,var15_equal__near,existing reference,0.3657054068760432,0.3721670921064608,0.35924372164562557,0.748872482397741,0.700354408168764,0.6138183335612197,0.7005181194453577,13769
var15_iu__old,var15_iu__old,existing reference,0.3534983585022531,0.35898223922652384,0.34801447777798244,0.74682374405604,0.710261309641098,0.6226885909285921,0.7104753244529731,13769
var15_iu__near,var15_iu__near,existing reference,0.3665455535041562,0.37194244060144716,0.36114866640686516,0.7489775612953309,0.7105548282659706,0.6232414763246305,0.7107667987932011,13769
shrinkage__old,shrinkage__old,existing reference,0.35871143187885435,0.36697741533481043,0.35044544842289826,0.738630248995498,0.7079965583222773,0.6295438953640439,0.7082592641948146,13769
shrinkage__near,shrinkage__near,existing reference,0.3134049317967603,0.32152040971915236,0.30528945387436834,0.7420749851529187,0.7028766453154681,0.6298403589242156,0.7032135115110454,13769
diagonal__old,diagonal__old,existing reference,0.35806949103323005,0.36788322126251166,0.3482557608039484,0.7330448590587003,0.7047273028297086,0.6253013416428403,0.70495021124748,13769
diagonal__near,diagonal__near,existing reference,0.28654945967148304,0.2961222745141256,0.27697664482884043,0.7245239751934456,0.6888088044658367,0.6061952736383371,0.6892056739962898,13769
length__old,length__old,existing reference,0.33694358307088546,0.3387590017246516,0.3351281644171193,0.6181358410980654,0.5861989132220188,0.5278777173269932,0.586221220162082,13769
random__old,random__old,existing reference,0.20275017613612,0.1963902368395288,0.20911011543271124,0.49847952604800216,0.5015348181277717,0.4979413313988752,0.5015579449832568,13769
rbm6__logit_old,rbm6__logit_old,existing reference,0.349707841643353,0.3565810434023544,0.34283463988435153,0.7356357370021873,0.7000044693128635,0.622232585877287,0.700317801956164,13769
rbm6__logit_near,rbm6__logit_near,existing reference,0.3472462670800337,0.35442083461750945,0.3400716995425579,0.7379871607935582,0.7001103158299473,0.6226701665395157,0.7004217256462223,13769
initial6__logit_old,initial6__logit_old,existing reference,0.21731633121630586,0.22754354746279737,0.2070891149698144,0.7060960857757894,0.6641516814921505,0.5817528807687382,0.6643273919162357,13769
initial6__logit_near,initial6__logit_near,existing reference,0.20555576802020373,0.2142672296644707,0.19684430637593675,0.7038442362509747,0.6646576184422376,0.5825016466487589,0.6648350905883642,13769
rbm12__logit_old,rbm12__logit_old,existing reference,0.3627123083012945,0.36981846288211506,0.3556061537204739,0.7452044991713739,0.7058494397346221,0.622215135338216,0.7062049842083509,13769
rbm12__logit_near,rbm12__logit_near,existing reference,0.36399769043540625,0.3752846310964419,0.35271074977437067,0.7487809415689605,0.706328035182632,0.6241562383074202,0.7066812583953387,13769
initial12__logit_old,initial12__logit_old,existing reference,0.20181241351606602,0.21024189497134194,0.1933829320607901,0.6891043599585708,0.650661588912492,0.5677957401489357,0.6508050135953064,13769
initial12__logit_near,initial12__logit_near,existing reference,0.19491737624605643,0.1998625231289094,0.18997222936320343,0.6858525408536493,0.6512567929581907,0.5684595225442405,0.6513975281028092,13769
position__max,position__max,existing reference,0.35583670918302723,0.3645818285367592,0.3470915898292953,0.742490238771817,0.7061440017277277,0.6220790990087441,0.7064766421894944,13769
shared__max,shared__max,existing reference,0.3627123083012945,0.36981846288211506,0.3556061537204739,0.7452044991713739,0.7058494547471146,0.622215135338216,0.7062050134369763,13769
permuted__max,permuted__max,existing reference,0.3563427068816487,0.36525896639018324,0.34742644737311423,0.7439634498186097,0.7046907929169401,0.6215426319362123,0.7050240301483127,13769
supervised_static,Supervised fixed fusion,other answers and labels,0.326197747073836,0.33012391728698587,0.32227157686068597,0.7150572137871836,,0.5851821945292337,0.6907360250660326,13769
supervised_prior,Supervised fixed fusion + position prior,other answers and labels,0.35380708198651634,0.3570242403138405,0.3505899236591922,0.7244186640601886,,0.60074469345807,0.7080174208321414,13769
supervised_conditional,Supervised position-dependent fusion,other answers and labels,0.35958653300102444,0.3674050170039056,0.3517680489981433,0.7313000600598989,,0.5968195845919372,0.7075127403493071,13769
entropy_step_mean,"Entropy, step mean",existing reference,0.27661866906604154,0.28278551218875014,0.2704518259433329,0.6481050310025686,0.6374851879945855,0.5629734074278885,0.6378177229865662,13769
equal_step_mean,"Equal weights, normalized step means",existing reference,0.2560994176161912,0.26109921827948324,0.2510996169528992,0.6323028238190358,0.607436520665091,0.5348264883588231,0.6074785461174569,13769
