contrast,lhs,rhs,metric,delta,ci_low,ci_high,wins,ties,losses,worst_cell_delta,p_raw,p_holm
module_entropy_disagreement__dufs_liu_pcr_minus_module_entropy_disagreement__best_layer_oracle,module_entropy_disagreement__dufs_liu_pcr,module_entropy_disagreement__best_layer_oracle,auprc,-0.08052712434685902,-0.09726805158683724,-0.06480954643561679,2,1,10,-0.3371943588246998,0.01708984375,0.157470703125
module_entropy_disagreement__dufs_liu_pcr_minus_module_entropy_disagreement__equal_mean,module_entropy_disagreement__dufs_liu_pcr,module_entropy_disagreement__equal_mean,auroc,-0.057988051859070584,-0.06752308143178791,-0.047633973423777946,2,1,10,-0.19068014705882358,0.013427734375,0.157470703125
module_entropy_disagreement__dufs_liu_pcr_minus_module_entropy_disagreement__equal_mean,module_entropy_disagreement__dufs_liu_pcr,module_entropy_disagreement__equal_mean,auprc,-0.05001653137849223,-0.06063027619398496,-0.03870720781694372,3,0,10,-0.2309299073406551,0.026611328125,0.15966796875
module_target_nll_disagreement__iu_pcr_minus_module_target_nll_disagreement__best_layer_oracle,module_target_nll_disagreement__iu_pcr,module_target_nll_disagreement__best_layer_oracle,auroc,-0.08023295208457475,-0.09515127974450803,-0.06612784321866769,1,0,12,-0.21945343427705877,0.001708984375,0.042724609375
module_target_nll_disagreement__iu_pcr_minus_module_target_nll_disagreement__best_layer_oracle,module_target_nll_disagreement__iu_pcr,module_target_nll_disagreement__best_layer_oracle,auprc,-0.05955575456258859,-0.0730332306640291,-0.04661598672993375,3,0,10,-0.21905311182219528,0.008056640625,0.12890625
module_target_nll_disagreement__iu_pcr_minus_module_target_nll_disagreement__equal_mean,module_target_nll_disagreement__iu_pcr,module_target_nll_disagreement__equal_mean,auroc,-0.02841163262026774,-0.03541400919068486,-0.02125596667753236,1,0,12,-0.07431950868147696,0.00244140625,0.04638671875
module_target_nll_disagreement__iu_pcr_minus_module_target_nll_disagreement__equal_mean,module_target_nll_disagreement__iu_pcr,module_target_nll_disagreement__equal_mean,auprc,-0.028382436320132064,-0.03581817719281506,-0.021196244679167,2,1,10,-0.1235757656194083,0.010498046875,0.157470703125
module_target_nll_disagreement__dufs_liu_pcr_minus_module_target_nll_disagreement__best_layer_oracle,module_target_nll_disagreement__dufs_liu_pcr,module_target_nll_disagreement__best_layer_oracle,auroc,-0.07996178003481914,-0.09504929081662895,-0.06588412607968547,1,0,12,-0.2197335704412695,0.001708984375,0.042724609375
module_target_nll_disagreement__dufs_liu_pcr_minus_module_target_nll_disagreement__best_layer_oracle,module_target_nll_disagreement__dufs_liu_pcr,module_target_nll_disagreement__best_layer_oracle,auprc,-0.05917053455339397,-0.07244698139138446,-0.046353939572868375,3,0,10,-0.21737814765671715,0.010498046875,0.157470703125
module_target_nll_disagreement__dufs_liu_pcr_minus_module_target_nll_disagreement__equal_mean,module_target_nll_disagreement__dufs_liu_pcr,module_target_nll_disagreement__equal_mean,auroc,-0.02814046057051215,-0.03532123697822978,-0.020857734451463182,1,0,12,-0.08394116309045407,0.004638671875,0.078857421875
module_target_nll_disagreement__dufs_liu_pcr_minus_module_target_nll_disagreement__equal_mean,module_target_nll_disagreement__dufs_liu_pcr,module_target_nll_disagreement__equal_mean,auprc,-0.027997216310937455,-0.03554879840377561,-0.020664440756924713,3,0,10,-0.1286963543882952,0.01708984375,0.157470703125
resid_kl_tail__iu_pcr_minus_resid_kl_tail__best_layer_oracle,resid_kl_tail__iu_pcr,resid_kl_tail__best_layer_oracle,auroc,-0.07144622418203324,-0.08465723275339589,-0.05815578186425178,0,0,13,-0.25222426470588244,0.000244140625,0.01171875
resid_kl_tail__iu_pcr_minus_resid_kl_tail__best_layer_oracle,resid_kl_tail__iu_pcr,resid_kl_tail__best_layer_oracle,auprc,-0.04172792395464992,-0.05455733045533596,-0.028959578511181135,1,0,12,-0.11477822742157473,0.001708984375,0.042724609375
resid_kl_tail__iu_pcr_minus_resid_kl_tail__equal_mean,resid_kl_tail__iu_pcr,resid_kl_tail__equal_mean,auroc,-0.014997039731258573,-0.01798581554154659,-0.01210176418095879,5,1,7,-0.08351642239341428,0.167724609375,0.33544921875
resid_kl_tail__iu_pcr_minus_resid_kl_tail__equal_mean,resid_kl_tail__iu_pcr,resid_kl_tail__equal_mean,auprc,-0.014559485070367648,-0.01765435122318181,-0.011207909093963069,4,0,9,-0.06594713193131191,0.068115234375,0.2724609375
resid_kl_tail__dufs_liu_pcr_minus_resid_kl_tail__best_layer_oracle,resid_kl_tail__dufs_liu_pcr,resid_kl_tail__best_layer_oracle,auroc,-0.0699224498983929,-0.08290680871965445,-0.056531718101623066,0,0,13,-0.24119485294117649,0.000244140625,0.01171875
resid_kl_tail__dufs_liu_pcr_minus_resid_kl_tail__best_layer_oracle,resid_kl_tail__dufs_liu_pcr,resid_kl_tail__best_layer_oracle,auprc,-0.03998381317065082,-0.05291155746509464,-0.027415000852851045,1,0,12,-0.11264440356112038,0.001708984375,0.042724609375
resid_kl_tail__dufs_liu_pcr_minus_resid_kl_tail__equal_mean,resid_kl_tail__dufs_liu_pcr,resid_kl_tail__equal_mean,auroc,-0.013473265447618232,-0.016157515795294,-0.01084446942217375,5,1,7,-0.08593597908613049,0.21630859375,0.33544921875
resid_kl_tail__dufs_liu_pcr_minus_resid_kl_tail__equal_mean,resid_kl_tail__dufs_liu_pcr,resid_kl_tail__equal_mean,auprc,-0.012815374286368548,-0.01580455238362181,-0.009822342856151653,4,0,9,-0.06771092300165032,0.09423828125,0.28271484375
