cell,contract,selected_feature,auroc,auprc,selection_uses_evaluation_outcomes
gsm8k_phi35_t1.0,resid_target_nll_burst,resid_target_nll_burst.layer_31,0.7220240989895714,0.3571370105674556,True
gsm8k_phi35_t1.0,module_entropy_disagreement,module_entropy_disagreement.layer_20,0.7086237639811963,0.3188888674634497,True
gsm8k_phi35_t1.0,module_target_nll_disagreement,module_target_nll_disagreement.layer_31,0.6809495506204859,0.2701011981562358,True
gsm8k_phi35_t1.0,resid_kl_tail,resid_kl_tail.layer_01,0.7482033825039174,0.3578069208983585,True
gsm8k_mistral7b_t1.0,resid_entropy_burst,resid_entropy_burst.layer_31,0.7343071641665223,0.7296977119369472,True
gsm8k_mistral7b_t1.0,resid_entropy_dispersion,resid_entropy_dispersion.layer_31,0.7563635426960346,0.7519386296662134,True
gsm8k_mistral7b_t1.0,resid_target_nll_burst,resid_target_nll_burst.layer_31,0.6586565255876471,0.62576525102616,True
gsm8k_mistral7b_t1.0,module_entropy_disagreement,module_entropy_disagreement.layer_30,0.6355440448480477,0.6221696878968499,True
gsm8k_mistral7b_t1.0,module_target_nll_disagreement,module_target_nll_disagreement.layer_08,0.6366633726893374,0.6011725790813788,True
gsm8k_mistral7b_t1.0,resid_kl_tail,resid_kl_tail.layer_01,0.7009884273678,0.7055455006493855,True
gsm8k_phi3mini_t1.0,resid_entropy_burst,resid_entropy_burst.layer_31,0.6511850799449743,0.4529533915578057,True
gsm8k_phi3mini_t1.0,resid_entropy_dispersion,resid_entropy_dispersion.layer_31,0.6738775003946508,0.4746547552444693,True
gsm8k_phi3mini_t1.0,resid_target_nll_burst,resid_target_nll_burst.layer_31,0.606220260244007,0.38302570351922177,True
gsm8k_phi3mini_t1.0,module_entropy_disagreement,module_entropy_disagreement.layer_31,0.6204953431206729,0.41914863282364495,True
gsm8k_phi3mini_t1.0,module_target_nll_disagreement,module_target_nll_disagreement.layer_16,0.6521745258552647,0.44941185680896284,True
gsm8k_phi3mini_t1.0,resid_kl_tail,resid_kl_tail.layer_30,0.6432370949191529,0.415460234148864,True
triviaqa_qwen3_t0.6,resid_entropy_burst,resid_entropy_burst.layer_35,0.8012295813274939,0.8104613009592828,True
triviaqa_qwen3_t0.6,resid_entropy_dispersion,resid_entropy_dispersion.layer_35,0.8069111458173798,0.8259709389365633,True
triviaqa_qwen3_t0.6,resid_target_nll_burst,resid_target_nll_burst.layer_35,0.767746087102919,0.7610726229079838,True
triviaqa_qwen3_t0.6,module_entropy_disagreement,module_entropy_disagreement.layer_25,0.6159160302472654,0.5944857461157813,True
triviaqa_qwen3_t0.6,module_target_nll_disagreement,module_target_nll_disagreement.layer_34,0.6393177961700731,0.617253846600626,True
triviaqa_qwen3_t0.6,resid_kl_tail,resid_kl_tail.layer_34,0.6587358895092381,0.6394367424107972,True
