version,cell,family,domain,config,arm,lambda,auroc,auprc,orientation_failure,score_variance,weight_norm,weight_cosine_vs_iu,condition_number,score_laplacian_energy,graph_components,graph_edges,algebra_valid,graph_collapsed,score_spearman_vs_iu,mean_abs_percentile_rank_change_vs_iu
specrage-liu-real-calibration-v2-2026-08-06,ars_gsm8k_r1distill8b,gsm8k,math,agreement_k15,specrage_global,1.0,0.7517978345184229,0.8809691414952902,False,0.039009141217419455,0.0658281578815966,0.9877311755482433,1.2289262066022248,0.01526700516725585,1,22490,True,False,0.9875031500126,0.033256
specrage-liu-real-calibration-v2-2026-08-06,ars_gsm8k_r1distill8b,gsm8k,math,agreement_k15,specrage_uniform,1.0,0.7564035229476407,0.8835593581972456,False,0.03470766647678748,0.06308634932666973,0.999304959027762,1.500366747267319,0.01835414098136108,1,22490,True,False,0.9991694046776185,0.008320000000000001
specrage-liu-real-calibration-v2-2026-08-06,ars_gsm8k_r1distill8b,gsm8k,math,agreement_k15,specrage_permuted,1.0,0.7514746283128636,0.8806842437253081,False,0.039065183504618586,0.06584351445574016,0.9870537689828611,1.2281378322374428,0.015329650861535949,1,22490,True,False,0.9867906351625405,0.034224000000000004
specrage-liu-real-calibration-v2-2026-08-06,ars_gsm8k_r1distill8b,gsm8k,math,agreement_k15,dufs_liu,1.0,0.7533936651583711,0.882091596721053,False,0.03926729473152015,0.06625094441743481,0.9914917065024388,1.223553728169817,0.0037769899661208445,1,2568,True,False,0.9910297241188966,0.028135999999999994
specrage-liu-real-calibration-v2-2026-08-06,ars_gsm8k_r1distill8b,gsm8k,math,agreement_k15,iu,3.0,0.7575953458306399,0.8836754709022755,False,0.1393514636085804,0.12714833295715058,1.0,,,,,,,,
specrage-liu-real-calibration-v2-2026-08-06,ars_gsm8k_r1distill8b,gsm8k,math,agreement_k15,deployed_upcr,3.0,0.7391725921137686,0.8731907738764855,False,0.20611014344200726,0.15057649309399881,0.941561263003622,,,,,,,,
specrage-liu-real-calibration-v2-2026-08-06,ars_gsm8k_r1distill8b,gsm8k,math,agreement_k15,specrage_sample,3.0,0.746606334841629,0.8772432659862542,False,0.01113480717670223,0.03484522740185913,0.9685988845172255,1.226455729285574,0.003529162071537925,1,22490,True,False,0.9692583730334923,0.052408
specrage-liu-real-calibration-v2-2026-08-06,ars_gsm8k_r1distill8b,gsm8k,math,agreement_k15,specrage_embedding,3.0,0.7599789915966387,0.8834493533271774,False,0.00806428727235517,0.03217687792843156,0.9656321536641892,2.7318175134434313,0.005183293151926677,1,4527,True,False,0.9625215460861843,0.05916
specrage-liu-real-calibration-v2-2026-08-06,ars_gsm8k_r1distill8b,gsm8k,math,agreement_k15,specrage_uniform_embedding,3.0,0.7479597608274078,0.8783578900942639,False,0.0163020972099392,0.04223723325913333,0.9735475027060181,1.3670892504949967,0.005894569920011609,1,4456,True,False,0.9742456889827557,0.04803200000000001
specrage-liu-real-calibration-v2-2026-08-06,ars_gsm8k_r1distill8b,gsm8k,math,agreement_k15,specrage_global,3.0,0.7481819650937298,0.8785333834292338,False,0.010732534294088129,0.03428404542254085,0.9745163658771221,1.1969833120340183,0.004069481083910969,1,22490,True,False,0.9749312277249108,0.047335999999999996
specrage-liu-real-calibration-v2-2026-08-06,ars_gsm8k_r1distill8b,gsm8k,math,agreement_k15,specrage_uniform,3.0,0.7556157078215903,0.8833012927997453,False,0.008680542957506298,0.03146298798736499,0.9984402763944122,1.4693134903862042,0.00458115821806526,1,22490,True,False,0.998246936987748,0.012384000000000003
