auroc,budget,cell_id,eligibility,error_auprc,error_prevalence,final_auroc_same_cohort,method_id,n,n_correct,n_error,ordered_id_sha256,population_id,positive_class,prevalence_normalized_ap,recovered_above_chance_signal
0.611976506639428,32,processbench@e8024636bcab::llama31_8b::gsm8k,final_length_strictly_greater_than_budget,0.6337957241720793,0.5028248587570622,0.8203524004085802,step272_two_head_global_local_w0p50_peak,177,88,89,f3b478b8f258f8bb854b5d15f83b871f2e6468dee978de801a1cca4f98d10ced,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb,error/risk,0.26343003611884125,0.349541650059785
0.6741993801652892,64,processbench@e8024636bcab::llama31_8b::gsm8k,final_length_strictly_greater_than_budget,0.7147546489917873,0.5,0.8225723140495868,step272_two_head_global_local_w0p50_peak,176,88,88,f4246b11acf2cc3374db3dbd823e9e195462c00f3ab8154e2796f57d8d41c2a2,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb,error/risk,0.4295092979835746,0.5400320256204963
0.7093798779622534,128,processbench@e8024636bcab::llama31_8b::gsm8k,final_length_strictly_greater_than_budget,0.7416656555862972,0.5178571428571429,0.8173690932311622,step272_two_head_global_local_w0p50_peak,168,81,87,c470d15290e6919619495fd3724318753a6f4ad27d390eddb5228b0f154f5be1,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb,error/risk,0.4641954338086163,0.6597361949474624
0.8070175438596491,256,processbench@e8024636bcab::llama31_8b::gsm8k,final_length_strictly_greater_than_budget,0.888927960154625,0.6333333333333333,0.8059542796384902,step272_two_head_global_local_w0p50_peak,90,33,57,eddd147dcf208d1866d265a744feff68072b1e8f8c9e44194c9169fb0c288cad,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb,error/risk,0.6970762549671593,1.0034752389226758
,512,processbench@e8024636bcab::llama31_8b::gsm8k,final_length_strictly_greater_than_budget,1.0,1.0,,step272_two_head_global_local_w0p50_peak,1,0,1,349a474ba1135878e996a2ee5442cfee99e8246427c976da8fab3136f2a2bcb5,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb,error/risk,,
0.5588610827374872,16,processbench@e8024636bcab::llama31_8b::gsm8k,final_length_strictly_greater_than_budget,0.5652305403427148,0.5028248587570622,0.7888151174668029,unified28,177,88,89,f3b478b8f258f8bb854b5d15f83b871f2e6468dee978de801a1cca4f98d10ced,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb,error/risk,0.1255205186438695,0.20380194518125555
0.6304902962206334,32,processbench@e8024636bcab::llama31_8b::gsm8k,final_length_strictly_greater_than_budget,0.6533005776918273,0.5028248587570622,0.7888151174668029,unified28,177,88,89,f3b478b8f258f8bb854b5d15f83b871f2e6468dee978de801a1cca4f98d10ced,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb,error/risk,0.3026613892210616,0.45181255526083125
0.6319731404958677,64,processbench@e8024636bcab::llama31_8b::gsm8k,final_length_strictly_greater_than_budget,0.6594467927925515,0.5,0.7893853305785123,unified28,176,88,88,f4246b11acf2cc3374db3dbd823e9e195462c00f3ab8154e2796f57d8d41c2a2,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb,error/risk,0.31889358558510295,0.4560464078536367
0.7218674613310628,128,processbench@e8024636bcab::llama31_8b::gsm8k,final_length_strictly_greater_than_budget,0.7363358905752746,0.5178571428571429,0.7864339435220661,unified28,168,81,87,c470d15290e6919619495fd3724318753a6f4ad27d390eddb5228b0f154f5be1,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb,error/risk,0.45314110637834726,0.7745850879365865
0.8064859117490697,256,processbench@e8024636bcab::llama31_8b::gsm8k,final_length_strictly_greater_than_budget,0.8932032417923752,0.6333333333333333,0.7873471557682084,unified28,90,33,57,eddd147dcf208d1866d265a744feff68072b1e8f8c9e44194c9169fb0c288cad,prefix_historical_common_v1::processbench@e8024636bcab::llama31_8b::gsm8k::f3b478b8f258f8bb,error/risk,0.7087361139792051,1.0666049953746535
