variant,pool_mode,n_cells,macro_auroc,macro_repgrid,delta_vs_good5,wilcoxon_p,wins,ties,losses,sign_p,mean_pctile,frac_cells_above_random,gap_captured,gap_captured_rag_gpqa,n_nan_auroc,n_fallback,mean_size,mean_seconds,G_floor,G_macro,G_domain
mcfs_s4,c46,25,0.7181,0.7181,-0.0187,0.01236,5,0,14,0.06357,,,-0.446,,0,0,4.0,0.221,n/a,FAIL,n/a
a3.cae_k4,c46,25,0.7172,0.7172,-0.0195,0.00334,4,0,15,0.01921,,,-0.423,,0,0,4.0,53.233,n/a,FAIL,n/a
mcfs_adapt,c46,25,0.7169,0.7169,-0.0199,0.01083,4,0,15,0.01921,,,-0.453,,0,0,4.36,0.221,n/a,FAIL,n/a
a4.recon_s6,c46,25,0.7151,0.7151,-0.0216,0.01597,5,0,14,0.06357,,,-0.451,,0,0,6.0,0.412,n/a,FAIL,n/a
a3.cae_k5,c46,25,0.7132,0.7132,-0.0236,4e-05,1,0,18,8e-05,,,-0.604,,0,0,5.0,53.233,n/a,FAIL,n/a
epr.alone,c46,19,0.7125,0.7125,-0.0242,0.02582,6,0,13,0.16707,,,-0.411,,0,0,1.0,0.0,n/a,FAIL,n/a
a4.recon_s5,c46,25,0.7124,0.7124,-0.0244,0.00458,4,0,15,0.01921,,,-0.494,,0,0,5.0,0.412,n/a,FAIL,n/a
a4.recon_s4,c46,25,0.7116,0.7116,-0.0252,0.00392,3,0,16,0.00443,,,-0.518,,0,0,4.0,0.412,n/a,FAIL,n/a
a4.recon_adapt,c46,25,0.7102,0.7102,-0.0266,0.00202,3,0,16,0.00443,,,-0.569,,0,0,4.8,0.412,n/a,FAIL,n/a
a3.cae,c46,25,0.7032,0.7032,-0.0336,0.00027,4,0,15,0.01921,,,-0.672,,0,0,5.36,53.233,n/a,FAIL,n/a
ref.STABLE_H9,c46,25,0.7025,0.7025,-0.0342,1e-05,1,0,18,8e-05,,,-0.914,,0,0,9.0,0.0,n/a,FAIL,n/a
random_s4,c46,25,0.6976,0.6976,-0.0392,0.00064,3,0,16,0.00443,,,-0.592,,0,0,4.0,0.009,n/a,FAIL,n/a
kurtosis_s5,c46,25,0.6959,0.6959,-0.0409,0.03607,7,0,12,0.35928,,,-0.405,,0,0,5.0,0.009,n/a,FAIL,n/a
