variant,pool_mode,n_cells,macro_all,macro_qa,macro_math,delta_vs_good5_all,wilcoxon_p,wins,ties,losses,G_macro
kurtosis_s6,h16,25,0.6972,0.6626,0.7202,-0.0547,3e-05,3,0,22,FAIL
kurtosis_s5,h16,25,0.697,0.6627,0.7199,-0.0549,6e-05,5,0,20,FAIL
a3.cae_k3,h16,25,0.6932,0.657,0.7173,-0.0587,1e-05,1,0,24,FAIL
ref.ALL_H16,h16,25,0.6919,0.6631,0.711,-0.06,0.0,2,0,23,FAIL
a3.cae_k5,h16,25,0.6902,0.6631,0.7082,-0.0617,0.0,2,0,23,FAIL
a3.cae_k7,h16,25,0.6885,0.6612,0.7067,-0.0634,0.0,1,0,24,FAIL
lapscore_s6,h16,25,0.6858,0.6482,0.7109,-0.0661,0.0,2,0,23,FAIL
spec_s6,h16,25,0.6858,0.6482,0.7109,-0.0661,0.0,2,0,23,FAIL
a3.cae_k4,h16,25,0.6843,0.6607,0.7,-0.0676,0.0,1,0,24,FAIL
a3.cae,h16,25,0.6836,0.663,0.6973,-0.0683,0.0,1,0,24,FAIL
a2.dufs,h16,25,0.6828,0.6638,0.6955,-0.0691,0.0,3,0,22,FAIL
a2.select+groups,h16,25,0.6823,0.6625,0.6954,-0.0696,0.0,3,0,22,FAIL
a3.cae_k6,h16,25,0.6817,0.655,0.6995,-0.0702,0.0,1,0,24,FAIL
a1.minres+K_ah,h16,25,0.6805,0.6251,0.7174,-0.0714,0.0,2,0,23,FAIL
a1.relres_greedy,h16,25,0.6804,0.6277,0.7155,-0.0715,0.0,3,0,22,FAIL
a1.router@minres,h16,25,0.6801,0.6276,0.7151,-0.0718,0.0,2,0,23,FAIL
kurtosis_s4,h16,25,0.6796,0.634,0.71,-0.0723,0.0,2,0,23,FAIL
mcfs_s6,h16,25,0.6788,0.6311,0.7106,-0.0731,0.0,2,0,23,FAIL
a2.select,h16,25,0.6786,0.656,0.6937,-0.0733,0.0,3,0,22,FAIL
random_s5,h16,25,0.6751,0.6378,0.6999,-0.0768,0.0,0,0,25,FAIL
a4.recon_s5,h16,25,0.6749,0.6507,0.6911,-0.077,0.0,2,0,23,FAIL
lapscore_s4,h16,25,0.6743,0.6457,0.6934,-0.0776,0.0,2,0,23,FAIL
spec_s4,h16,25,0.6743,0.6457,0.6934,-0.0776,0.0,2,0,23,FAIL
decorr_s6,h16,25,0.6736,0.6356,0.699,-0.0783,0.0,1,0,24,FAIL
a1.relres_exh_adapt,h16,19,0.6728,0.6456,0.703,-0.064,2e-05,2,0,17,FAIL
a1.minres_exh_adapt,h16,19,0.6718,0.6456,0.7009,-0.065,1e-05,1,0,18,FAIL
a4.recon_s6,h16,25,0.6698,0.6249,0.6998,-0.0821,0.0,1,0,24,FAIL
lapscore_s5,h16,25,0.6669,0.6221,0.6968,-0.085,0.0,2,0,23,FAIL
