domain,cell,size,n,objective,spearman
math500,deepseek-math-7b-instruct_T1.5,11,4368,K,-0.0086
math500,deepseek-math-7b-instruct_T1.5,12,1820,eq14_raw,-0.4198
math500,deepseek-math-7b-instruct_T1.5,12,1820,eq14_rel,-0.5121
math500,deepseek-math-7b-instruct_T1.5,12,1820,rho_mean,-0.1773
math500,deepseek-math-7b-instruct_T1.5,12,1820,rho_max,-0.3031
math500,deepseek-math-7b-instruct_T1.5,12,1820,K,-0.0791
math500,deepseek-math-7b-instruct_T1.5,13,560,eq14_raw,-0.4542
math500,deepseek-math-7b-instruct_T1.5,13,560,eq14_rel,-0.5549
math500,deepseek-math-7b-instruct_T1.5,13,560,rho_mean,-0.2214
math500,deepseek-math-7b-instruct_T1.5,13,560,rho_max,-0.2594
math500,deepseek-math-7b-instruct_T1.5,13,560,K,-0.1394
math500,deepseek-math-7b-instruct_T1.5,14,120,eq14_raw,-0.4562
math500,deepseek-math-7b-instruct_T1.5,14,120,eq14_rel,-0.5319
math500,deepseek-math-7b-instruct_T1.5,14,120,rho_mean,-0.2414
math500,deepseek-math-7b-instruct_T1.5,14,120,rho_max,-0.2225
math500,deepseek-math-7b-instruct_T1.5,14,120,K,-0.1069
math500,deepseek-math-7b-instruct_T1.5,4,34,upcr_k1,0.2095
math500,deepseek-math-7b-instruct_T1.5,5,34,upcr_k1,0.0909
math500,deepseek-math-7b-instruct_T1.5,6,34,upcr_k1,0.2098
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,3,455,eq14_raw,-0.1059
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,3,455,eq14_rel,-0.3018
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,3,455,rho_mean,0.3657
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,3,455,rho_max,0.1333
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,4,1365,eq14_raw,-0.0812
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,4,1365,eq14_rel,-0.2692
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,4,1365,rho_mean,0.163
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,4,1365,rho_max,-0.0721
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,4,1365,K,-0.1082
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,5,3003,eq14_raw,-0.0616
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,5,3003,eq14_rel,-0.1583
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,5,3003,rho_mean,0.1028
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,5,3003,rho_max,-0.1332
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,5,3003,K,-0.1255
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,6,5005,eq14_raw,-0.1089
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,6,5005,eq14_rel,-0.1731
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,6,5005,rho_mean,0.0429
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,6,5005,rho_max,-0.184
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,6,5005,K,-0.15
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,7,6435,eq14_raw,-0.1402
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,7,6435,eq14_rel,-0.1999
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,7,6435,rho_mean,0.0054
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,7,6435,rho_max,-0.2272
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,7,6435,K,-0.1339
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,8,6435,eq14_raw,-0.1682
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,8,6435,eq14_rel,-0.222
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,8,6435,rho_mean,-0.023
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,8,6435,rho_max,-0.2814
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,8,6435,K,-0.1019
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,9,5005,eq14_raw,-0.1734
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,9,5005,eq14_rel,-0.2294
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,9,5005,rho_mean,-0.0256
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,9,5005,rho_max,-0.2988
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,9,5005,K,-0.081
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,10,3003,eq14_raw,-0.1712
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,10,3003,eq14_rel,-0.2257
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,10,3003,rho_mean,-0.0324
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,10,3003,rho_max,-0.313
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,10,3003,K,-0.0196
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,11,1365,eq14_raw,-0.1804
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,11,1365,eq14_rel,-0.2407
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,11,1365,rho_mean,-0.0488
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,11,1365,rho_max,-0.3236
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,11,1365,K,-0.0376
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,12,455,eq14_raw,-0.2488
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,12,455,eq14_rel,-0.3267
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,12,455,rho_mean,-0.1148
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,12,455,rho_max,-0.341
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,12,455,K,-0.0654
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,13,105,eq14_raw,-0.3532
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,13,105,eq14_rel,-0.4351
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,13,105,rho_mean,-0.2045
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,13,105,rho_max,-0.3443
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,13,105,K,-0.1956
math500,DeepSeek-R1-Distill-Llama-8B_T1.5,4,34,upcr_k1,-0.2168
