domain,cell,n,n_splits,greedy_halfA,greedy_halfB,good5_halfB,fulloracle_halfB,fulloracle_insample,optimism_gap
repgrid,rag_narrativeqa_qwen72b,240,10,0.79949,0.7422,0.7098,,,0.05729000000000006
repgrid,rag_narrativeqa_qwen7b,240,10,0.7803,0.76997,0.77627,,,0.01032999999999995
repgrid,rag_natural_questions_llama70b,160,10,0.63841,0.43995999999999996,0.40271999999999997,,,0.19845000000000007
repgrid,rag_natural_questions_llama8b,160,10,0.54539,0.31812,0.23875000000000002,,,0.22727000000000003
repgrid,rag_natural_questions_mistral24b,160,10,0.6108100000000001,0.4046,0.3606,,,0.20621000000000006
repgrid,rag_natural_questions_qwen72b,160,10,0.8581899999999999,0.7219800000000001,0.69081,,,0.13620999999999983
repgrid,rag_natural_questions_qwen7b,160,10,0.73231,0.65727,0.69815,,,0.07504
repgrid,sciq_llama8b,198,10,0.78788,0.73375,0.74038,0.76315,0.7609,0.05413000000000001
repgrid,se_nq_open_llama8b,8460,10,0.75715,0.7593799999999999,0.71872,0.70475,0.7428,-0.0022299999999999542
repgrid,se_squad_v2_llama8b,2933,10,0.83341,0.82775,0.7989200000000001,0.8167300000000001,0.8181,0.005659999999999998
repgrid,seiclr_triviaqa_opt30b,4993,10,0.66393,0.5989,0.59414,0.62958,0.6325,0.06503000000000003
repgrid,semenergy_triviaqa_qwen3_8b,4392,10,0.82134,0.8183,0.79988,0.8073,0.8093999999999999,0.0030399999999999316
repgrid,spilled_triviaqa_llama8b,256,10,0.99475,0.8825200000000001,0.9332100000000001,0.9551399999999999,0.9827,0.11222999999999994
repgrid,trace_gpqa_r1qwen7b,1880,10,0.51737,0.47596,0.46975999999999996,,,0.04141
repgrid,trace_gsm8k_llama8b_k10,5000,10,0.82502,0.82187,0.8015100000000001,,,0.003149999999999986
repgrid,trace_math500_qwenmath15b_k10,3000,10,0.7111,0.7164699999999999,0.66769,,,-0.005369999999999986
repgrid,truthfulqa_llama8b,7633,10,0.69492,0.6894199999999999,0.65998,0.68682,0.6878,0.00550000000000006
