domain,cell,size,lsml_auroc,upcr_auroc,lsml_rel_residual,upcr_k1_residual,route_lsml,lsml_wins,router_correct
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.865,0.8592,0.51365,0.45155,False,True,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.8232,0.4719,0.39377,0.98396,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.8732,0.8624,0.39745,0.23671,False,True,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.8217,0.8444,0.18817,0.22726,True,False,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.8659,0.8459,0.36162,0.2258,False,True,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.877,0.8569,0.37693,0.21636,False,True,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.8373,0.87,0.41768,0.44381,True,False,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.8628,0.8665,0.29451,0.2135,False,False,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.8764,0.8779,0.41454,0.19421,False,False,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.8377,0.8701,0.40425,0.39776,False,False,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.8699,0.8779,0.45524,0.20345,False,False,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.8615,0.8587,0.2869,0.40483,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.8544,0.8637,0.26627,0.18819,False,False,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.8626,0.8357,0.40494,0.14606,False,True,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.8683,0.8701,0.34911,0.23424,False,False,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.8677,0.8577,0.29982,0.35288,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.8369,0.3437,0.25434,0.92193,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.8502,0.8365,0.30072,0.26636,False,True,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.8644,0.6688,0.35853,0.99335,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.8748,0.8437,0.45394,0.24913,False,True,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.8665,0.8729,0.36001,0.49711,True,False,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.8685,0.8338,0.41988,0.20356,False,True,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.8563,0.8505,0.38827,0.20898,False,True,False
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.853,0.6336,0.32117,0.96046,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.8545,0.8189,0.43532,0.8512,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.8355,0.6625,0.31888,0.99761,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.841,0.8263,0.22567,0.94309,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.8662,0.8701,0.49126,0.07085,False,False,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.8607,0.8573,0.37754,0.52947,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.8661,0.8203,0.38519,0.44737,True,True,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.863,0.8646,0.47876,0.26038,False,False,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.8542,0.8658,0.44256,0.37284,False,False,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.8661,0.8779,0.31636,0.20608,False,False,True
math500,Qwen2.5-Math-1.5B-Instruct_T1.5,6,0.8706,0.8568,0.51943,0.15223,False,True,False
math500,Qwen-Math-7B_T1.5,4,0.9423,0.9642,0.3632,0.61154,True,False,False
math500,Qwen-Math-7B_T1.5,4,0.936,0.8964,0.3277,0.5743,True,True,True
math500,Qwen-Math-7B_T1.5,4,0.9336,0.9285,0.30918,0.33585,True,True,True
math500,Qwen-Math-7B_T1.5,4,0.9484,0.9001,0.36924,0.45052,True,True,True
math500,Qwen-Math-7B_T1.5,4,0.8078,0.5936,0.6746,0.87828,True,True,True
math500,Qwen-Math-7B_T1.5,4,0.9379,0.9441,0.10507,0.37322,True,False,False
math500,Qwen-Math-7B_T1.5,4,0.9426,0.9416,0.40615,0.36024,False,True,False
math500,Qwen-Math-7B_T1.5,4,0.8956,0.8838,0.17127,0.65479,True,True,True
math500,Qwen-Math-7B_T1.5,4,0.8537,0.9537,0.29223,0.40499,True,False,False
math500,Qwen-Math-7B_T1.5,4,0.9441,0.9202,0.36589,0.88959,True,True,True
math500,Qwen-Math-7B_T1.5,4,0.9493,0.9023,0.32944,0.78279,True,True,True
math500,Qwen-Math-7B_T1.5,4,0.9385,0.9361,0.41686,0.36199,False,True,False
math500,Qwen-Math-7B_T1.5,4,0.9349,0.9113,0.39074,0.57914,True,True,True
math500,Qwen-Math-7B_T1.5,4,0.9441,0.9023,0.37282,0.93601,True,True,True
math500,Qwen-Math-7B_T1.5,4,0.9261,0.9394,0.26478,0.29507,True,False,False
math500,Qwen-Math-7B_T1.5,4,0.9484,0.947,0.33932,0.13824,False,True,False
math500,Qwen-Math-7B_T1.5,4,0.9293,0.9448,0.3989,0.30619,False,False,True
math500,Qwen-Math-7B_T1.5,4,0.9282,0.9437,0.40586,0.31095,False,False,True
math500,Qwen-Math-7B_T1.5,4,0.9437,0.9419,0.41087,0.97522,True,True,True
math500,Qwen-Math-7B_T1.5,4,0.9497,0.9321,0.17068,0.41887,True,True,True
math500,Qwen-Math-7B_T1.5,4,0.9393,0.935,0.38351,0.5529,True,True,True
math500,Qwen-Math-7B_T1.5,4,0.9054,0.8299,0.17347,0.54294,True,True,True
math500,Qwen-Math-7B_T1.5,4,0.9523,0.9556,0.42557,0.99029,True,False,False
math500,Qwen-Math-7B_T1.5,4,0.9225,0.932,0.34693,0.31541,False,False,True
math500,Qwen-Math-7B_T1.5,4,0.9354,0.9059,0.18527,0.51078,True,True,True
math500,Qwen-Math-7B_T1.5,4,0.9131,0.9358,0.27388,0.33404,True,False,False
math500,Qwen-Math-7B_T1.5,4,0.9083,0.9014,0.25078,0.39527,True,True,True
math500,Qwen-Math-7B_T1.5,4,0.94,0.9001,0.21676,0.39117,True,True,True
math500,Qwen-Math-7B_T1.5,4,0.9218,0.9184,0.34711,0.35235,True,True,True
math500,Qwen-Math-7B_T1.5,4,0.9396,0.9324,0.30242,0.32012,True,True,True
math500,Qwen-Math-7B_T1.5,4,0.8737,0.8813,0.22634,0.48464,True,False,False
math500,Qwen-Math-7B_T1.5,4,0.933,0.8977,0.28498,0.60024,True,True,True
math500,Qwen-Math-7B_T1.5,4,0.9386,0.9446,0.36214,0.34318,False,False,True
math500,Qwen-Math-7B_T1.5,4,0.9395,0.9396,0.41014,0.0697,False,False,True
math500,Qwen-Math-7B_T1.5,5,0.9491,0.9405,0.51462,0.12641,False,True,False
math500,Qwen-Math-7B_T1.5,5,0.9502,0.9113,0.32292,0.88441,True,True,True
math500,Qwen-Math-7B_T1.5,5,0.9384,0.9446,0.42663,0.3186,False,False,True
math500,Qwen-Math-7B_T1.5,5,0.9176,0.9068,0.40342,0.81998,True,True,True
math500,Qwen-Math-7B_T1.5,5,0.9449,0.9396,0.4612,0.23157,False,True,False
math500,Qwen-Math-7B_T1.5,5,0.9424,0.9274,0.37929,0.28312,False,True,False
math500,Qwen-Math-7B_T1.5,5,0.933,0.6581,0.39903,0.93496,True,True,True
math500,Qwen-Math-7B_T1.5,5,0.9189,0.9501,0.33958,0.18874,False,False,True
math500,Qwen-Math-7B_T1.5,5,0.9405,0.9448,0.44131,0.16555,False,False,True
math500,Qwen-Math-7B_T1.5,5,0.9189,0.9332,0.27765,0.15571,False,False,True
math500,Qwen-Math-7B_T1.5,5,0.9331,0.9356,0.22872,0.74835,True,False,False
math500,Qwen-Math-7B_T1.5,5,0.9475,0.9615,0.45082,0.27218,False,False,True
math500,Qwen-Math-7B_T1.5,5,0.94,0.9253,0.45129,0.27152,False,True,False
math500,Qwen-Math-7B_T1.5,5,0.9266,0.9285,0.48493,0.6202,True,False,False
math500,Qwen-Math-7B_T1.5,5,0.9339,0.9134,0.38594,0.35188,False,True,False
math500,Qwen-Math-7B_T1.5,5,0.9513,0.9441,0.40451,0.35615,False,True,False
math500,Qwen-Math-7B_T1.5,5,0.9333,0.9543,0.43125,0.31062,False,False,True
math500,Qwen-Math-7B_T1.5,5,0.9351,0.9318,0.47457,0.13683,False,True,False
math500,Qwen-Math-7B_T1.5,5,0.9445,0.946,0.30035,0.20716,False,False,True
math500,Qwen-Math-7B_T1.5,5,0.9314,0.9285,0.41438,0.70635,True,True,True
math500,Qwen-Math-7B_T1.5,5,0.9091,0.9184,0.39476,0.40706,True,False,False
math500,Qwen-Math-7B_T1.5,5,0.9237,0.9281,0.42397,0.32467,False,False,True
math500,Qwen-Math-7B_T1.5,5,0.9394,0.9177,0.37939,0.85202,True,True,True
math500,Qwen-Math-7B_T1.5,5,0.9462,0.9346,0.38541,0.25558,False,True,False
math500,Qwen-Math-7B_T1.5,5,0.9431,0.943,0.50964,0.35153,False,True,False
math500,Qwen-Math-7B_T1.5,5,0.9259,0.5708,0.43942,0.95674,True,True,True
math500,Qwen-Math-7B_T1.5,5,0.9437,0.9439,0.49043,0.13805,False,False,True
math500,Qwen-Math-7B_T1.5,5,0.9329,0.9462,0.28974,0.31302,True,False,False
math500,Qwen-Math-7B_T1.5,5,0.9268,0.9485,0.34925,0.19602,False,False,True
math500,Qwen-Math-7B_T1.5,5,0.9314,0.9271,0.40451,0.23627,False,True,False
math500,Qwen-Math-7B_T1.5,5,0.9507,0.932,0.35643,0.95598,True,True,True
math500,Qwen-Math-7B_T1.5,5,0.9053,0.8477,0.30926,0.96038,True,True,True
math500,Qwen-Math-7B_T1.5,5,0.9287,0.9321,0.4228,0.18135,False,False,True
math500,Qwen-Math-7B_T1.5,5,0.9422,0.9409,0.4944,0.1403,False,True,False
math500,Qwen-Math-7B_T1.5,6,0.9459,0.9494,0.5091,0.13421,False,False,True
math500,Qwen-Math-7B_T1.5,6,0.9394,0.9395,0.55908,0.14113,False,False,True
math500,Qwen-Math-7B_T1.5,6,0.9438,0.5815,0.42892,0.87121,True,True,True
math500,Qwen-Math-7B_T1.5,6,0.9343,0.9424,0.39868,0.11998,False,False,True
math500,Qwen-Math-7B_T1.5,6,0.9423,0.873,0.35738,0.48013,True,True,True
math500,Qwen-Math-7B_T1.5,6,0.9426,0.9355,0.48249,0.19028,False,True,False
math500,Qwen-Math-7B_T1.5,6,0.9362,0.9363,0.46909,0.21518,False,False,True
math500,Qwen-Math-7B_T1.5,6,0.9212,0.8626,0.43765,0.63026,True,True,True
math500,Qwen-Math-7B_T1.5,6,0.9333,0.9405,0.37447,0.12234,False,False,True
math500,Qwen-Math-7B_T1.5,6,0.9396,0.9363,0.47654,0.08562,False,True,False
math500,Qwen-Math-7B_T1.5,6,0.9426,0.8958,0.37392,0.52001,True,True,True
math500,Qwen-Math-7B_T1.5,6,0.949,0.9539,0.30606,0.15871,False,False,True
math500,Qwen-Math-7B_T1.5,6,0.9473,0.9371,0.43681,0.33267,False,True,False
math500,Qwen-Math-7B_T1.5,6,0.9426,0.9389,0.56546,0.13914,False,True,False
math500,Qwen-Math-7B_T1.5,6,0.9357,0.9516,0.44689,0.40453,False,False,True
math500,Qwen-Math-7B_T1.5,6,0.9491,0.9344,0.43914,0.55863,True,True,True
math500,Qwen-Math-7B_T1.5,6,0.9392,0.9366,0.52566,0.14439,False,True,False
math500,Qwen-Math-7B_T1.5,6,0.949,0.9071,0.51314,0.32864,False,True,False
math500,Qwen-Math-7B_T1.5,6,0.9354,0.8775,0.40718,0.78396,True,True,True
math500,Qwen-Math-7B_T1.5,6,0.9395,0.9004,0.44665,0.30203,False,True,False
math500,Qwen-Math-7B_T1.5,6,0.939,0.9419,0.51583,0.23526,False,False,True
math500,Qwen-Math-7B_T1.5,6,0.9335,0.9407,0.48301,0.27645,False,False,True
math500,Qwen-Math-7B_T1.5,6,0.9429,0.9445,0.44098,0.16536,False,False,True
math500,Qwen-Math-7B_T1.5,6,0.9262,0.9306,0.34799,0.46067,True,False,False
math500,Qwen-Math-7B_T1.5,6,0.9486,0.9405,0.52008,0.44573,False,True,False
math500,Qwen-Math-7B_T1.5,6,0.9395,0.939,0.50427,0.21076,False,True,False
math500,Qwen-Math-7B_T1.5,6,0.9572,0.871,0.39436,0.86888,True,True,True
math500,Qwen-Math-7B_T1.5,6,0.9484,0.8981,0.38925,0.43051,True,True,True
math500,Qwen-Math-7B_T1.5,6,0.9247,0.8953,0.47697,0.55092,True,True,True
math500,Qwen-Math-7B_T1.5,6,0.9399,0.9499,0.41527,0.16935,False,False,True
math500,Qwen-Math-7B_T1.5,6,0.9383,0.9451,0.42283,0.22928,False,False,True
math500,Qwen-Math-7B_T1.5,6,0.9436,0.903,0.28597,0.25766,False,True,False
math500,Qwen-Math-7B_T1.5,6,0.9347,0.9536,0.48,0.25846,False,False,True
math500,Qwen-Math-7B_T1.5,6,0.9279,0.9134,0.40682,0.5617,True,True,True
math500,deepseek-math-7b-instruct_T1.5,4,0.6438,0.6799,0.19394,0.71671,True,False,False
math500,deepseek-math-7b-instruct_T1.5,4,0.6717,0.7,3.20919,0.72541,False,False,True
math500,deepseek-math-7b-instruct_T1.5,4,0.6768,0.6815,0.29793,0.35181,True,False,False
math500,deepseek-math-7b-instruct_T1.5,4,0.6993,0.7045,0.22084,0.27938,True,False,False
math500,deepseek-math-7b-instruct_T1.5,4,0.706,0.6502,0.07074,0.48135,True,True,True
math500,deepseek-math-7b-instruct_T1.5,4,0.6574,0.6475,0.57231,0.62102,True,True,True
math500,deepseek-math-7b-instruct_T1.5,4,0.6864,0.5933,0.17004,0.29212,True,True,True
math500,deepseek-math-7b-instruct_T1.5,4,0.6927,0.691,0.00445,0.46293,True,True,True
math500,deepseek-math-7b-instruct_T1.5,4,0.5888,0.6341,0.26049,0.30614,True,False,False
math500,deepseek-math-7b-instruct_T1.5,4,0.7143,0.6805,0.08015,0.38047,True,True,True
math500,deepseek-math-7b-instruct_T1.5,4,0.6531,0.6161,0.52418,0.09174,False,True,False
math500,deepseek-math-7b-instruct_T1.5,4,0.6219,0.6378,0.39661,0.46353,True,False,False
math500,deepseek-math-7b-instruct_T1.5,4,0.6729,0.6811,0.33709,0.80751,True,False,False
math500,deepseek-math-7b-instruct_T1.5,4,0.7022,0.6804,0.10307,0.60365,True,True,True
math500,deepseek-math-7b-instruct_T1.5,4,0.6761,0.6669,0.2116,0.75435,True,True,True
math500,deepseek-math-7b-instruct_T1.5,4,0.7027,0.6839,0.16584,0.99195,True,True,True
math500,deepseek-math-7b-instruct_T1.5,4,0.6534,0.6024,0.44729,0.13765,False,True,False
math500,deepseek-math-7b-instruct_T1.5,4,0.698,0.6919,0.13066,0.881,True,True,True
math500,deepseek-math-7b-instruct_T1.5,4,0.6201,0.598,0.25568,0.28905,True,True,True
math500,deepseek-math-7b-instruct_T1.5,4,0.706,0.687,0.15709,0.62481,True,True,True
math500,deepseek-math-7b-instruct_T1.5,4,0.7303,0.7114,0.06938,0.53785,True,True,True
math500,deepseek-math-7b-instruct_T1.5,4,0.7038,0.639,0.08076,0.49461,True,True,True
math500,deepseek-math-7b-instruct_T1.5,4,0.6723,0.6493,0.22256,0.80616,True,True,True
math500,deepseek-math-7b-instruct_T1.5,4,0.6024,0.6712,0.20337,0.14769,False,False,True
math500,deepseek-math-7b-instruct_T1.5,4,0.7445,0.7072,0.11459,0.62356,True,True,True
math500,deepseek-math-7b-instruct_T1.5,4,0.6862,0.7192,0.36725,0.98343,True,False,False
math500,deepseek-math-7b-instruct_T1.5,4,0.6923,0.7003,0.09153,0.44916,True,False,False
math500,deepseek-math-7b-instruct_T1.5,4,0.7012,0.6645,0.49133,0.17576,False,True,False
math500,deepseek-math-7b-instruct_T1.5,4,0.715,0.7192,0.23419,0.76423,True,False,False
math500,deepseek-math-7b-instruct_T1.5,4,0.6045,0.597,0.61557,0.99989,True,True,True
math500,deepseek-math-7b-instruct_T1.5,4,0.6932,0.5388,0.16362,0.43977,True,True,True
math500,deepseek-math-7b-instruct_T1.5,4,0.6809,0.6588,0.76365,0.58123,False,True,False
math500,deepseek-math-7b-instruct_T1.5,4,0.569,0.6624,0.45499,0.13411,False,False,True
math500,deepseek-math-7b-instruct_T1.5,4,0.6594,0.6577,0.14001,0.80731,True,True,True
math500,deepseek-math-7b-instruct_T1.5,5,0.7037,0.6814,0.35441,0.78546,True,True,True
math500,deepseek-math-7b-instruct_T1.5,5,0.694,0.6545,0.18865,0.36553,True,True,True
math500,deepseek-math-7b-instruct_T1.5,5,0.6949,0.6389,0.27459,0.38279,True,True,True
math500,deepseek-math-7b-instruct_T1.5,5,0.7107,0.6446,0.13259,0.94039,True,True,True
math500,deepseek-math-7b-instruct_T1.5,5,0.7164,0.677,0.17447,0.78612,True,True,True
math500,deepseek-math-7b-instruct_T1.5,5,0.7009,0.5933,0.20492,0.59065,True,True,True
math500,deepseek-math-7b-instruct_T1.5,5,0.641,0.6389,0.40709,0.31597,False,True,False
math500,deepseek-math-7b-instruct_T1.5,5,0.6846,0.6389,0.34887,0.15087,False,True,False
math500,deepseek-math-7b-instruct_T1.5,5,0.6953,0.6827,0.22046,0.16571,False,True,False
math500,deepseek-math-7b-instruct_T1.5,5,0.6988,0.7008,0.16872,0.50191,True,False,False
math500,deepseek-math-7b-instruct_T1.5,5,0.6998,0.6525,0.20204,0.73763,True,True,True
math500,deepseek-math-7b-instruct_T1.5,5,0.6569,0.6693,0.21082,0.48525,True,False,False
math500,deepseek-math-7b-instruct_T1.5,5,0.7022,0.6763,0.34716,0.19299,False,True,False
math500,deepseek-math-7b-instruct_T1.5,5,0.6471,0.6531,0.32104,0.34529,True,False,False
math500,deepseek-math-7b-instruct_T1.5,5,0.6989,0.6304,0.20537,0.38875,True,True,True
math500,deepseek-math-7b-instruct_T1.5,5,0.7273,0.7222,0.16765,0.47418,True,True,True
math500,deepseek-math-7b-instruct_T1.5,5,0.6676,0.6955,0.32003,0.83908,True,False,False
math500,deepseek-math-7b-instruct_T1.5,5,0.7311,0.7139,0.10705,0.50601,True,True,True
math500,deepseek-math-7b-instruct_T1.5,5,0.6971,0.7066,0.20685,0.23988,True,False,False
math500,deepseek-math-7b-instruct_T1.5,5,0.6462,0.4828,0.3566,0.99618,True,True,True
math500,deepseek-math-7b-instruct_T1.5,5,0.6667,0.6304,0.19422,0.1472,False,True,False
math500,deepseek-math-7b-instruct_T1.5,5,0.7057,0.6927,0.14718,0.47315,True,True,True
math500,deepseek-math-7b-instruct_T1.5,5,0.7083,0.6894,0.23025,0.31364,True,True,True
math500,deepseek-math-7b-instruct_T1.5,5,0.6583,0.6865,0.21738,0.37254,True,False,False
math500,deepseek-math-7b-instruct_T1.5,5,0.684,0.6737,0.17822,0.35612,True,True,True
math500,deepseek-math-7b-instruct_T1.5,5,0.6619,0.6313,0.25251,0.79742,True,True,True
math500,deepseek-math-7b-instruct_T1.5,5,0.7035,0.6619,0.15607,0.11718,False,True,False
math500,deepseek-math-7b-instruct_T1.5,5,0.7192,0.5446,0.22818,0.99853,True,True,True
math500,deepseek-math-7b-instruct_T1.5,5,0.6622,0.6623,0.292,0.32094,True,False,False
math500,deepseek-math-7b-instruct_T1.5,5,0.6899,0.7021,0.18367,0.92617,True,False,False
math500,deepseek-math-7b-instruct_T1.5,5,0.7247,0.7124,0.26404,0.50639,True,True,True
math500,deepseek-math-7b-instruct_T1.5,5,0.7133,0.7189,0.13368,0.2297,True,False,False
