method,cell,answers,clean,erroneous,clean_accuracy,error_exact_accuracy,f1,valid_decisions
var15_iu__near,pb_omnimath_q8,1000.0,241.0,759.0,0.44398340248962653,0.30303030303030304,0.36020871907086355,1000.0
shrinkage__old,pb_gsm8k_q4,400.0,193.0,207.0,0.5906735751295337,0.3285024154589372,0.4221992266216437,400.0
shrinkage__old,pb_gsm8k_q8,400.0,193.0,207.0,0.41968911917098445,0.357487922705314,0.3860993912847434,400.0
shrinkage__old,pb_math_q4,1000.0,406.0,594.0,0.5665024630541872,0.2558922558922559,0.35254018514410174,1000.0
shrinkage__old,pb_math_q8,1000.0,406.0,594.0,0.4630541871921182,0.265993265993266,0.33789102491184164,1000.0
shrinkage__old,pb_olympiadbench_q4,1000.0,339.0,661.0,0.5309734513274337,0.24508320726172467,0.33536900941931475,1000.0
shrinkage__old,pb_olympiadbench_q8,1000.0,339.0,661.0,0.4690265486725664,0.2556732223903177,0.3309440236467763,1000.0
shrinkage__old,pb_omnimath_q4,1000.0,241.0,759.0,0.5062240663900415,0.2766798418972332,0.35780124015418135,1000.0
shrinkage__old,pb_omnimath_q8,1000.0,241.0,759.0,0.44398340248962653,0.2845849802371542,0.34684735384823173,1000.0
shrinkage__near,pb_gsm8k_q4,400.0,193.0,207.0,0.5906735751295337,0.32367149758454106,0.4181882887568781,400.0
shrinkage__near,pb_gsm8k_q8,400.0,193.0,207.0,0.41968911917098445,0.30917874396135264,0.3560561832480511,400.0
shrinkage__near,pb_math_q4,1000.0,406.0,594.0,0.5665024630541872,0.23905723905723905,0.3362296162082029,1000.0
shrinkage__near,pb_math_q8,1000.0,406.0,594.0,0.4630541871921182,0.2542087542087542,0.32822671091121414,1000.0
shrinkage__near,pb_olympiadbench_q4,1000.0,339.0,661.0,0.5309734513274337,0.1437216338880484,0.22621291794820914,1000.0
shrinkage__near,pb_olympiadbench_q8,1000.0,339.0,661.0,0.4690265486725664,0.15431164901664146,0.23222148242015506,1000.0
shrinkage__near,pb_omnimath_q4,1000.0,241.0,759.0,0.5062240663900415,0.21870882740447958,0.30545081596331936,1000.0
