split,held_group,cell,family,domain,n,error_rate,method,auroc,error_auprc
family,gsm8k,lapeigvals_gsm8k_llama8b,gsm8k,math,500,0.276,epr_risk,0.7844102810473217,0.6765928944709768
family,gsm8k,lapeigvals_gsm8k_llama8b,gsm8k,math,500,0.276,mean_confidence_risk,0.7964408679638081,0.6881985270889389
family,gsm8k,lapeigvals_gsm8k_llama8b,gsm8k,math,500,0.276,iu_pcr_risk,0.8141764752982625,0.7029431963357273
family,gsm8k,lapeigvals_gsm8k_llama8b,gsm8k,math,500,0.276,shared_direction,0.8007046200656579,0.6933054646504793
family,gsm8k,lapeigvals_gsm8k_llama8b,gsm8k,math,500,0.276,balanced_logistic,0.8077308031067338,0.7014814026433112
family,gsm8k,lapeigvals_gsm8k_llama8b,gsm8k,math,500,0.276,ppca_manifold_k4,0.780486828409,0.6398043079040511
family,gsm8k,lapeigvals_gsm8k_llama8b,gsm8k,math,500,0.276,knn_manifold_k5,0.803427015773881,0.7000146461059085
family,gsm8k,lapeigvals_gsm8k_mistral24b,gsm8k,math,1319,0.08263836239575435,epr_risk,0.8473121540677837,0.483314934889743
family,gsm8k,lapeigvals_gsm8k_mistral24b,gsm8k,math,1319,0.08263836239575435,mean_confidence_risk,0.8586397755705513,0.5042455981915431
family,gsm8k,lapeigvals_gsm8k_mistral24b,gsm8k,math,1319,0.08263836239575435,iu_pcr_risk,0.8470316172568049,0.5028132960997765
family,gsm8k,lapeigvals_gsm8k_mistral24b,gsm8k,math,1319,0.08263836239575435,shared_direction,0.855743422549094,0.4989051482918598
family,gsm8k,lapeigvals_gsm8k_mistral24b,gsm8k,math,1319,0.08263836239575435,balanced_logistic,0.8464250511790128,0.51169730748512
family,gsm8k,lapeigvals_gsm8k_mistral24b,gsm8k,math,1319,0.08263836239575435,ppca_manifold_k4,0.8185154295246039,0.4869243531219625
family,gsm8k,lapeigvals_gsm8k_mistral24b,gsm8k,math,1319,0.08263836239575435,knn_manifold_k5,0.832936538024111,0.3391195932579483
