combination,n_added,tail_only,discovery_macro_auroc,confirmation_macro_auroc,all_macro_auroc,all_macro_auprc,mean_n_kept,fallback_cells
entropy_excess_over_top1__max__flat_top8_p1 + target_gap__max__spread8_p1,2,False,0.7837748632014523,0.7689304031708125,0.7757816924157233,0.6378130986202346,5.923076923076923,0
top1_surprisal__max__flat_top8_p1 + entropy_excess_over_top1__max__flat_top8_p1 + top1_surprisal__max__flat_top3_p2,3,False,0.783726224788926,0.7646009263372026,0.773427987161075,0.6269916660619597,6.923076923076923,0
top1_surprisal__max__flat_top8_p1 + entropy_excess_over_top1__max__flat_top8_p1 + top1_surprisal__max__spread4_p1,3,False,0.7837144799466903,0.7660189028986701,0.7741860923054488,0.6285742950390241,6.923076923076923,0
target_nll__max__spread4_p1 + top1_surprisal__max__spread4_p1 + top1_surprisal__max__flat_top3_p2,3,False,0.7836885923744523,0.764944028723438,0.7735953657931369,0.634660661760081,6.923076923076923,0
target_nll__max__spread4_p1 + entropy_excess_over_top1__max__flat_top8_p1,2,False,0.7835814662137638,0.7664715427807012,0.7743684305190379,0.6343256611333339,5.923076923076923,0
top1_surprisal__max__spread8_p1 + entropy_excess_over_top1__max__flat_top8_p1,2,False,0.7835547354902328,0.7700423557466652,0.7762788387052348,0.6354611706609775,5.923076923076923,0
top1_surprisal__max__spread8_p1 + entropy_excess_over_top1__max__flat_top8_p1 + top1_surprisal__max__flat_top3_p2,3,False,0.7835495028035885,0.766256715104641,0.7742380017349245,0.6319691583398961,6.923076923076923,0
target_nll__max__spread4_p1 + top1_surprisal__max__flat_top5_p1 + top1_surprisal__max__flat_top3_p2,3,False,0.7835479061686682,0.7626626950259644,0.7723020232456741,0.6301154353597784,6.923076923076923,0
target_nll__max__spread4_p1 + top1_surprisal__max__spread4_p1,2,False,0.7835034416150727,0.7679029196618155,0.775103160563319,0.636749441009335,5.923076923076923,0
top1_surprisal__max__flat_top3_p2 + target_gap__max__spread8_p1,2,False,0.7834449124324637,0.7667516671945294,0.77445624191973,0.6376846822624305,5.846153846153846,0
target_nll__max__spread4_p1 + target_nll__max__flat_top8_p1,2,False,0.7834076280716663,0.7669129546042732,0.7745258808199931,0.6375933207025194,5.923076923076923,0
top1_surprisal__max__spread8_p1 + kl_to_final__max__spread4_p1,2,False,0.7833924616471718,0.7636169439544249,0.7727441059664619,0.6293367991073684,5.538461538461538,0
top1_surprisal__max__spread8_p1 + entropy_excess_over_top1__max__flat_top8_p1 + top1_surprisal__max__spread4_p1,3,False,0.7832968255829309,0.7667201738223964,0.7743709361734125,0.6308026984959975,6.923076923076923,0
top1_surprisal__max__spread8_p1 + top1_surprisal__max__flat_top8_p1 + target_nll__max__spread4_p1 + entropy_excess_over_top1__max__flat_top8_p1 + target_nll__max__spread8_p1,5,True,0.7832797052454857,0.7457726655029242,0.7630836069225679,0.6193104981037276,5.0,0
top1_surprisal__max__flat_top3_p2 + target_nll__max__flat_top8_p1,2,False,0.7832563881331525,0.767917759718952,0.7749971266793523,0.6367977805986202,5.923076923076923,0
target_nll__max__spread8_p1 + top1_surprisal__max__flat_top3_p2,2,False,0.7832526311489058,0.7686093828221006,0.7753678051267797,0.6384512599015821,5.923076923076923,0
top1_surprisal__max__spread8_p1 + entropy_excess_over_top1__max__flat_top8_p1 + top1_surprisal__max__flat_top5_p1,3,False,0.7832229339436777,0.7641201619768704,0.7729368259615507,0.6275410836905336,6.923076923076923,0
top1_surprisal__max__spread8_p1 + target_nll__max__spread4_p1 + entropy_excess_over_top1__max__flat_top8_p1 + target_nll__max__spread8_p1 + top1_surprisal__max__flat_top5_p1,5,True,0.7831608128839095,0.7446267799748857,0.7624117182405891,0.6189368468048438,4.923076923076923,1
target_nll__max__spread8_p1 + target_nll__max__flat_top8_p1,2,False,0.7831544932987585,0.7658124686847395,0.773816480045056,0.636472118439306,5.923076923076923,0
top1_surprisal__max__flat_top8_p1 + target_nll__max__spread8_p1 + kl_to_final__std__organic_all_p1,3,False,0.7831060812070799,0.766434007622525,0.7741288108153964,0.6322066477978272,6.615384615384615,0
target_nll__max__spread8_p1 + entropy_excess_over_top1__max__flat_top5_p1,2,False,0.7830757718260659,0.7710405022573884,0.7765952420583164,0.6366684163599885,5.923076923076923,0
top1_surprisal__max__flat_top8_p1 + entropy_excess_over_top1__max__flat_top8_p1 + target_nll__max__spread8_p1 + top1_surprisal__max__flat_top3_p2 + kl_to_final__std__organic_all_p1,5,True,0.7830586354413628,0.7462006849112497,0.7632120466943788,0.6161799594861451,4.538461538461538,6
top1_surprisal__max__flat_top8_p1 + kl_to_final__max__spread4_p1,2,False,0.78304862878992,0.7631113603422521,0.7723131765488679,0.625625901363592,5.538461538461538,0
top1_surprisal__max__flat_top8_p1 + target_nll__max__spread4_p1 + entropy_excess_over_top1__max__flat_top8_p1 + target_nll__max__spread8_p1 + top1_surprisal__max__spread4_p1,5,True,0.7830021500923459,0.7450231404018355,0.762551914105148,0.6191586181913782,4.923076923076923,1
target_nll__max__spread4_p1 + entropy_excess_over_top1__max__flat_top8_p1 + target_nll__max__spread8_p1 + top1_surprisal__max__spread4_p1 + top1_surprisal__max__flat_top3_p2,5,True,0.7829645300202089,0.7457453556416093,0.7629234361240401,0.6193969451930624,4.923076923076923,1
top1_surprisal__max__spread8_p1 + entropy_excess_over_top1__max__flat_top8_p1 + target_nll__max__spread8_p1 + top1_surprisal__max__flat_top3_p2 + kl_to_final__std__organic_all_p1,5,True,0.78294183592683,0.7476293142330205,0.7639274011686248,0.6202828178499202,4.538461538461538,6
top1_surprisal__max__flat_top8_p1 + entropy_excess_over_top1__max__flat_top8_p1 + top1_surprisal__max__flat_top5_p1,3,False,0.7829061093444949,0.7625906879502738,0.7719670362860681,0.6237967286017378,6.923076923076923,0
entropy_excess_over_top1__max__flat_top8_p1 + top1_surprisal__max__spread4_p1 + top1_surprisal__max__flat_top5_p1,3,False,0.7828780781586028,0.7654971152691104,0.7735190981411837,0.62978162475399,6.923076923076923,0
top1_surprisal__max__flat_top8_p1 + target_nll__max__spread4_p1 + entropy_excess_over_top1__max__flat_top8_p1 + top1_surprisal__max__flat_top3_p2 + kl_to_final__std__organic_all_p1,5,True,0.7828207915430342,0.7462636802852493,0.7631361931734577,0.616409688594522,4.538461538461538,6
target_nll__max__spread4_p1 + entropy_excess_over_top1__max__flat_top8_p1 + kl_to_final__std__organic_all_p1,3,False,0.7827997402983682,0.7646671942117912,0.7730360616363652,0.6311878690191477,6.538461538461538,0
target_nll__max__spread4_p1 + top1_surprisal__max__flat_top3_p2,2,False,0.7827375276051148,0.7674368162768275,0.7744986830437293,0.6373851266711177,5.923076923076923,0
top1_surprisal__max__spread8_p1 + target_nll__max__spread8_p1 + kl_to_final__std__organic_all_p1,3,False,0.7826531769874029,0.7676724830373448,0.7745866494758331,0.634010223068581,6.615384615384615,0
top1_surprisal__max__spread8_p1 + target_nll__cvar80__organic_all_p1,2,False,0.7826043895543798,0.7639636623117232,0.772567074885257,0.6350537716036586,6.0,0
entropy_excess_over_top1__max__flat_top8_p1 + top1_surprisal__max__spread4_p1,2,False,0.7825819559240087,0.767458179662918,0.7744383840911138,0.6324355398836153,5.923076923076923,0
target_nll__max__spread4_p1 + entropy_excess_over_top1__max__flat_top8_p1 + target_nll__max__spread8_p1 + top1_surprisal__max__spread4_p1 + top1_surprisal__max__flat_top5_p1,5,True,0.7825745515285423,0.7445811588179262,0.7621165708382105,0.6194536698577878,4.923076923076923,1
top1_surprisal__max__spread8_p1 + target_nll__max__spread4_p1 + entropy_excess_over_top1__max__flat_top8_p1 + top1_surprisal__max__flat_top3_p2 + kl_to_final__std__organic_all_p1,5,True,0.7825435349758596,0.7485425159970848,0.7642352939872884,0.6201817407412163,4.461538461538462,7
target_nll__max__spread4_p1 + target_nll__max__spread8_p1,2,False,0.7825130939482575,0.7665200590679161,0.7739014597819197,0.6365883417669008,5.923076923076923,0
entropy_excess_over_top1__max__flat_top5_p1 + target_nll__max__flat_top8_p1,2,False,0.7825116421214111,0.7704129198945371,0.7759969455377096,0.6349358115141197,5.923076923076923,0
top1_surprisal__max__flat_top8_p1 + target_nll__max__spread4_p1 + kl_to_final__std__organic_all_p1,3,False,0.7824425327673428,0.7645889055411157,0.7728290411839898,0.6312532906702691,6.615384615384615,0
top1_surprisal__max__spread8_p1 + entropy_excess_over_top1__max__flat_top5_p1,2,False,0.7824321666170583,0.7715029232736406,0.7765471894321408,0.6356181254631851,5.923076923076923,0
entropy_excess_over_top1__max__flat_top8_p1 + top1_surprisal__max__spread4_p1 + top1_surprisal__max__flat_top3_p2,3,False,0.7823356571228895,0.7661749952232046,0.7736337622538284,0.6314747974240466,6.923076923076923,0
top1_surprisal__max__flat_top8_p1 + entropy_excess_over_top1__max__flat_top8_p1,2,False,0.7823082710934299,0.7689138631798131,0.7750958976014826,0.6310443442548467,5.923076923076923,0
target_nll__max__spread4_p1 + entropy_excess_over_top1__max__flat_top5_p1,2,False,0.7822982068429436,0.7691345820778096,0.7752101012001791,0.6357555571449727,5.923076923076923,0
top1_surprisal__max__flat_top8_p1 + target_nll__cvar80__organic_all_p1,2,False,0.7822749211078671,0.76270323865014,0.7717363228613987,0.6318828109254593,6.0,0
entropy_excess_over_top1__max__flat_top8_p1 + top1_surprisal__max__flat_top5_p1 + top1_surprisal__max__flat_top3_p2,3,False,0.7821806944695116,0.7635615980741444,0.7721550271796984,0.6267659560198321,6.923076923076923,0
target_nll__max__spread8_p1 + kl_to_final__max__spread4_p1,2,False,0.7820933601686365,0.760968716862965,0.7707185522348136,0.6299084394738578,5.538461538461538,0
top1_surprisal__max__spread8_p1 + target_nll__max__spread4_p1 + kl_to_final__std__organic_all_p1,3,False,0.7820742772033517,0.7660180609948949,0.7734286223218749,0.6328885160927629,6.615384615384615,0
top1_surprisal__max__spread8_p1 + target_nll__max__spread4_p1 + entropy_excess_over_top1__max__flat_top8_p1 + target_nll__max__spread8_p1 + top1_surprisal__max__spread4_p1,5,True,0.7820477119858058,0.7451000338955792,0.7621528083987605,0.6174065771076449,4.923076923076923,1
top1_surprisal__max__spread4_p1 + kl_to_final__max__spread4_p1,2,False,0.7819508618918011,0.7615874567603245,0.7709859514363905,0.6270107309654978,5.538461538461538,0
entropy_excess_over_top1__max__flat_top5_p1 + target_gap__max__spread8_p1,2,False,0.7819449989322979,0.7688778343644763,0.7749088333957784,0.6367802004293102,5.846153846153846,0
entropy_excess_over_top1__max__flat_top8_p1 + kl_to_final__max__spread4_p1,2,False,0.7819220624674603,0.7656371212622199,0.7731532479723311,0.62902632394289,5.538461538461538,0
entropy_excess_over_top1__max__flat_top8_p1 + top1_surprisal__max__flat_top5_p1,2,False,0.7819182368288896,0.7679310543021708,0.7743866770068103,0.6316146299436851,5.923076923076923,0
top1_surprisal__max__flat_top8_p1 + entropy_excess_over_top1__max__flat_top5_p1,2,False,0.7818809718729346,0.7699537027737376,0.775458596204136,0.6309985308853181,5.923076923076923,0
target_nll__max__spread8_p1 + top1_surprisal__max__spread4_p1 + kl_to_final__std__organic_all_p1,3,False,0.7818775133338777,0.7673677347760851,0.7740645556489123,0.6346096717324428,6.615384615384615,0
entropy_excess_over_top1__max__flat_top8_p1 + top1_surprisal__max__flat_top3_p2,2,False,0.7818257889003318,0.7671850313883267,0.7739423040861753,0.6323351559767835,5.923076923076923,0
top1_surprisal__max__flat_top8_p1 + target_nll__max__spread4_p1 + entropy_excess_over_top1__max__flat_top8_p1 + target_nll__max__spread8_p1 + top1_surprisal__max__flat_top5_p1,5,True,0.7817917167334918,0.7438250175709346,0.761348109492115,0.6162300435114705,5.0,0
entropy_excess_over_top1__max__flat_top8_p1 + target_nll__max__spread8_p1 + top1_surprisal__max__spread4_p1 + top1_surprisal__max__flat_top3_p2 + kl_to_final__std__organic_all_p1,5,True,0.7817134743692523,0.7493612099009525,0.7642930242709369,0.6215688401169032,4.538461538461538,6
entropy_excess_over_top1__max__flat_top8_p1 + target_nll__max__spread8_p1 + top1_surprisal__max__flat_top5_p1 + top1_surprisal__max__flat_top3_p2 + kl_to_final__std__organic_all_p1,5,True,0.7815133472488988,0.7435980184735358,0.7610974009852419,0.6157316440894882,4.538461538461538,6
target_nll__max__spread4_p1 + entropy_excess_over_top1__max__flat_top8_p1 + top1_surprisal__max__flat_top5_p1 + top1_surprisal__max__flat_top3_p2 + kl_to_final__std__organic_all_p1,5,True,0.7814600622976795,0.7450073552087693,0.761831681557497,0.6168735276043152,4.461538461538462,7
top1_surprisal__max__spread4_p1 + entropy_excess_over_top1__max__flat_top5_p1,2,False,0.7814441312886876,0.7700615171440566,0.7753150313646555,0.6336109332891253,5.923076923076923,0
top1_surprisal__max__flat_top5_p1 + kl_to_final__max__spread4_p1,2,False,0.7814398875958601,0.7620796077372409,0.771015121518142,0.6262416289269055,5.538461538461538,0
top1_surprisal__max__spread8_p1 + top1_surprisal__max__flat_top8_p1,2,False,0.7814288015061153,0.763112191515822,0.7715660115113419,0.6251558537466226,5.923076923076923,0
top1_surprisal__max__flat_top5_p1 + target_nll__cvar80__organic_all_p1,2,False,0.781350549795046,0.7629642511961661,0.7714502351648799,0.6318711057842843,6.0,0
target_nll__max__spread4_p1 + entropy_excess_over_top1__max__flat_top8_p1 + top1_surprisal__max__spread4_p1 + top1_surprisal__max__flat_top3_p2 + kl_to_final__std__organic_all_p1,5,True,0.781308281001837,0.7486081646974057,0.7637005260686818,0.6202128043553713,4.538461538461538,6
top1_surprisal__max__spread8_p1 + top1_surprisal__max__flat_top3_p2,2,False,0.7812756268789368,0.7646451293521419,0.7723207435952779,0.630936521398839,5.923076923076923,0
target_nll__max__spread8_p1 + top1_surprisal__max__flat_top5_p1 + kl_to_final__std__organic_all_p1,3,False,0.7812447111611412,0.76672649012948,0.7734272075287083,0.6320300794856645,6.615384615384615,0
top1_surprisal__max__spread4_p1 + target_nll__cvar80__organic_all_p1,2,False,0.781210524544118,0.7631613526318297,0.7714917396682706,0.6344166611921096,6.0,0
top1_surprisal__max__flat_top8_p1 + top1_surprisal__max__flat_top3_p2,2,False,0.7811830697445769,0.7625275039897579,0.7711377651073666,0.6239196323407816,5.923076923076923,0
top1_surprisal__max__flat_top5_p1 + entropy_excess_over_top1__max__flat_top5_p1,2,False,0.7811356379980233,0.7696853591417906,0.7749701032292827,0.6328351412236523,5.923076923076923,0
entropy_excess_over_top1__max__flat_top8_p1 + target_nll__cvar80__organic_all_p1,2,False,0.7810438380425846,0.7628622862917889,0.7712537717152331,0.6322138656813867,6.0,0
target_nll__max__spread4_p1 + top1_surprisal__max__flat_top3_p2 + kl_to_final__std__organic_all_p1,3,False,0.7809873969573419,0.7659500507749776,0.7728903643976074,0.6343819356581846,6.615384615384615,0
target_nll__max__spread4_p1 + kl_to_final__max__spread4_p1,2,False,0.780979356226815,0.7594381626552037,0.7693802519959474,0.6268580960248037,5.538461538461538,0
top1_surprisal__max__flat_top8_p1 + target_nll__max__spread4_p1 + target_nll__max__spread8_p1 + top1_surprisal__max__flat_top3_p2 + kl_to_final__std__organic_all_p1,5,True,0.7809331018452247,0.7430617282161963,0.7605408237372863,0.6154814505789615,4.538461538461538,6
top1_surprisal__max__spread8_p1 + top1_surprisal__max__flat_top8_p1 + top1_surprisal__max__flat_top3_p2,3,False,0.7809134193417937,0.7557569498859412,0.7673676280963347,0.6213070036031674,6.923076923076923,0
entropy_excess_over_top1__max__flat_top8_p1 + target_nll__max__spread8_p1 + kl_to_final__std__organic_all_p1,3,False,0.7807952669252286,0.766066769639392,0.7728645376174705,0.6291554977301613,6.615384615384615,0
top1_surprisal__max__flat_top8_p1 + entropy_excess_over_top1__max__flat_top8_p1 + target_nll__max__spread8_p1 + top1_surprisal__max__spread4_p1 + kl_to_final__std__organic_all_p1,5,True,0.7807717569546527,0.7491805114259338,0.7637610862853426,0.6195508578008392,4.538461538461538,6
