cell,domain,arm,auc
sciq_llama8b,QA,full.iu_pcr,0.7420530933120656
se_nq_open_llama8b,QA,full.iu_pcr,0.7394211925475219
se_squad_v2_llama8b,QA,full.iu_pcr,0.8122880426627267
seiclr_triviaqa_opt30b,QA,full.iu_pcr,0.8247074621355377
semenergy_triviaqa_qwen3_8b,QA,full.iu_pcr,0.7910005211957077
spilled_triviaqa_llama8b,QA,full.iu_pcr,0.9353333333333333
truthfulqa_llama8b,QA,full.iu_pcr,0.6648937364960722
ars_gsm8k_r1distill8b,math,full.iu_pcr,0.7584639625080801
internalstates_gsm8k_qwen25_7b,math,full.iu_pcr,0.7130909020832129
lapeigvals_gsm8k_llama3b,math,full.iu_pcr,0.6936423045773173
lapeigvals_gsm8k_llama8b,math,full.iu_pcr,0.8176795580110497
lapeigvals_gsm8k_mistral24b,math,full.iu_pcr,0.8466752596861021
lapeigvals_gsm8k_nemo,math,full.iu_pcr,0.7952589884216941
lapeigvals_gsm8k_phi35,math,full.iu_pcr,0.8114703762048433
noise_gsm8k_mistral7b,math,full.iu_pcr,0.7849670527753381
noise_gsm8k_phi3mini,math,full.iu_pcr,0.6809209792238513
math500_dsmath7b,math,full.iu_pcr,0.788679517724352
math500_qwenmath7b,math,full.iu_pcr,0.41873732251521295
math500_r1distill8b,math,full.iu_pcr,0.8363399261030211
math500_r1distill8b_mn4096,math,full.iu_pcr,0.8304609780019616
trace_gsm8k_llama8b_k10,math,full.iu_pcr,0.8148388092885375
trace_math500_qwenmath15b_k10,math,full.iu_pcr,0.6869692210358495
epr_triviaqa_mistral24b,QA,full.iu_ridge,0.7335877005947704
losnet_hotpotqa_mistral7b,QA,full.iu_ridge,0.577790092779635
sciq_llama8b,QA,full.iu_ridge,0.7202916714139228
se_nq_open_llama8b,QA,full.iu_ridge,0.740103846922979
se_squad_v2_llama8b,QA,full.iu_ridge,0.8115302482887583
seiclr_triviaqa_opt30b,QA,full.iu_ridge,0.7500211447969971
semenergy_triviaqa_qwen3_8b,QA,full.iu_ridge,0.7604573720930039
spilled_triviaqa_llama8b,QA,full.iu_ridge,0.83
truthfulqa_llama8b,QA,full.iu_ridge,0.660782419932848
ars_gsm8k_r1distill8b,math,full.iu_ridge,0.6951357466063349
internalstates_gsm8k_qwen25_7b,math,full.iu_ridge,0.7020292536277967
lapeigvals_gsm8k_llama3b,math,full.iu_ridge,0.6655751668668137
lapeigvals_gsm8k_llama8b,math,full.iu_ridge,0.8010048842981824
lapeigvals_gsm8k_mistral24b,math,full.iu_ridge,0.7939115929941617
lapeigvals_gsm8k_nemo,math,full.iu_ridge,0.7851188299817184
lapeigvals_gsm8k_phi35,math,full.iu_ridge,0.8049688943475823
noise_gsm8k_mistral7b,math,full.iu_ridge,0.7612878157346563
noise_gsm8k_phi3mini,math,full.iu_ridge,0.675155095847002
math500_dsmath7b,math,full.iu_ridge,0.7870911847520035
math500_qwenmath7b,math,full.iu_ridge,0.43952839756592293
math500_r1distill8b,math,full.iu_ridge,0.8187893936100848
math500_r1distill8b_mn4096,math,full.iu_ridge,0.8062678062678063
trace_gsm8k_llama8b_k10,math,full.iu_ridge,0.7730300971673254
trace_math500_qwenmath15b_k10,math,full.iu_ridge,0.6689844158208756
epr_triviaqa_mistral24b,QA,full.sdsf,0.5839832790932555
losnet_hotpotqa_mistral7b,QA,full.sdsf,0.5712830047015499
sciq_llama8b,QA,full.sdsf,0.7186965933690326
se_nq_open_llama8b,QA,full.sdsf,0.5996262293889869
se_squad_v2_llama8b,QA,full.sdsf,0.7988370482379693
seiclr_triviaqa_opt30b,QA,full.sdsf,0.7346651982690531
semenergy_triviaqa_qwen3_8b,QA,full.sdsf,0.7608310203715203
spilled_triviaqa_llama8b,QA,full.sdsf,0.8093333333333333
truthfulqa_llama8b,QA,full.sdsf,0.6678493849237114
ars_gsm8k_r1distill8b,math,full.sdsf,0.6738243374272787
internalstates_gsm8k_qwen25_7b,math,full.sdsf,0.6750688944132894
lapeigvals_gsm8k_llama3b,math,full.sdsf,0.6679466770929334
lapeigvals_gsm8k_llama8b,math,full.sdsf,0.7854912322844103
lapeigvals_gsm8k_mistral24b,math,full.sdsf,0.795428008188642
lapeigvals_gsm8k_nemo,math,full.sdsf,0.7826000406256348
lapeigvals_gsm8k_phi35,math,full.sdsf,0.8018182789095666
noise_gsm8k_mistral7b,math,full.sdsf,0.7610693937986563
noise_gsm8k_phi3mini,math,full.sdsf,0.6727087099149763
math500_dsmath7b,math,full.sdsf,0.781604216302072
math500_qwenmath7b,math,full.sdsf,0.4125887423935091
math500_r1distill8b,math,full.sdsf,0.8175396652901543
math500_r1distill8b_mn4096,math,full.sdsf,0.7761431040119564
trace_gsm8k_llama8b_k10,math,full.sdsf,0.7562049160079051
trace_math500_qwenmath15b_k10,math,full.sdsf,0.643380032574461
epr_triviaqa_mistral24b,QA,full.su_pcr_reproduction,0.6463920996521153
losnet_hotpotqa_mistral7b,QA,full.su_pcr_reproduction,0.5699601351472139
sciq_llama8b,QA,full.su_pcr_reproduction,0.7420530933120656
se_nq_open_llama8b,QA,full.su_pcr_reproduction,0.6302360398886295
se_squad_v2_llama8b,QA,full.su_pcr_reproduction,0.8123018941973612
seiclr_triviaqa_opt30b,QA,full.su_pcr_reproduction,0.8239816247694173
semenergy_triviaqa_qwen3_8b,QA,full.su_pcr_reproduction,0.7872432570824843
spilled_triviaqa_llama8b,QA,full.su_pcr_reproduction,0.9359999999999999
truthfulqa_llama8b,QA,full.su_pcr_reproduction,0.6642847464848126
ars_gsm8k_r1distill8b,math,full.su_pcr_reproduction,0.7580599547511312
internalstates_gsm8k_qwen25_7b,math,full.su_pcr_reproduction,0.713090902083213
lapeigvals_gsm8k_llama3b,math,full.su_pcr_reproduction,0.6936446318690014
lapeigvals_gsm8k_llama8b,math,full.su_pcr_reproduction,0.8176995756265514
lapeigvals_gsm8k_mistral24b,math,full.su_pcr_reproduction,0.846751080445826
lapeigvals_gsm8k_nemo,math,full.su_pcr_reproduction,0.795925248832013
lapeigvals_gsm8k_phi35,math,full.su_pcr_reproduction,0.8116839772514886
noise_gsm8k_mistral7b,math,full.su_pcr_reproduction,0.7849854462015275
noise_gsm8k_phi3mini,math,full.su_pcr_reproduction,0.6823296735176632
math500_dsmath7b,math,full.su_pcr_reproduction,0.7886795177243521
math500_qwenmath7b,math,full.su_pcr_reproduction,0.9299568965517241
math500_r1distill8b,math,full.su_pcr_reproduction,0.8362855900891112
math500_r1distill8b_mn4096,math,full.su_pcr_reproduction,0.8304609780019616
trace_gsm8k_llama8b_k10,math,full.su_pcr_reproduction,0.8148213109354414
trace_math500_qwenmath15b_k10,math,full.su_pcr_reproduction,0.6869753411788465
epr_triviaqa_mistral24b,QA,keep.iu_pcr,0.7457496352822355
losnet_hotpotqa_mistral7b,QA,keep.iu_pcr,0.5695668496040329
sciq_llama8b,QA,keep.iu_pcr,0.738976871368349
se_nq_open_llama8b,QA,keep.iu_pcr,0.7468965488308481
se_squad_v2_llama8b,QA,keep.iu_pcr,0.8102507127768863
seiclr_triviaqa_opt30b,QA,keep.iu_pcr,0.811871846772098
semenergy_triviaqa_qwen3_8b,QA,keep.iu_pcr,0.8102602404150281
spilled_triviaqa_llama8b,QA,keep.iu_pcr,0.9299999999999999
truthfulqa_llama8b,QA,keep.iu_pcr,0.6633585817234888
ars_gsm8k_r1distill8b,math,keep.iu_pcr,0.7384857789269554
internalstates_gsm8k_qwen25_7b,math,keep.iu_pcr,0.708176755121312
lapeigvals_gsm8k_llama3b,math,keep.iu_pcr,0.699160313160369
lapeigvals_gsm8k_llama8b,math,keep.iu_pcr,0.8108335335094884
lapeigvals_gsm8k_mistral24b,math,keep.iu_pcr,0.8486086890590644
lapeigvals_gsm8k_nemo,math,keep.iu_pcr,0.7972699573430835
lapeigvals_gsm8k_phi35,math,keep.iu_pcr,0.8088448633398303
noise_gsm8k_mistral7b,math,keep.iu_pcr,0.7830679315212743
noise_gsm8k_phi3mini,math,keep.iu_pcr,0.6830577313606034
math500_dsmath7b,math,keep.iu_pcr,0.7865136091256949
math500_qwenmath7b,math,keep.iu_pcr,0.9187373225152129
math500_r1distill8b,math,keep.iu_pcr,0.8385677026733319
math500_r1distill8b_mn4096,math,keep.iu_pcr,0.8357853439820653
trace_gsm8k_llama8b_k10,math,keep.iu_pcr,0.8113494318181818
trace_math500_qwenmath15b_k10,math,keep.iu_pcr,0.6860695600152698
epr_triviaqa_mistral24b,QA,keep.iu_ridge,0.7425373134328358
losnet_hotpotqa_mistral7b,QA,keep.iu_ridge,0.5633100341443358
sciq_llama8b,QA,keep.iu_ridge,0.7372678591773953
se_nq_open_llama8b,QA,keep.iu_ridge,0.748295195996034
se_squad_v2_llama8b,QA,keep.iu_ridge,0.7917358281486269
seiclr_triviaqa_opt30b,QA,keep.iu_ridge,0.8121538845966827
semenergy_triviaqa_qwen3_8b,QA,keep.iu_ridge,0.7906206385187734
spilled_triviaqa_llama8b,QA,keep.iu_ridge,0.8626666666666666
truthfulqa_llama8b,QA,keep.iu_ridge,0.6579417949011488
ars_gsm8k_r1distill8b,math,keep.iu_ridge,0.7008524563671622
internalstates_gsm8k_qwen25_7b,math,keep.iu_ridge,0.6666859378312231
lapeigvals_gsm8k_llama3b,math,keep.iu_ridge,0.6854804926411037
lapeigvals_gsm8k_llama8b,math,keep.iu_ridge,0.7767235166946913
lapeigvals_gsm8k_mistral24b,math,keep.iu_ridge,0.8144969292592311
lapeigvals_gsm8k_nemo,math,keep.iu_ridge,0.7711151736745888
lapeigvals_gsm8k_phi35,math,keep.iu_ridge,0.759979173897952
noise_gsm8k_mistral7b,math,keep.iu_ridge,0.7603405542858982
noise_gsm8k_phi3mini,math,keep.iu_ridge,0.6734256097833122
math500_dsmath7b,math,keep.iu_ridge,0.7636993718865064
math500_qwenmath7b,math,keep.iu_ridge,0.8879310344827586
math500_r1distill8b,math,keep.iu_ridge,0.8228645946533363
math500_r1distill8b_mn4096,math,keep.iu_ridge,0.7916958572696278
trace_gsm8k_llama8b_k10,math,keep.iu_ridge,0.7662372364953887
trace_math500_qwenmath15b_k10,math,keep.iu_ridge,0.6813822954973342
epr_triviaqa_mistral24b,QA,keep.sdsf,0.7172595668275166
losnet_hotpotqa_mistral7b,QA,keep.sdsf,0.5668674806485636
sciq_llama8b,QA,keep.sdsf,0.7225703543351942
se_nq_open_llama8b,QA,keep.sdsf,0.7416180038624455
se_squad_v2_llama8b,QA,keep.sdsf,0.7819543361074879
seiclr_triviaqa_opt30b,QA,keep.sdsf,0.8086792236209412
semenergy_triviaqa_qwen3_8b,QA,keep.sdsf,0.7787538767567496
spilled_triviaqa_llama8b,QA,keep.sdsf,0.7713333333333333
truthfulqa_llama8b,QA,keep.sdsf,0.6567895684104817
ars_gsm8k_r1distill8b,math,keep.sdsf,0.6877222042663219
internalstates_gsm8k_qwen25_7b,math,keep.sdsf,0.6157522499084619
lapeigvals_gsm8k_llama3b,math,keep.sdsf,0.6978453933588404
lapeigvals_gsm8k_llama8b,math,keep.sdsf,0.7831892065017215
lapeigvals_gsm8k_mistral24b,math,keep.sdsf,0.8183713700811281
lapeigvals_gsm8k_nemo,math,keep.sdsf,0.7784806012593946
lapeigvals_gsm8k_phi35,math,keep.sdsf,0.7583860660917239
noise_gsm8k_mistral7b,math,keep.sdsf,0.7667253723519214
noise_gsm8k_phi3mini,math,keep.sdsf,0.6615563142978287
math500_dsmath7b,math,keep.sdsf,0.7548191466320121
math500_qwenmath7b,math,keep.sdsf,0.7603321501014199
math500_r1distill8b,math,keep.sdsf,0.8181916974570744
math500_r1distill8b_mn4096,math,keep.sdsf,0.7816075848862734
trace_gsm8k_llama8b_k10,math,keep.sdsf,0.7691905467720684
trace_math500_qwenmath15b_k10,math,keep.sdsf,0.6495858575735622
epr_triviaqa_mistral24b,QA,keep.su_pcr_reproduction,0.7457215800695769
losnet_hotpotqa_mistral7b,QA,keep.su_pcr_reproduction,0.5699601351472139
sciq_llama8b,QA,keep.su_pcr_reproduction,0.7397744103907941
se_nq_open_llama8b,QA,keep.su_pcr_reproduction,0.7478887022770528
se_squad_v2_llama8b,QA,keep.su_pcr_reproduction,0.8102530213659922
seiclr_triviaqa_opt30b,QA,keep.su_pcr_reproduction,0.8115233998132183
semenergy_triviaqa_qwen3_8b,QA,keep.su_pcr_reproduction,0.8084855149987158
spilled_triviaqa_llama8b,QA,keep.su_pcr_reproduction,0.9293333333333333
truthfulqa_llama8b,QA,keep.su_pcr_reproduction,0.6629463088901673
ars_gsm8k_r1distill8b,math,keep.su_pcr_reproduction,0.7386877828054298
internalstates_gsm8k_qwen25_7b,math,keep.su_pcr_reproduction,0.708176755121312
lapeigvals_gsm8k_llama3b,math,keep.su_pcr_reproduction,0.6991347129518437
lapeigvals_gsm8k_llama8b,math,keep.su_pcr_reproduction,0.8108335335094884
lapeigvals_gsm8k_mistral24b,math,keep.su_pcr_reproduction,0.8486162711350368
lapeigvals_gsm8k_nemo,math,keep.su_pcr_reproduction,0.797274019906561
lapeigvals_gsm8k_phi35,math,keep.su_pcr_reproduction,0.8088448633398303
noise_gsm8k_mistral7b,math,keep.su_pcr_reproduction,0.7830679315212742
noise_gsm8k_phi3mini,math,keep.su_pcr_reproduction,0.6822459887081298
math500_dsmath7b,math,keep.su_pcr_reproduction,0.7865136091256949
math500_qwenmath7b,math,keep.su_pcr_reproduction,0.9042216024340771
math500_r1distill8b,math,keep.su_pcr_reproduction,0.8385677026733319
math500_r1distill8b_mn4096,math,keep.su_pcr_reproduction,0.8357853439820653
trace_gsm8k_llama8b_k10,math,keep.su_pcr_reproduction,0.8113586956521739
trace_math500_qwenmath15b_k10,math,keep.su_pcr_reproduction,0.6860680299795205
