cell,domain,arena,arm,n_seeds,mean_auc,std_auc,min_auc,max_auc,range_auc
losnet_hotpotqa_mistral7b,QA,full,deem_irbm_hard,5,0.5629560771554729,0.00010153539978305378,0.5628273655231592,0.5630955147571461,0.00026814923398699175
math500_dsmath7b,math,full,deem_deep_hard,5,0.7857411017255072,0.002975845965938393,0.7814959208721391,0.7897263735470362,0.008230452674897082
math500_dsmath7b,math,full,deem_deep_soft,2,0.7340986210381921,0.0017327268789257833,0.7323658941592663,0.7358313479171179,0.0034654537578515665
math500_dsmath7b,math,full,deem_irbm_hard,5,0.7865208288210237,5.775756263087794e-05,0.7864775106490505,0.7866219045556277,0.00014439390657727813
math500_qwenmath7b,math,full,deem_deep_hard,5,0.7097996957403652,0.1349272835504923,0.5085256085192698,0.8928752535496958,0.384349645030426
math500_qwenmath7b,math,full,deem_deep_soft,2,0.3512931034482759,0.009571501014198763,0.3417216024340771,0.36086460446247465,0.019143002028397527
math500_qwenmath7b,math,full,deem_irbm_hard,5,0.5271868661257606,0.0011243721221420935,0.5258937626774848,0.5292532961460447,0.0033595334685598832
math500_r1distill8b,math,full,deem_deep_hard,5,0.8291947402738536,0.0025886420657552636,0.8266409476200827,0.8335416213866551,0.0069006737665724405
math500_r1distill8b,math,full,deem_irbm_hard,5,0.8228102586394261,0.00017009862902086112,0.822620082590741,0.8231091067159313,0.0004890241251902516
math500_r1distill8b_mn4096,math,full,deem_deep_hard,5,0.8255569567044976,0.002734096030005834,0.8220540843491664,0.8294568212601,0.007402736910933627
math500_r1distill8b_mn4096,math,full,deem_irbm_hard,5,0.8192471159684274,0.00010275092242308128,0.8191116715706879,0.8194152538414834,0.0003035822707955216
noise_gsm8k_mistral7b,math,full,deem_deep_hard,5,0.7518896946231417,0.004680332145444221,0.7480273050411782,0.7610636458529723,0.013036340811794056
noise_gsm8k_mistral7b,math,full,deem_irbm_hard,5,0.7687116324625579,5.4259633022158594e-05,0.7686463357995852,0.7687934832091011,0.0001471474095159353
noise_gsm8k_phi3mini,math,full,deem_deep_hard,5,0.6614134922228917,0.0051318570722143015,0.6538642855548862,0.6699387427194216,0.016074457164535372
noise_gsm8k_phi3mini,math,full,deem_irbm_hard,5,0.6754530137689406,4.878504606310122e-05,0.6753949923009975,0.6755079667938675,0.00011297449286995498
sciq_llama8b,QA,full,deem_deep_hard,5,0.7151076677680301,0.0025310310916626002,0.7121453799703772,0.719665033610573,0.0075196536401958
sciq_llama8b,QA,full,deem_irbm_hard,5,0.7193574114162015,0.00036137066257618073,0.7189244616611599,0.7200068360487639,0.001082374387604057
se_nq_open_llama8b,QA,full,deem_deep_hard,5,0.7338458350056147,0.0008683822561753354,0.7325037233023488,0.7351769774755941,0.0026732541732452653
se_nq_open_llama8b,QA,full,deem_irbm_hard,5,0.7277928207738595,0.0001043517990251157,0.727622666206119,0.7279511558668756,0.00032848966075660346
se_squad_v2_llama8b,QA,full,deem_deep_hard,5,0.773406438655016,0.0038892254200508093,0.769739014001593,0.7784963582006856,0.008757344199092687
se_squad_v2_llama8b,QA,full,deem_irbm_hard,5,0.8043824524142069,2.1857505374525124e-05,0.8043531333325638,0.80441863954844,6.550621587619876e-05
seiclr_triviaqa_opt30b,QA,full,deem_deep_hard,5,0.793391696188984,0.002012683742824356,0.7902098464324948,0.7964666963819405,0.006256849949445642
seiclr_triviaqa_opt30b,QA,full,deem_deep_soft,1,0.6935774005696069,0.0,0.6935774005696069,0.6935774005696069,0.0
seiclr_triviaqa_opt30b,QA,full,deem_irbm_hard,5,0.8010658907249756,4.154788696579009e-05,0.8010342137287136,0.8011454852079682,0.00011127147925460434
semenergy_triviaqa_qwen3_8b,QA,full,deem_deep_hard,5,0.7107679906035147,0.0988961286262741,0.5130023574338551,0.7626274622756553,0.24962510484180012
semenergy_triviaqa_qwen3_8b,QA,full,deem_irbm_hard,5,0.7873463948136454,0.00015072933189564698,0.7872111499306318,0.7876232436660591,0.0004120937354272769
spilled_triviaqa_llama8b,QA,full,deem_deep_hard,5,0.8917333333333335,0.005017303392593826,0.8866666666666667,0.9006666666666667,0.014000000000000012
spilled_triviaqa_llama8b,QA,full,deem_irbm_hard,5,0.8953333333333333,0.000596284793999928,0.8946666666666667,0.896,0.0013333333333332975
trace_gsm8k_llama8b_k10,math,full,deem_deep_hard,5,0.7649402173913044,0.009140016560891433,0.753499053030303,0.7781400279973648,0.024640974967061857
trace_gsm8k_llama8b_k10,math,full,deem_irbm_hard,5,0.7971922966073781,0.0001858606346062803,0.7968467967720686,0.7973362360013175,0.0004894392292489336
trace_math500_qwenmath15b_k10,math,full,deem_deep_hard,5,0.6809088259347179,0.0004674419727336503,0.6802141132027549,0.6816026206452315,0.0013885074424765387
trace_math500_qwenmath15b_k10,math,full,deem_irbm_hard,5,0.6841265676172522,0.00030254504197576334,0.683618825253852,0.6845647698558477,0.0009459446019957074
truthfulqa_llama8b,QA,full,deem_deep_hard,5,0.6160103872466406,0.002319956034362355,0.6128701941957202,0.6191142437727963,0.006244049577076138
truthfulqa_llama8b,QA,full,deem_irbm_hard,5,0.6451436578816567,5.19084223544038e-05,0.6451071764455272,0.645242578002165,0.00013540155663782638
