source,world,group,budget,reference,candidate,n_units,mean_delta,median_delta,ci95_low,ci95_high,wins,losses,catastrophic_losses_5pp
synthetic,family_shift,all,5,local_uniform2,hybrid_domain_uniform,12,-0.003412991534529055,-0.0033723528709442285,-0.0037452174906090455,-0.003132290704360821,0,12,0
real,real,all,5,local_uniform2,hybrid_domain_active,24,-0.006231627998936608,-0.0056956180027262215,-0.009551728782828586,-0.0032288273151002043,8,16,0
real,real,QA,5,local_uniform2,hybrid_domain_active,9,-0.007870775183654779,-0.006149480212226166,-0.014161931043727694,-0.002810643249224581,2,7,0
real,real,math,5,local_uniform2,hybrid_domain_active,15,-0.005248139688105706,-0.004268409586056787,-0.008910558753908497,-0.001805178658679915,6,9,0
synthetic,upcr_sufficient,all,5,local_uniform2,hybrid_domain_active,12,-0.00013508506957679578,-0.00013673687501603027,-0.0003394317197975563,7.31179888145353e-05,4,8,0
synthetic,shared_correction,all,5,local_uniform2,hybrid_domain_active,12,0.40461513586572795,0.41067875545520105,0.3915814789642958,0.4170408195031776,12,0,0
synthetic,family_shift,all,5,local_uniform2,hybrid_domain_active,12,-0.0003475971237173007,-0.00019629425269274137,-0.0006263693908793093,-7.416268853002164e-05,3,9,0
real,real,all,5,hybrid_domain_uniform,hybrid_domain_active,24,0.006784604986540603,0.004243466970723142,0.0041866851263398855,0.00970229206406746,21,3,0
real,real,QA,5,hybrid_domain_uniform,hybrid_domain_active,9,0.0061918114628752114,0.0035683220736941745,0.0015240867059682969,0.011533729517826954,7,2,0
real,real,math,5,hybrid_domain_uniform,hybrid_domain_active,15,0.007140281100739839,0.004455125905732049,0.004216547318209481,0.010698455460513883,14,1,0
synthetic,upcr_sufficient,all,5,hybrid_domain_uniform,hybrid_domain_active,12,0.002779574979787869,0.002638795029351715,0.0024681306703366814,0.0031174604354411955,12,0,0
synthetic,shared_correction,all,5,hybrid_domain_uniform,hybrid_domain_active,12,0.0022902728117085804,0.0023371874125371894,0.001743817786332214,0.0029420974690252213,12,0,0
synthetic,family_shift,all,5,hybrid_domain_uniform,hybrid_domain_active,12,0.003065394410811754,0.003007142166562504,0.0027098602442510123,0.0034500759437416364,12,0,0
real,real,all,5,pooled_domain_lofo,hybrid_domain_active,24,0.008355638275176505,0.0052940217542107315,0.0051308143398107455,0.012109443143675095,23,1,0
real,real,QA,5,pooled_domain_lofo,hybrid_domain_active,9,0.009065867786285757,0.005048866978031308,0.003490260949929742,0.01627323867505235,8,1,0
real,real,math,5,pooled_domain_lofo,hybrid_domain_active,15,0.007929500568510954,0.005539176530390155,0.004352325209396137,0.012572645896335983,15,0,0
synthetic,upcr_sufficient,all,5,pooled_domain_lofo,hybrid_domain_active,12,0.003335687919817513,0.003465736664989949,0.0030350534997064392,0.0036142819456243857,12,0,0
synthetic,shared_correction,all,5,pooled_domain_lofo,hybrid_domain_active,12,0.002824227098161991,0.002838575803929211,0.0020978719902777403,0.003617349883680791,12,0,0
synthetic,family_shift,all,5,pooled_domain_lofo,hybrid_domain_active,12,0.003646076203701961,0.0038783385730833952,0.0031885485108243674,0.004091389395101808,12,0,0
real,real,all,10,upcr,local_controlled2,24,-0.0004751390064812779,-0.0002367529901915466,-0.001637733322094643,0.000618306957151055,8,16,0
real,real,QA,10,upcr,local_controlled2,9,-0.0010479507010249245,-0.0013235902843133918,-0.003546377897854762,0.0012150961384319893,3,6,0
real,real,math,10,upcr,local_controlled2,15,-0.00013145198975508994,-7.982719759558332e-05,-0.0011278057345360496,0.0010419095715958487,5,10,0
synthetic,upcr_sufficient,all,10,upcr,local_controlled2,12,-0.0003003037159225082,-0.00032657407796660154,-0.0003927552748506281,-0.00020378106455782517,1,11,0
synthetic,shared_correction,all,10,upcr,local_controlled2,12,0.18187986259069863,0.17896688605326988,0.17313898219217555,0.19077890622060195,12,0,0
synthetic,family_shift,all,10,upcr,local_controlled2,12,-0.000735723175056352,-0.0007624297135134794,-0.0008769518047268082,-0.0005822336537493622,0,12,0
real,real,all,10,upcr,local_uniform2,24,-0.00011542730221877444,-0.00028944825335830426,-0.0011048825114150242,0.0009224208357985172,10,14,0
real,real,QA,10,upcr,local_uniform2,9,-0.0004311144379660749,-0.0002654168828921666,-0.0026018214001431333,0.0016165156368325162,4,5,0
real,real,math,10,upcr,local_uniform2,15,7.398497922960582e-05,-0.00031347962382444194,-0.0006231737570479606,0.0011874658266313792,6,9,0
synthetic,upcr_sufficient,all,10,upcr,local_uniform2,12,-0.00048041489656955316,-0.00046630289435833916,-0.0006272230614854392,-0.00034482016055730456,0,12,0
synthetic,shared_correction,all,10,upcr,local_uniform2,12,0.1612968309262065,0.15703662659648376,0.1470638257353433,0.17694127364856385,12,0,0
synthetic,family_shift,all,10,upcr,local_uniform2,12,-0.0005152092125740027,-0.0005388201413154547,-0.0006480788270589269,-0.0003823322389214087,0,12,0
real,real,all,10,upcr,local_active2,24,-0.002494036761076915,-0.0012031233729527524,-0.004836007264179059,-0.00024773739870544837,7,17,0
real,real,QA,10,upcr,local_active2,9,-0.001532533956166852,-0.0001588084593427963,-0.005801111453524898,0.002396404635690815,4,5,0
real,real,math,10,upcr,local_active2,15,-0.0030709384440229526,-0.0015334855403348335,-0.0057975242777711395,-0.00044098402123814254,3,12,0
synthetic,upcr_sufficient,all,10,upcr,local_active2,12,-0.0010448443508882983,-0.0010541156972087573,-0.001326873764485168,-0.0007759030064869051,0,12,0
synthetic,shared_correction,all,10,upcr,local_active2,12,0.24072081377590612,0.23888692404132078,0.23492870915084973,0.24723283348766423,12,0,0
