source,world,unit,group,family,repetition,n_train,n_test,n_features,upcr_n_kept,n_domain_donors,n_domain_donor_labels,n_all_donors,n_all_donor_labels,domain_shared_upcr_coefficient,domain_shared_residual_norm,budget,method,auc,delta_vs_upcr,n_target_labels,n_donor_labels_used,selected_positive_rate,selected_both_classes,converged,head_coefficient_upcr,head_coefficient_correction,prior_coefficient_upcr,prior_coefficient_correction
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,10,hybrid_domain_active,0.734779299847793,0.0017757483510908445,10,100,0.8,1,1,1.3776370090811978,0.05704757346888232,1.2339476193265708,0.36418806850787183
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,20,upcr,0.7330035514967022,0.0,0,0,nan,0,1,nan,nan,nan,nan
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,20,pooled_domain_lofo,0.7360476915271436,0.0030441400304414,0,100,nan,0,1,nan,nan,nan,nan
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,20,pooled_all_lofo,0.7322425164890919,-0.0007610350076102668,0,280,nan,0,1,nan,nan,nan,nan
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,20,local_controlled2,0.7318619989852866,-0.0011415525114155667,20,0,0.75,1,1,0.7913418821767968,-0.18962545794920163,1.0,0.0
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,20,local_uniform2,0.7303399289700658,-0.0026636225266363223,20,0,0.85,1,1,1.1389714255447962,0.12009100898061421,1.0,0.0
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,20,local_active2,0.7276763064434297,-0.0053272450532724225,20,0,0.6,1,1,0.8019604720861188,-0.3343177984938064,1.0,0.0
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,20,hybrid_domain_uniform,0.7357940131912735,0.002790461694571311,20,100,0.85,1,1,1.326313420417044,0.3795644277867706,1.2339476193265708,0.36418806850787183
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,20,hybrid_domain_active,0.7342719431760527,0.0012683916793505556,20,100,0.85,1,1,1.278477556259824,0.0352913326543327,1.2339476193265708,0.36418806850787183
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,40,upcr,0.7330035514967022,0.0,0,0,nan,0,1,nan,nan,nan,nan
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,40,pooled_domain_lofo,0.7360476915271436,0.0030441400304414,0,100,nan,0,1,nan,nan,nan,nan
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,40,pooled_all_lofo,0.7322425164890919,-0.0007610350076102668,0,280,nan,0,1,nan,nan,nan,nan
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,40,local_controlled2,0.7314814814814814,-0.0015220700152207556,40,0,0.725,1,1,0.9857420472718897,-0.16625047744187854,1.0,0.0
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,40,local_uniform2,0.730593607305936,-0.0024099441907661223,40,0,0.725,1,1,1.1486676324211278,-0.07934834252504497,1.0,0.0
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,40,local_active2,0.7165144596651447,-0.016489091831557445,40,0,0.65,1,1,0.6060255961900437,-0.42417112620504865,1.0,0.0
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,40,hybrid_domain_uniform,0.7354134956874682,0.0024099441907660113,40,100,0.725,1,1,1.3114932310427576,0.19118637257120402,1.2339476193265708,0.36418806850787183
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,40,hybrid_domain_active,0.7343987823439878,0.0013952308472856556,40,100,0.75,1,1,1.2643203855186445,0.04585995165787491,1.2339476193265708,0.36418806850787183
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,80,upcr,0.7330035514967022,0.0,0,0,nan,0,1,nan,nan,nan,nan
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,80,pooled_domain_lofo,0.7360476915271436,0.0030441400304414,0,100,nan,0,1,nan,nan,nan,nan
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,80,pooled_all_lofo,0.7322425164890919,-0.0007610350076102668,0,280,nan,0,1,nan,nan,nan,nan
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,80,local_controlled2,0.7316083206494165,-0.0013952308472856556,80,0,0.725,1,1,1.1773862487269995,-0.3436966947689814,1.0,0.0
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,80,local_uniform2,0.7318619989852866,-0.0011415525114155667,80,0,0.7625,1,1,0.9621248535667355,-0.16095736698809185,1.0,0.0
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,80,local_active2,0.7116945712836125,-0.02130898021308969,80,0,0.7125,1,1,0.6904694654133107,-0.5343431663242337,1.0,0.0
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,80,hybrid_domain_uniform,0.7356671740233384,0.0026636225266362112,80,100,0.7625,1,1,1.1078329883383073,0.24579784447628406,1.2339476193265708,0.36418806850787183
real,real,ars_gsm8k_r1distill8b,math,gsm8k,0,300,200,26,17,5,100,14,280,1.2339476193265708,0.2555886088304087,80,hybrid_domain_active,0.7343987823439877,0.0013952308472855446,80,100,0.7375,1,1,1.2038439435634387,0.07468282900277023,1.2339476193265708,0.36418806850787183
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,0,upcr,0.7160795256365539,0.0,0,0,nan,0,1,nan,nan,nan,nan
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,0,pooled_domain_lofo,0.672828740844088,-0.04325078479246591,0,100,nan,0,1,nan,nan,nan,nan
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,0,pooled_all_lofo,0.7272410184862226,0.01116149284966872,0,400,nan,0,1,nan,nan,nan,nan
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,0,local_controlled2,0.7160795256365539,0.0,0,0,nan,0,1,1.0,0.0,1.0,0.0
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,0,local_uniform2,0.7160795256365539,0.0,0,0,nan,0,1,1.0,0.0,1.0,0.0
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,0,local_active2,0.7160795256365539,0.0,0,0,nan,0,1,1.0,0.0,1.0,0.0
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,0,hybrid_domain_uniform,0.672828740844088,-0.04325078479246591,0,100,nan,0,1,0.8413962018729914,0.33346301464312605,0.8413962018729914,0.33346301464312605
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,0,hybrid_domain_active,0.672828740844088,-0.04325078479246591,0,100,nan,0,1,0.8413962018729914,0.33346301464312605,0.8413962018729914,0.33346301464312605
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,5,upcr,0.7160795256365539,0.0,0,0,nan,0,1,nan,nan,nan,nan
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,5,pooled_domain_lofo,0.672828740844088,-0.04325078479246591,0,100,nan,0,1,nan,nan,nan,nan
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,5,pooled_all_lofo,0.7272410184862226,0.01116149284966872,0,400,nan,0,1,nan,nan,nan,nan
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,5,local_controlled2,0.718957098011859,0.0028775723753051707,5,0,0.8,1,1,0.9284360125097254,0.1650209090546885,1.0,0.0
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,5,local_uniform2,0.7140739448901291,-0.002005580746424762,5,0,0.8,1,1,0.8588783072877618,-0.037678217907960915,1.0,0.0
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,5,local_active2,0.7079700034879666,-0.00810952214858729,5,0,0.8,1,1,0.9982816069234095,-0.22202711992820157,1.0,0.0
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,5,hybrid_domain_uniform,0.6572200906871295,-0.05885943494942436,5,100,0.8,1,1,0.6979715879346544,0.33573157741300097,0.8413962018729914,0.33346301464312605
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,5,hybrid_domain_active,0.7119811649808162,-0.004098360655737654,5,100,0.6,1,1,0.9172400368912933,0.07446458644976157,0.8413962018729914,0.33346301464312605
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,10,upcr,0.7160795256365539,0.0,0,0,nan,0,1,nan,nan,nan,nan
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,10,pooled_domain_lofo,0.672828740844088,-0.04325078479246591,0,100,nan,0,1,nan,nan,nan,nan
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,10,pooled_all_lofo,0.7272410184862226,0.01116149284966872,0,400,nan,0,1,nan,nan,nan,nan
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,10,local_controlled2,0.7150331356818974,-0.001046389954656446,10,0,0.8,1,1,0.810333242930028,-0.07650567986112747,1.0,0.0
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,10,local_uniform2,0.7145971398674573,-0.0014823857690965392,10,0,0.9,1,1,0.8444061338639834,-0.05166438596493573,1.0,0.0
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,10,local_active2,0.7146843390303452,-0.0013951866062086316,10,0,0.8,1,1,0.9428376045876098,-0.07634817038567837,1.0,0.0
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,10,hybrid_domain_uniform,0.6508545517963027,-0.06522497384025117,10,100,0.9,1,1,0.6895299475109484,0.36145199351663565,0.8413962018729914,0.33346301464312605
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,10,hybrid_domain_active,0.7044820369724452,-0.011597488664108702,10,100,0.5,1,1,0.9121866088580031,0.1531186647557338,0.8413962018729914,0.33346301464312605
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,20,upcr,0.7160795256365539,0.0,0,0,nan,0,1,nan,nan,nan,nan
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,20,pooled_domain_lofo,0.672828740844088,-0.04325078479246591,0,100,nan,0,1,nan,nan,nan,nan
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,20,pooled_all_lofo,0.7272410184862226,0.01116149284966872,0,400,nan,0,1,nan,nan,nan,nan
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,20,local_controlled2,0.7145099407045693,-0.0015695849319845578,20,0,0.75,1,1,1.042701359557929,-0.10436727403751801,1.0,0.0
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,20,local_uniform2,0.7159923264736658,-8.719916288801866e-05,20,0,0.75,1,1,0.9652579974043379,-0.0025844697412534846,1.0,0.0
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,20,local_active2,0.7079700034879666,-0.00810952214858729,20,0,0.8,1,1,1.0055268658905117,-0.21956553595702336,1.0,0.0
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,20,hybrid_domain_uniform,0.6955877223578653,-0.020491803278688603,20,100,0.75,1,1,0.8362925532793986,0.193258592388828,0.8413962018729914,0.33346301464312605
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,20,hybrid_domain_active,0.6987268922218347,-0.017352633414719154,20,100,0.65,1,1,0.9001956894833911,0.17946485460712358,0.8413962018729914,0.33346301464312605
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,40,upcr,0.7160795256365539,0.0,0,0,nan,0,1,nan,nan,nan,nan
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,40,pooled_domain_lofo,0.672828740844088,-0.04325078479246591,0,100,nan,0,1,nan,nan,nan,nan
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,40,pooled_all_lofo,0.7272410184862226,0.01116149284966872,0,400,nan,0,1,nan,nan,nan,nan
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,40,local_controlled2,0.7049180327868853,-0.011161492849668608,40,0,0.75,1,1,0.8967941261972782,-0.22160682560316042,1.0,0.0
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,40,local_uniform2,0.7177363097314267,0.0016567840948727985,40,0,0.8,1,1,0.7739671095276103,0.09218096049587474,1.0,0.0
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,40,local_active2,0.7089291942797349,-0.007150331356818973,40,0,0.725,1,1,1.1731246778839575,-0.2231918223292416,1.0,0.0
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,40,hybrid_domain_uniform,0.6766655040111615,-0.039414021625392315,40,100,0.8,1,1,0.682139045801567,0.25316728102033303,0.8413962018729914,0.33346301464312605
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,40,hybrid_domain_active,0.6987268922218347,-0.017352633414719154,40,100,0.675,1,1,0.8876472131549892,0.1770269006024394,0.8413962018729914,0.33346301464312605
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,80,upcr,0.7160795256365539,0.0,0,0,nan,0,1,nan,nan,nan,nan
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,80,pooled_domain_lofo,0.672828740844088,-0.04325078479246591,0,100,nan,0,1,nan,nan,nan,nan
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,80,pooled_all_lofo,0.7272410184862226,0.01116149284966872,0,400,nan,0,1,nan,nan,nan,nan
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,80,local_controlled2,0.6935821416114406,-0.022497384025113254,80,0,0.75,1,1,0.9437582898785205,-0.3830005829119152,1.0,0.0
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,80,local_uniform2,0.7158179281478898,-0.00026159748866405597,80,0,0.775,1,1,0.74448457425583,-0.0045802224981236605,1.0,0.0
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,80,local_active2,0.7035228461806767,-0.012556679455877129,80,0,0.725,1,1,1.0298010335277308,-0.27279439465863425,1.0,0.0
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,80,hybrid_domain_uniform,0.6362050924311127,-0.07987443320544119,80,100,0.775,1,1,0.6536796103925014,0.4027383008784872,0.8413962018729914,0.33346301464312605
real,real,epr_triviaqa_mistral24b,QA,triviaqa,0,372,249,25,22,5,100,20,400,0.8413962018729914,0.31117355954618947,80,hybrid_domain_active,0.6781478897802581,-0.037931635856295776,80,100,0.675,1,1,0.8277704928613462,0.295427467137432,0.8413962018729914,0.33346301464312605
real,real,internalstates_gsm8k_qwen25_7b,math,gsm8k,0,300,200,25,20,5,100,14,280,1.2339476193265708,0.2555886088304087,0,upcr,0.7724486116119726,0.0,0,0,nan,0,1,nan,nan,nan,nan
real,real,internalstates_gsm8k_qwen25_7b,math,gsm8k,0,300,200,25,20,5,100,14,280,1.2339476193265708,0.2555886088304087,0,pooled_domain_lofo,0.7862723885082342,0.013823776896261575,0,100,nan,0,1,nan,nan,nan,nan
real,real,internalstates_gsm8k_qwen25_7b,math,gsm8k,0,300,200,25,20,5,100,14,280,1.2339476193265708,0.2555886088304087,0,pooled_all_lofo,0.6670272869335258,-0.10542132467844689,0,280,nan,0,1,nan,nan,nan,nan
real,real,internalstates_gsm8k_qwen25_7b,math,gsm8k,0,300,200,25,20,5,100,14,280,1.2339476193265708,0.2555886088304087,0,local_controlled2,0.7724486116119726,0.0,0,0,nan,0,1,1.0,0.0,1.0,0.0
real,real,internalstates_gsm8k_qwen25_7b,math,gsm8k,0,300,200,25,20,5,100,14,280,1.2339476193265708,0.2555886088304087,0,local_uniform2,0.7724486116119726,0.0,0,0,nan,0,1,1.0,0.0,1.0,0.0
real,real,internalstates_gsm8k_qwen25_7b,math,gsm8k,0,300,200,25,20,5,100,14,280,1.2339476193265708,0.2555886088304087,0,local_active2,0.7724486116119726,0.0,0,0,nan,0,1,1.0,0.0,1.0,0.0
real,real,internalstates_gsm8k_qwen25_7b,math,gsm8k,0,300,200,25,20,5,100,14,280,1.2339476193265708,0.2555886088304087,0,hybrid_domain_uniform,0.7862723885082342,0.013823776896261575,0,100,nan,0,1,1.2339476193265708,0.31087929783621737,1.2339476193265708,0.31087929783621737
real,real,internalstates_gsm8k_qwen25_7b,math,gsm8k,0,300,200,25,20,5,100,14,280,1.2339476193265708,0.2555886088304087,0,hybrid_domain_active,0.7862723885082342,0.013823776896261575,0,100,nan,0,1,1.2339476193265708,0.31087929783621737,1.2339476193265708,0.31087929783621737
real,real,internalstates_gsm8k_qwen25_7b,math,gsm8k,0,300,200,25,20,5,100,14,280,1.2339476193265708,0.2555886088304087,5,upcr,0.7724486116119726,0.0,0,0,nan,0,1,nan,nan,nan,nan
real,real,internalstates_gsm8k_qwen25_7b,math,gsm8k,0,300,200,25,20,5,100,14,280,1.2339476193265708,0.2555886088304087,5,pooled_domain_lofo,0.7862723885082342,0.013823776896261575,0,100,nan,0,1,nan,nan,nan,nan
real,real,internalstates_gsm8k_qwen25_7b,math,gsm8k,0,300,200,25,20,5,100,14,280,1.2339476193265708,0.2555886088304087,5,pooled_all_lofo,0.6670272869335258,-0.10542132467844689,0,280,nan,0,1,nan,nan,nan,nan
