method,normalization,within_auc,prmscore_q80_oof_diagnostic,answers,auc_eligible,official_scoreable_answers,official_steps
ladder__eq15_K4_lsml,raw,0.7536674821021495,0.6344468928537872,6969,6030,6211,83371
ladder__eq15_K4_lsml,answer_z,0.7536674821021495,0.6366128013205576,6969,6030,6211,83371
ladder__eq15_K4_jrel,raw,0.7574098034628934,0.6329514515354574,6969,6030,6211,83371
ladder__eq15_K4_jrel,answer_z,0.7574098034628934,0.6352365459629921,6969,6030,6211,83371
ladder__eq15_K5_ceq,raw,0.75337657058254,0.6341591782963981,6969,6030,6211,83371
ladder__eq15_K5_ceq,answer_z,0.75337657058254,0.6363023985093215,6969,6030,6211,83371
ladder__eq15_K5_csml,raw,0.7552321945827929,0.6359979221159081,6969,6030,6211,83371
ladder__eq15_K5_csml,answer_z,0.7552321945827929,0.6377080473733353,6969,6030,6211,83371
ladder__eq15_K5_csml_guard,raw,0.7552321945827929,0.6359979221159081,6969,6030,6211,83371
ladder__eq15_K5_csml_guard,answer_z,0.7552321945827929,0.6377080473733353,6969,6030,6211,83371
ladder__eq15_K5_lsml,raw,0.7550213076720413,0.6349909007271519,6969,6030,6211,83371
ladder__eq15_K5_lsml,answer_z,0.7550213076720413,0.6372039204419223,6969,6030,6211,83371
ladder__eq15_K5_jrel,raw,0.7571984446373758,0.6338203827032687,6969,6030,6211,83371
ladder__eq15_K5_jrel,answer_z,0.7571984446373758,0.6356183855111089,6969,6030,6211,83371
ladder__eq15_K6_ceq,raw,0.7561603238623475,0.6356297309517498,6969,6030,6211,83371
ladder__eq15_K6_ceq,answer_z,0.7561603238623475,0.6365093235673065,6969,6030,6211,83371
ladder__eq15_K6_csml,raw,0.7574012128792086,0.6363378877825265,6969,6030,6211,83371
ladder__eq15_K6_csml,answer_z,0.7574012128792086,0.6378549667946553,6969,6030,6211,83371
ladder__eq15_K6_csml_guard,raw,0.7574012128792086,0.6363378877825265,6969,6030,6211,83371
ladder__eq15_K6_csml_guard,answer_z,0.7574012128792086,0.6378549667946553,6969,6030,6211,83371
ladder__eq15_K6_lsml,raw,0.7549629284848878,0.6358863380939782,6969,6030,6211,83371
ladder__eq15_K6_lsml,answer_z,0.7549629284848878,0.6370840602167803,6969,6030,6211,83371
ladder__eq15_K6_jrel,raw,0.756868365901817,0.6326165896892421,6969,6030,6211,83371
ladder__eq15_K6_jrel,answer_z,0.756868365901817,0.634119682918546,6969,6030,6211,83371
ladder__eq15_K7_ceq,raw,0.7570107072449667,0.6352352626247643,6969,6030,6211,83371
ladder__eq15_K7_ceq,answer_z,0.7570107072449667,0.6377186470773313,6969,6030,6211,83371
ladder__eq15_K7_csml,raw,0.7573421500277067,0.6355475195667502,6969,6030,6211,83371
ladder__eq15_K7_csml,answer_z,0.7573421500277067,0.6373592487404431,6969,6030,6211,83371
ladder__eq15_K7_csml_guard,raw,0.7573421500277067,0.6355475195667502,6969,6030,6211,83371
ladder__eq15_K7_csml_guard,answer_z,0.7573421500277067,0.6373592487404431,6969,6030,6211,83371
ladder__eq15_K7_lsml,raw,0.7552356911879144,0.636171870978883,6969,6030,6211,83371
ladder__eq15_K7_lsml,answer_z,0.7552356911879144,0.6372530536896192,6969,6030,6211,83371
ladder__eq15_K7_jrel,raw,0.7570207489764178,0.6329429672421755,6969,6030,6211,83371
ladder__eq15_K7_jrel,answer_z,0.7570207489764178,0.6346843712635902,6969,6030,6211,83371
ladder__eq15_K8_ceq,raw,0.7570991809808243,0.6347777225874867,6969,6030,6211,83371
ladder__eq15_K8_ceq,answer_z,0.7570991809808243,0.6368688142330299,6969,6030,6211,83371
ladder__eq15_K8_csml,raw,0.7581881277753664,0.6338744685200554,6969,6030,6211,83371
ladder__eq15_K8_csml,answer_z,0.7581881277753664,0.635678382590927,6969,6030,6211,83371
ladder__eq15_K8_csml_guard,raw,0.7581881277753664,0.6338744685200554,6969,6030,6211,83371
ladder__eq15_K8_csml_guard,answer_z,0.7581881277753664,0.635678382590927,6969,6030,6211,83371
ladder__eq15_K8_lsml,raw,0.7560881531863841,0.6349902348119283,6969,6030,6211,83371
ladder__eq15_K8_lsml,answer_z,0.7560881531863841,0.6365609381182576,6969,6030,6211,83371
ladder__eq15_K8_jrel,raw,0.7570991809808243,0.6347777225874867,6969,6030,6211,83371
ladder__eq15_K8_jrel,answer_z,0.7570991809808243,0.6368688142330299,6969,6030,6211,83371
