cell,n_splits,m,k,n_x,n_y,n_keep_deployed_halfA,auroc_deployed,auroc_greedy,cca_lambda,cca_n_open,cca_n_open_x,cca_leverage_n_distinct,cca_init_n_distinct,path_heldout_lam0,path_nopen_lam0,path_heldout_lam1,path_nopen_lam1,path_heldout_lam2,path_nopen_lam2,path_heldout_lam3,path_nopen_lam3,path_heldout_lam4,path_nopen_lam4,path_heldout_lam5,path_nopen_lam5,auroc_cca_leverage_prune,overlap_cca_leverage_prune,frac_inside_cca_leverage,frac_x_cca_leverage,cond_null_cca_leverage_prune,auroc_cca_gates_prune,overlap_cca_gates_prune,frac_inside_cca_gates,frac_x_cca_gates,cond_null_cca_gates_prune,auroc_rho_prune,overlap_rho_prune,frac_inside_rho,frac_x_rho,cond_null_rho_prune,auroc_truecorr_prune,overlap_truecorr_prune,frac_inside_truecorr,frac_x_truecorr,cond_null_truecorr_prune,auroc_cca_leverage_rr_prune,auroc_cca_gates_rr_prune,auroc_cca_init_r50_prune,auroc_chan_rr_random_prune,auroc_cca_gates_lam0_prune,auroc_cca_gates_lam1_prune,auroc_cca_gates_lam2_prune,auroc_cca_gates_lam3_prune,auroc_cca_gates_lam4_prune,auroc_cca_gates_lam5_prune,n_distinct_null_compositions,frac_x_greedy,auroc_random_prune,n_random_prune_failed
math500_qwenmath7b,5,28.0,10.6,14.0,14.0,11.8,0.9141235689674378,0.9059235251480962,0.048,25.4,13.0,28.0,15.0,3.7130487639381835,28.0,3.71289790608042,28.0,3.7090246210529045,27.6,3.6456414970195063,22.6,3.0020736960052115,11.0,0.38572494112414185,1.0,0.9085690805110648,0.6649999999999999,0.9733333333333334,0.5344444444444444,0.6775055555555557,0.9057548933540456,0.6649999999999999,0.9733333333333334,0.5511111111111111,0.6775055555555557,0.9060744367677435,0.7038888888888889,0.9733333333333334,0.4677777777777778,0.6775055555555557,0.9030678745430321,0.6872222222222223,0.9733333333333334,0.5344444444444444,0.6775055555555557,0.9089039286335237,0.9057548933540456,0.9044926975459981,0.9120668160670361,0.9012979111704087,0.9065089534689894,0.90527420179176,0.9057548933540456,0.9065600886446399,0.9059533060157248,1.0,0.4188888888888889,0.9041033926372057,0.0
math500_r1distill8b,5,28.0,8.2,14.0,14.0,22.6,0.8300648193404498,0.8330342889510778,0.038,26.4,13.2,28.0,15.0,2.929797846037536,28.0,2.9300233053442257,28.0,2.930070090680498,28.0,2.8746706648837788,25.4,2.369886097198314,9.6,0.0,0.4,0.8357155165490615,0.35,1.0,0.5025,0.34014000000000005,0.8095456913450313,0.28250000000000003,1.0,0.175,0.34014000000000005,0.8274798772745398,0.2975,1.0,0.26249999999999996,0.34014000000000005,0.82739352769947,0.6025,1.0,0.49499999999999994,0.34014000000000005,0.8416377294888184,0.8143396553850776,0.8415803190291434,0.8182455418170409,0.8153108205226157,0.8153108205226157,0.8136051675011732,0.8036243418052417,0.8117046784725325,0.8252108487545362,1.0,0.5875,0.8141783998224449,0.0
math500_r1distill8b_mn4096,5,29.0,10.0,15.0,14.0,24.8,0.8458690365637693,0.8507853017415528,0.05800000000000001,25.8,13.0,29.0,15.0,2.7827483671606674,29.0,2.782937852252086,29.0,2.7866100119698802,28.8,2.747643855984291,22.6,2.492793846502854,11.8,0.1900805461153422,0.4,0.8479946224527787,0.3822438672438672,1.0,0.507972582972583,0.3453175829725829,0.839468403532748,0.18828282828282827,1.0,0.26240981240981237,0.3453175829725829,0.8404975801943977,0.21247474747474748,1.0,0.19406204906204905,0.3453175829725829,0.8560056159333003,0.4520923520923521,1.0,0.25542568542568544,0.3453175829725829,0.8469098883783562,0.8130839643226107,0.8352658313169975,0.8108095922903118,0.8404442626308306,0.8390384875548428,0.8390384875548428,0.8381224562425057,0.8419960948825596,0.8534344227053546,1.0,0.477027417027417,0.8264254360188575,0.0
noise_gsm8k_mistral7b,5,29.0,8.6,16.0,13.0,23.0,0.7947210996974018,0.8296048201577768,0.012,28.4,15.6,29.0,15.0,2.600629966051647,29.0,2.598634833475928,28.8,2.5809845545311556,26.0,2.393917075706866,13.2,1.7712805904970836,4.8,0.0,0.0,0.7819491687598119,0.06666666666666667,1.0,0.35,0.23327499999999998,0.7287032371297145,0.3055555555555555,1.0,0.23055555555555554,0.23327499999999998,0.7645069857037154,0.04444444444444444,1.0,0.2583333333333333,0.23327499999999998,0.7453174950120094,0.3722222222222222,1.0,0.41944444444444445,0.23327499999999998,0.8044001440204859,0.781902700279264,0.7922538744937007,0.7880790123136139,0.785412695345642,0.7781003552799172,0.7238622290741504,0.7702445275496538,0.7876437837987071,0.7599622570613916,1.0,0.6972222222222222,0.7786890037161946,0.0
noise_gsm8k_phi3mini,5,29.0,12.4,16.0,13.0,19.0,0.6874046920247986,0.6903845039671935,0.019999999999999997,25.8,12.8,29.0,15.0,2.4640948890235093,29.0,2.462008826912407,28.6,2.471184416469691,25.0,2.293033185142187,13.6,1.4925712455625604,4.0,0.0,0.0,0.6748345598556579,0.37369963369963366,1.0,0.2761172161172161,0.4589607326007326,0.682663952956659,0.46619047619047616,1.0,0.35194139194139196,0.4589607326007326,0.6712291179111668,0.377032967032967,1.0,0.23945054945054944,0.4589607326007326,0.6658708935908317,0.47413919413919414,1.0,0.30578754578754574,0.4589607326007326,0.6782391834775356,0.6809429505434992,0.6808848417366716,0.6813346239592256,0.6862264076987205,0.6832004223866648,0.6810495647995382,0.6774037796135636,0.6744218085100477,0.6788754396294643,1.0,0.6902564102564102,0.6799936351542893,0.0
sciq_llama8b,5,30.0,18.0,16.0,14.0,23.4,0.724564387728049,0.725441189973296,0.042,29.8,15.8,30.0,16.0,2.8072753971121287,30.0,2.8071145609842225,30.0,2.8069118292480346,30.0,2.7309301356558224,28.8,2.4423851144850355,20.0,0.0,0.0,0.7188071079323861,0.6923147790424679,1.0,0.4027779428809176,0.724980120075386,0.717678787878031,0.6923147790424679,1.0,0.3826224404885732,0.724980120075386,0.7150354815704854,0.6798147790424679,1.0,0.364440622306755,0.724980120075386,0.71467598998624,0.710496597224286,1.0,0.3751099586911944,0.724980120075386,0.7205851634449925,0.7183216754609161,0.7249081838782315,0.7200779494885374,0.7153261271287281,0.7153611386543614,0.7139185543255049,0.7132087685172437,0.7199831952840635,0.7246798142443343,1.0,0.5263931815705271,0.7226283751508233,0.0
se_nq_open_llama8b,5,27.0,10.4,14.0,13.0,22.0,0.7472260811919545,0.7573625023707173,0.004,26.0,13.0,27.0,14.0,2.506959520477432,27.0,2.505193290598536,24.4,2.457502924353199,18.0,2.1756506784077927,10.0,1.600630159804385,5.8,0.0,0.0,0.7478317352194706,0.5306526806526807,1.0,0.31608391608391606,0.4625686188811189,0.7447626687361787,0.5932400932400933,1.0,0.39283216783216784,0.4625686188811189,0.7500415454540497,0.5808857808857809,1.0,0.30069930069930073,0.4625686188811189,0.7519224259044046,0.5990675990675991,1.0,0.21585081585081584,0.4625686188811189,0.7476302018879324,0.7496352872479919,0.7457570214168301,0.7485149566302349,0.7483180668647162,0.7505858399553317,0.7507617811917594,0.750451110312646,0.7515847757779386,0.7513781922962552,1.0,0.3844988344988345,0.7399024449240519,0.0
se_squad_v2_llama8b,5,27.0,11.0,14.0,13.0,23.0,0.8144431799593832,0.8431195420725184,0.01,26.4,13.4,27.0,14.0,2.3841742499313616,27.0,2.3877538920594565,26.8,2.358721512105787,23.2,2.135478026121999,10.2,1.1739737334828242,5.4,0.0,0.0,0.7678204710092094,0.4095959595959596,1.0,0.29393939393939394,0.46029267676767666,0.7703740328059064,0.3747474747474747,1.0,0.346969696969697,0.46029267676767666,0.784623180978042,0.35656565656565664,1.0,0.27575757575757576,0.46029267676767666,0.7505662200350793,0.5808080808080808,1.0,0.39696969696969703,0.46029267676767666,0.7766162099448364,0.7746644593237715,0.7724324095958419,0.8040145968490255,0.8070166491647678,0.8175590740973299,0.7991421729794158,0.7838651285803195,0.7745391299012876,0.764147359960995,1.0,0.45808080808080814,0.8027375209711156,0.0
seiclr_triviaqa_opt30b,5,19.0,10.6,5.0,14.0,13.0,0.8142784015533622,0.840137784218725,0.008,18.8,5.0,19.0,10.0,2.472373592860933,19.0,2.4723525691669197,19.0,2.469077126540365,17.0,2.2398276434640727,11.2,1.7168101536352058,6.2,0.0,0.0,0.7876978106238186,0.6202020202020202,1.0,0.24444444444444446,0.6158666666666666,0.8129052744933583,0.6787878787878788,1.0,0.2303030303030303,0.6158666666666666,0.8185804739468786,0.692929292929293,1.0,0.26262626262626265,0.6158666666666666,0.8025401364249898,0.7151515151515151,1.0,0.2848484848484848,0.6158666666666666,0.7860186297011261,0.8193165430340237,0.7973398454967644,0.8167193392652221,0.8193989434579251,0.8187228421929801,0.8253316700317219,0.8227985445453584,0.8175713576382633,0.798224264981292,1.0,0.32121212121212117,0.8105159158416393,0.0
semenergy_triviaqa_qwen3_8b,5,27.0,14.6,14.0,13.0,20.4,0.8162497041952941,0.8285149810881777,0.002,27.0,14.0,27.0,14.0,3.4014775502479764,27.0,3.4014567467002292,27.0,3.3769895902911657,24.4,3.11210878452478,15.6,2.0969603424007057,9.2,0.0,0.0,0.806680283052698,0.7506043956043956,1.0,0.314514652014652,0.6671876098901098,0.8130460070932729,0.6529304029304029,1.0,0.3843040293040293,0.6671876098901098,0.8149574853743491,0.7657234432234432,1.0,0.3566849816849817,0.6671876098901098,0.8095318264058646,0.7915567765567766,1.0,0.367967032967033,0.6671876098901098,0.814817348099357,0.8143307382038705,0.8202909957423008,0.8120912090442532,0.8208213475142655,0.8203934667142218,0.8179877481383231,0.8144576723318206,0.815805399875407,0.813780957061276,1.0,0.4089194139194139,0.8099345456044509,0.0
spilled_triviaqa_llama8b,5,28.0,19.2,14.0,14.0,22.0,0.9086390168970814,0.9097315924219149,0.094,23.4,11.2,28.0,15.0,2.5941409777994986,28.0,2.5942697529293555,28.0,2.5948214094838478,28.0,2.549526281272179,26.4,2.152784545722868,13.2,0.0,0.2,0.9074166410650282,0.8362918164977662,0.9913043478260869,0.424098289201264,0.8107012858232538,0.9068833077316949,0.8178707638661873,0.9913043478260869,0.4152010460934946,0.8107012858232538,0.9047499743983615,0.7696251498310994,0.9913043478260869,0.37409828920126403,0.8107012858232538,0.9081058883768561,0.7696251498310994,0.9913043478260869,0.45743162253459735,0.8107012858232538,0.9091854582693293,0.8908833077316949,0.9066102918586789,0.9060769585253456,0.903553200204813,0.9030327700972862,0.9011596518177163,0.9133220174091143,0.9088994367639529,0.9051532002048133,1.0,0.47134139697068755,0.9096590701484895,0.0
trace_gsm8k_llama8b_k10,5,29.0,10.4,16.0,13.0,21.2,0.8133078340737949,0.8220799255712665,0.01,27.8,14.8,29.0,15.0,3.024500198728302,29.0,3.0234747430936437,27.6,3.0137359920902873,25.4,2.718598858956315,13.6,2.140577607983558,6.0,0.0,0.0,0.8101775592185774,0.2545687645687646,1.0,0.5880652680652682,0.3032185780885781,0.8003424640843988,0.3448018648018648,1.0,0.22275058275058274,0.3032185780885781,0.8029231263119371,0.2727505827505828,1.0,0.18918414918414916,0.3032185780885781,0.804563689467605,0.3048018648018648,1.0,0.18918414918414916,0.3032185780885781,0.811704721891162,0.8070857714707718,0.8086179503060491,0.8091400683342702,0.8051160137981572,0.7975892982950307,0.8081840760173107,0.8100147750569867,0.8063972917988911,0.8077409584424441,1.0,0.5855011655011655,0.8065062078787568,0.0
trace_math500_qwenmath15b_k10,5,30.0,5.6,16.0,14.0,23.4,0.677006922687465,0.7110281298368034,0.02,27.2,13.8,30.0,16.0,3.1672003801893047,30.0,3.1674317343941114,29.4,3.159083801238072,25.6,2.9225566149527316,15.4,2.0201785030032844,5.2,0.0,0.0,0.6669845307795004,0.0,1.0,0.6973015873015873,0.1433809523809524,0.6685048914424044,0.04444444444444444,1.0,0.09079365079365079,0.1433809523809524,0.666891044817642,0.0,1.0,0.5557142857142858,0.1433809523809524,0.6922033551512268,0.3304761904761905,1.0,0.15746031746031747,0.1433809523809524,0.6701671195322365,0.6652693617526879,0.6658961494488151,0.6795728565446537,0.6673216493145742,0.6674840008735919,0.6708396868969803,0.678241507341881,0.6817085264550651,0.6824554133770324,1.0,0.5742857142857143,0.6695656221905709,0.0
truthfulqa_llama8b,5,29.0,6.2,16.0,13.0,22.0,0.6535679980534514,0.6860034890529304,0.01,26.4,13.4,29.0,15.0,2.6802567519167613,29.0,2.687815662980604,26.4,2.664203705620647,20.0,2.3397792296848676,10.4,1.6805920373739625,6.0,0.0,0.0,0.6442484066938536,0.1738095238095238,1.0,0.5773809523809523,0.27275873015873014,0.6046374401896294,0.4003968253968254,1.0,0.15158730158730158,0.27275873015873014,0.6163953060628895,0.09166666666666666,1.0,0.5107142857142857,0.27275873015873014,0.6794572765593992,0.5523809523809523,1.0,0.738095238095238,0.27275873015873014,0.6600252970524717,0.6443719923690385,0.6441911126550446,0.6555700807172,0.6187217960537805,0.6203145760410941,0.6168789237451549,0.6449142325806587,0.6407922435873918,0.6048883289847875,1.0,0.4607142857142857,0.638161513818047,0.0
