cell,rep,m,k,n_keep_deployed_halfA,auroc_deployed,auroc_greedy,auroc_truecorr_rebuilt,auroc_rho_rebuilt,auroc_random_rebuilt,auroc_truecorr_prune,truecorr_prune_cols,overlap_truecorr_prune,auroc_rho_prune,rho_prune_cols,overlap_rho_prune,auroc_random_prune,n_random_prune_failed,frac_inside_greedy,overlap_truecorr_rebuilt,overlap_truecorr_uniform_null,overlap_truecorr_conditional_null,frac_inside_truecorr,overlap_rho_rebuilt,overlap_rho_uniform_null,overlap_rho_conditional_null,frac_inside_rho
lapeigvals_gsm8k_llama8b,0,29,14,23,0.8158388385939157,0.821629557132371,0.8120871054563249,0.8147785661854662,0.8142859473126173,0.8120871054563249,epr|low_band_power|spectral_centroid|sw_var_peak|epr_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.5,0.8147785661854662,epr|low_band_power|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.5,0.8129385857597261,0,0.9285714285714286,0.5,0.4865,0.5628928571428571,1.0,0.5,0.48428571428571426,0.5619642857142858,1.0
lapeigvals_gsm8k_llama8b,1,29,10,22,0.7816791510611735,0.7836298377028714,0.7855024968789013,0.7791822721598003,0.774238451935081,0.7855024968789013,epr|spectral_centroid|sw_var_peak|epr_spilled|epr_energy|min_energy|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2,0.2,0.7791822721598003,epr|epr_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.2,0.7780898876404494,0,0.8,0.2,0.34590000000000004,0.3634,1.0,0.2,0.34445,0.36245000000000005,1.0
lapeigvals_gsm8k_llama8b,2,29,16,22,0.81065188172043,0.7963709677419355,0.8097278225806452,0.8109879032258065,0.8040725806451613,0.8097278225806452,epr|trace_length|low_band_power|hl_ratio|spectral_centroid|sw_var_peak|epr_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.5625,0.8109879032258065,epr|trace_length|low_band_power|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.6875,0.8101310483870968,0,0.8125,0.5625,0.55015625,0.59228125,1.0,0.6875,0.5518125,0.5925625,1.0
lapeigvals_gsm8k_llama8b,3,29,17,23,0.8416666666666667,0.8485087719298245,0.8392982456140351,0.8392982456140351,0.8435929824561404,0.8392982456140351,epr|trace_length|low_band_power|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.7647058823529411,0.8392982456140351,epr|trace_length|low_band_power|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.7647058823529411,0.8413333333333333,0,0.9411764705882353,0.7647058823529411,0.5842352941176471,0.6966470588235294,1.0,0.7647058823529411,0.5832352941176471,0.6945588235294117,1.0
lapeigvals_gsm8k_llama8b,4,29,14,22,0.8211382113821138,0.8240418118466899,0.8078542392566783,0.8158391405342624,0.826431475029036,0.8078542392566783,epr|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.5714285714285714,0.8158391405342624,epr|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.5714285714285714,0.8210511033681765,0,0.9285714285714286,0.5714285714285714,0.4810357142857143,0.5912857142857142,1.0,0.5714285714285714,0.48178571428571426,0.5915714285714285,1.0
lapeigvals_gsm8k_mistral24b,0,30,14,21,0.8310833333333334,0.8349722222222221,0.8380277777777777,0.8277222222222221,0.8206022222222222,0.8380277777777777,epr|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.6428571428571429,0.8277222222222221,epr|low_band_power|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.5714285714285714,0.8252155555555555,0,0.8571428571428571,0.6428571428571429,0.46696428571428567,0.5733571428571429,1.0,0.5714285714285714,0.46921428571428564,0.5715714285714284,1.0
lapeigvals_gsm8k_mistral24b,1,30,14,21,0.890056261850735,0.893382238662149,0.8922010506356656,0.885766684280874,0.8754542911317647,0.8922010506356656,epr|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.7142857142857143,0.885766684280874,epr|low_band_power|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.6428571428571429,0.8825973703024463,0,0.8571428571428571,0.7142857142857143,0.4668928571428571,0.5729999999999998,1.0,0.6428571428571429,0.4638928571428571,0.5738214285714286,1.0
lapeigvals_gsm8k_mistral24b,2,30,13,21,0.8765245901639345,0.8880983606557377,0.8851803278688525,0.8715409836065574,0.8684904918032789,0.8851803278688525,epr|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.6923076923076923,0.8715409836065574,epr|low_band_power|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.6923076923076923,0.8717613114754098,0,0.9230769230769231,0.6923076923076923,0.4333076923076924,0.5726538461538462,1.0,0.6923076923076923,0.43253846153846154,0.5708461538461538,1.0
lapeigvals_gsm8k_mistral24b,3,30,13,21,0.867137490608565,0.8708940646130728,0.877625845229151,0.8620586025544702,0.8589259203606311,0.877625845229151,epr|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|cusum_max_energy|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.6153846153846154,0.8620586025544702,epr|low_band_power|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.5384615384615384,0.8606773854244929,0,0.9230769230769231,0.6153846153846154,0.43723076923076926,0.5708461538461538,1.0,0.5384615384615384,0.43038461538461537,0.5649615384615383,1.0
lapeigvals_gsm8k_mistral24b,4,30,13,21,0.803580864753971,0.8262099406297598,0.8081501973827361,0.8038295359174412,0.7879357185042432,0.8081501973827361,epr|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|cusum_max_energy|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.5384615384615384,0.8038295359174412,epr|spectral_centroid|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.46153846153846156,0.7941064934257562,0,0.5384615384615384,0.5384615384615384,0.4336153846153846,0.333923076923077,1.0,0.46153846153846156,0.4383076923076924,0.3328846153846154,1.0
lapeigvals_gsm8k_nemo,0,29,11,21,0.8166570271833429,0.8317428185849238,0.7980528243686137,0.8024387892808946,0.806471949103528,0.7980528243686137,epr|sw_var_peak|epr_spilled|epr_energy|min_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.36363636363636365,0.8024387892808946,epr|sw_var_peak|epr_spilled|cusum_max_spilled|epr_energy|min_energy|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.36363636363636365,0.8112441359809782,0,0.7272727272727273,0.36363636363636365,0.37563636363636355,0.37590909090909075,1.0,0.36363636363636365,0.3794999999999999,0.38372727272727264,1.0
lapeigvals_gsm8k_nemo,1,29,13,20,0.8002559490868844,0.8219078583287216,0.7850373547315994,0.7850373547315994,0.7958889042612065,0.7850373547315994,epr|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.38461538461538464,0.7850373547315994,epr|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.38461538461538464,0.79155783065855,0,0.6153846153846154,0.38461538461538464,0.4479615384615385,0.402923076923077,1.0,0.38461538461538464,0.45223076923076927,0.40092307692307694,1.0
lapeigvals_gsm8k_nemo,2,29,13,20,0.7931074380165288,0.8205950413223141,0.7721983471074381,0.7721983471074381,0.786182479338843,0.7721983471074381,epr|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.5384615384615384,0.7721983471074381,epr|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|epr_energy|min_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.5384615384615384,0.7840714049586777,0,0.6923076923076923,0.5384615384615384,0.4471923076923077,0.44973076923076927,1.0,0.5384615384615384,0.4477692307692308,0.4494615384615386,1.0
lapeigvals_gsm8k_nemo,3,29,10,21,0.7970265347314527,0.8223469371010355,0.7807479610758299,0.7609412691379904,0.7733398972743235,0.7807479610758299,epr|sw_var_peak|epr_spilled|epr_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.4,0.7609412691379904,epr|sw_var_peak|cusum_max|epr_spilled|cusum_max_spilled|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.2,0.7834391768818,0,0.7,0.4,0.34475,0.3354,1.0,0.2,0.34279999999999994,0.33404999999999996,1.0
lapeigvals_gsm8k_nemo,4,29,11,21,0.7922314911366006,0.8145040406673618,0.78859814911366,0.7856816996871743,0.7857703336809176,0.78859814911366,epr|sw_var_peak|epr_spilled|epr_energy|min_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.36363636363636365,0.7856816996871743,epr|sw_var_peak|epr_spilled|cusum_max_spilled|epr_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,0.36363636363636365,0.7812122002085505,0,0.6363636363636364,0.36363636363636365,0.38222727272727264,0.3332727272727272,1.0,0.36363636363636365,0.3769545454545454,0.3307727272727272,1.0
