cell,dataset_family,iu_auroc,iu_delta_pp,cardinality_auroc,cardinality_delta_pp,selected_auroc,selected_delta_pp,same_graph_u2_auroc,same_graph_u2_delta_pp,same_graph_cs_auroc,same_graph_cs_delta_pp,dufs_same_readout_auroc,dufs_same_readout_delta_pp,contribution_graph_auroc,contribution_graph_delta_pp,row_permuted_residual_graph_auroc,row_permuted_residual_graph_delta_pp,node_permuted_graph_auroc,node_permuted_graph_delta_pp,random_family_graph_auroc,random_family_graph_delta_pp,length_only_graph_auroc,length_only_graph_delta_pp,baseline_only_graph_auroc,baseline_only_graph_delta_pp,residual_only_graph_auroc,residual_only_graph_delta_pp,score_diffusion_auroc,score_diffusion_delta_pp
lapeigvals_gsm8k_llama3b,gsm8k,0.6947338043771702,0.0,0.7066192830079779,1.1885478630807689,0.6946616583349624,-0.007214604220784349,0.6946616583349624,-0.007214604220784349,0.6944754750002327,-0.025832937693759384,0.694940933337057,0.020712895988672653,0.6950456614628424,0.031185708567216253,0.694731477085486,-0.0002327291684256494,0.6947082041686449,-0.0025600208525378143,0.6947244952104337,-0.0009309166736581886,0.6942497277068729,-0.04840766702973731,0.6947454408355909,0.0011636458420616336,0.6946616583349624,-0.007214604220784349,0.6951271166717867,0.03933122946164769
lapeigvals_gsm8k_llama8b,gsm8k,0.8180598927055809,0.0,0.8121146609015932,-0.594523180398765,0.8181199455520858,0.006005284650489884,0.8181199455520858,0.006005284650489884,0.8186003683241252,0.05404756185443116,0.8180999279365841,0.004003523100326589,0.8181199455520858,0.006005284650489884,0.8180198574745776,-0.004003523100326589,0.8180999279365841,0.004003523100326589,0.8180398750900792,-0.0020017615501632946,0.8181599807830892,0.010008807750827575,0.8180799103210825,0.0020017615501632946,0.8181199455520858,0.006005284650489884,0.8189006325566499,0.08407398510690278
lapeigvals_gsm8k_mistral24b,gsm8k,0.8466525134581848,0.0,0.8630297975585716,1.6377284100386746,0.8466373493062401,-0.0015164151944691007,0.8466373493062401,-0.0015164151944691007,0.8465463643945712,-0.01061490636136142,0.846675259686102,0.0022746227917203043,0.8466904238380468,0.0037910379862005072,0.8466904238380468,0.0037910379862005072,0.8466525134581848,0.0,0.8466980059140192,0.004549245583440609,0.8465766926984609,-0.007582075972389912,0.8466600955341573,0.0007582075972512037,0.8466373493062401,-0.0015164151944691007,0.8463416483433164,-0.03108651148684416
lapeigvals_gsm8k_nemo,gsm8k,0.7974812106439163,0.0,0.8081698151533618,1.0688604509445532,0.7974974608978265,0.0016250253910166101,0.7974974608978265,0.0016250253910166101,0.7972577696526508,-0.02234409912654778,0.7979646556977453,0.04834450538290236,0.797802153158643,0.032094251472669644,0.7974649603900061,-0.0016250253910166101,0.7974771480804388,-0.000406256347751377,0.7974812106439164,1.1102230246251565e-14,0.797046516351818,-0.043469429209830324,0.7974974608978265,0.0016250253910166101,0.7974974608978265,0.0016250253910166101,0.7971074548039814,-0.037375583993493056
lapeigvals_gsm8k_phi35,gsm8k,0.809703717548216,0.0,0.817197554268016,0.7493836719799973,0.8095657668722578,-0.013795067595823163,0.8095657668722578,-0.013795067595823163,0.8084176612465401,-0.12860563016758864,0.8099929689655481,0.028925141733204818,0.8097615678316824,0.005785028346638743,0.809703717548216,0.0,0.8096814674391906,-0.0022250109025456766,0.8095479667850374,-0.015575076317864145,0.8093032155857564,-0.04005019624596651,0.8096369672211394,-0.006675032707659234,0.8095657668722578,-0.013795067595823163,0.8091741649534082,-0.05295525948078028
noise_gsm8k_mistral7b,gsm8k,0.7856016259788752,0.0,0.7903701217184977,0.4768495739622569,0.7856039251571488,0.00022991782736569988,0.7856039251571488,0.00022991782736569988,0.7855142572044751,-0.008736877440007618,0.7857648676363068,0.01632416574316453,0.7856499087226224,0.004828274374724106,0.7856016259788752,0.0,0.7856062243354225,0.00045983565473139976,0.7856154210485173,0.0013795069642164037,0.785426888430075,-0.017473754880015235,0.7856085235136961,0.0006897534820970996,0.7856039251571488,0.00022991782736569988,0.7852314582768118,-0.03701677020633287
noise_gsm8k_phi3mini,gsm8k,0.6727700787753008,0.0,0.6806280823904844,0.7858003615183629,0.6727114994086274,-0.00585793666734169,0.6727114994086274,-0.00585793666734169,0.6726250251054429,-0.014505366985795298,0.6740002454754412,0.12301667001404226,0.6732638191515476,0.049374037624683176,0.6727700787753008,0.0,0.6727812367499051,0.0011157974604270038,0.6727672892816496,-0.0002789493651178532,0.6721842851085671,-0.05857936667337249,0.6728426056102297,0.007252683492886547,0.6727114994086274,-0.00585793666734169,0.6727338153578363,-0.0036263417464543757
math500_dsmath7b,math500,0.7882463360046207,0.0,0.8006642119702548,1.241787596563415,0.7883907299111977,0.014439390657705609,0.7883907299111977,0.014439390657705609,0.7893292903039492,0.10829542993284758,0.7891126994440835,0.08663634394627806,0.788679517724352,0.04331817197312793,0.7882463360046207,0.0,0.7882463360046207,0.0,0.7883185329579093,0.0072196953288639065,0.7878853512381777,-0.03609847664429733,0.7883907299111977,0.014439390657705609,0.7883907299111977,0.014439390657705609,0.7878131542848892,-0.04331817197315013
math500_qwenmath7b,math500,0.9307809330628803,0.0,0.9369295131845843,0.6148580121703939,0.9307175456389453,-0.006338742393507957,0.9307175456389453,-0.006338742393507957,0.9307175456389452,-0.006338742393519059,0.9293230223123733,-0.1457910750507052,0.929893509127789,-0.0887423935091336,0.9307809330628803,0.0,0.9307809330628803,0.0,0.9307175456389453,-0.006338742393507957,,,0.930590770791075,-0.019016227180534973,0.9307175456389453,-0.006338742393507957,0.9328093306288033,0.20283975659229903
math500_r1distill8b,math500,0.8384046946316018,0.0,0.83307976526842,-0.5324929363181852,0.8384046946316018,0.0,0.8384046946316018,0.0,0.8390567267985221,0.06520321669202245,0.8384590306455119,0.005433601391002796,0.8387307107150619,0.03260160834600567,0.8384046946316018,0.0,0.8385133666594219,0.010867202782005592,0.8384046946316018,0.0,,,0.8384590306455119,0.005433601391002796,0.8384046946316018,0.0,0.839002390784612,0.05976961530101965
