method,environment,held_out_feature,partner_feature,actual,prediction,squared_error
missing_pca_full,ars_gsm8k_r1distill8b,spectral_entropy,renyi_entropy_2,-0.5491499613049061,-0.31776558355440293,0.05353873026698756
missing_pca_full,ars_gsm8k_r1distill8b,spectral_entropy,topk_tail_mass,-0.27309368089652525,-0.22731539049743307,0.0020956518718636147
missing_pca_full,ars_gsm8k_r1distill8b,low_band_power,epr,-0.63975942415157,-0.4854945859891132,0.023797640293289
missing_pca_full,ars_gsm8k_r1distill8b,low_band_power,trace_length,0.22271093976077255,0.04937437923626835,0.030045563214465106
missing_pca_full,ars_gsm8k_r1distill8b,low_band_power,spectral_entropy,0.03920194030803883,-0.03206566503557578,0.005079071571413205
missing_pca_full,ars_gsm8k_r1distill8b,low_band_power,high_band_power,0.24954527310097627,0.31943396721203987,0.004884429564549817
missing_pca_full,ars_gsm8k_r1distill8b,low_band_power,hl_ratio,0.714148040980573,0.5537143355178125,0.025738973848511818
missing_pca_full,ars_gsm8k_r1distill8b,low_band_power,dominant_freq,0.2221812968902468,0.27737809218444015,0.003046686210749086
missing_pca_full,ars_gsm8k_r1distill8b,low_band_power,spectral_centroid,0.8342366485736687,0.773724062418529,0.0036617730831832135
missing_pca_full,ars_gsm8k_r1distill8b,low_band_power,stft_max_high_power,-0.11494643320702332,-0.06756564013741376,0.0022449395519051614
missing_pca_full,ars_gsm8k_r1distill8b,low_band_power,stft_spectral_entropy,-0.3721999474735216,0.1375541543587829,0.2598492443348595
missing_pca_full,ars_gsm8k_r1distill8b,low_band_power,rpdi,-0.15536073088738203,0.03849407827163957,0.03757968703408068
missing_pca_full,ars_gsm8k_r1distill8b,low_band_power,sw_var_peak,0.09114490432776748,-0.06548202819157906,0.024531995990419934
missing_pca_full,ars_gsm8k_r1distill8b,low_band_power,pe_mean,0.04218493766972395,0.0193694779917368,0.0005205452003178574
missing_pca_full,ars_gsm8k_r1distill8b,low_band_power,hurst_exponent,0.432909921555631,0.4098757321454702,0.0005305738817831655
missing_pca_full,ars_gsm8k_r1distill8b,low_band_power,cusum_max,0.32418939083610654,0.10636709443695798,0.04744655280859853
missing_pca_full,ars_gsm8k_r1distill8b,low_band_power,cusum_shift_idx,-0.009362657973316143,-0.017605283613218968,6.794087743958345e-05
missing_pca_full,ars_gsm8k_r1distill8b,low_band_power,epr_spilled,-0.632322311786038,-0.43075908847075695,0.040627732993245874
missing_pca_full,ars_gsm8k_r1distill8b,low_band_power,sw_var_peak_spilled,0.01418421373934363,-0.11902918827195826,0.017745810475424728
missing_pca_full,ars_gsm8k_r1distill8b,low_band_power,cusum_max_spilled,0.31474732425850593,0.013032789333316789,0.09103166058512317
missing_pca_full,ars_gsm8k_r1distill8b,low_band_power,min_spilled,0.10621098751172613,-0.010497896842865806,0.013620963687293515
missing_pca_full,ars_gsm8k_r1distill8b,low_band_power,epr_energy,-0.48655442512636476,-0.3300304414917525,0.024499757452848374
missing_pca_full,ars_gsm8k_r1distill8b,low_band_power,min_energy,-0.08712056901865284,-0.06360832536430086,0.0005528256016616148
missing_pca_full,ars_gsm8k_r1distill8b,low_band_power,sw_var_peak_energy,-0.09679938407843088,0.05516173391714361,0.023092181382464914
missing_pca_full,ars_gsm8k_r1distill8b,low_band_power,cusum_max_energy,0.33542697948369893,0.11341770432739855,0.04928811825542589
missing_pca_full,ars_gsm8k_r1distill8b,low_band_power,mean_top1_logprob,-0.632322311786038,-0.45818865636321504,0.030322529950914452
missing_pca_full,ars_gsm8k_r1distill8b,low_band_power,logprob_margin,-0.6280296897339201,-0.3784301932979843,0.062299908621072764
missing_pca_full,ars_gsm8k_r1distill8b,low_band_power,mean_logprob_entropy,-0.6421389283561212,-0.4890175897056566,0.023446144350110255
missing_pca_full,ars_gsm8k_r1distill8b,low_band_power,varentropy,-0.6005470927980313,-0.4988951987580158,0.01033310756192254
missing_pca_full,ars_gsm8k_r1distill8b,low_band_power,renyi_entropy_2,-0.6383006775143847,-0.472842415708124,0.027376436399949095
missing_pca_full,ars_gsm8k_r1distill8b,low_band_power,topk_tail_mass,-0.36325332950093037,-0.30393819630740687,0.0035182850257654327
missing_pca_full,ars_gsm8k_r1distill8b,high_band_power,epr,-0.32181140877327186,-0.322791844722895,9.612546513134667e-07
missing_pca_full,ars_gsm8k_r1distill8b,high_band_power,trace_length,0.06948737652406262,-0.02252365595007106,0.008466030096956081
missing_pca_full,ars_gsm8k_r1distill8b,high_band_power,spectral_entropy,0.03105791552138131,-0.04184093576358671,0.005314242518667884
missing_pca_full,ars_gsm8k_r1distill8b,high_band_power,low_band_power,0.24954527310097627,0.31943396721203987,0.004884429564549817
missing_pca_full,ars_gsm8k_r1distill8b,high_band_power,hl_ratio,0.8280365766637715,0.610565039593718,0.04729386943561166
missing_pca_full,ars_gsm8k_r1distill8b,high_band_power,dominant_freq,0.04559089613558509,0.23761633211713357,0.03687376806390377
missing_pca_full,ars_gsm8k_r1distill8b,high_band_power,spectral_centroid,0.5817518918378792,0.6879323797553353,0.01127429601438903
missing_pca_full,ars_gsm8k_r1distill8b,high_band_power,stft_max_high_power,-0.31132955574245924,-0.21729887578096965,0.008841768774020079
missing_pca_full,ars_gsm8k_r1distill8b,high_band_power,stft_spectral_entropy,-0.11854550919106907,0.041705248707115325,0.025680305406942504
missing_pca_full,ars_gsm8k_r1distill8b,high_band_power,rpdi,-0.12899368778673653,-0.025265945920786327,0.0107594444326092
missing_pca_full,ars_gsm8k_r1distill8b,high_band_power,sw_var_peak,-0.09753789292710202,-0.06851397823753665,0.0008423876239071688
missing_pca_full,ars_gsm8k_r1distill8b,high_band_power,pe_mean,-0.00706504231229499,-0.019492063471397477,0.00015443085488878094
missing_pca_full,ars_gsm8k_r1distill8b,high_band_power,hurst_exponent,0.03775075949660805,0.0890779378836182,0.002634479241171962
missing_pca_full,ars_gsm8k_r1distill8b,high_band_power,cusum_max,0.02770667230866465,-0.08598652302386951,0.012926142664921769
missing_pca_full,ars_gsm8k_r1distill8b,high_band_power,cusum_shift_idx,-0.05595342487516287,0.018487005899783616,0.0055413777339596
missing_pca_full,ars_gsm8k_r1distill8b,high_band_power,epr_spilled,-0.31267998784681317,-0.283666027725607,0.0008418098819149415
missing_pca_full,ars_gsm8k_r1distill8b,high_band_power,sw_var_peak_spilled,-0.07617737992760941,-0.08403190039612712,6.169349179036374e-05
missing_pca_full,ars_gsm8k_r1distill8b,high_band_power,cusum_max_spilled,0.0307227021692925,-0.11528807155860658,0.021319146044619746
missing_pca_full,ars_gsm8k_r1distill8b,high_band_power,min_spilled,0.06298715752265453,-0.0005816720233517294,0.004040996089849198
missing_pca_full,ars_gsm8k_r1distill8b,high_band_power,epr_energy,-0.2984519338707214,-0.20989544502443844,0.007842251716781837
missing_pca_full,ars_gsm8k_r1distill8b,high_band_power,min_energy,-0.114694369139766,-0.05274631725640706,0.00383756113214333
missing_pca_full,ars_gsm8k_r1distill8b,high_band_power,sw_var_peak_energy,-0.06392841683094681,0.010611446220672663,0.005556191183754186
missing_pca_full,ars_gsm8k_r1distill8b,high_band_power,cusum_max_energy,0.10431406912934485,-0.021206592378081073,0.015755436465261792
missing_pca_full,ars_gsm8k_r1distill8b,high_band_power,mean_top1_logprob,-0.31267998784681317,-0.3126392535617005,1.659281983638043e-09
missing_pca_full,ars_gsm8k_r1distill8b,high_band_power,logprob_margin,-0.2851720142675363,-0.21872891042937984,0.004414686047648042
missing_pca_full,ars_gsm8k_r1distill8b,high_band_power,mean_logprob_entropy,-0.3261406577536148,-0.33138555707996536,2.75089689435528e-05
missing_pca_full,ars_gsm8k_r1distill8b,high_band_power,varentropy,-0.3293642918369825,-0.3251228241596623,1.7990048057752e-05
missing_pca_full,ars_gsm8k_r1distill8b,high_band_power,renyi_entropy_2,-0.317748883546757,-0.32252268775482185,2.2789206616937533e-05
