outer_fold,train_environment,environment_index,observed_feature_count,missing_feature_count,cross_covariance_shrink,minimum_eigenvalue,maximum_observed_entry_error
1,epr_triviaqa_mistral24b,15,28,2,0.0002912163327059014,-9.999999315750705e-10,0.0
1,semenergy_triviaqa_qwen3_8b,16,27,3,0.00021807756484100525,-9.999998901939248e-10,0.0
1,truthfulqa_llama8b,17,29,1,0.0008381822502838638,-9.999999352233153e-10,0.0
2,ars_gsm8k_r1distill8b,0,30,0,1.0,-2.2544139713452694e-17,0.0
2,internalstates_gsm8k_qwen25_7b,1,29,1,0.0003564636546774689,-9.999999423646496e-10,0.0
2,lapeigvals_gsm8k_llama3b,2,30,0,1.0,7.458270969434217e-16,0.0
2,lapeigvals_gsm8k_llama8b,3,29,1,0.00028420667515660376,-9.99999910984038e-10,0.0
2,lapeigvals_gsm8k_mistral24b,4,30,0,1.0,3.160086784394181e-17,0.0
2,lapeigvals_gsm8k_nemo,5,29,1,0.0003521358593089165,-9.99999941474863e-10,0.0
2,lapeigvals_gsm8k_phi35,6,29,1,0.0004775786110843873,-9.99999995127905e-10,0.0
2,noise_gsm8k_mistral7b,7,29,1,0.0003587237852405705,-9.999998527324053e-10,0.0
2,noise_gsm8k_phi3mini,8,29,1,0.0004279477779753687,-9.999998272316103e-10,0.0
2,losnet_hotpotqa_mistral7b,9,29,1,0.00038223438595871503,-9.999999911193539e-10,0.0
2,math500_dsmath7b,10,30,0,1.0,7.92986287323066e-17,0.0
2,math500_qwenmath7b,11,28,2,0.00011775949673514634,-9.999997881376061e-10,0.0
2,math500_r1distill8b,12,28,2,0.00022288217586582167,-9.99999946412778e-10,0.0
2,math500_r1distill8b_mn4096,13,29,1,0.0033346917565642373,-9.999999769875308e-10,0.0
2,trace_math500_qwenmath15b_k10,14,30,0,1.0,-1.2309119250391036e-15,0.0
2,se_nq_open_llama8b,15,27,3,0.00022237290259955085,-9.999998562346876e-10,0.0
2,sciq_llama8b,16,30,0,1.0,-4.648279774393881e-16,0.0
2,se_squad_v2_llama8b,17,27,3,0.00023137137247791675,-9.999997742723075e-10,0.0
2,seiclr_triviaqa_opt30b,18,19,11,2.5403183160655277e-05,-9.99999988457424e-10,0.0
2,truthfulqa_llama8b,19,29,1,0.00042174221062657793,-9.999999586825547e-10,0.0
3,ars_gsm8k_r1distill8b,0,30,0,1.0,-2.2544139713452694e-17,0.0
3,internalstates_gsm8k_qwen25_7b,1,29,1,0.0004748738369406789,-9.999999554973675e-10,0.0
3,lapeigvals_gsm8k_llama3b,2,30,0,1.0,7.458270969434217e-16,0.0
3,lapeigvals_gsm8k_llama8b,3,29,1,0.0003942241016060581,-9.999999648673934e-10,0.0
3,lapeigvals_gsm8k_phi35,4,29,1,0.0008941541749755413,-9.999999380209166e-10,0.0
3,noise_gsm8k_phi3mini,5,29,1,0.0006100981265722326,-9.999999303662307e-10,0.0
3,trace_gsm8k_llama8b_k10,6,29,1,0.0004057013426769524,-9.999999351314366e-10,0.0
3,losnet_hotpotqa_mistral7b,7,29,1,0.0005018100564484476,-9.999999707261094e-10,0.0
3,math500_dsmath7b,8,30,0,1.0,7.92986287323066e-17,0.0
3,math500_qwenmath7b,9,28,2,0.00010813543182072727,-9.999998092608184e-10,0.0
3,math500_r1distill8b,10,28,2,0.0002550584881688056,-9.999997580071883e-10,0.0
3,math500_r1distill8b_mn4096,11,29,1,0.0011820825166068867,-9.999998403367187e-10,0.0
3,se_nq_open_llama8b,12,27,3,0.0001835341108844639,-9.999999904812398e-10,0.0
3,sciq_llama8b,13,30,0,1.0,-4.648279774393881e-16,0.0
3,se_squad_v2_llama8b,14,27,3,0.0002076828386615697,-9.999996938440619e-10,0.0
3,epr_triviaqa_mistral24b,15,28,2,0.00019745401085561557,-9.999999806568502e-10,0.0
3,seiclr_triviaqa_opt30b,16,19,11,2.5397423536307508e-05,-9.99999850313137e-10,0.0
3,semenergy_triviaqa_qwen3_8b,17,27,3,0.00023292434013570326,-9.999998791285838e-10,0.0
3,truthfulqa_llama8b,18,29,1,0.0003938983059100865,-9.99999929731861e-10,0.0
4,ars_gsm8k_r1distill8b,0,30,0,1.0,-2.2544139713452694e-17,0.0
4,lapeigvals_gsm8k_llama8b,1,29,1,0.0003793989751985803,-9.999998387902163e-10,0.0
4,lapeigvals_gsm8k_mistral24b,2,30,0,1.0,3.160086784394181e-17,0.0
4,lapeigvals_gsm8k_nemo,3,29,1,0.0004605728377228696,-9.999999771202093e-10,0.0
4,noise_gsm8k_mistral7b,4,29,1,0.0004544920091291123,-9.999999314875267e-10,0.0
4,noise_gsm8k_phi3mini,5,29,1,0.0006838204814000578,-9.99999987597527e-10,0.0
4,trace_gsm8k_llama8b_k10,6,29,1,0.00039476947313138184,-9.999999736866682e-10,0.0
4,losnet_hotpotqa_mistral7b,7,29,1,0.0005974881919305437,-9.999999963895744e-10,0.0
4,math500_qwenmath7b,8,28,2,0.00013275731901847467,-9.999999457961751e-10,0.0
4,math500_r1distill8b_mn4096,9,29,1,0.001281790318841955,-9.999998673827121e-10,0.0
4,trace_math500_qwenmath15b_k10,10,30,0,1.0,-1.2309119250391036e-15,0.0
4,se_squad_v2_llama8b,11,27,3,0.0003657258205294568,-9.999999341251503e-10,0.0
4,epr_triviaqa_mistral24b,12,28,2,0.0002978415486699845,-9.999999603805497e-10,0.0
4,seiclr_triviaqa_opt30b,13,19,11,2.5099659978814436e-05,-9.999997605440803e-10,0.0
4,semenergy_triviaqa_qwen3_8b,14,27,3,0.0003770906626080761,-9.999998424546998e-10,0.0
