cell,n_splits,m,k,n_x,n_y,n_keep_deployed_halfA,auroc_deployed,auroc_greedy,cca_lambda,cca_n_open,cca_n_open_x,cca_leverage_n_distinct,cca_init_n_distinct,path_heldout_lam0,path_nopen_lam0,path_heldout_lam1,path_nopen_lam1,path_heldout_lam2,path_nopen_lam2,path_heldout_lam3,path_nopen_lam3,path_heldout_lam4,path_nopen_lam4,path_heldout_lam5,path_nopen_lam5,auroc_cca_leverage_prune,overlap_cca_leverage_prune,frac_inside_cca_leverage,frac_x_cca_leverage,cond_null_cca_leverage_prune,auroc_cca_gates_prune,overlap_cca_gates_prune,frac_inside_cca_gates,frac_x_cca_gates,cond_null_cca_gates_prune,auroc_rho_prune,overlap_rho_prune,frac_inside_rho,frac_x_rho,cond_null_rho_prune,auroc_truecorr_prune,overlap_truecorr_prune,frac_inside_truecorr,frac_x_truecorr,cond_null_truecorr_prune,auroc_cca_leverage_rr_prune,auroc_cca_gates_rr_prune,auroc_cca_init_r50_prune,auroc_cca_gates_lam0_prune,auroc_cca_gates_lam1_prune,auroc_cca_gates_lam2_prune,auroc_cca_gates_lam3_prune,auroc_cca_gates_lam4_prune,auroc_cca_gates_lam5_prune,n_distinct_null_compositions,frac_x_greedy,auroc_random_prune,n_random_prune_failed
math500_qwenmath7b,5,28.0,10.6,14.0,14.0,11.8,0.9141235689674378,0.9059235251480962,nan,-1.0,-1.0,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9084343953568166,0.6783333333333333,0.9733333333333334,0.47111111111111115,0.6775055555555557,0.9084343953568166,0.6783333333333333,0.9733333333333334,0.47111111111111115,0.6775055555555557,0.9060744367677435,0.7038888888888889,0.9733333333333334,0.4677777777777778,0.6775055555555557,0.9030678745430321,0.6872222222222223,0.9733333333333334,0.5344444444444444,0.6775055555555557,0.9120668160670361,0.9120668160670361,0.9084343953568166,0.9084343953568166,0.9084343953568166,0.9084343953568166,0.9084343953568166,0.9084343953568166,0.9084343953568166,1.0,0.4188888888888889,0.9041033926372057,0.0
math500_r1distill8b,5,28.0,8.2,14.0,14.0,22.6,0.8300648193404498,0.8330342889510778,nan,-1.0,-1.0,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.816097410243982,0.2575,1.0,0.39249999999999996,0.34014000000000005,0.816097410243982,0.2575,1.0,0.39249999999999996,0.34014000000000005,0.8274798772745398,0.2975,1.0,0.26249999999999996,0.34014000000000005,0.82739352769947,0.6025,1.0,0.49499999999999994,0.34014000000000005,0.8182455418170409,0.8182455418170409,0.816097410243982,0.816097410243982,0.816097410243982,0.816097410243982,0.816097410243982,0.816097410243982,0.816097410243982,1.0,0.5875,0.8141783998224449,0.0
math500_r1distill8b_mn4096,5,29.0,10.0,15.0,14.0,24.8,0.8458690365637693,0.8507853017415528,nan,-1.0,-1.0,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7832610381134573,0.2685209235209235,1.0,0.45042568542568545,0.3453175829725829,0.7832610381134573,0.2685209235209235,1.0,0.45042568542568545,0.3453175829725829,0.8404975801943977,0.21247474747474748,1.0,0.19406204906204905,0.3453175829725829,0.8560056159333003,0.4520923520923521,1.0,0.25542568542568544,0.3453175829725829,0.8108095922903118,0.8108095922903118,0.7832610381134573,0.7832610381134573,0.7832610381134573,0.7832610381134573,0.7832610381134573,0.7832610381134573,0.7832610381134573,1.0,0.477027417027417,0.8264254360188575,0.0
noise_gsm8k_mistral7b,5,29.0,8.6,16.0,13.0,23.0,0.7947210996974018,0.8296048201577768,nan,-1.0,-1.0,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7805912332894915,0.23055555555555554,1.0,0.5333333333333334,0.23327499999999998,0.7805912332894915,0.23055555555555554,1.0,0.5333333333333334,0.23327499999999998,0.7645069857037154,0.04444444444444444,1.0,0.2583333333333333,0.23327499999999998,0.7453174950120094,0.3722222222222222,1.0,0.41944444444444445,0.23327499999999998,0.7880790123136139,0.7880790123136139,0.7805912332894915,0.7805912332894915,0.7805912332894915,0.7805912332894915,0.7805912332894915,0.7805912332894915,0.7805912332894915,1.0,0.6972222222222222,0.7786890037161946,0.0
noise_gsm8k_phi3mini,5,29.0,12.4,16.0,13.0,19.0,0.6874046920247986,0.6903845039671935,nan,-1.0,-1.0,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.682915877401326,0.4387545787545788,1.0,0.4206593406593407,0.4589607326007326,0.682915877401326,0.4387545787545788,1.0,0.4206593406593407,0.4589607326007326,0.6712291179111668,0.377032967032967,1.0,0.23945054945054944,0.4589607326007326,0.6658708935908317,0.47413919413919414,1.0,0.30578754578754574,0.4589607326007326,0.6813346239592256,0.6813346239592256,0.682915877401326,0.682915877401326,0.682915877401326,0.682915877401326,0.682915877401326,0.682915877401326,0.682915877401326,1.0,0.6902564102564102,0.6799936351542893,0.0
sciq_llama8b,5,30.0,18.0,16.0,14.0,23.4,0.724564387728049,0.725441189973296,nan,-1.0,-1.0,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7207142606861725,0.7066830861739328,1.0,0.4985691749135685,0.724980120075386,0.7207142606861725,0.7066830861739328,1.0,0.4985691749135685,0.724980120075386,0.7150354815704854,0.6798147790424679,1.0,0.364440622306755,0.724980120075386,0.71467598998624,0.710496597224286,1.0,0.3751099586911944,0.724980120075386,0.7200779494885374,0.7200779494885374,0.7207142606861725,0.7207142606861725,0.7207142606861725,0.7207142606861725,0.7207142606861725,0.7207142606861725,0.7207142606861725,1.0,0.5263931815705271,0.7226283751508233,0.0
se_nq_open_llama8b,5,27.0,10.4,14.0,13.0,22.0,0.7472260811919545,0.7573625023707173,nan,-1.0,-1.0,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.7498100812585088,0.41247086247086245,1.0,0.33298368298368297,0.4625686188811189,0.7498100812585088,0.41247086247086245,1.0,0.33298368298368297,0.4625686188811189,0.7500415454540497,0.5808857808857809,1.0,0.30069930069930073,0.4625686188811189,0.7519224259044046,0.5990675990675991,1.0,0.21585081585081584,0.4625686188811189,0.7485149566302349,0.7485149566302349,0.7498100812585088,0.7498100812585088,0.7498100812585088,0.7498100812585088,0.7498100812585088,0.7498100812585088,0.7498100812585088,1.0,0.3844988344988345,0.7399024449240519,0.0
se_squad_v2_llama8b,5,27.0,11.0,14.0,13.0,23.0,0.8144431799593832,0.8431195420725184,nan,-1.0,-1.0,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8080230550165419,0.4691919191919192,1.0,0.4904040404040404,0.46029267676767666,0.8080230550165419,0.4691919191919192,1.0,0.4904040404040404,0.46029267676767666,0.784623180978042,0.35656565656565664,1.0,0.27575757575757576,0.46029267676767666,0.7505662200350793,0.5808080808080808,1.0,0.39696969696969703,0.46029267676767666,0.8040145968490255,0.8040145968490255,0.8080230550165419,0.8080230550165419,0.8080230550165419,0.8080230550165419,0.8080230550165419,0.8080230550165419,0.8080230550165419,1.0,0.45808080808080814,0.8027375209711156,0.0
seiclr_triviaqa_opt30b,5,19.0,10.6,5.0,14.0,13.0,0.8142784015533622,0.840137784218725,nan,-1.0,-1.0,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8103639403641825,0.6565656565656566,1.0,0.20404040404040402,0.6158666666666666,0.8103639403641825,0.6565656565656566,1.0,0.20404040404040402,0.6158666666666666,0.8185804739468786,0.692929292929293,1.0,0.26262626262626265,0.6158666666666666,0.8025401364249898,0.7151515151515151,1.0,0.2848484848484848,0.6158666666666666,0.8167193392652221,0.8167193392652221,0.8103639403641825,0.8103639403641825,0.8103639403641825,0.8103639403641825,0.8103639403641825,0.8103639403641825,0.8103639403641825,1.0,0.32121212121212117,0.8105159158416393,0.0
semenergy_triviaqa_qwen3_8b,5,27.0,14.6,14.0,13.0,20.4,0.8162497041952941,0.8285149810881777,nan,-1.0,-1.0,-1.0,-1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8157452171641848,0.6560805860805861,1.0,0.4273076923076923,0.6671876098901098,0.8157452171641848,0.6560805860805861,1.0,0.4273076923076923,0.6671876098901098,0.8149574853743491,0.7657234432234432,1.0,0.3566849816849817,0.6671876098901098,0.8095318264058646,0.7915567765567766,1.0,0.367967032967033,0.6671876098901098,0.8120912090442532,0.8120912090442532,0.8157452171641848,0.8157452171641848,0.8157452171641848,0.8157452171641848,0.8157452171641848,0.8157452171641848,0.8157452171641848,1.0,0.4089194139194139,0.8099345456044509,0.0
