method,stratum,n,sla_micro_descriptive,longest_step_agreement,mae
selected__all__hard__binary_lsml,steps_6_to_10,2308,0.2785961871750433,0.3466204506065858,1.5935875216637783
selected__all__hard__binary_lsml,steps_11_plus,822,0.17396593673965938,0.22992700729927007,3.4708029197080292
selected__all__hard__binary_lsml,error_relative_quarter_1,1314,0.2945205479452055,0.3622526636225266,1.9185692541856925
selected__all__hard__binary_lsml,error_relative_quarter_2,1290,0.37906976744186044,0.3953488372093023,1.1271317829457363
selected__all__hard__binary_lsml,error_relative_quarter_3,1122,0.34759358288770054,0.39572192513368987,1.3190730837789661
selected__all__hard__binary_lsml,error_relative_quarter_4,716,0.1424581005586592,0.36033519553072624,2.9175977653631286
selected__all__soft__equal,steps_2_to_5,1312,0.4489329268292683,0.5815548780487805,0.8185975609756098
selected__all__soft__equal,steps_6_to_10,2308,0.32192374350086655,0.4220103986135182,1.6590121317157713
selected__all__soft__equal,steps_11_plus,822,0.22627737226277372,0.3077858880778589,3.8199513381995134
selected__all__soft__equal,error_relative_quarter_1,1314,0.3181126331811263,0.4101978691019787,2.1027397260273974
selected__all__soft__equal,error_relative_quarter_2,1290,0.351937984496124,0.44573643410852715,1.424031007751938
selected__all__soft__equal,error_relative_quarter_3,1122,0.37344028520499106,0.4572192513368984,1.4010695187165776
selected__all__soft__equal,error_relative_quarter_4,716,0.3170391061452514,0.5069832402234636,2.613128491620112
selected__all__soft__spectral,steps_2_to_5,1312,0.4481707317073171,0.5899390243902439,0.8071646341463414
selected__all__soft__spectral,steps_6_to_10,2308,0.32192374350086655,0.44280762564991333,1.6759098786828424
selected__all__soft__spectral,steps_11_plus,822,0.22627737226277372,0.3175182481751825,3.7846715328467155
selected__all__soft__spectral,error_relative_quarter_1,1314,0.3165905631659056,0.4337899543378995,2.1575342465753424
selected__all__soft__spectral,error_relative_quarter_2,1290,0.351937984496124,0.44883720930232557,1.4170542635658914
selected__all__soft__spectral,error_relative_quarter_3,1122,0.3672014260249554,0.4768270944741533,1.411764705882353
selected__all__soft__spectral,error_relative_quarter_4,716,0.32821229050279327,0.520949720670391,2.5013966480446927
selected__all__soft__continuous_lsml,steps_2_to_5,1312,0.4504573170731707,0.5746951219512195,0.8170731707317073
selected__all__soft__continuous_lsml,steps_6_to_10,2308,0.32322357019064124,0.4202772963604853,1.6785095320623917
selected__all__soft__continuous_lsml,steps_11_plus,822,0.22384428223844283,0.305352798053528,3.889294403892944
selected__all__soft__continuous_lsml,error_relative_quarter_1,1314,0.3219178082191781,0.4101978691019787,2.1331811263318112
selected__all__soft__continuous_lsml,error_relative_quarter_2,1290,0.34728682170542635,0.43643410852713177,1.4550387596899226
selected__all__soft__continuous_lsml,error_relative_quarter_3,1122,0.37254901960784315,0.46167557932263814,1.4197860962566844
selected__all__soft__continuous_lsml,error_relative_quarter_4,716,0.3240223463687151,0.4958100558659218,2.611731843575419
selected__all__hard__continuous_lsml,steps_2_to_5,1312,0.43978658536585363,0.5647865853658537,0.8292682926829268
selected__all__hard__continuous_lsml,steps_6_to_10,2308,0.304159445407279,0.4194107452339688,1.7551993067590987
selected__all__hard__continuous_lsml,steps_11_plus,822,0.23236009732360097,0.3126520681265207,3.846715328467153
selected__all__hard__continuous_lsml,error_relative_quarter_1,1314,0.2952815829528158,0.4200913242009132,2.350076103500761
selected__all__hard__continuous_lsml,error_relative_quarter_2,1290,0.32790697674418606,0.42170542635658914,1.527906976744186
selected__all__hard__continuous_lsml,error_relative_quarter_3,1122,0.3761140819964349,0.4625668449197861,1.3618538324420677
selected__all__hard__continuous_lsml,error_relative_quarter_4,716,0.33100558659217877,0.49022346368715086,2.393854748603352
shuffle__all__hard__ds,steps_2_to_5,1312,0.3948170731707317,0.5945121951219512,0.8338414634146342
shuffle__all__hard__ds,steps_6_to_10,2308,0.2365684575389948,0.44540727902946275,1.7105719237435009
shuffle__all__hard__ds,steps_11_plus,822,0.14233576642335766,0.3175182481751825,3.781021897810219
shuffle__all__hard__ds,error_relative_quarter_1,1314,0.1598173515981735,0.4345509893455099,2.707001522070015
shuffle__all__hard__ds,error_relative_quarter_2,1290,0.2813953488372093,0.4728682170542636,1.430232558139535
shuffle__all__hard__ds,error_relative_quarter_3,1122,0.393048128342246,0.5035650623885918,1.088235294117647
shuffle__all__hard__ds,error_relative_quarter_4,716,0.23324022346368714,0.4511173184357542,2.13268156424581
shuffle__all__hard__hem,steps_2_to_5,1312,0.3932926829268293,0.5975609756097561,0.8346036585365854
shuffle__all__hard__hem,steps_6_to_10,2308,0.2430675909878683,0.451473136915078,1.7058058925476602
shuffle__all__hard__hem,steps_11_plus,822,0.14963503649635038,0.3199513381995134,3.7506082725060828
shuffle__all__hard__hem,error_relative_quarter_1,1314,0.18036529680365296,0.4429223744292237,2.6012176560121767
shuffle__all__hard__hem,error_relative_quarter_2,1290,0.28527131782945736,0.47674418604651164,1.4093023255813955
shuffle__all__hard__hem,error_relative_quarter_3,1122,0.3850267379679144,0.49554367201426025,1.1327985739750446
shuffle__all__hard__hem,error_relative_quarter_4,716,0.2276536312849162,0.4692737430167598,2.2458100558659218
shuffle__all__hard__equal,steps_2_to_5,1312,0.3246951219512195,0.5198170731707317,1.110518292682927
shuffle__all__hard__equal,steps_6_to_10,2308,0.16767764298093588,0.3830155979202773,2.316724436741768
shuffle__all__hard__equal,steps_11_plus,822,0.08394160583941605,0.3102189781021898,5.036496350364963
shuffle__all__hard__equal,error_relative_quarter_1,1314,0.3812785388127854,0.4132420091324201,1.1750380517503805
shuffle__all__hard__equal,error_relative_quarter_2,1290,0.11472868217054263,0.39689922480620154,2.008527131782946
shuffle__all__hard__equal,error_relative_quarter_3,1122,0.1319073083778966,0.4037433155080214,2.963458110516934
shuffle__all__hard__equal,error_relative_quarter_4,716,0.11871508379888268,0.4371508379888268,4.865921787709497
shuffle__all__hard__spectral,steps_2_to_5,1312,0.2865853658536585,0.44740853658536583,1.1897865853658536
shuffle__all__hard__spectral,steps_6_to_10,2308,0.13474870017331023,0.2954939341421144,2.5047660311958406
shuffle__all__hard__spectral,steps_11_plus,822,0.07177615571776155,0.25790754257907544,5.180048661800487
shuffle__all__hard__spectral,error_relative_quarter_1,1314,0.3987823439878234,0.3637747336377473,1.0007610350076104
shuffle__all__hard__spectral,error_relative_quarter_2,1290,0.06821705426356589,0.31705426356589145,2.1131782945736433
shuffle__all__hard__spectral,error_relative_quarter_3,1122,0.07219251336898395,0.2994652406417112,3.3467023172905526
shuffle__all__hard__spectral,error_relative_quarter_4,716,0.07402234636871509,0.36033519553072624,5.312849162011173
shuffle__all__hard__binary_lsml,steps_2_to_5,1312,0.38948170731707316,0.573170731707317,0.9275914634146342
shuffle__all__hard__binary_lsml,steps_6_to_10,2308,0.2218370883882149,0.44844020797227035,1.82842287694974
shuffle__all__hard__binary_lsml,steps_11_plus,822,0.145985401459854,0.3710462287104623,4.045012165450122
shuffle__all__hard__binary_lsml,error_relative_quarter_1,1314,0.3013698630136986,0.4687975646879756,2.145357686453577
shuffle__all__hard__binary_lsml,error_relative_quarter_2,1290,0.25116279069767444,0.48372093023255813,1.5046511627906978
shuffle__all__hard__binary_lsml,error_relative_quarter_3,1122,0.2638146167557932,0.4696969696969697,1.679144385026738
shuffle__all__hard__binary_lsml,error_relative_quarter_4,716,0.17737430167597765,0.45391061452513964,2.958100558659218
shuffle__all__soft__equal,steps_2_to_5,1312,0.40472560975609756,0.6875,0.9016768292682927
shuffle__all__soft__equal,steps_6_to_10,2308,0.24523396880415946,0.5753899480069324,1.901213171577123
shuffle__all__soft__equal,steps_11_plus,822,0.16180048661800486,0.4975669099756691,4.097323600973236
shuffle__all__soft__equal,error_relative_quarter_1,1314,0.2663622526636225,0.5722983257229832,2.4375951293759512
shuffle__all__soft__equal,error_relative_quarter_2,1290,0.26124031007751936,0.5844961240310077,1.6837209302325582
shuffle__all__soft__equal,error_relative_quarter_3,1122,0.3083778966131907,0.6176470588235294,1.5249554367201426
shuffle__all__soft__equal,error_relative_quarter_4,716,0.2751396648044693,0.6145251396648045,2.5879888268156424
shuffle__all__soft__spectral,steps_2_to_5,1312,0.4032012195121951,0.6935975609756098,0.9070121951219512
shuffle__all__soft__spectral,steps_6_to_10,2308,0.2512998266897747,0.5953206239168111,1.8877816291161178
shuffle__all__soft__spectral,steps_11_plus,822,0.1678832116788321,0.524330900243309,4.093673965936739
shuffle__all__soft__spectral,error_relative_quarter_1,1314,0.2709284627092846,0.5859969558599696,2.423896499238965
shuffle__all__soft__spectral,error_relative_quarter_2,1290,0.26744186046511625,0.603875968992248,1.6612403100775195
shuffle__all__soft__spectral,error_relative_quarter_3,1122,0.3092691622103387,0.6301247771836007,1.5418894830659537
shuffle__all__soft__spectral,error_relative_quarter_4,716,0.2779329608938548,0.6410614525139665,2.589385474860335
shuffle__all__soft__continuous_lsml,steps_2_to_5,1312,0.40015243902439024,0.6935975609756098,0.9054878048780488
shuffle__all__soft__continuous_lsml,steps_6_to_10,2308,0.2474003466204506,0.5827556325823223,1.8912478336221836
shuffle__all__soft__continuous_lsml,steps_11_plus,822,0.16666666666666666,0.5109489051094891,4.125304136253042
shuffle__all__soft__continuous_lsml,error_relative_quarter_1,1314,0.2701674277016743,0.5806697108066972,2.452054794520548
shuffle__all__soft__continuous_lsml,error_relative_quarter_2,1290,0.26046511627906976,0.5930232558139535,1.6713178294573643
shuffle__all__soft__continuous_lsml,error_relative_quarter_3,1122,0.3083778966131907,0.6176470588235294,1.5249554367201426
shuffle__all__soft__continuous_lsml,error_relative_quarter_4,716,0.2737430167597765,0.6340782122905028,2.590782122905028
shuffle__all__hard__continuous_lsml,steps_2_to_5,1312,0.24085365853658536,0.31478658536585363,1.294969512195122
shuffle__all__hard__continuous_lsml,steps_6_to_10,2308,0.09532062391681109,0.1815424610051993,2.701473136915078
shuffle__all__hard__continuous_lsml,steps_11_plus,822,0.06326034063260341,0.1897810218978102,5.237226277372263
shuffle__all__hard__continuous_lsml,error_relative_quarter_1,1314,0.4200913242009132,0.273972602739726,0.8089802130898022
shuffle__all__hard__continuous_lsml,error_relative_quarter_2,1290,0.017829457364341085,0.1992248062015504,2.1906976744186046
shuffle__all__hard__continuous_lsml,error_relative_quarter_3,1122,0.008021390374331552,0.18538324420677363,3.697860962566845
shuffle__all__hard__continuous_lsml,error_relative_quarter_4,716,0.00558659217877095,0.2276536312849162,5.86731843575419
top5__all__hard__ds,steps_2_to_5,1312,0.41996951219512196,0.4679878048780488,0.8696646341463414
top5__all__hard__ds,steps_6_to_10,2308,0.28942807625649913,0.31672443674176776,1.8071923743500866
top5__all__hard__ds,steps_11_plus,822,0.17883211678832117,0.2396593673965937,4.195863746958637
top5__all__hard__ds,error_relative_quarter_1,1314,0.228310502283105,0.319634703196347,2.8249619482496193
top5__all__hard__ds,error_relative_quarter_2,1290,0.30930232558139537,0.34108527131782945,1.72015503875969
top5__all__hard__ds,error_relative_quarter_3,1122,0.36363636363636365,0.375222816399287,1.2745098039215685
top5__all__hard__ds,error_relative_quarter_4,716,0.361731843575419,0.3645251396648045,1.9553072625698324
top5__all__hard__hem,steps_2_to_5,1312,0.41615853658536583,0.47484756097560976,0.8788109756097561
top5__all__hard__hem,steps_6_to_10,2308,0.2889948006932409,0.32019064124783364,1.7980935875216637
top5__all__hard__hem,steps_11_plus,822,0.18004866180048662,0.24574209245742093,4.143552311435523
top5__all__hard__hem,error_relative_quarter_1,1314,0.2252663622526636,0.3257229832572298,2.824200913242009
top5__all__hard__hem,error_relative_quarter_2,1290,0.30310077519379847,0.3434108527131783,1.6992248062015505
top5__all__hard__hem,error_relative_quarter_3,1122,0.3680926916221034,0.3787878787878788,1.2629233511586453
top5__all__hard__hem,error_relative_quarter_4,716,0.3645251396648045,0.3743016759776536,1.9399441340782122
top5__all__hard__equal,steps_2_to_5,1312,0.31402439024390244,0.4222560975609756,1.142530487804878
top5__all__hard__equal,steps_6_to_10,2308,0.14818024263431542,0.2456672443674177,2.4878682842287696
top5__all__hard__equal,steps_11_plus,822,0.07907542579075426,0.23479318734793186,5.100973236009732
top5__all__hard__equal,error_relative_quarter_1,1314,0.3949771689497717,0.3120243531202435,1.0776255707762556
top5__all__hard__equal,error_relative_quarter_2,1290,0.09224806201550388,0.27674418604651163,2.083720930232558
top5__all__hard__equal,error_relative_quarter_3,1122,0.09803921568627451,0.2807486631016043,3.2263814616755795
top5__all__hard__equal,error_relative_quarter_4,716,0.09916201117318436,0.3240223463687151,5.181564245810056
top5__all__hard__spectral,steps_2_to_5,1312,0.31859756097560976,0.4138719512195122,1.1440548780487805
top5__all__hard__spectral,steps_6_to_10,2308,0.15337954939341422,0.25043327556325823,2.4601386481802425
top5__all__hard__spectral,steps_11_plus,822,0.0851581508515815,0.24452554744525548,5.047445255474453
top5__all__hard__spectral,error_relative_quarter_1,1314,0.3942161339421613,0.3150684931506849,1.1423135464231355
top5__all__hard__spectral,error_relative_quarter_2,1290,0.10155038759689923,0.2868217054263566,2.0930232558139537
top5__all__hard__spectral,error_relative_quarter_3,1122,0.10606060606060606,0.2816399286987522,3.157754010695187
top5__all__hard__spectral,error_relative_quarter_4,716,0.10335195530726257,0.3100558659217877,5.005586592178771
top5__all__hard__binary_lsml,steps_2_to_5,1312,0.4214939024390244,0.49771341463414637,0.8940548780487805
top5__all__hard__binary_lsml,steps_6_to_10,2308,0.28682842287694976,0.32712305025996535,1.882582322357019
top5__all__hard__binary_lsml,steps_11_plus,822,0.16423357664233576,0.27858880778588807,4.249391727493918
