cell,family,domain,contract,filter,exclude_frac,n_input,n_kept,kept_fraction,dufs_effective_count,weight_cosine_vs_iu
semenergy_triviaqa_qwen3_8b,triviaqa,QA,mixed_v2,full,,27,27,1.0,21.07927957001784,0.9999599577865251
semenergy_triviaqa_qwen3_8b,triviaqa,QA,mixed_v2,rho_max_over_3,3.0,27,20,0.7407407407407407,16.864351361394874,0.9999098579815726
semenergy_triviaqa_qwen3_8b,triviaqa,QA,mixed_v2,rho_max_over_2p5,2.5,27,18,0.6666666666666666,15.122194322671675,0.9999123378524697
semenergy_triviaqa_qwen3_8b,triviaqa,QA,mixed_v2,rho_max_over_2,2.0,27,14,0.5185185185185185,13.107507200403758,0.9992718615099792
semenergy_triviaqa_qwen3_8b,triviaqa,QA,mixed_v2,rho_max_over_1p5,1.5,27,12,0.4444444444444444,11.649777618063922,0.9968799327763644
spilled_triviaqa_llama8b,triviaqa,QA,fixed_stable_v1,full,,25,25,1.0,21.130520894003126,0.9993104782750184
spilled_triviaqa_llama8b,triviaqa,QA,fixed_stable_v1,rho_max_over_3,3.0,25,22,0.88,19.846237992165054,0.9996875030817276
spilled_triviaqa_llama8b,triviaqa,QA,fixed_stable_v1,rho_max_over_2p5,2.5,25,21,0.84,19.87844346256906,0.9994913702578633
spilled_triviaqa_llama8b,triviaqa,QA,fixed_stable_v1,rho_max_over_2,2.0,25,19,0.76,18.500923411524166,0.9984313423363597
spilled_triviaqa_llama8b,triviaqa,QA,fixed_stable_v1,rho_max_over_1p5,1.5,25,18,0.72,17.656621162383292,0.9973405762434993
spilled_triviaqa_llama8b,triviaqa,QA,mixed_v2,full,,28,28,1.0,20.129418546079712,0.9977641000814018
spilled_triviaqa_llama8b,triviaqa,QA,mixed_v2,rho_max_over_3,3.0,28,22,0.7857142857142857,19.846237992165054,0.9996875030817279
spilled_triviaqa_llama8b,triviaqa,QA,mixed_v2,rho_max_over_2p5,2.5,28,21,0.75,19.87844346256906,0.9994913702578632
spilled_triviaqa_llama8b,triviaqa,QA,mixed_v2,rho_max_over_2,2.0,28,20,0.7142857142857143,18.866292002511372,0.9989573523929492
spilled_triviaqa_llama8b,triviaqa,QA,mixed_v2,rho_max_over_1p5,1.5,28,18,0.6428571428571429,17.656621162383292,0.9973405762434991
truthfulqa_llama8b,truthfulqa,QA,fixed_stable_v1,full,,25,25,1.0,17.557245014804558,0.9992568766768283
truthfulqa_llama8b,truthfulqa,QA,fixed_stable_v1,rho_max_over_3,3.0,25,21,0.84,16.157737624480166,0.9993965329932225
truthfulqa_llama8b,truthfulqa,QA,fixed_stable_v1,rho_max_over_2p5,2.5,25,20,0.8,17.033203848437452,0.9998898240443982
truthfulqa_llama8b,truthfulqa,QA,fixed_stable_v1,rho_max_over_2,2.0,25,18,0.72,16.735758344942795,0.9999900757258423
truthfulqa_llama8b,truthfulqa,QA,fixed_stable_v1,rho_max_over_1p5,1.5,25,12,0.48,11.627682376174347,0.9999268128511345
truthfulqa_llama8b,truthfulqa,QA,mixed_v2,full,,29,29,1.0,19.173568337304562,0.9992642733285371
truthfulqa_llama8b,truthfulqa,QA,mixed_v2,rho_max_over_3,3.0,29,22,0.7586206896551724,16.33826826708937,0.9993252970082377
truthfulqa_llama8b,truthfulqa,QA,mixed_v2,rho_max_over_2p5,2.5,29,21,0.7241379310344828,16.157737624480166,0.9993945807720283
truthfulqa_llama8b,truthfulqa,QA,mixed_v2,rho_max_over_2,2.0,29,19,0.6551724137931034,16.899154516557704,0.9998994356152442
truthfulqa_llama8b,truthfulqa,QA,mixed_v2,rho_max_over_1p5,1.5,29,14,0.4827586206896552,13.15619560076533,0.999968107350776
ars_gsm8k_r1distill8b,gsm8k,math,fixed_stable_v1,full,,26,26,1.0,15.498043179537664,0.9981366406337746
ars_gsm8k_r1distill8b,gsm8k,math,fixed_stable_v1,rho_max_over_3,3.0,26,18,0.6923076923076923,13.402648336509765,0.9984301310594141
ars_gsm8k_r1distill8b,gsm8k,math,fixed_stable_v1,rho_max_over_2p5,2.5,26,15,0.5769230769230769,13.025047892792141,0.9994127504228864
ars_gsm8k_r1distill8b,gsm8k,math,fixed_stable_v1,rho_max_over_2,2.0,26,14,0.5384615384615384,12.631279167498993,0.9998701441412031
ars_gsm8k_r1distill8b,gsm8k,math,fixed_stable_v1,rho_max_over_1p5,1.5,26,12,0.46153846153846156,11.457527346913617,0.9999993469108129
ars_gsm8k_r1distill8b,gsm8k,math,mixed_v2,full,,30,30,1.0,15.659817076368292,0.9979521685581777
ars_gsm8k_r1distill8b,gsm8k,math,mixed_v2,rho_max_over_3,3.0,30,18,0.6,13.402648336509765,0.9984301310594141
ars_gsm8k_r1distill8b,gsm8k,math,mixed_v2,rho_max_over_2p5,2.5,30,16,0.5333333333333333,13.853157963840806,0.9989472885971735
ars_gsm8k_r1distill8b,gsm8k,math,mixed_v2,rho_max_over_2,2.0,30,14,0.4666666666666667,12.631279167498993,0.9998701441412031
ars_gsm8k_r1distill8b,gsm8k,math,mixed_v2,rho_max_over_1p5,1.5,30,12,0.4,11.457527346913617,0.9999993469108129
internalstates_gsm8k_qwen25_7b,gsm8k,math,fixed_stable_v1,full,,25,25,1.0,16.36807887806907,0.9986374950794565
internalstates_gsm8k_qwen25_7b,gsm8k,math,fixed_stable_v1,rho_max_over_3,3.0,25,21,0.84,16.053378254315056,0.9994802289206689
internalstates_gsm8k_qwen25_7b,gsm8k,math,fixed_stable_v1,rho_max_over_2p5,2.5,25,20,0.8,16.233262163133432,0.9993896703776829
internalstates_gsm8k_qwen25_7b,gsm8k,math,fixed_stable_v1,rho_max_over_2,2.0,25,18,0.72,15.742804808435022,0.9999997476514467
internalstates_gsm8k_qwen25_7b,gsm8k,math,fixed_stable_v1,rho_max_over_1p5,1.5,25,15,0.6,14.574551245502361,0.9992163979053564
internalstates_gsm8k_qwen25_7b,gsm8k,math,mixed_v2,full,,29,29,1.0,17.371667728091058,0.9982736901318819
internalstates_gsm8k_qwen25_7b,gsm8k,math,mixed_v2,rho_max_over_3,3.0,29,21,0.7241379310344828,16.053378254315056,0.9994802289206686
internalstates_gsm8k_qwen25_7b,gsm8k,math,mixed_v2,rho_max_over_2p5,2.5,29,21,0.7241379310344828,16.053378254315056,0.9994802289206686
internalstates_gsm8k_qwen25_7b,gsm8k,math,mixed_v2,rho_max_over_2,2.0,29,20,0.6896551724137931,16.233262163133432,0.999389670377683
internalstates_gsm8k_qwen25_7b,gsm8k,math,mixed_v2,rho_max_over_1p5,1.5,29,15,0.5172413793103449,14.574551245502361,0.9992163979053567
lapeigvals_gsm8k_llama3b,gsm8k,math,fixed_stable_v1,full,,26,26,1.0,18.870622403966934,0.9999985137506572
lapeigvals_gsm8k_llama3b,gsm8k,math,fixed_stable_v1,rho_max_over_3,3.0,26,21,0.8076923076923077,18.42498681912081,0.999768860854866
lapeigvals_gsm8k_llama3b,gsm8k,math,fixed_stable_v1,rho_max_over_2p5,2.5,26,21,0.8076923076923077,18.42498681912081,0.999768860854866
lapeigvals_gsm8k_llama3b,gsm8k,math,fixed_stable_v1,rho_max_over_2,2.0,26,20,0.7692307692307693,17.33755367149749,0.9996162280823525
lapeigvals_gsm8k_llama3b,gsm8k,math,fixed_stable_v1,rho_max_over_1p5,1.5,26,17,0.6538461538461539,16.83437020711144,0.9991395481835027
lapeigvals_gsm8k_llama3b,gsm8k,math,mixed_v2,full,,30,30,1.0,18.58953542884553,0.9998679812611954
lapeigvals_gsm8k_llama3b,gsm8k,math,mixed_v2,rho_max_over_3,3.0,30,22,0.7333333333333333,17.980992211959894,0.9998365114321341
lapeigvals_gsm8k_llama3b,gsm8k,math,mixed_v2,rho_max_over_2p5,2.5,30,22,0.7333333333333333,17.980992211959894,0.9998365114321341
lapeigvals_gsm8k_llama3b,gsm8k,math,mixed_v2,rho_max_over_2,2.0,30,20,0.6666666666666666,17.33755367149749,0.9996162280823525
lapeigvals_gsm8k_llama3b,gsm8k,math,mixed_v2,rho_max_over_1p5,1.5,30,17,0.5666666666666667,16.83437020711144,0.9991395481835028
lapeigvals_gsm8k_llama8b,gsm8k,math,fixed_stable_v1,full,,25,25,1.0,20.57086753426813,0.9981895590841446
lapeigvals_gsm8k_llama8b,gsm8k,math,fixed_stable_v1,rho_max_over_3,3.0,25,21,0.84,20.265970264381167,0.9978267348243612
lapeigvals_gsm8k_llama8b,gsm8k,math,fixed_stable_v1,rho_max_over_2p5,2.5,25,21,0.84,20.265970264381167,0.9978267348243612
lapeigvals_gsm8k_llama8b,gsm8k,math,fixed_stable_v1,rho_max_over_2,2.0,25,20,0.8,19.75016306326218,0.994722474661639
lapeigvals_gsm8k_llama8b,gsm8k,math,fixed_stable_v1,rho_max_over_1p5,1.5,25,17,0.68,16.791866419455218,0.9846871056230591
lapeigvals_gsm8k_llama8b,gsm8k,math,mixed_v2,full,,29,29,1.0,21.91688913790775,0.9997447793537727
lapeigvals_gsm8k_llama8b,gsm8k,math,mixed_v2,rho_max_over_3,3.0,29,22,0.7586206896551724,20.062807191406396,0.9981593543182711
lapeigvals_gsm8k_llama8b,gsm8k,math,mixed_v2,rho_max_over_2p5,2.5,29,22,0.7586206896551724,20.062807191406396,0.9981593543182711
