cell,domain,family,n,m,obs_op_norm_ratio,obs_fro_norm_ratio,obs_top5_share,uniform_top5_share,null_draw_failures,splithalf_angle_deg_median,splithalf_angle_deg_p10,splithalf_angle_deg_p90,splithalf_jaccard_median,splithalf_jaccard_p10,splithalf_jaccard_p90,splithalf_sign_agreement_median,splithalf_reps_ok,support_size,support_within_family_frac,support_within_family_baseline,median_excess_kurtosis,nulla_op_norm_ratio_mean,nulla_op_norm_ratio_sd,nulla_op_norm_ratio_p95,nulla_op_norm_ratio_obs_percentile,nulla_op_norm_ratio_p_descriptive,nulla_fro_norm_ratio_mean,nulla_fro_norm_ratio_sd,nulla_fro_norm_ratio_p95,nulla_fro_norm_ratio_obs_percentile,nulla_fro_norm_ratio_p_descriptive,nulla_top5_share_mean,nulla_top5_share_sd,nulla_top5_share_p95,nulla_top5_share_obs_percentile,nulla_top5_share_p_descriptive,nullb_op_norm_ratio_mean,nullb_op_norm_ratio_sd,nullb_op_norm_ratio_p95,nullb_op_norm_ratio_obs_percentile,nullb_op_norm_ratio_p_descriptive,nullb_fro_norm_ratio_mean,nullb_fro_norm_ratio_sd,nullb_fro_norm_ratio_p95,nullb_fro_norm_ratio_obs_percentile,nullb_fro_norm_ratio_p_descriptive,nullb_top5_share_mean,nullb_top5_share_sd,nullb_top5_share_p95,nullb_top5_share_obs_percentile,nullb_top5_share_p_descriptive,gaussian_dependent_null_b
internalstates_gsm8k_qwen25_7b,math,gsm8k,500,29,0.11215768088528892,0.16427549683930537,0.5342375091308881,0.1724137931034483,0,33.792244745795415,28.2286130918675,43.887452587357245,1.0,0.0,1.0,1.0,50,1,1.0,0.41379310344827586,1.746197098795319,0.022216855599535675,0.002500968049671837,0.026858861790967678,100.0,0.000999000999000999,0.04547338774758964,0.002691252483980098,0.05026353743461996,100.0,0.000999000999000999,0.4564521777723539,0.018207988285024315,0.48733177361676294,100.0,0.000999000999000999,0.022929005666666568,0.0026372266730647236,0.02785682934013098,100.0,0.000999000999000999,0.04761938150198714,0.0033388350046374975,0.05323362615838396,100.0,0.000999000999000999,0.45574682237373143,0.01781740070699804,0.4862175441948143,100.0,0.000999000999000999,0
lapeigvals_gsm8k_llama3b,math,gsm8k,1319,30,0.08181317889741117,0.13270706207755065,0.5510148929109024,0.16666666666666666,0,25.930093265173824,16.547068505915252,37.04761109033892,0.0,0.0,0.0,nan,50,0,nan,0.3931034482758621,3.468420784417375,0.010447506797889425,0.0011277760240649079,0.01244185242683157,100.0,0.000999000999000999,0.02184904980602308,0.0013321591178736315,0.024074761958225898,100.0,0.000999000999000999,0.46670047684142557,0.019039430077655347,0.4996601847065956,100.0,0.000999000999000999,0.010607195114241356,0.0011262554821618875,0.012588277148324117,100.0,0.000999000999000999,0.022597439844902693,0.0014152361773465407,0.024995613498795602,100.0,0.000999000999000999,0.4654021921683796,0.01907776922127587,0.498041015887252,100.0,0.000999000999000999,1
lapeigvals_gsm8k_llama8b,math,gsm8k,500,29,0.10424375299764682,0.13966056397700055,0.5498395018697176,0.1724137931034483,0,44.32938730684633,34.74741677718985,48.159961235196725,0.0,0.0,0.0,nan,50,0,nan,0.41379310344827586,2.477889408271711,0.015722927554299056,0.0018862168104751289,0.019093452266116237,100.0,0.000999000999000999,0.03192386347511397,0.0021220487502635918,0.0354558495762837,100.0,0.000999000999000999,0.48369190832477077,0.020436297936580503,0.5198333814312033,100.0,0.000999000999000999,0.020158165028431915,0.019390907238831648,0.022440905905884483,96.39999999999999,0.03696303696303696,0.036753727258083325,0.01716435697950896,0.03978448214308733,100.0,0.000999000999000999,0.48904037350290563,0.035317215340440154,0.5333710759077026,95.5,0.04595404595404595,1
lapeigvals_gsm8k_mistral24b,math,gsm8k,1319,30,0.08770312891457216,0.1258914223868966,0.5144089601332779,0.16666666666666666,0,46.24987390932047,32.894098100240406,57.50600858515131,0.02702702702702703,0.0,0.11722488038277615,1.0,50,1,1.0,0.3931034482758621,4.56910662000708,0.010926652866989042,0.008374434416985207,0.012304225222501108,99.4,0.006993006993006993,0.02264747321891175,0.007719565770662914,0.024244883533481882,100.0,0.000999000999000999,0.456672828201041,0.026083288019326793,0.48915598515878417,99.4,0.006993006993006993,0.09144948193541004,0.03346292929209036,0.11401454399258806,14.499999999999998,0.8551448551448552,0.09601509351694668,0.030348350328707994,0.11693704566601588,99.9,0.001998001998001998,0.6416212005265263,0.07643177075324481,0.6904728868675888,14.299999999999999,0.8571428571428571,1
lapeigvals_gsm8k_nemo,math,gsm8k,1319,29,0.1327985118824246,0.16167741548569303,0.554329688810027,0.1724137931034483,0,32.05857607530977,20.218934342954707,44.93603430873665,0.5,0.25,1.0,1.0,50,2,1.0,0.41379310344827586,3.7731747342955053,0.013581764457801907,0.0013362871183010977,0.01590054197527523,100.0,0.000999000999000999,0.028008247564208402,0.0015495805806078097,0.03052770562556508,100.0,0.000999000999000999,0.4518915587153939,0.017986883831679006,0.48230432122296085,100.0,0.000999000999000999,0.014316708631851313,0.0014166085548126483,0.01687709668929099,100.0,0.000999000999000999,0.029989805691854634,0.001785521947034786,0.03311456646805136,100.0,0.000999000999000999,0.45245845736825696,0.017212166616352016,0.48146985835346034,100.0,0.000999000999000999,1
lapeigvals_gsm8k_phi35,math,gsm8k,1319,29,0.13595064308653296,0.17669761182777807,0.552097130129841,0.1724137931034483,0,30.32609057194853,26.62220229298158,32.71852687004144,0.6666666666666666,0.6666666666666666,1.0,1.0,50,2,1.0,0.41379310344827586,4.08511762478765,0.015846837541538497,0.0015540307978068619,0.018631974824680767,100.0,0.000999000999000999,0.03187950973877834,0.0018550805224158756,0.034930913729303986,100.0,0.000999000999000999,0.46457909100567146,0.01725811286822951,0.49285234823606094,100.0,0.000999000999000999,0.016252800108794502,0.001659890977128509,0.019196979055242924,100.0,0.000999000999000999,0.03311744080670197,0.0019180784395660805,0.03634613197210303,100.0,0.000999000999000999,0.46441974484930676,0.018248285913777734,0.4935112581732952,100.0,0.000999000999000999,1
noise_gsm8k_mistral7b,math,gsm8k,1319,29,0.130965135669906,0.1518508344171494,0.55290351618553,0.1724137931034483,0,26.997795596831224,13.200750976584864,33.95013499344441,0.0,0.0,0.0,nan,50,0,nan,0.41379310344827586,0.3504319183490887,0.011835210468715548,0.001315617221134417,0.014122365080347176,100.0,0.000999000999000999,0.023504262999804768,0.0014346615665567775,0.02595948327137352,100.0,0.000999000999000999,0.4676941852835231,0.018859206203991362,0.4997551695429841,100.0,0.000999000999000999,0.012333104371803764,0.0013170550971917574,0.014620581517392584,100.0,0.000999000999000999,0.024851172518686394,0.0014782338265476153,0.027435326905441516,100.0,0.000999000999000999,0.4655778985953797,0.018202058515854547,0.4955891334124014,100.0,0.000999000999000999,0
noise_gsm8k_phi3mini,math,gsm8k,1319,29,0.1533851131296104,0.17526838439262468,0.5598921259889615,0.1724137931034483,0,34.42464564511084,28.418449963678473,41.712936713502025,0.42857142857142855,0.375,1.0,1.0,50,7,1.0,0.41379310344827586,2.1696471658075795,0.018176786425841508,0.0018067238960913941,0.02156138463453495,100.0,0.000999000999000999,0.03432424494302132,0.0018945066417375383,0.03743112177372633,100.0,0.000999000999000999,0.45196162017881863,0.017559057597110968,0.482916211930909,100.0,0.000999000999000999,0.019111770822569967,0.001863668905613293,0.022353557128417852,100.0,0.000999000999000999,0.037890685917652774,0.0021335846359928938,0.04148962173208884,100.0,0.000999000999000999,0.45056653496007754,0.017319204829331202,0.4794682840572425,100.0,0.000999000999000999,1
math500_dsmath7b,math,math500,300,30,0.19935445708028882,0.23244453234566023,0.5705497422990788,0.16666666666666666,0,41.94834123636741,35.616019438338114,48.177579652408426,0.05606060606060606,0.0,0.3333333333333333,1.0,50,2,1.0,0.3931034482758621,1.0140471212389595,0.03279197308660395,0.003728406785643009,0.03992736345321905,100.0,0.000999000999000999,0.06324096581932537,0.00368826246456525,0.06906820610654107,100.0,0.000999000999000999,0.4445672082504216,0.017384971853693136,0.47308013154420425,100.0,0.000999000999000999,0.034171120607108675,0.004146905670978803,0.041447487161484255,100.0,0.000999000999000999,0.06709043982639422,0.004590338246971403,0.07491375287178727,100.0,0.000999000999000999,0.4451981869719025,0.0175775827561085,0.4746545067127633,100.0,0.000999000999000999,0
math500_qwenmath7b,math,math500,300,28,0.1029878385431263,0.1403021788131465,0.6309716263760239,0.17857142857142858,0,59.15624876844454,40.68654764848921,64.8355658696947,0.0,0.0,0.5966666666666667,1.0,50,36,0.3333333333333333,0.36507936507936506,-0.13816818159602762,0.027982657410682805,0.002604788381035067,0.03203207242733418,100.0,0.000999000999000999,0.04287116413629103,0.002749041134380957,0.04731768492288655,100.0,0.000999000999000999,0.5239287284162358,0.01818880505419932,0.5546595379318913,100.0,0.000999000999000999,0.030707052818830242,0.0035699861649416283,0.036869396073857606,100.0,0.000999000999000999,0.06971826822884979,0.005640900043270392,0.07886012026483331,100.0,0.000999000999000999,0.4360002661909598,0.016918091908726986,0.4639443571476076,100.0,0.000999000999000999,0
math500_r1distill8b,math,math500,300,28,0.07579683062842811,0.10389982899332928,0.5779838478961782,0.17857142857142858,0,34.523671115450654,27.799671530184835,39.60476896468584,nan,nan,nan,nan,50,0,nan,0.36507936507936506,-0.25260933639053684,0.017777749514046325,0.002391494321326141,0.02193056633615574,100.0,0.000999000999000999,0.03309129261080642,0.0026470948497386818,0.03745974792654597,100.0,0.000999000999000999,0.5420734928186738,0.02335529376134705,0.5823375817635567,93.30000000000001,0.06793206793206794,0.019387307087579592,0.011304803194796934,0.022793651269275808,99.0,0.01098901098901099,0.035016992062912186,0.010981500028981486,0.03944269338511617,99.0,0.01098901098901099,0.5453754185268735,0.025425000497851177,0.585822248938099,91.0,0.09090909090909091,0
math500_r1distill8b_mn4096,math,math500,300,29,0.05750651476202899,0.0814833023077213,0.5624419567977346,0.1724137931034483,0,32.765108872680344,28.24208620374887,40.06658492361167,nan,nan,nan,nan,50,0,nan,0.3793103448275862,-0.18211431000948775,0.015137670628113572,0.002165780654014491,0.01897674419632345,100.0,0.000999000999000999,0.028966516824482844,0.002419050865141398,0.03316308275794413,100.0,0.000999000999000999,0.5288232711981645,0.024718000807853684,0.5711362541919599,90.7,0.0939060939060939,0.015458251494239985,0.002135241029583758,0.01920147303065249,100.0,0.000999000999000999,0.029738120751587188,0.002616216229022577,0.0342123845735339,100.0,0.000999000999000999,0.5322019153489862,0.024048619623638023,0.5709504075827493,90.3,0.0979020979020979,0
trace_gsm8k_llama8b_k10,math,gsm8k,5000,29,0.09770592446217036,0.12934634994690586,0.5596262736755296,0.1724137931034483,0,22.548831251683577,7.391628245106818,23.440536821745383,nan,nan,nan,nan,50,0,nan,0.41379310344827586,2.1930211847717267,0.00486140699602168,0.0005281639523462528,0.00578065989994896,100.0,0.000999000999000999,0.010026262657091632,0.0006114657842587855,0.011068919651503048,100.0,0.000999000999000999,0.4808889153754414,0.019872206217388954,0.5131722158476798,100.0,0.000999000999000999,0.005208939733765654,0.004990804962125556,0.005969286238657237,99.8,0.002997002997002997,0.010639775295757891,0.004827189360434116,0.011538608428871715,100.0,0.000999000999000999,0.4808094459651304,0.023601943054726265,0.5144348883788143,99.8,0.002997002997002997,1
trace_math500_qwenmath15b_k10,math,math500,3000,30,0.09351754234613796,0.13711818764124578,0.5899351575857564,0.16666666666666666,0,13.208883557939224,9.39641377758126,24.160406538632326,nan,nan,nan,nan,50,0,nan,0.3931034482758621,1.0385654808106957,0.006216784879866792,0.0007052704050021037,0.00742096043064484,100.0,0.000999000999000999,0.013021019165050404,0.0008455121951446806,0.01442400686550343,100.0,0.000999000999000999,0.47278337059529374,0.020600707288033246,0.5070617284023085,100.0,0.000999000999000999,0.006336203405676585,0.0007021858477807384,0.007547809019121649,100.0,0.000999000999000999,0.013386016632049094,0.0008263920678435928,0.014648279384327183,100.0,0.000999000999000999,0.4717131043973201,0.019752333158454045,0.5049594531819179,100.0,0.000999000999000999,0
