locator,variant,scope,n_clean,n_erroneous,argmax_sla,argmax_early,argmax_late,false_alarm_budget,false_alarm,theta,detected,exact,early_stop,no_stop,mean_delay_steps,median_delay_steps,mean_delay_tokens
ct7,offline,cell=pb_gsm8k_q8,193,207,0.47342995169082125,0.23671497584541062,0.2898550724637681,0.1,0.07772020725388601,1.6425087670782392,0.0966183574879227,0.04830917874396135,0.014492753623188406,0.8888888888888888,1.75,0.5,108.25
ct7,offline,cell=pb_gsm8k_q8,193,207,0.47342995169082125,0.23671497584541062,0.2898550724637681,0.2,0.18652849740932642,1.5133811421215566,0.178743961352657,0.1111111111111111,0.043478260869565216,0.7777777777777778,1.2702702702702702,0.0,79.45945945945945
ct7,offline,cell=pb_gsm8k_q8,193,207,0.47342995169082125,0.23671497584541062,0.2898550724637681,0.3,0.2849740932642487,1.4231945037794396,0.2608695652173913,0.1642512077294686,0.07246376811594203,0.6666666666666666,1.0185185185185186,0.0,61.870370370370374
ct7,offline,cell=pb_math_q4,406,594,0.3569023569023569,0.26936026936026936,0.37373737373737376,0.05,0.04187192118226601,1.9955247062604848,0.015151515151515152,0.005050505050505051,0.011784511784511785,0.9730639730639731,5.111111111111111,2.0,327.1111111111111
ct7,offline,cell=pb_math_q4,406,594,0.3569023569023569,0.26936026936026936,0.37373737373737376,0.1,0.0812807881773399,1.8408389058384784,0.03535353535353535,0.016835016835016835,0.020202020202020204,0.9444444444444444,2.8095238095238093,1.0,187.1904761904762
ct7,offline,cell=pb_math_q4,406,594,0.3569023569023569,0.26936026936026936,0.37373737373737376,0.2,0.17733990147783252,1.6425087670782392,0.11616161616161616,0.06734006734006734,0.05387205387205387,0.82996632996633,2.347826086956522,0.0,168.46376811594203
ct7,offline,cell=pb_math_q4,406,594,0.3569023569023569,0.26936026936026936,0.37373737373737376,0.3,0.27586206896551724,1.5133811421215566,0.1717171717171717,0.10101010101010101,0.06397306397306397,0.7643097643097643,1.8627450980392157,0.0,142.16666666666666
ct7,offline,cell=pb_math_q8,406,594,0.3686868686868687,0.28114478114478114,0.3501683501683502,0.05,0.04926108374384237,1.9955247062604848,0.011784511784511785,0.003367003367003367,0.013468013468013467,0.9747474747474747,5.0,3.0,320.7142857142857
ct7,offline,cell=pb_math_q8,406,594,0.3686868686868687,0.28114478114478114,0.3501683501683502,0.1,0.09113300492610837,1.8408389058384784,0.03198653198653199,0.011784511784511785,0.026936026936026935,0.9410774410774411,3.263157894736842,1.0,226.68421052631578
ct7,offline,cell=pb_math_q8,406,594,0.3686868686868687,0.28114478114478114,0.3501683501683502,0.2,0.19704433497536947,1.6425087670782392,0.10606060606060606,0.06397306397306397,0.04713804713804714,0.8468013468013468,1.8571428571428572,0.0,130.3968253968254
ct7,offline,cell=pb_math_q8,406,594,0.3686868686868687,0.28114478114478114,0.3501683501683502,0.3,0.29310344827586204,1.5133811421215566,0.16835016835016836,0.09595959595959595,0.06565656565656566,0.765993265993266,1.8,0.0,132.96
ct7,offline,cell=pb_olympiadbench_q4,339,661,0.3903177004538578,0.29954614220877457,0.3101361573373676,0.1,0.05604719764011799,1.9955247062604848,0.04236006051437216,0.0226928895612708,0.009077155824508321,0.9485627836611196,3.7857142857142856,0.0,220.35714285714286
ct7,offline,cell=pb_olympiadbench_q4,339,661,0.3903177004538578,0.29954614220877457,0.3101361573373676,0.2,0.18289085545722714,1.7543859988038821,0.09228441754916793,0.05446293494704992,0.036308623298033284,0.8714069591527988,1.9180327868852458,0.0,128.78688524590163
ct7,offline,cell=pb_olympiadbench_q4,339,661,0.3903177004538578,0.29954614220877457,0.3101361573373676,0.3,0.28023598820059,1.5964280282962213,0.16036308623298035,0.09682299546142209,0.08472012102874432,0.7549167927382754,1.3679245283018868,0.0,109.83962264150944
ct7,offline,cell=pb_olympiadbench_q8,339,661,0.3767019667170953,0.32526475037821484,0.2980332829046899,0.1,0.05604719764011799,1.9955247062604848,0.046898638426626324,0.02723146747352496,0.009077155824508321,0.9440242057488654,2.6129032258064515,0.0,156.5483870967742
