cell,feature,n,weak_cell,stability,sign_correct,oracle_single_auroc,abs_rho,headroom_pp,is_candidate
lapeigvals_gsm8k_mistral24b,min_energy,1319,False,1.0,1,0.7924179240275988,0.22170970045505167,,
lapeigvals_gsm8k_mistral24b,sw_var_peak_energy,1319,False,1.0,1,0.6708469178861172,0.08254683070916241,,
lapeigvals_gsm8k_mistral24b,cusum_max_energy,1319,False,1.0,1,0.7979755857153689,0.1932782738519073,,
lapeigvals_gsm8k_mistral24b,mean_top1_logprob,1319,False,1.0,1,0.8412085829100007,0.2808240054184935,,
lapeigvals_gsm8k_mistral24b,logprob_margin,1319,False,1.0,1,0.8302221548259914,0.20970148041351305,,
lapeigvals_gsm8k_mistral24b,mean_logprob_entropy,1319,False,1.0,1,0.8478656456137691,0.22063996997464538,,
lapeigvals_gsm8k_mistral24b,varentropy,1319,False,1.0,1,0.8548259913564334,0.21208156231035177,,
lapeigvals_gsm8k_mistral24b,renyi_entropy_2,1319,False,1.0,1,0.8428463113200394,0.22091085569189114,,
lapeigvals_gsm8k_mistral24b,topk_tail_mass,1319,False,1.0,1,0.8524907119569338,0.22177101424721343,,
lapeigvals_gsm8k_nemo,epr,1319,False,1.0,1,0.7656022750355475,0.181008727092928,,
lapeigvals_gsm8k_nemo,trace_length,1319,False,1.0,1,0.6820312817387773,0.14411910739841635,,
lapeigvals_gsm8k_nemo,spectral_entropy,1319,False,1.0,1,0.6507739183424741,0.09010311162810421,,
lapeigvals_gsm8k_nemo,low_band_power,1319,False,1.0,1,0.6417469022953484,0.04809790620124979,,
lapeigvals_gsm8k_nemo,high_band_power,1319,False,1.0,1,0.6221450335161487,0.02509753487848881,,
lapeigvals_gsm8k_nemo,hl_ratio,1319,False,1.0,1,0.6511923623806621,0.04815225805763071,,
lapeigvals_gsm8k_nemo,dominant_freq,1319,False,1.0,1,0.5710542352224254,0.026639439394518637,,
lapeigvals_gsm8k_nemo,spectral_centroid,1319,False,1.0,1,0.6567661994718668,0.09174295197374772,,
lapeigvals_gsm8k_nemo,stft_max_high_power,1319,False,1.0,1,0.559845622587853,0.07751613923479396,,
lapeigvals_gsm8k_nemo,stft_spectral_entropy,1319,False,0.57,0,0.5426122283160675,0.001504404846194931,,
